stock_id,name,sector ,sub_sector 
AALI ,Astra Agro Lestari Tbk. ,Agriculture ,Plantation 
ABBA ,Mahaka Media Tbk. ,"Trade, Services & Investment ","Advertising, Printing And Media "
ABDA ,Asuransi Bina Dana Arta Tbk. ,Finance ,Insurance 
ABMM ,ABM Investama Tbk. ,"Trade, Services & Investment ",Investment Company 
ACES ,Ace Hardware Indonesia Tbk. ,"Trade, Services & Investment ",Retail Trade 
ACST ,Acset Indonusa Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
ADES ,Akasha Wira International Tbk. ,Consumer Goods Industry ,Food And Beverages 
ADHI ,Adhi Karya (Persero) Tbk. ,"Property, Real Estate And Building Construction ",Building Construction 
ADMF ,Adira Dinamika Multi Finance Tbk. ,Finance ,Financial Institution 
ADMG ,Polychem Indonesia Tbk. ,Miscellaneous Industry ,"Textile, Garment "
ADRO ,Adaro Energy Tbk. ,Mining ,Coal Mining 
AGII ,PT Aneka Gas Industri ,Mining ,Crude Petroleum & Natural Gas Production 
AGRO ,Bank Rakyat Indonesia Agroniaga Tbk. ,Finance ,Bank 
AHAP ,Asuransi Harta Aman Pratama Tbk. ,Finance ,Insurance 
AIMS ,Akbar Indo Makmur Stimec Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
AIRJ ,PT Aetra Air Jakarta ,"Infrastructure, Utilities & Transportation ",Others 
AISA ,Tiga Pilar Sejahtera Food Tbk. ,Consumer Goods Industry ,Food And Beverages 
AKKU ,Alam Karya Unggul Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
AKPI ,Argha Karya Prima Industry Tbk. ,Basic Industry and Chemicals ,Plastics & Packaging 
AKRA ,AKR Corporindo Tbk. ,"Trade, Services & Investment ",Wholesale (Durable & Non-Durable Goods) 
AKSI ,Majapahit Securities Tbk. ,Finance ,Securities Company 
ALDO ,Alkindo Naratama Tbk ,Basic Industry and Chemicals ,Pulp & Paper 
ALKA ,Alakasa Industrindo Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
ALMI ,Alumindo Light Metal Industry Tbk. ,Basic Industry and Chemicals ,Metal And Allied Products 
ALTO ,Tri Banyan Tirta Tbk. ,Consumer Goods Industry ,Food And Beverages 
AMAG ,Asuransi Multi Artha Guna Tbk. ,Finance ,Insurance 
AMFG ,Asahimas Flat Glass Tbk. ,Basic Industry and Chemicals ,"Ceramics, Glass, Porcelain "
AMRT ,Sumber Alfaria Trijaya Tbk. ,"Trade, Services & Investment ",Retail Trade 
ANJT ,Austindo Nusantara Jaya Tbk. ,Agriculture ,Plantation 
