stock_id,name,sector
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare
INAF,Indofarma Tbk.,Healthcare
KAEF,Kimia Farma Tbk.,Healthcare
KLBF,Kalbe Farma Tbk.,Healthcare
MERK,Merck Tbk.,Healthcare
MIKA,Mitra Keluarga Karyasehat Tbk.,Healthcare
PYFA,Pyridam Farma Tbk,Healthcare
SAME,Sarana Meditama Metropolitan T,Healthcare
SCPI,Organon Pharma Indonesia Tbk.,Healthcare
SIDO,Industri Jamu dan Farmasi Sido,Healthcare
SILO,Siloam International Hospitals,Healthcare
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Healthcare
TSPC,Tempo Scan Pacific Tbk.,Healthcare
PRDA,Prodia Widyahusada Tbk.,Healthcare
PRIM,Royal Prima Tbk.,Healthcare
HEAL,Medikaloka Hermina Tbk.,Healthcare
PEHA,Phapros Tbk.,Healthcare
IRRA,Itama Ranoraya Tbk.,Healthcare
CARE,Metro Healthcare Indonesia Tbk,Healthcare
SOHO,Soho Global Health Tbk.,Healthcare
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare
BMHS,Bundamedik Tbk.,Healthcare
RSGK,Kedoya Adyaraya Tbk.,Healthcare
MTMH,Murni Sadar Tbk.,Healthcare
MEDS,Hetzer Medical Indonesia Tbk.,Healthcare
PRAY,Famon Awal Bros Sedaya Tbk.,Healthcare
OMED,Jayamas Medica Industri Tbk.,Healthcare
MMIX,Multi Medika Internasional Tbk,Healthcare
PEVE,Penta Valent Tbk.,Healthcare
HALO,Haloni Jane Tbk.,Healthcare
RSCH,Charlie Hospital Semarang Tbk.,Healthcare
IKPM,Ikapharmindo Putramas Tbk.,Healthcare
SURI,Maja Agung Latexindo Tbk.,Healthcare
LABS,UBC Medical Indonesia Tbk.,Healthcare
OBAT,Brigit Biofarmaka Teknologi Tb,Healthcare
ADMG,Polychem Indonesia Tbk,Basic Materials
AGII,Samator Indo Gas Tbk.,Basic Materials
AKPI,Argha Karya Prima Industry Tbk,Basic Materials
ALDO,Alkindo Naratama Tbk.,Basic Materials
ALKA,Alakasa Industrindo Tbk,Basic Materials
ALMI,Alumindo Light Metal Industry ,Basic Materials
ANTM,Aneka Tambang Tbk.,Basic Materials
APLI,Asiaplast Industries Tbk.,Basic Materials
BAJA,Saranacentral Bajatama Tbk.,Basic Materials
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials
