stock_id,name,sector,risk_profile
AADI,Adaro Andalan Indonesia Tbk.,Energy,Tinggi
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,Sedang
ABBA,Mahaka Media Tbk.,Consumer Cyclicals,Tinggi
ABDA,Asuransi Bina Dana Arta Tbk.,Financials,Sedang
ABMM,ABM Investama Tbk.,Energy,Sedang
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals,Sedang
ACRO,Samcro Hyosung Adilestari Tbk.,Consumer Cyclicals,Tinggi
ACST,Acset Indonusa Tbk.,Infrastructures,Tinggi
ADCP,Adhi Commuter Properti Tbk.,Properties and Real Estate,Sedang
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,Sedang
ADHI,Adhi Karya (Persero) Tbk.,Infrastructures,Sedang
ADMF,Adira Dinamika Multi Finance T,Financials,Rendah
ADMG,Polychem Indonesia Tbk,Basic Materials,Sedang
ADMR,Adaro Minerals Indonesia Tbk.,Energy,Sedang
ADRO,Alamtri Resources Indonesia Tb,Energy,Sedang
AEGS,Anugerah Spareparts Sejahtera ,Consumer Cyclicals,Tinggi
AGAR,Asia Sejahtera Mina Tbk.,Consumer Non-Cyclicals,Tinggi
AGII,Samator Indo Gas Tbk.,Basic Materials,Sedang
AGRO,Bank Raya Indonesia Tbk.,Financials,Sedang
AGRS,Bank IBK Indonesia Tbk.,Financials,Tinggi
AHAP,Asuransi Harta Aman Pratama Tb,Financials,Tinggi
AIMS,Artha Mahiya Investama Tbk.,Energy,Tinggi
AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals,Sedang
AKKU,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals,Sedang
AKPI,Argha Karya Prima Industry Tbk,Basic Materials,Sedang
AKRA,AKR Corporindo Tbk.,Energy,Sedang
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation and Logistic,Tinggi
ALDO,Alkindo Naratama Tbk.,Basic Materials,Sedang
ALII,Ancara Logistics Indonesia Tbk,Energy,Tinggi
ALKA,Alakasa Industrindo Tbk,Basic Materials,Tinggi
ALMI,Alumindo Light Metal Industry ,Basic Materials,Tinggi
