timestamp,open,high,low,close,volume
2024-12-05,6650,6650,6650,6650,459400
2024-12-06,7975,7975,7975,7975,446600
2024-12-09,9550,9550,9550,9550,43658100
2024-12-10,10275,11375,9600,10500,228636600
2024-12-11,9600,10450,9575,10275,100219900
2024-12-12,9200,9775,9025,9525,71848600
2024-12-13,9200,9525,9150,9225,34171200
2024-12-16,9250,9375,8825,9200,36485400
2024-12-17,8925,9400,8875,9400,28673300
2024-12-18,8650,9125,8575,9000,31870800
2024-12-19,8350,8525,8200,8500,29111500
2024-12-20,8075,8450,8025,8350,23208900
2024-12-23,7600,8175,7600,8150,46265000
2024-12-24,7725,8050,7225,7600,54599400
2024-12-27,8175,8175,7550,7750,25098400
2024-12-30,8475,8650,8200,8250,31693100
