timestamp,open,high,low,close,volume
2019-01-01,1264,1264,1264,1264,0
2019-01-02,1281,1286,1264,1273,3574700
2019-01-03,1341,1353,1281,1286,15315200
2019-01-04,1358,1370,1337,1341,6764900
2019-01-07,1400,1413,1362,1366,24359400
2019-01-08,1400,1413,1383,1400,14095100
2019-01-09,1443,1455,1400,1400,23780100
2019-01-10,1481,1494,1438,1443,11595400
2019-01-11,1434,1485,1426,1481,10784100
2019-01-14,1421,1447,1400,1434,4577300
2019-01-15,1421,1443,1417,1434,7352100
2019-01-16,1375,1443,1375,1421,13846800
2019-01-17,1464,1472,1383,1383,20460500
2019-01-18,1494,1540,1464,1477,18397700
2019-01-21,1515,1519,1494,1494,18905600
2019-01-22,1515,1519,1502,1519,6325600
2019-01-23,1519,1536,1510,1515,14262900
2019-01-24,1515,1519,1510,1519,18548100
2019-01-25,1506,1557,1506,1557,10579100
2019-01-28,1510,1515,1502,1510,10886200
2019-01-29,1498,1519,1494,1510,6557000
2019-01-30,1443,1502,1409,1498,14322300
2019-01-31,1443,1468,1426,1455,18286900
2019-02-01,1506,1544,1451,1451,11301100
2019-02-04,1527,1595,1506,1515,11573600
2019-02-05,1527,1527,1527,1527,0
2019-02-06,1494,1561,1472,1540,6992600
2019-02-07,1485,1527,1468,1494,3390400
2019-02-08,1489,1489,1468,1485,5628500
2019-02-11,1519,1523,1489,1489,11414600
2019-02-12,1510,1536,1481,1519,12444400
2019-02-13,1494,1515,1494,1510,14943000
2019-02-14,1460,1502,1443,1498,41058400
2019-02-15,1447,1460,1421,1460,30050500
2019-02-18,1460,1477,1438,1447,15274200
2019-02-19,1494,1498,1460,1460,6594500
2019-02-20,1532,1536,1498,1498,14025000
2019-02-21,1549,1553,1532,1544,3707100
2019-02-22,1536,1557,1519,1549,2588300
2019-02-25,1583,1600,1527,1532,15997500
2019-02-26,1532,1608,1527,1587,9400900
2019-02-27,1519,1532,1477,1532,14812800
2019-02-28,1489,1527,1485,1519,4385800
