timestamp,open,high,low,close,volume
2024-01-11,114,114,93,114,469814000
2024-01-12,97,150,97,124,1137645900
2024-01-15,97,97,97,97,0
2024-01-16,88,93,82,90,95757900
2024-01-17,84,89,83,88,38910300
2024-01-18,97,100,78,78,296210600
2024-01-19,90,101,89,99,154425400
2024-01-22,82,91,82,82,33883900
2024-01-23,82,84,76,76,23032400
2024-01-24,80,90,76,76,64146200
2024-01-25,79,82,74,74,15934000
2024-01-26,72,81,69,69,24129200
2024-01-29,71,81,65,65,65429400
2024-01-30,71,81,64,64,32533100
2024-01-31,71,80,69,71,15381600
2024-02-01,70,78,69,78,15033200
2024-02-02,77,80,69,69,75743200
2024-02-05,82,94,71,71,395530600
2024-02-06,78,89,78,82,110435300
2024-02-07,72,80,72,78,36929500
2024-02-12,73,77,72,73,23220900
2024-02-13,71,77,67,67,31374300
2024-02-15,71,72,70,71,13039800
2024-02-16,66,72,64,71,31991400
2024-02-19,63,67,58,66,31596200
2024-02-20,66,67,62,62,10730000
2024-02-21,64,67,63,66,13542200
2024-02-22,66,67,62,64,18067600
2024-02-23,71,75,66,67,85687600
2024-02-26,86,92,69,72,216608600
2024-02-27,89,100,86,94,246226500
2024-02-28,77,93,77,91,68949000
2024-02-29,80,84,75,78,51430700
2024-03-01,82,82,74,74,25852600
2024-03-04,93,94,82,86,139927000
2024-03-05,91,100,89,100,149029300
2024-03-06,91,93,88,91,27072800
2024-03-07,91,93,89,92,19948300
2024-03-08,89,95,89,92,46743400
2024-03-13,90,111,84,88,339469200
2024-03-14,92,100,90,96,132545800
2024-03-15,90,96,86,86,30026000
2024-03-18,89,94,89,90,23617300
2024-03-19,87,92,87,90,17142300
2024-03-20,89,91,85,87,23107300
2024-03-21,94,96,89,89,46585300
2024-03-22,92,98,90,95,49532300
2024-03-25,92,92,92,92,0
2024-03-26,92,92,92,92,0
2024-03-27,81,89,80,88,40601800
2024-03-28,78,82,75,76,23116100
2024-04-01,76,80,75,78,9971500
2024-04-02,78,85,75,76,31646100
2024-04-03,70,79,70,78,12489500
2024-04-04,71,74,68,71,13044000
2024-04-05,73,75,71,71,8011400
2024-04-16,72,75,67,67,2724300
2024-04-17,71,75,68,68,4430000
2024-04-18,76,77,65,65,15519300
2024-04-19,72,76,67,72,11168100
2024-04-22,68,73,60,64,12107600
2024-04-23,64,69,62,62,6323700
2024-04-24,64,66,62,63,8367400
2024-04-25,64,67,60,60,4287600
2024-04-26,63,66,62,62,3226300
2024-04-29,61,68,56,56,10917800
2024-04-30,62,64,60,60,4840800
2024-05-02,63,66,56,56,8763700
2024-05-03,70,76,63,63,103404600
2024-05-06,70,75,65,66,27874000
2024-05-07,68,71,64,64,7418000
2024-05-08,66,68,65,68,6489900
2024-05-13,66,69,65,66,7209500
2024-05-14,67,68,65,67,4340800
2024-05-15,71,74,67,67,21052100
2024-05-16,76,79,71,72,63405800
2024-05-17,73,77,71,77,13977300
2024-05-20,70,73,69,73,9319100
2024-05-21,69,71,68,71,3920100
2024-05-22,71,71,68,69,4477000
2024-05-27,73,75,70,71,8608600
2024-05-28,74,76,73,73,10025600
2024-05-29,75,75,74,75,4854700
2024-05-30,74,75,73,75,4261500
2024-05-31,72,75,71,74,7097100
2024-06-03,71,72,71,71,2118500
2024-06-04,71,71,70,71,2049500
2024-06-05,69,71,68,71,3417000
2024-06-06,67,69,67,69,2917600
