timestamp,open,high,low,close,volume
2019-01-01,920,920,920,920,0
2019-01-02,905,920,900,920,14300
2019-01-03,905,930,900,905,39100
2019-01-04,905,905,905,905,0
2019-01-07,905,905,905,905,0
2019-01-08,900,905,900,905,78300
2019-01-09,910,910,895,905,6400
2019-01-10,905,910,895,910,43000
2019-01-11,895,910,895,910,37700
2019-01-14,900,900,900,900,21400
2019-01-15,905,930,880,900,57600
2019-01-16,890,935,890,905,81900
2019-01-17,895,900,890,890,6400
2019-01-18,920,925,895,895,45500
2019-01-21,935,950,910,920,96200
2019-01-22,935,950,930,945,108200
2019-01-23,915,945,895,935,175800
2019-01-24,925,930,910,915,16600
2019-01-25,940,955,925,925,137300
2019-01-28,1100,1175,950,950,1149300
2019-01-29,1200,1275,1100,1100,1141400
2019-01-30,1145,1220,1120,1200,402100
2019-01-31,1070,1150,1050,1145,348900
2019-02-01,1125,1125,1060,1070,67900
2019-02-04,1080,1150,1080,1120,77800
2019-02-05,1080,1080,1080,1080,0
2019-02-06,1080,1115,1080,1100,66300
2019-02-07,1090,1125,1080,1090,151000
2019-02-08,1100,1160,1080,1090,266300
2019-02-11,1095,1140,1085,1140,222100
2019-02-12,1110,1110,1070,1095,104600
2019-02-13,1080,1110,1075,1110,27100
2019-02-14,1015,1090,1015,1080,79500
2019-02-15,1015,1015,980,1015,85000
2019-02-18,1030,1030,980,1015,151900
2019-02-19,1000,1025,985,1025,78300
2019-02-20,995,1005,980,1000,78900
2019-02-21,985,1015,980,995,97100
2019-02-22,995,995,980,985,34300
2019-02-25,975,1030,975,995,181500
2019-02-26,975,990,970,980,113100
2019-02-27,995,1015,975,975,136500
2019-02-28,985,1015,985,1015,55100
2019-03-01,990,1000,985,985,46300
2019-03-04,995,1005,990,990,24200
2019-03-05,1100,1100,975,980,109900
2019-03-06,1050,1100,1005,1100,24400
2019-03-07,1050,1050,1050,1050,0
2019-03-08,1055,1075,1025,1050,47700
2019-03-11,1050,1070,1020,1055,35200
2019-03-12,1040,1045,1015,1035,19200
2019-03-13,1050,1050,1000,1035,23500
2019-03-14,1040,1040,1010,1040,18400
2019-03-15,1040,1045,1005,1035,15200
2019-03-18,1040,1040,1010,1040,23600
2019-03-19,1045,1045,1010,1010,39500
2019-03-20,1050,1050,1020,1040,11500
2019-03-21,1050,1055,1030,1050,22500
2019-03-22,1110,1140,1050,1050,228400
2019-03-25,1115,1130,1060,1110,135600
2019-03-26,1105,1110,1075,1090,94900
2019-03-27,1080,1085,1055,1085,39700
2019-03-28,1090,1135,1065,1085,57600
2019-03-29,1100,1105,1060,1085,25100
2019-04-01,1065,1100,1060,1090,33200
2019-04-02,1115,1135,1085,1100,51200
2019-04-03,1115,1115,1115,1115,0
2019-04-04,1115,1120,1080,1105,41400
2019-04-05,1120,1130,1110,1125,25800
2019-04-08,1100,1110,1080,1100,20400
2019-04-09,1120,1130,1090,1105,109300
2019-04-10,1120,1120,1100,1110,19700
2019-04-11,1110,1120,1085,1100,14000
2019-04-12,1100,1110,1065,1100,21400
2019-04-15,1085,1095,1065,1090,25600
2019-04-16,1070,1100,1065,1085,72400
2019-04-17,1070,1070,1070,1070,0
2019-04-18,1100,1105,1070,1070,160800
2019-04-19,1100,1100,1100,1100,0
2019-04-22,1100,1130,1080,1100,27300
2019-04-23,1065,1130,1065,1120,150300
2019-04-24,1095,1095,1065,1065,84300
2019-04-25,1075,1095,1030,1065,111200
2019-04-26,1075,1080,1070,1080,6800
2019-04-29,1085,1095,1050,1075,21600
2019-04-30,1090,1095,1055,1070,44500
2019-05-01,1090,1090,1090,1090,0
2019-05-02,1040,1090,1035,1090,110800
2019-05-03,1030,1055,1000,1040,83700
2019-05-06,1020,1040,995,1000,170400
2019-05-07,1050,1060,1020,1040,98800
2019-05-08,1050,1120,1050,1055,175900
2019-05-09,1045,1090,1045,1090,12900
2019-05-10,1040,1045,1040,1045,2500
2019-05-13,1010,1090,1010,1090,17400
2019-05-14,1005,1050,1000,1000,30100
2019-05-15,1025,1035,995,1035,42200
2019-05-16,1040,1040,1025,1025,15800
2019-05-17,1045,1045,1025,1030,7300
2019-05-20,1025,1045,1010,1045,29300
2019-05-21,1010,1030,1010,1025,9800
2019-05-22,1035,1035,1005,1010,16200
2019-05-23,1040,1050,1035,1035,14100
2019-05-24,1045,1050,1045,1050,3700
2019-05-27,1030,1035,1030,1030,34600
2019-05-28,1055,1055,1025,1030,4200
2019-05-29,1050,1060,1015,1060,19400
2019-05-30,1050,1050,1050,1050,0
2019-05-31,1030,1075,1020,1075,500
2019-06-03,1030,1030,1030,1030,0
2019-06-04,1030,1030,1030,1030,0
2019-06-05,1030,1030,1030,1030,0
2019-06-06,1030,1030,1030,1030,0
2019-06-07,1030,1030,1030,1030,0
2019-06-10,1050,1050,1030,1050,9000
2019-06-11,1050,1075,1045,1060,8800
2019-06-12,1040,1075,1040,1045,15200
2019-06-13,1050,1050,1040,1040,48400
2019-06-14,1055,1075,1050,1070,38800
2019-06-17,1060,1090,1050,1050,14400
2019-06-18,1075,1080,1050,1060,37400
2019-06-19,1075,1080,1065,1080,0
2019-06-20,1055,1075,1055,1075,60500
2019-06-21,1055,1070,1055,1060,12400
2019-06-24,1065,1080,1055,1055,40200
2019-06-25,1080,1090,1065,1080,84000
2019-06-26,1085,1090,1075,1080,25500
2019-06-27,1080,1085,1050,1085,15100
2019-06-28,1090,1090,1070,1080,184600
2019-07-01,1105,1130,1090,1090,75600
