timestamp,open,high,low,close,volume
2019-01-01,392,392,392,392,0
2019-01-02,395,395,392,392,17086200
2019-01-03,397,398,392,395,26738400
2019-01-04,448,448,393,393,258453600
2019-01-07,448,461,440,455,188434700
2019-01-08,455,456,439,450,87842100
2019-01-09,450,463,445,460,112359400
2019-01-10,453,456,442,450,59780600
2019-01-11,453,458,450,453,38608700
2019-01-14,455,456,447,453,49808900
2019-01-15,471,474,453,458,114172600
2019-01-16,471,482,469,476,84230700
2019-01-17,471,487,469,477,142090600
2019-01-18,479,482,476,477,86803600
2019-01-21,474,485,466,482,42644600
2019-01-22,455,471,443,471,66118800
2019-01-23,445,458,442,455,99859900
2019-01-24,445,453,445,447,55564000
2019-01-25,450,455,445,445,59077400
2019-01-28,448,461,445,452,97669800
2019-01-29,432,448,431,448,76464700
2019-01-30,435,443,432,432,56906800
2019-01-31,448,456,439,440,109294400
2019-02-01,443,452,440,450,45433300
2019-02-04,439,445,437,442,41270100
2019-02-05,439,439,439,439,0
2019-02-06,440,445,437,442,36227000
2019-02-07,434,445,431,443,45892300
2019-02-08,421,429,421,429,65555100
2019-02-11,406,421,405,419,62534100
2019-02-12,411,416,400,411,85248600
2019-02-13,406,419,406,418,89133300
2019-02-14,400,413,400,408,51789900
2019-02-15,393,402,392,400,54815800
2019-02-18,402,408,400,400,45571400
2019-02-19,418,423,410,410,81308800
2019-02-20,434,435,414,421,103338100
2019-02-21,456,458,429,434,155986100
2019-02-22,455,471,455,458,144782800
2019-02-25,453,461,445,461,68473000
2019-02-26,435,455,435,453,43479900
2019-02-27,443,450,439,439,43819400
2019-02-28,423,448,421,445,62148900
2019-03-01,423,434,423,426,77736800
2019-03-04,455,458,427,429,144915900
2019-03-05,452,469,447,452,99046800
2019-03-06,439,456,439,455,43142100
2019-03-07,439,439,439,439,0
2019-03-08,448,450,440,442,50118800
2019-03-11,468,474,440,447,111529800
2019-03-12,448,471,445,471,56659400
2019-03-13,464,468,448,453,99221100
2019-03-14,471,477,461,468,61455900
2019-03-15,463,471,461,471,30627900
2019-03-18,461,463,453,458,20874200
2019-03-19,463,468,455,466,18861200
2019-03-20,461,464,458,464,17269700
2019-03-21,458,468,456,468,28910600
2019-03-22,456,463,452,463,12361200
2019-03-25,434,453,431,452,68403800
2019-03-26,439,447,435,442,32397600
2019-03-27,435,445,431,445,27627500
2019-03-28,432,437,429,435,23189200
2019-03-29,432,440,432,439,39336400
2019-04-01,435,439,426,427,27290600
2019-04-02,427,434,423,427,36085600
2019-04-03,427,427,427,427,0
2019-04-04,411,426,408,424,78420500
2019-04-05,406,418,405,418,40829900
2019-04-08,406,414,403,411,48482300
2019-04-09,418,426,411,413,74323800
2019-04-10,419,421,411,421,30538500
2019-04-11,418,427,418,426,19145000
2019-04-12,419,424,418,421,15146200
2019-04-15,414,424,413,423,26778800
2019-04-16,421,424,413,414,59364200
2019-04-17,421,421,421,421,0
2019-04-18,418,429,416,429,46156300
2019-04-19,418,418,418,418,0
2019-04-22,410,418,406,418,33244100
2019-04-23,421,423,411,411,43700800
2019-04-24,421,424,419,423,32154700
2019-04-25,416,421,414,421,25000900
2019-04-26,416,418,413,416,15772900
2019-04-29,424,424,413,416,37698700
2019-04-30,421,432,419,424,52568500
2019-05-01,421,421,421,421,0
2019-05-02,434,439,424,429,95810800
2019-05-03,431,435,423,434,57040400
2019-05-06,424,427,416,419,36012900
2019-05-07,423,429,423,426,30469700
2019-05-08,418,423,418,423,38977100
2019-05-09,413,421,411,416,45523500
2019-05-10,427,430,422,422,45642400
2019-05-13,422,433,422,433,38541600
2019-05-14,417,422,412,422,46837700
2019-05-15,417,425,410,420,65521800
2019-05-16,391,417,391,415,41379600
2019-05-17,396,405,391,398,39289200
2019-05-20,396,410,395,400,26879400
2019-05-21,417,423,400,401,55039500
2019-05-22,417,422,408,417,18810700
2019-05-23,432,435,418,422,48887300
2019-05-24,425,435,425,432,31953100
2019-05-27,427,432,427,427,21527300
2019-05-28,428,433,425,427,68587800
2019-05-29,428,440,427,428,44624700
2019-05-30,428,428,428,428,0
2019-05-31,437,437,425,437,46433700
2019-06-03,437,437,437,437,0
2019-06-04,437,437,437,437,0
2019-06-05,437,437,437,437,0
2019-06-06,437,437,437,437,0
2019-06-07,437,437,437,437,0
2019-06-10,433,444,430,440,57316800
2019-06-11,432,437,427,437,24974300
2019-06-12,433,437,427,427,37842600
2019-06-13,430,432,427,430,24047900
2019-06-14,417,437,415,435,38776200
2019-06-17,415,420,410,420,17974500
2019-06-18,420,422,412,413,18426900
2019-06-20,427,435,427,432,32480900
2019-06-21,413,432,413,430,69385800
2019-06-24,420,422,413,418,14749600
2019-06-25,449,450,415,420,105687100
2019-06-26,459,464,449,455,166716100
2019-06-27,467,472,452,462,72833900
2019-06-28,459,469,454,467,27379100
2019-07-01,486,491,455,466,82112100
2019-07-02,479,487,466,486,61499600
2019-07-03,459,477,459,476,50270400
2019-07-04,479,484,466,472,78860000
2019-07-05,477,496,477,484,70628300
2019-07-08,466,477,464,477,25373500
2019-07-09,450,467,445,459,48345600
2019-07-10,454,459,449,450,39124800
