timestamp,open,high,low,close,volume
2020-12-15,1270,1270,1249,1253,1526600
2020-12-16,1257,1262,1257,1262,1435400
2020-12-17,1262,1270,1257,1262,5121600
2020-12-18,1279,1279,1257,1262,3389800
2020-12-21,1253,1291,1211,1274,3429800
2020-12-22,1249,1257,1240,1253,2187600
2020-12-23,1236,1245,1236,1245,97200
2020-12-28,1249,1249,1240,1245,2855800
2020-12-29,1236,1253,1232,1253,5989200
2020-12-30,1232,1236,1232,1236,48400
2021-01-04,1262,1262,1232,1236,3174800
2021-01-05,1257,1262,1240,1262,2925200
2021-01-06,1253,1266,1253,1262,1245000
2021-01-07,1279,1283,1257,1257,4303400
2021-01-08,1283,1287,1279,1279,2973000
2021-01-11,1304,1308,1262,1279,4221400
2021-01-12,1321,1338,1308,1308,3174400
2021-01-13,1334,1355,1321,1355,2429400
2021-01-14,1355,1359,1334,1338,4080400
2021-01-15,1355,1376,1342,1355,4727200
2021-01-18,1359,1367,1355,1355,3626600
2021-01-19,1465,1494,1359,1363,14295400
2021-01-20,1423,1482,1376,1469,5271200
2021-01-21,1393,1435,1393,1427,2792800
2021-01-22,1342,1397,1342,1397,608000
2021-01-25,1367,1380,1355,1355,4571400
2021-01-26,1338,1372,1338,1372,2483600
2021-01-27,1359,1359,1338,1346,2525600
2021-01-28,1321,1359,1321,1355,3861600
2021-01-29,1346,1355,1334,1338,3118000
2021-02-01,1334,1346,1329,1346,3668200
2021-02-02,1351,1351,1329,1338,4796400
2021-02-03,1372,1372,1355,1355,2215200
2021-02-04,1384,1393,1376,1376,3157000
2021-02-05,1397,1406,1389,1389,4415200
2021-02-08,1380,1406,1346,1401,2934600
2021-02-09,1380,1380,1363,1380,3155000
2021-02-10,1329,1380,1329,1380,4048200
2021-02-11,1325,1338,1321,1338,3242000
2021-02-15,1321,1329,1321,1329,3092800
2021-02-16,1338,1338,1325,1325,3184800
2021-02-17,1346,1346,1338,1338,5450400
2021-02-18,1338,1346,1334,1346,1126600
2021-02-19,1338,1346,1338,1338,2663200
2021-02-22,1342,1355,1338,1338,6688800
2021-02-23,1329,1351,1325,1342,2701600
2021-02-24,1329,1338,1329,1334,3482400
2021-02-25,1325,1338,1325,1334,2720400
2021-02-26,1317,1329,1308,1329,2118400
2021-03-01,1312,1317,1312,1312,3208400
2021-03-02,1287,1312,1287,1312,1322000
2021-03-03,1287,1300,1287,1295,2143800
2021-03-04,1329,1389,1291,1291,7758600
2021-03-05,1325,1346,1321,1334,4090200
2021-03-08,1362,1362,1328,1337,4179800
2021-03-09,1418,1418,1362,1362,6857800
2021-03-10,1401,1426,1384,1418,4450400
2021-03-12,1405,1414,1384,1405,5174800
2021-03-15,1388,1409,1388,1409,3767000
2021-03-16,1388,1396,1388,1388,3044400
2021-03-17,1388,1392,1384,1388,2924200
2021-03-18,1392,1392,1388,1388,3835800
2021-03-19,1388,1396,1384,1392,2911400
2021-03-22,1388,1392,1371,1392,4881000
2021-03-23,1401,1405,1388,1392,4078400
2021-03-24,1396,1422,1379,1401,26683200
2021-03-25,1354,1396,1337,1396,4021000
2021-03-26,1362,1375,1332,1354,5893000
2021-03-29,1443,1448,1362,1367,4732600
2021-03-30,1422,1461,1422,1443,3752600
2021-03-31,1422,1426,1392,1422,3423800
2021-04-01,1435,1435,1418,1422,3493200
2021-04-05,1435,1439,1426,1439,3303800
2021-04-06,1525,1537,1431,1439,6068600
2021-04-07,1537,1542,1525,1525,7562800
2021-04-08,1601,1601,1537,1542,4422000
2021-04-09,1589,1601,1580,1601,3293000
2021-04-12,1614,1614,1576,1580,5386000
2021-04-13,1589,1623,1584,1614,3207600
2021-04-14,1601,1606,1572,1589,4683600
2021-04-15,1593,1606,1584,1601,4108000
2021-04-16,1657,1665,1593,1597,6129800
2021-04-19,1597,1661,1597,1657,2897600
2021-04-20,1606,1610,1576,1597,4832600
2021-04-21,1619,1623,1584,1597,2987400
2021-04-22,1606,1614,1601,1610,3211600
2021-04-23,1631,1631,1584,1606,4485600
2021-04-26,1636,1644,1631,1631,3284800
2021-04-27,1619,1640,1559,1636,4116400
2021-04-28,1610,1619,1593,1619,3284800
2021-04-29,1674,1708,1601,1610,6166600
2021-04-30,1700,1708,1665,1674,9307600
2021-05-03,1759,1781,1695,1700,13941200
2021-05-04,1785,1789,1755,1755,4622000
2021-05-05,1764,1781,1759,1777,3150400
2021-05-06,1708,1764,1665,1764,5864200
2021-05-07,1712,1712,1644,1708,7393200
2021-05-10,1785,1832,1708,1712,7352800
2021-05-11,1841,1935,1785,1789,7103800
2021-05-17,1781,1845,1772,1845,6044400
2021-05-18,1764,1781,1755,1781,3047600
2021-05-19,1738,1764,1738,1764,4200400
2021-05-20,1815,1896,1734,1738,8503000
2021-05-21,1759,1815,1738,1815,5942600
2021-05-24,1712,1772,1712,1772,4280600
2021-05-25,1747,1747,1708,1717,5869400
2021-05-27,1777,1858,1742,1747,6376600
2021-05-28,1755,1777,1742,1777,3330000
2021-05-31,1700,1755,1695,1755,5237200
2021-06-02,1687,1708,1665,1708,4548600
2021-06-03,1687,1708,1674,1691,6948200
2021-06-04,1695,1695,1687,1691,3281200
2021-06-07,1691,1700,1665,1695,3417200
2021-06-08,1627,1691,1627,1691,3054200
2021-06-09,1576,1636,1576,1636,2946000
2021-06-10,1589,1665,1580,1580,6234800
2021-06-11,1576,1593,1563,1593,3393400
2021-06-14,1550,1584,1550,1580,3804000
2021-06-15,1537,1559,1516,1554,3601400
2021-06-16,1503,1542,1503,1542,3877200
2021-06-17,1525,1554,1503,1507,6522400
2021-06-18,1525,1567,1503,1529,10029400
2021-06-21,1525,1567,1503,1516,2469800
2021-06-22,1537,1537,1525,1529,3461600
2021-06-23,1486,1546,1486,1542,2081200
2021-06-24,1431,1495,1431,1495,1102200
2021-06-25,1439,1439,1405,1435,3252400
2021-06-28,1426,1503,1422,1452,6224600
2021-06-29,1414,1431,1409,1431,5634600
2021-06-30,1495,1529,1418,1418,3511800
2021-07-01,1478,1507,1469,1499,4396600
2021-07-02,1439,1486,1439,1486,1926600
2021-07-05,1414,1443,1401,1443,2387200
2021-07-06,1418,1418,1367,1418,4890200
2021-07-07,1461,1533,1418,1418,5366000
2021-07-08,1456,1482,1452,1461,3267600
2021-07-09,1461,1623,1422,1456,4290400
2021-07-12,1495,1520,1452,1473,2813800
2021-07-13,1473,1507,1452,1495,2348200
2021-07-14,1465,1478,1435,1478,4536600
2021-07-15,1465,1465,1448,1456,2296200
2021-07-16,1456,1465,1435,1461,2231800
2021-07-19,1418,1461,1405,1456,2091600
2021-07-21,1379,1422,1345,1422,1973200
