timestamp,open,high,low,close,volume
2019-01-01,876,876,876,876,0
2019-01-02,871,876,843,852,206500
2019-01-03,866,880,866,866,1636200
2019-01-04,862,866,852,866,10300
2019-01-07,852,880,848,862,9300
2019-01-08,843,852,838,852,73600
2019-01-09,852,890,843,843,38700
2019-01-10,815,857,815,852,22200
2019-01-11,819,843,787,824,40400
2019-01-14,834,838,819,834,27000
2019-01-15,824,838,824,838,39900
2019-01-16,815,843,810,824,20900
2019-01-17,805,819,805,819,86300
2019-01-18,801,819,801,819,24100
2019-01-21,777,824,768,801,367000
2019-01-22,768,787,763,787,974400
2019-01-23,759,782,749,768,158800
2019-01-24,749,768,740,768,376600
2019-01-25,754,759,745,749,620800
2019-01-28,763,791,754,754,1614000
2019-01-29,763,782,763,768,1070700
2019-01-30,749,773,745,773,610400
2019-01-31,754,768,749,749,282300
2019-02-01,754,768,749,759,84900
2019-02-04,768,777,759,759,770900
2019-02-05,768,768,768,768,0
2019-02-06,763,773,763,773,1732500
2019-02-07,768,773,768,768,143000
2019-02-08,768,773,768,773,1307500
2019-02-11,768,777,768,777,708200
2019-02-12,768,773,763,768,117800
2019-02-13,773,791,768,787,296200
2019-02-14,810,824,768,782,687300
2019-02-15,805,815,796,815,190400
2019-02-18,796,824,782,805,142600
2019-02-19,791,796,787,796,4532500
2019-02-20,787,791,787,791,3213000
2019-02-21,777,824,768,787,322400
2019-02-22,782,796,768,777,388800
2019-02-25,768,796,768,782,447200
2019-02-26,768,782,768,773,166700
2019-02-27,777,777,768,768,58700
2019-02-28,773,782,773,782,55300
2019-03-01,773,796,773,796,29900
2019-03-04,796,796,782,787,79500
2019-03-05,801,801,796,796,429700
2019-03-06,834,834,796,801,487000
2019-03-07,834,834,834,834,0
2019-03-08,843,848,834,834,196500
2019-03-11,857,862,843,843,174900
2019-03-12,852,862,843,862,173500
2019-03-13,848,862,848,862,135400
2019-03-14,838,857,838,852,101200
2019-03-15,857,857,834,843,355800
2019-03-18,843,857,834,848,57700
2019-03-19,834,843,834,843,505700
2019-03-20,819,838,815,834,110100
2019-03-21,824,824,815,819,916200
2019-03-22,819,829,815,815,9900
2019-03-25,815,843,805,838,646000
2019-03-26,819,834,815,815,20900
2019-03-27,819,819,810,810,28000
2019-03-28,843,848,838,843,1858400
2019-03-29,843,843,838,843,39000
2019-04-01,843,848,834,848,5900
2019-04-02,834,843,834,843,6000
2019-04-03,834,834,834,834,0
2019-04-04,857,857,834,838,226900
2019-04-05,857,857,848,852,115600
2019-04-08,857,866,843,843,382800
2019-04-09,862,871,862,866,60800
2019-04-10,862,862,843,862,199100
2019-04-11,852,862,843,862,18900
2019-04-12,857,866,852,862,158200
2019-04-15,862,862,857,862,142100
2019-04-16,862,866,862,866,2400
2019-04-17,862,862,862,862,0
2019-04-18,848,862,843,862,65800
2019-04-19,848,848,848,848,0
2019-04-22,852,852,848,848,7500
2019-04-23,848,862,848,852,26500
2019-04-24,852,862,848,852,1322200
2019-04-25,848,862,848,852,33600
2019-04-26,852,880,848,852,2158700
2019-04-29,852,876,848,871,502100
2019-04-30,960,960,852,871,720000
2019-05-01,960,960,960,960,0
2019-05-02,913,955,908,955,115500
2019-05-03,908,932,908,908,92700
2019-05-06,946,1011,908,918,625000
2019-05-07,922,951,922,951,28300
2019-05-08,922,941,913,927,22300
2019-05-09,871,922,848,922,2659400
2019-05-10,871,890,866,890,192500
2019-05-13,876,876,871,871,55100
2019-05-14,880,880,871,876,15800
2019-05-15,876,899,866,880,59900
2019-05-16,862,890,852,876,17300
2019-05-17,871,885,862,862,26200
2019-05-20,876,890,876,876,15200
2019-05-21,862,876,852,876,45200
2019-05-22,857,866,857,862,4600
2019-05-23,857,857,843,857,118500
2019-05-24,852,862,843,857,43400
2019-05-27,864,864,859,864,22300
2019-05-28,864,874,859,864,72600
2019-05-29,874,906,855,869,161600
2019-05-30,874,874,874,874,0
2019-05-31,874,892,864,874,123600
2019-06-03,874,874,874,874,0
2019-06-04,874,874,874,874,0
2019-06-05,874,874,874,874,0
2019-06-06,874,874,874,874,0
2019-06-07,874,874,874,874,0
2019-06-10,874,902,864,874,329300
2019-06-11,859,869,812,869,184800
2019-06-12,845,864,836,859,292200
2019-06-13,841,845,817,845,236400
2019-06-14,836,836,831,836,49500
2019-06-17,836,836,822,836,1212000
2019-06-18,859,859,831,850,194300
2019-06-19,845,859,841,859,108600
2019-06-20,845,845,841,845,173000
2019-06-21,845,855,836,841,314000
2019-06-24,845,855,841,845,612300
2019-06-25,836,845,836,845,65400
2019-06-26,841,845,836,845,8800
2019-06-27,864,864,836,836,17200
2019-06-28,859,906,827,864,733500
2019-07-01,859,869,855,859,1950300
2019-07-02,850,859,850,859,23200
2019-07-03,836,859,831,859,147800
2019-07-04,831,883,827,855,11600
2019-07-05,855,859,831,831,233900
2019-07-08,864,874,845,874,20400
2019-07-09,869,874,845,864,49800
2019-07-10,845,869,845,869,108100
2019-07-11,855,892,855,855,70700
2019-07-12,855,859,850,850,28800
2019-07-15,883,892,850,850,145200
2019-07-16,874,902,855,883,26800
2019-07-17,878,892,845,874,32400
2019-07-18,878,883,878,883,11600
2019-07-19,883,888,878,878,17200
2019-07-22,878,888,878,888,50800
2019-07-23,874,888,874,883,35600
2019-07-24,869,874,869,874,20200
2019-07-25,883,888,874,888,17400
2019-07-26,874,883,874,883,51900
2019-07-29,850,874,850,874,13200
2019-07-30,869,869,855,855,252900
2019-07-31,902,902,850,850,48000
2019-08-01,845,902,845,902,10600
2019-08-02,892,892,850,850,49600
2019-08-05,864,892,845,892,23200
2019-08-06,864,864,845,864,39200
2019-08-07,864,888,859,864,653600
2019-08-08,864,869,864,869,30300
2019-08-09,864,864,855,864,159300
2019-08-12,798,864,798,855,83400
2019-08-13,841,845,827,845,110500
2019-08-14,841,845,841,841,81100
2019-08-15,855,855,831,841,367200
2019-08-16,855,859,827,827,13000
2019-08-19,841,855,836,855,59500
2019-08-20,827,831,827,827,85500
2019-08-21,831,831,822,827,713400
