timestamp,open,high,low,close,volume
2024-04-01,139,171,116,152,700397300
2024-04-02,108,147,105,139,195863000
2024-04-03,100,113,96,99,76796400
2024-04-04,116,117,100,100,114071800
2024-04-05,113,125,110,116,25798900
2024-04-16,111,116,106,115,23738500
2024-04-17,111,113,109,112,24029900
2024-04-18,131,148,110,112,338272800
2024-04-19,120,133,118,133,62234300
2024-04-22,124,127,120,120,23863400
2024-04-23,123,126,120,125,14450300
2024-04-24,122,129,108,123,63346200
2024-04-25,113,126,111,124,43274600
2024-04-26,109,113,106,113,22105600
2024-04-29,112,116,108,108,12014400
2024-04-30,113,116,112,112,7558800
2024-05-02,103,115,101,113,26948300
2024-05-03,105,107,103,104,20845200
2024-05-06,123,125,105,106,78954800
2024-05-07,123,131,120,124,27617200
2024-05-08,136,136,125,125,51280000
2024-05-13,133,139,128,136,21979200
2024-05-14,142,143,135,135,49316900
2024-05-15,142,146,139,142,34060300
2024-05-16,142,145,133,143,23171200
2024-05-17,141,186,141,142,107619100
2024-05-20,168,169,141,142,72201600
2024-05-21,150,171,146,171,32761600
2024-05-22,153,162,143,143,29619800
2024-05-27,156,158,152,153,13922400
2024-05-28,163,166,156,158,37863800
2024-05-29,166,175,163,165,68887700
2024-05-30,160,167,154,166,13584600
2024-05-31,120,166,120,159,34941300
2024-06-03,150,153,122,134,56592700
2024-06-04,156,164,145,151,39977700
2024-06-05,154,163,150,157,18869500
2024-06-06,150,159,148,154,19519400
2024-06-07,140,155,131,150,34355900
2024-06-10,153,153,131,141,23473300
2024-06-11,172,172,150,155,47139800
2024-06-12,175,185,169,172,54676000
2024-06-13,164,178,162,176,14495100
2024-06-14,161,168,156,165,14033800
2024-06-19,153,161,152,160,9669600
2024-06-20,153,160,151,153,5248200
2024-06-21,158,159,153,153,4616400
2024-06-24,184,184,160,160,33600000
2024-06-25,177,193,172,182,25070100
2024-06-26,176,178,172,176,4227100
2024-06-27,174,182,173,177,8624200
2024-06-28,178,178,172,175,4507900
2024-07-01,170,182,170,178,7513900
2024-07-02,170,172,167,170,4066600
2024-07-03,177,178,171,171,8385100
2024-07-04,176,181,174,176,5850200
2024-07-05,171,177,171,177,4326500
2024-07-08,174,177,171,173,4331000
2024-07-09,173,178,171,174,4094400
2024-07-10,175,178,173,173,3900100
2024-07-11,174,176,173,175,2402400
2024-07-12,175,181,173,174,7963300
2024-07-15,175,178,175,175,1905600
2024-07-16,175,180,175,175,5776800
2024-07-17,176,180,171,175,8208400
2024-07-18,176,179,174,175,3487500
2024-07-19,175,177,174,176,2081600
2024-07-22,177,179,175,175,2631900
2024-07-23,188,204,177,177,57201000
2024-07-24,169,197,169,185,27508000
2024-07-25,173,178,168,170,6528500
2024-07-26,176,180,172,173,4595800
2024-07-29,174,180,174,177,3193200
