timestamp,open,high,low,close,volume
2022-01-25,320,320,290,320,922992200
2022-01-26,298,350,298,330,402828100
2022-01-27,302,308,278,278,256881600
2022-01-28,298,308,292,302,79465700
2022-01-31,288,302,284,298,89356000
2022-02-02,304,306,284,292,92766200
2022-02-03,298,308,296,304,28448000
2022-02-04,296,300,290,298,19120700
2022-02-07,292,302,292,298,28391200
2022-02-08,286,296,282,294,41175400
2022-02-09,282,292,280,286,21361400
2022-02-10,272,284,264,282,66097300
2022-02-11,272,278,264,272,15467800
2022-02-14,264,272,260,272,26024900
2022-02-15,270,278,262,264,26986100
2022-02-16,278,292,272,272,49914500
2022-02-17,268,280,266,278,34094700
2022-02-18,266,272,262,266,12144400
2022-02-21,266,274,264,266,12029100
2022-02-22,258,268,258,262,42181000
2022-02-23,260,264,256,258,22939900
2022-02-24,260,268,252,260,48494400
2022-02-25,266,272,258,260,31527300
2022-03-01,268,270,262,266,15186200
2022-03-02,260,270,260,268,16496800
2022-03-04,256,262,254,260,43017200
2022-03-07,250,258,240,258,62005400
2022-03-08,240,254,238,252,30773700
2022-03-09,250,256,242,242,15512200
2022-03-10,248,256,248,252,5219700
2022-03-11,246,252,246,248,7925200
2022-03-14,246,246,246,246,0
2022-03-15,250,258,248,256,7812700
2022-03-16,248,254,246,252,5120500
2022-03-17,260,274,248,248,46949100
2022-03-18,260,268,256,260,15687100
2022-03-21,256,266,256,260,10978400
2022-03-22,258,262,254,262,6743500
2022-03-23,276,282,254,262,48646000
2022-03-24,270,278,268,276,22566800
2022-03-25,270,276,264,274,20744000
2022-03-28,262,274,262,272,17507100
2022-03-29,260,266,258,264,6301600
2022-03-30,258,264,256,260,22491700
2022-03-31,260,268,258,258,23688700
2022-04-01,256,266,256,260,15202600
2022-04-04,248,260,246,258,38705300
2022-04-05,236,252,234,250,44290200
2022-04-06,240,244,224,236,51590500
2022-04-07,234,248,234,240,39103900
2022-04-08,226,238,226,234,35547700
2022-04-11,212,232,212,232,45706400
2022-04-12,202,218,198,212,64033300
2022-04-13,208,212,200,204,57124500
2022-04-14,216,238,204,210,109669400
2022-04-18,270,270,216,220,396171700
2022-04-19,276,296,262,270,333543600
2022-04-20,278,288,268,278,150003800
2022-04-21,264,290,262,280,140276700
2022-04-22,254,270,252,262,81118700
2022-04-25,248,262,238,254,73175600
2022-04-26,232,258,232,250,123434500
2022-04-27,220,234,218,226,64116200
2022-04-28,234,246,220,220,83378300
2022-05-09,218,236,218,236,53767900
2022-05-10,204,218,204,216,70194000
2022-05-11,204,208,200,204,55251300
2022-05-12,190,206,190,206,45732700
2022-05-13,204,204,177,190,78019000
2022-05-17,198,210,198,202,58194000
2022-05-18,202,206,198,198,48716400
2022-05-19,196,204,190,204,60362500
2022-05-20,198,202,195,197,45472800
2022-05-23,199,214,197,200,72939600
2022-05-24,193,202,193,200,41440300
2022-05-25,187,196,185,193,33457700
2022-05-27,200,204,188,188,76465000
2022-05-30,198,204,196,202,47469700
2022-05-31,195,202,193,200,45843000
2022-06-02,188,197,188,195,46443900
2022-06-03,186,192,185,188,41279900
2022-06-06,180,189,180,187,47634300
2022-06-07,184,184,180,182,36411500
2022-06-08,190,195,185,185,51956100
2022-06-09,189,197,186,192,59760200
2022-06-10,179,190,178,190,49852200
2022-06-13,167,177,167,177,38523000
2022-06-14,160,167,158,167,40001000
2022-06-15,150,164,150,160,52951300
2022-06-16,155,181,151,151,204178200
2022-06-17,155,162,150,150,62856800
2022-06-20,150,156,145,156,70069700
2022-06-21,157,162,149,151,54765300
2022-06-22,152,167,151,157,74420300
2022-06-23,157,162,153,153,60836200
2022-06-24,165,176,157,158,148850800
2022-06-27,156,169,156,167,71538800
2022-06-28,154,161,151,156,52923000
2022-06-29,152,158,151,154,38496100
2022-06-30,142,156,142,153,74934000
2022-07-01,133,143,133,143,44265400
2022-07-04,128,134,124,134,66255500
2022-07-05,135,138,130,130,67450000
2022-07-06,139,144,135,137,97882400
2022-07-07,138,145,138,144,45332500
2022-07-08,141,146,139,139,79021500
2022-07-11,139,144,137,144,44436200
2022-07-12,138,142,136,139,38569700
