timestamp,open,high,low,close,volume
2021-02-01,124,124,124,124,85266
2021-02-02,166,166,166,166,95615
2021-02-03,224,224,224,224,184819
2021-02-04,279,279,279,279,1012175
2021-02-05,348,348,348,348,7143270
2021-02-08,436,436,436,436,1594530
2021-02-09,524,542,520,542,83243698
2021-02-10,645,653,524,542,153523388
2021-02-11,645,645,645,645,0
2021-02-15,805,805,649,649,73387983
2021-02-16,996,1005,871,871,87281374
2021-02-17,996,996,996,996,0
2021-02-18,996,996,996,996,0
2021-02-19,1009,1098,929,1013,381237368
2021-02-22,1076,1133,978,1009,208765449
2021-02-23,1307,1342,1071,1085,306153839
2021-02-24,1587,1631,1311,1325,249484519
2021-02-25,1947,1956,1645,1645,192118779
2021-02-26,1814,2294,1814,1956,117921326
2021-03-01,1689,1822,1689,1756,26261546
2021-03-02,1974,2009,1573,1573,501355265
2021-03-03,1867,2142,1840,2045,176078312
2021-03-04,1796,1965,1769,1867,67858029
2021-03-05,1756,1902,1725,1796,45907957
2021-03-08,1756,1814,1676,1778,45431791
2021-03-09,2018,2018,1751,1756,190152248
2021-03-10,1991,2045,1911,2045,87375078
2021-03-12,2178,2196,1982,1982,83362824
2021-03-15,2356,2356,2178,2178,82873159
2021-03-16,2356,2356,2356,2356,0
2021-03-17,2356,2356,2356,2356,0
2021-03-18,2356,2356,2356,2356,0
2021-03-19,2356,2356,2356,2356,0
2021-03-22,2356,2356,2356,2356,0
2021-03-23,2356,2356,2356,2356,0
2021-03-24,2356,2356,2356,2356,0
2021-03-25,2356,2356,2356,2356,0
2021-03-26,2356,2356,2356,2356,0
2021-03-29,2356,2356,2356,2356,0
2021-03-30,2356,2356,2356,2356,0
2021-03-31,2356,2356,2356,2356,0
2021-04-01,2356,2356,2356,2356,0
2021-04-05,2356,2356,2356,2356,0
2021-04-06,2320,2418,2196,2311,93673444
2021-04-07,2400,2489,2320,2356,64476950
2021-04-08,2418,2489,2400,2400,27900959
2021-04-09,2569,2729,2427,2445,121937630
2021-04-12,2720,2765,2587,2649,73400694
2021-04-13,2996,3014,2747,2756,101741148
2021-04-14,3200,3467,3040,3085,144839582
2021-04-15,3387,3423,2978,3245,114433158
2021-04-16,3369,3467,3298,3423,43582474
