timestamp,open,high,low,close,volume
2019-01-01,109,109,109,109,0
2019-01-02,103,109,101,104,825400
2019-01-03,103,107,103,107,406300
2019-01-04,103,107,101,107,390500
2019-01-07,107,121,103,106,5631700
2019-01-08,107,112,105,106,1478200
2019-01-09,108,111,106,108,924300
2019-01-10,109,111,107,109,389400
2019-01-11,108,111,107,109,1428200
2019-01-14,107,109,105,108,457100
2019-01-15,107,108,106,107,295500
2019-01-16,108,108,106,107,117300
2019-01-17,106,109,106,108,336400
2019-01-18,104,106,103,106,381700
2019-01-21,108,108,103,104,573100
2019-01-22,106,111,106,109,214600
2019-01-23,107,108,105,105,152000
2019-01-24,108,108,105,107,85000
2019-01-25,106,108,104,108,105700
2019-01-28,105,108,105,107,93600
2019-01-29,104,107,104,105,208000
2019-01-30,103,106,103,106,65900
2019-01-31,107,108,99,99,658500
2019-02-01,108,110,104,107,1234300
2019-02-04,110,112,108,108,486300
2019-02-05,110,110,110,110,0
2019-02-06,121,138,105,105,10582700
2019-02-07,119,128,112,122,4536300
2019-02-08,110,121,99,119,1843000
2019-02-11,111,111,109,110,271200
2019-02-12,108,110,107,110,333500
2019-02-13,107,111,106,108,513800
2019-02-14,109,113,105,106,1223900
2019-02-15,109,110,106,109,222000
2019-02-18,108,109,106,107,15700
2019-02-19,108,110,108,108,179900
2019-02-20,107,110,107,108,201900
2019-02-21,107,108,107,107,28100
2019-02-22,108,109,105,107,573700
2019-02-25,106,111,103,111,534800
2019-02-26,108,108,105,107,164400
2019-02-27,108,108,106,108,153100
2019-02-28,103,107,103,106,435200
2019-03-01,103,104,96,103,500000
2019-03-04,104,106,103,104,175900
2019-03-05,103,104,101,104,72000
2019-03-06,104,105,102,103,31900
2019-03-07,104,104,104,104,0
2019-03-08,101,103,101,102,216700
2019-03-11,101,101,99,101,166900
2019-03-12,100,101,100,100,28200
2019-03-13,102,102,99,101,49800
2019-03-14,101,104,100,104,26700
2019-03-15,100,103,100,100,25700
2019-03-18,101,102,100,100,53300
2019-03-19,100,102,100,100,36800
2019-03-20,101,104,100,104,36600
2019-03-21,100,104,98,104,128000
2019-03-22,100,100,99,100,57200
2019-03-25,99,101,99,100,16400
2019-03-26,100,101,100,100,118300
2019-03-27,100,100,100,100,0
2019-03-28,100,102,100,101,36800
2019-03-29,96,100,91,99,158100
2019-04-01,96,103,93,99,69800
2019-04-02,98,99,98,99,12200
2019-04-03,98,98,98,98,0
2019-04-04,96,98,95,98,103000
2019-04-05,95,99,93,98,175900
2019-04-08,95,97,92,95,41500
2019-04-09,95,96,92,96,31800
2019-04-10,94,95,94,94,12300
2019-04-11,95,95,95,95,1000
2019-04-12,93,94,93,94,184900
2019-04-15,95,95,94,94,93400
2019-04-16,95,95,94,95,11300
2019-04-17,95,95,95,95,0
2019-04-18,95,95,94,95,9400
2019-04-19,95,95,95,95,0
2019-04-22,96,96,93,95,41600
2019-04-23,93,96,93,96,4900
2019-04-24,94,95,93,93,181900
2019-04-25,94,96,93,94,92600
2019-04-26,95,95,92,94,100300
2019-04-29,96,96,94,95,41400
2019-04-30,96,96,95,95,58600
2019-05-01,96,96,96,96,0
2019-05-02,94,96,93,96,72300
2019-05-03,93,94,93,94,12900
2019-05-06,91,95,91,94,43800
2019-05-07,93,93,91,91,55700
2019-05-08,93,94,91,92,28400
