timestamp,open,high,low,close,volume
2019-01-01,1522,1522,1522,1522,0
2019-01-02,1612,1612,1612,1612,10000
2019-01-03,1691,1691,1550,1550,12300
2019-01-04,1644,1644,1644,1644,2000
2019-01-07,1569,1573,1569,1573,5200
2019-01-08,1652,1652,1569,1569,1600
2019-01-09,1699,1699,1573,1573,4200
2019-01-10,1966,1966,1699,1699,600
2019-01-11,1475,1612,1475,1612,319500
2019-01-14,1475,1475,1337,1435,52800
2019-01-15,1443,1447,1416,1416,16100
2019-01-16,1439,1463,1416,1416,2800
2019-01-17,1447,1530,1432,1530,3400
2019-01-18,1447,1455,1416,1424,7400
2019-01-21,1432,1447,1416,1447,6500
2019-01-22,1526,1526,1416,1416,8000
2019-01-23,1479,1479,1479,1479,800
2019-01-24,1506,1514,1416,1514,3600
2019-01-25,1506,1506,1416,1416,2800
2019-01-28,1491,1491,1471,1471,2800
2019-01-29,1447,1494,1447,1463,1300
2019-01-30,1447,1447,1447,1447,1700
2019-01-31,1455,1455,1432,1447,4900
2019-02-01,1463,1463,1416,1432,4300
2019-02-04,1455,1455,1455,1455,2300
2019-02-05,1455,1455,1455,1455,0
2019-02-06,1455,1463,1455,1463,2900
2019-02-07,1447,1447,1447,1447,400
2019-02-08,1510,1514,1439,1514,2200
2019-02-11,1510,1510,1471,1471,3100
2019-02-12,1487,1487,1432,1471,1900
2019-02-13,1487,1487,1487,1487,1600
2019-02-14,1494,1494,1494,1494,2600
2019-02-15,1494,1494,1416,1455,10700
2019-02-18,1447,1447,1416,1420,3600
2019-02-19,1447,1471,1447,1471,1000
2019-02-20,1479,1479,1416,1416,4700
2019-02-21,1479,1479,1479,1479,0
2019-02-22,1475,1475,1475,1475,500
2019-02-25,1475,1475,1475,1475,0
2019-02-26,1475,1475,1475,1475,0
2019-02-27,1494,1494,1455,1455,2100
2019-02-28,1498,1498,1455,1455,5200
2019-03-01,1498,1498,1498,1498,0
2019-03-04,1408,1463,1408,1463,10700
2019-03-05,1424,1483,1424,1483,2100
2019-03-06,1443,1455,1443,1455,1100
2019-03-07,1443,1443,1443,1443,0
2019-03-08,1408,1416,1408,1416,1000
2019-03-11,1408,1408,1408,1408,0
2019-03-12,1408,1408,1408,1408,600
2019-03-13,1408,1408,1408,1408,0
2019-03-14,1408,1408,1408,1408,0
2019-03-15,1408,1408,1408,1408,0
2019-03-18,1408,1408,1408,1408,0
2019-03-19,1455,1455,1455,1455,600
2019-03-20,1479,1479,1479,1479,100
2019-03-21,1479,1479,1479,1479,0
2019-03-22,1479,1479,1479,1479,0
2019-03-25,1479,1479,1479,1479,0
