timestamp,open,high,low,close,volume
2021-03-10,27,27,27,27,134500
2021-03-12,36,36,36,36,214000
2021-03-15,49,49,49,49,1046000
2021-03-16,61,61,61,61,2621500
2021-03-17,76,76,76,76,2700000
2021-03-18,95,95,95,95,993000
2021-03-19,118,118,109,118,369562500
2021-03-22,110,146,110,138,19929000
2021-03-23,103,103,103,103,2115000
2021-03-24,96,96,96,96,844000
2021-03-25,120,120,90,90,376940000
2021-03-26,112,137,112,126,251806000
2021-03-29,105,116,105,113,42479500
2021-03-30,98,102,98,98,17361500
2021-03-31,91,97,91,97,15686000
2021-04-01,99,103,85,91,74315500
2021-04-05,112,118,96,102,46577500
2021-04-06,105,115,105,112,23421000
2021-04-07,98,105,98,105,12589500
2021-04-08,96,100,92,98,12478000
2021-04-09,100,102,95,95,11677500
2021-04-12,106,108,99,100,27086500
2021-04-13,100,105,99,105,11427500
2021-04-14,100,100,94,100,4119500
2021-04-15,99,110,96,110,5367000
2021-04-16,96,102,95,101,7079500
2021-04-19,94,96,92,96,3346500
2021-04-20,94,97,94,94,2602500
2021-04-21,98,98,90,94,3567000
2021-04-22,92,98,92,98,2974500
2021-04-23,91,95,88,92,1862500
2021-04-26,90,95,90,91,1219500
2021-04-27,91,91,86,90,1655500
2021-04-28,89,92,88,92,765000
2021-04-29,83,89,83,89,6800000
2021-04-30,79,83,79,83,3358500
2021-05-03,94,96,74,79,9257500
2021-05-04,88,94,88,94,3367000
2021-05-05,82,86,82,86,3832500
2021-05-06,82,85,81,82,718500
2021-05-07,80,82,79,82,2118500
2021-05-10,76,81,76,79,2598000
2021-05-11,76,80,76,76,1427500
2021-05-17,70,76,70,76,6737000
2021-05-18,66,70,66,70,5953000
2021-05-19,61,65,61,65,6869000
2021-05-20,57,61,57,61,10403000
2021-05-21,61,66,54,57,14898000
2021-05-24,76,76,59,61,107406000
2021-05-25,94,95,76,84,263396500
2021-05-27,101,113,88,95,263647500
2021-05-28,126,126,97,100,363582000
2021-05-31,157,157,126,138,287265000
2021-06-02,162,183,147,158,275951500
2021-06-03,181,189,160,162,286245000
2021-06-04,183,199,180,182,210586000
2021-06-07,182,193,177,179,183353000
2021-06-08,170,186,170,182,63458500
2021-06-09,159,170,159,170,9520000
2021-06-10,148,148,148,148,8388000
2021-06-11,138,138,138,138,6233500
2021-06-14,129,153,129,129,245566000
2021-06-15,132,141,120,122,274265500
2021-06-16,123,137,123,136,238520000
2021-06-17,115,127,115,123,106142500
2021-06-18,108,115,107,115,294823500
2021-06-21,101,106,101,105,94488000
2021-06-22,108,110,94,100,79039000
2021-06-23,126,128,108,109,213919000
2021-06-24,121,138,120,127,216943500
2021-06-25,121,127,114,121,158410500
2021-06-28,116,125,113,121,96350000
2021-06-29,108,116,108,116,35013000
2021-06-30,107,111,101,101,135260000
2021-07-01,100,111,100,107,180202500
2021-07-02,94,103,94,100,155394000
2021-07-05,96,100,89,94,155442000
2021-07-06,90,96,90,96,134410500
2021-07-07,92,93,86,90,116329500
2021-07-08,89,93,89,93,165995000
2021-07-09,106,111,89,89,640770000
2021-07-12,99,107,99,106,58669500
2021-07-13,98,103,92,98,312826000
2021-07-14,98,100,91,98,157946000
2021-07-15,93,100,91,98,184013000
2021-07-16,89,95,86,93,277532000
2021-07-19,86,91,85,88,107968500
2021-07-21,83,90,83,85,114383500
2021-07-22,84,87,83,83,151238000
2021-07-23,87,88,84,85,163094000
2021-07-26,90,91,86,88,192293500
2021-07-27,98,105,90,90,288155000
2021-07-28,123,123,98,99,515649500
2021-07-29,115,141,115,133,469578000
2021-07-30,107,111,107,111,142526500
2021-08-02,102,109,100,100,180854500
2021-08-03,111,120,101,102,419586000
2021-08-04,107,116,106,111,259840000
2021-08-05,104,112,100,107,166403000
2021-08-06,98,107,97,104,184735500
2021-08-09,91,98,91,98,157061500
2021-08-10,85,85,85,85,86074000
2021-08-12,80,85,80,85,43240000
2021-08-13,74,74,74,74,87113000
2021-08-16,69,71,69,69,288998500
2021-08-18,86,86,64,65,440102500
2021-08-19,98,106,80,90,697357000
2021-08-20,96,105,91,96,306965000
2021-08-23,119,119,90,94,434411500
2021-08-24,148,148,116,116,355370500
2021-08-25,176,185,149,156,733632500
2021-08-26,220,220,170,170,365311500
2021-08-27,210,270,205,225,474820500
2021-08-30,206,244,200,209,117262500
2021-08-31,210,230,196,206,277352000
2021-09-01,200,220,200,220,153913000
2021-09-02,221,250,194,200,457318500
2021-09-03,240,260,217,221,393838000
2021-09-06,251,268,240,241,307474500
2021-09-07,253,262,249,252,131898500
2021-09-08,246,257,236,255,178818000
2021-09-09,235,250,229,246,194059000
2021-09-10,251,252,219,235,163668000
2021-09-13,258,260,246,253,237948500
2021-09-14,281,322,253,258,330934000
2021-09-15,281,281,281,281,0
2021-09-16,267,278,262,278,192264500
2021-09-17,265,269,252,269,161146500
2021-09-20,268,280,260,265,154227500
2021-09-21,270,272,265,266,159896500
2021-09-22,273,277,267,270,158320500
2021-09-23,277,278,273,273,73738500
2021-09-24,284,292,273,274,141561500
2021-09-27,279,286,274,285,140022500
2021-09-28,280,281,261,281,119240000
2021-09-29,278,281,269,280,142978000
2021-09-30,285,286,273,279,180647500
