timestamp,open,high,low,close,volume
2019-01-01,56,56,56,56,0
2019-01-02,58,59,55,57,26300
2019-01-03,59,59,58,59,54000
2019-01-04,59,60,56,59,96500
2019-01-07,58,60,57,60,51100
2019-01-08,58,59,57,59,13900
2019-01-09,58,60,53,60,630500
2019-01-10,56,60,53,57,442200
2019-01-11,55,58,54,56,340500
2019-01-14,54,57,53,56,92900
2019-01-15,58,59,54,54,696900
2019-01-16,58,59,57,58,37500
2019-01-17,56,59,56,59,94200
2019-01-18,54,58,54,57,223200
2019-01-21,58,58,54,54,86400
2019-01-22,57,58,54,57,13200
2019-01-23,54,58,53,58,519800
2019-01-24,54,57,53,53,531600
2019-01-25,54,54,54,54,30200
2019-01-28,54,56,50,54,328900
2019-01-29,54,55,52,54,25300
2019-01-30,54,55,53,54,275200
2019-01-31,54,57,53,55,30300
2019-02-01,55,57,54,54,52800
2019-02-04,55,55,55,55,20000
2019-02-05,55,55,55,55,0
2019-02-06,55,57,55,55,111800
2019-02-07,56,56,54,55,2600
2019-02-08,54,56,54,56,9200
2019-02-11,55,55,55,55,52900
2019-02-12,55,55,55,55,2100
2019-02-13,56,57,53,55,18700
2019-02-14,56,56,51,56,52200
2019-02-15,53,55,53,55,350900
2019-02-18,53,55,51,53,225000
2019-02-19,55,55,53,55,177600
2019-02-20,55,57,54,54,19400
2019-02-21,55,57,54,55,15800
2019-02-22,55,55,54,55,9500
2019-02-25,55,55,55,55,100
2019-02-26,55,55,54,55,17700
2019-02-27,55,56,51,51,14000
2019-02-28,55,55,55,55,300
2019-03-01,54,55,54,55,7600
2019-03-04,54,55,54,55,171800
2019-03-05,53,55,53,55,551500
2019-03-06,54,55,52,53,63700
2019-03-07,54,54,54,54,0
2019-03-08,63,66,54,54,408800
2019-03-11,57,62,55,62,57200
2019-03-12,53,57,52,57,794000
2019-03-13,53,55,52,53,162600
2019-03-14,53,57,51,55,166600
2019-03-15,54,54,51,53,44900
2019-03-18,54,56,53,54,128300
2019-03-19,54,55,52,54,37000
2019-03-20,54,54,54,54,15100
2019-03-21,54,55,53,53,4300
2019-03-22,54,54,52,54,3500
2019-03-25,54,55,53,55,11800
2019-03-26,53,55,51,51,77300
2019-03-27,54,55,54,54,56700
2019-03-28,52,54,52,54,25300
2019-03-29,52,54,51,52,73400
2019-04-01,54,54,51,52,33200
2019-04-02,54,54,54,54,256400
2019-04-03,54,54,54,54,0
2019-04-04,54,54,53,53,20600
2019-04-05,53,54,51,54,2600
2019-04-08,51,53,50,51,416900
2019-04-09,51,54,50,51,219500
2019-04-10,53,53,52,52,12400
2019-04-11,53,53,52,53,37500
2019-04-12,53,54,50,53,329000
2019-04-15,52,53,51,53,13500
2019-04-16,51,53,51,52,20500
2019-04-17,51,51,51,51,0
2019-04-18,51,53,51,53,7300
2019-04-19,51,51,51,51,0
2019-04-22,52,53,52,53,17200
2019-04-23,52,56,51,56,82400
2019-04-24,53,53,53,53,16700
2019-04-25,52,53,51,52,129400
2019-04-26,52,53,50,52,147800
2019-04-29,50,51,50,51,620500
2019-04-30,51,51,50,51,66300
2019-05-01,51,51,51,51,0
2019-05-02,51,51,51,51,13100
2019-05-03,50,51,50,51,152000
2019-05-06,50,51,50,51,98000
2019-05-07,51,51,50,51,8000
2019-05-08,51,51,50,51,4800
2019-05-09,50,51,50,51,28700
2019-05-10,50,50,50,50,21000
2019-05-13,51,51,50,50,3700
2019-05-14,50,53,50,51,315200
2019-05-15,50,53,50,52,257200
2019-05-16,51,51,50,50,1700
2019-05-17,51,51,51,51,0
2019-05-20,52,53,51,51,176400
2019-05-21,50,52,50,52,325100
2019-05-22,52,52,51,52,7500
2019-05-23,50,52,50,52,205500
2019-05-24,50,51,50,50,91900
2019-05-27,51,51,50,50,23000
2019-05-28,51,51,50,51,10300
2019-05-29,50,50,50,50,300
2019-05-30,50,50,50,50,0
2019-05-31,50,51,50,50,33600
2019-06-03,50,50,50,50,0
2019-06-04,50,50,50,50,0
2019-06-05,50,50,50,50,0
2019-06-06,50,50,50,50,0
2019-06-07,50,50,50,50,0
2019-06-10,50,51,50,51,48200
2019-06-11,50,51,50,50,35500
2019-06-12,51,51,50,51,122400
2019-06-13,51,51,50,51,22300
2019-06-14,51,51,51,51,100
2019-06-17,50,51,50,51,7100
2019-06-18,50,51,50,50,17400
2019-06-19,50,50,50,50,500
2019-06-20,50,51,50,51,16900
2019-06-21,50,50,50,50,5700
2019-06-24,51,51,50,50,37300
2019-06-25,50,51,50,50,6300
2019-06-26,50,51,50,50,5900
2019-06-27,50,50,50,50,1700
2019-06-28,50,50,50,50,101000
2019-07-01,50,51,50,50,14200
2019-07-02,50,50,50,50,5000
2019-07-03,50,50,50,50,25900
2019-07-04,50,50,50,50,1700
2019-07-05,50,50,50,50,23300
2019-07-08,50,51,50,50,37300
2019-07-09,50,60,50,60,181000
2019-07-10,50,52,50,50,65500
2019-07-11,50,50,50,50,50600
2019-07-12,50,50,50,50,20100
2019-07-15,50,50,50,50,20100
2019-07-16,50,50,50,50,2500
2019-07-17,50,50,50,50,2000
2019-07-18,50,50,50,50,1600
2019-07-19,50,50,50,50,100
2019-07-22,50,50,50,50,2000
2019-07-23,50,50,50,50,300
2019-07-24,50,50,50,50,0
2019-07-25,50,50,50,50,18500
2019-07-26,50,50,50,50,500
2019-07-29,50,50,50,50,0
2019-07-30,50,50,50,50,7100
2019-07-31,50,50,50,50,0
2019-08-01,50,50,50,50,400
2019-08-02,50,50,50,50,1900
2019-08-05,50,50,50,50,500
2019-08-06,50,50,50,50,400
2019-08-07,50,50,50,50,1700
2019-08-08,50,50,50,50,0
2019-08-09,50,50,50,50,100
2019-08-12,50,50,50,50,300
2019-08-13,50,50,50,50,2000
2019-08-14,50,50,50,50,100
2019-08-15,50,50,50,50,400
2019-08-16,50,50,50,50,600
2019-08-19,50,50,50,50,100
2019-08-20,50,50,50,50,100
2019-08-21,50,50,50,50,0
2019-08-22,50,50,50,50,300
2019-08-23,50,50,50,50,600
2019-08-26,50,50,50,50,100
2019-08-27,50,50,50,50,100
2019-08-28,50,50,50,50,600
2019-08-29,51,53,50,50,237000
2019-08-30,51,52,50,51,47600
2019-09-02,51,51,50,51,72600
2019-09-03,50,51,50,51,32300
2019-09-04,50,50,50,50,31900
2019-09-05,50,50,50,50,16000
2019-09-06,50,50,50,50,7900
2019-09-09,50,52,50,50,46500
2019-09-10,51,51,50,51,47500
2019-09-11,51,51,50,51,22900
2019-09-12,51,52,51,51,223400
2019-09-13,51,51,50,51,8900
2019-09-16,51,51,50,50,45500
2019-09-17,51,53,50,50,188900
2019-09-18,51,52,50,51,349300
