timestamp,open,high,low,close,volume
2019-01-01,88,88,88,88,0
2019-01-02,86,88,80,81,74100
2019-01-03,81,82,81,82,10500
2019-01-04,81,82,80,81,168700
2019-01-07,80,81,79,81,318000
2019-01-08,79,85,79,85,47600
2019-01-09,80,88,80,88,63700
2019-01-10,81,81,77,80,51300
2019-01-11,83,88,80,80,98600
2019-01-14,78,83,78,83,338100
2019-01-15,78,78,78,78,0
2019-01-16,79,80,79,80,300800
2019-01-17,79,79,79,79,0
2019-01-18,79,79,79,79,0
2019-01-21,80,80,80,80,25400
2019-01-22,80,80,80,80,28400
2019-01-23,82,82,79,80,13900
2019-01-24,84,84,80,80,19700
2019-01-25,83,84,81,82,63300
2019-01-28,82,82,82,82,200
2019-01-29,82,82,79,82,10200
2019-01-30,83,83,80,82,19700
2019-01-31,83,85,78,83,26900
2019-02-01,83,83,83,83,0
2019-02-04,83,83,83,83,0
2019-02-05,83,83,83,83,0
2019-02-06,84,84,81,81,13000
2019-02-07,83,85,83,83,211800
2019-02-08,83,83,83,83,1300
2019-02-11,83,83,83,83,0
2019-02-12,83,83,83,83,0
2019-02-13,85,85,80,82,102100
2019-02-14,85,85,85,85,5000
2019-02-15,80,80,80,80,41000
2019-02-18,83,93,79,93,56800
2019-02-19,83,83,83,83,0
2019-02-20,80,80,80,80,1200
2019-02-21,80,83,80,80,2200
2019-02-22,80,81,80,81,24200
2019-02-25,80,83,80,83,22900
2019-02-26,80,80,80,80,0
2019-02-27,80,80,77,79,4700
2019-02-28,80,80,80,80,0
2019-03-01,75,75,75,75,10000
2019-03-04,75,75,75,75,0
2019-03-05,83,83,75,75,2100
2019-03-06,83,83,83,83,0
2019-03-07,83,83,83,83,0
2019-03-08,83,83,76,80,3100
2019-03-11,83,83,83,83,0
2019-03-12,81,81,72,76,1800
2019-03-13,81,81,81,81,0
2019-03-14,80,80,71,74,17800
2019-03-15,80,80,80,80,0
2019-03-18,80,80,80,80,0
2019-03-19,79,79,79,79,4200
2019-03-20,79,79,79,79,0
2019-03-21,79,79,79,79,0
2019-03-22,79,79,79,79,0
2019-03-25,79,79,79,79,0
2019-03-26,79,79,79,79,1000
2019-03-27,79,79,79,79,0
2019-03-28,79,79,79,79,0
2019-03-29,78,78,78,78,200
2019-04-01,78,78,78,78,0
2019-04-02,80,80,75,76,300
2019-04-03,80,80,80,80,0
2019-04-04,80,80,80,80,0
2019-04-05,78,78,78,78,3900
2019-04-08,77,81,77,81,1100
2019-04-09,77,85,75,75,60100
2019-04-10,77,82,77,82,300
2019-04-11,82,84,77,77,77100
2019-04-12,82,82,82,82,0
2019-04-15,89,89,83,88,37500
2019-04-16,88,88,81,82,1100
2019-04-17,88,88,88,88,0
2019-04-18,86,87,85,87,1300
2019-04-19,86,86,86,86,0
