timestamp,open,high,low,close,volume
2019-01-01,2377,2377,2377,2377,0
2019-01-02,2394,2418,2377,2377,103300
2019-01-03,2402,2410,2394,2394,11300
2019-01-04,2410,2410,2377,2402,75300
2019-01-07,2410,2410,2402,2410,219500
2019-01-08,2418,2427,2402,2418,47200
2019-01-09,2402,2418,2369,2418,71000
2019-01-10,2402,2418,2402,2410,13600
2019-01-11,2377,2410,2369,2402,40400
2019-01-14,2402,2402,2377,2385,7000
2019-01-15,2394,2402,2377,2402,17000
2019-01-16,2394,2394,2369,2394,42500
2019-01-17,2344,2394,2344,2394,106200
2019-01-18,2302,2360,2278,2352,123800
2019-01-21,2236,2311,2186,2311,3136300
2019-01-22,2228,2244,2228,2236,25900
2019-01-23,2211,2244,2211,2236,708900
2019-01-24,2195,2220,2170,2220,321100
2019-01-25,2128,2203,2120,2203,341400
2019-01-28,2195,2236,2128,2128,120100
2019-01-29,2195,2211,2186,2203,163400
2019-01-30,2170,2195,2170,2195,134000
2019-01-31,2220,2244,2170,2178,106800
2019-02-01,2211,2261,2211,2228,108000
2019-02-04,2244,2253,2211,2211,34400
2019-02-05,2244,2244,2244,2244,0
2019-02-06,2336,2394,2244,2244,1333600
2019-02-07,2485,2592,2352,2360,9964600
2019-02-08,2650,2692,2493,2493,6639500
2019-02-11,2617,2683,2559,2650,2184000
2019-02-12,2642,2650,2485,2617,2009500
2019-02-13,2625,2650,2559,2650,913400
2019-02-14,2584,2625,2526,2625,283300
2019-02-15,2551,2592,2493,2576,632300
2019-02-18,2509,2576,2493,2551,991700
2019-02-19,2526,2543,2493,2509,461400
2019-02-20,2476,2534,2435,2526,635300
2019-02-21,2509,2534,2485,2485,3437900
2019-02-22,2509,2509,2493,2509,621900
2019-02-25,2468,2509,2443,2509,294900
2019-02-26,2476,2501,2460,2468,39400
2019-02-27,2476,2485,2451,2476,80500
2019-02-28,2485,2543,2427,2476,1418900
2019-03-01,2485,2509,2468,2485,238400
2019-03-04,2451,2501,2451,2493,31900
2019-03-05,2460,2460,2435,2460,133500
2019-03-06,2485,2609,2451,2460,1429000
2019-03-07,2485,2485,2485,2485,0
2019-03-08,2485,2509,2485,2493,556900
2019-03-11,2476,2493,2468,2493,60300
2019-03-12,2427,2476,2427,2468,48400
2019-03-13,2476,2485,2468,2476,116200
2019-03-14,2476,2485,2476,2476,28100
2019-03-15,2468,2476,2460,2476,200800
2019-03-18,2501,2509,2468,2476,2366400
2019-03-19,2659,2675,2485,2509,4806600
2019-03-20,2659,2733,2543,2617,4016900
2019-03-21,2816,2899,2667,2667,4091300
2019-03-22,2816,2874,2766,2824,3339500
2019-03-25,2725,2816,2609,2808,1052600
2019-03-26,2733,2783,2725,2774,1386300
2019-03-27,2857,2874,2750,2783,1216500
2019-03-28,2890,2924,2799,2882,1461100
2019-03-29,2874,2882,2808,2874,327900
2019-04-01,2849,2940,2816,2940,529400
2019-04-02,2816,2841,2750,2808,1787100
2019-04-03,2816,2816,2816,2816,0
2019-04-04,2808,2866,2799,2816,1629800
2019-04-05,2808,2849,2791,2808,935800
2019-04-08,2791,2816,2774,2808,110300
2019-04-09,2799,2824,2774,2774,884000
2019-04-10,2799,2799,2774,2783,21700
2019-04-11,2799,2824,2758,2799,187200
2019-04-12,2816,2816,2774,2799,300700
2019-04-15,2783,2832,2774,2816,323900
2019-04-16,2791,2799,2774,2783,130000
2019-04-17,2791,2791,2791,2791,0
2019-04-18,2774,2816,2750,2791,217400
2019-04-19,2774,2774,2774,2774,0
2019-04-22,2791,2791,2700,2774,497000
2019-04-23,2774,2816,2774,2791,510000
2019-04-24,2758,2799,2725,2783,293800
2019-04-25,2692,2758,2625,2758,777600
2019-04-26,2733,2733,2675,2692,326000
2019-04-29,2741,2741,2708,2733,157300
2019-04-30,2725,2750,2675,2741,311700
2019-05-01,2725,2725,2725,2725,0
2019-05-02,2683,2725,2559,2725,447400
2019-05-03,2617,2683,2592,2683,349900
2019-05-06,2559,2617,2518,2609,155000
2019-05-07,2543,2584,2518,2559,267500
2019-05-08,2551,2559,2543,2551,25500
2019-05-09,2501,2551,2451,2551,941200
2019-05-10,2518,2518,2476,2501,153900
2019-05-13,2485,2543,2485,2518,2591400
2019-05-14,2576,2576,2427,2485,172100
2019-05-15,2576,2601,2518,2576,267400
2019-05-16,2567,2584,2468,2576,456700
2019-05-17,2485,2567,2476,2567,352200
2019-05-20,2485,2501,2468,2485,392200
2019-05-21,2485,2485,2435,2485,95600
2019-05-22,2526,2526,2451,2485,102800
