timestamp,open,high,low,close,volume
2023-01-11,170,188,170,188,21384000
2023-01-12,153,153,153,153,7634900
2023-01-13,138,138,138,138,4988300
2023-01-16,125,136,125,125,133658000
2023-01-17,113,130,113,117,44880100
2023-01-18,102,110,102,106,77309300
2023-01-19,102,110,95,95,50332900
2023-01-20,103,103,97,99,14010900
2023-01-24,102,103,98,103,11258800
2023-01-25,100,104,99,102,6760100
2023-01-26,100,102,99,100,2602000
2023-01-27,99,101,98,100,3634000
2023-01-30,90,100,90,95,12911600
2023-01-31,81,90,81,82,18320200
2023-02-01,77,84,73,73,19219500
2023-02-02,75,80,70,70,8196500
2023-02-03,70,78,68,74,16569600
2023-02-06,67,72,66,70,6699900
2023-02-07,72,73,61,61,40414200
2023-02-08,68,76,67,73,13126500
2023-02-09,64,70,63,65,13055800
2023-02-10,65,66,61,64,5469400
2023-02-13,65,66,63,65,1927500
2023-02-14,65,65,59,59,1872800
2023-02-15,66,68,63,65,7335500
2023-02-16,65,66,64,66,5190900
2023-02-17,63,65,63,65,1959700
2023-02-20,63,64,62,63,734800
2023-02-21,62,64,62,64,777600
2023-02-22,62,62,61,62,748800
2023-02-23,60,63,60,62,572400
2023-02-24,58,61,57,60,2507900
2023-02-27,59,61,55,58,4147700
2023-02-28,61,63,56,59,3917800
2023-03-01,60,62,59,61,945400
2023-03-02,59,62,57,60,1159700
2023-03-03,57,60,57,59,588900
2023-03-06,57,59,56,57,900800
2023-03-07,55,57,53,57,1806700
2023-03-08,52,55,50,55,2644000
2023-03-09,57,57,50,50,5187200
2023-03-10,60,62,56,56,7562900
2023-03-13,62,65,58,60,7662400
2023-03-14,59,62,57,61,1826900
2023-03-15,61,64,57,58,7948500
2023-03-16,59,64,59,62,1558700
2023-03-17,59,61,58,60,1085100
2023-03-20,58,60,57,59,631300
2023-03-21,58,59,57,58,444800
2023-03-24,59,60,54,57,1929400
2023-03-27,62,62,58,60,2328600
2023-03-28,68,68,62,62,7286400
2023-03-29,74,74,69,70,9347500
2023-03-30,73,80,67,80,14088500
2023-03-31,72,76,66,73,11510300
2023-04-03,71,76,69,72,2163100
2023-04-04,64,71,64,71,5295400
2023-04-05,58,65,58,64,6441100
2023-04-06,53,58,53,58,8479900
2023-04-10,51,54,50,54,2232400
2023-04-11,52,54,50,51,1209600
2023-04-12,51,52,47,47,1542600
2023-04-13,53,53,50,51,595700
2023-04-14,50,54,50,53,1781100
2023-04-17,48,52,47,50,1619100
2023-04-18,46,48,44,44,1716500
2023-04-26,48,50,42,44,577700
2023-04-27,46,48,46,48,699000
2023-04-28,46,47,45,46,725100
2023-05-02,49,50,46,50,2402000
2023-05-03,49,50,47,49,359800
2023-05-04,48,50,46,49,1359400
2023-05-05,48,49,47,47,563600
2023-05-08,50,50,47,47,745600
2023-05-09,49,50,48,48,686600
2023-05-10,49,50,48,49,1516200
2023-05-11,51,52,48,49,2246100
2023-05-12,50,51,49,51,478500
2023-05-15,49,51,49,49,396300
2023-05-16,50,50,48,49,352000
2023-05-17,49,50,48,50,396500
2023-05-19,49,50,48,48,1687700
2023-05-22,49,49,48,48,1370900
2023-05-23,49,49,48,49,209400
2023-05-24,48,49,47,48,2029600
2023-05-25,49,49,47,48,327300
2023-05-26,47,49,47,49,775800
2023-05-29,47,48,46,48,221900
2023-05-30,46,47,45,46,1597200
2023-05-31,47,47,45,46,1630200
2023-06-05,46,47,45,47,433400
2023-06-06,48,48,45,46,449300
2023-06-07,48,48,46,47,222700
2023-06-08,48,50,47,50,142700
2023-06-09,48,49,47,47,703900
2023-06-12,47,48,46,47,573500
2023-06-13,47,47,46,46,497600
2023-06-14,47,47,46,47,466300
2023-06-15,47,48,46,46,147600
2023-06-16,46,47,46,47,166800
2023-06-19,46,47,45,47,872700
2023-06-20,45,47,45,46,1659300
2023-06-21,45,45,43,45,1388700
2023-06-22,44,45,41,45,3709500
2023-06-23,43,44,42,43,425100
2023-06-26,43,44,42,43,112900
2023-06-27,43,43,42,42,1159300
2023-07-03,45,47,42,42,1854700
2023-07-04,48,49,43,45,2278600
2023-07-05,47,50,47,47,3236000
2023-07-06,48,50,47,48,2522200
2023-07-07,52,52,47,47,6830600
2023-07-10,57,57,51,52,11703600
2023-07-11,53,61,52,59,9571400
2023-07-12,52,55,49,53,5879700
2023-07-13,51,52,50,52,1140500
2023-07-14,51,52,50,51,204000
2023-07-17,50,52,48,52,3253600
2023-07-18,49,52,49,49,3958000
2023-07-20,50,50,49,49,79000
2023-07-21,48,50,46,49,1553600
2023-07-24,44,48,44,48,3870900
2023-07-25,46,47,43,44,1364400
2023-07-26,46,47,45,46,3259500
2023-07-27,42,46,42,45,19631200
2023-07-28,38,46,38,41,17678200
2023-07-31,35,38,35,38,13844400
2023-08-01,32,36,32,32,9813400
2023-08-02,31,32,29,32,7187800
2023-08-03,30,32,29,31,1153800
2023-08-04,30,31,29,31,638000
2023-08-07,30,31,29,31,936400
2023-08-08,30,30,28,30,925600
2023-08-09,33,33,29,30,2384000
2023-08-10,32,33,31,32,1293000
2023-08-11,33,33,32,33,357800
2023-08-14,32,34,31,33,686000
2023-08-15,31,34,31,32,1674700
2023-08-16,32,33,30,31,590300
2023-08-18,31,33,31,31,329200
2023-08-21,29,32,28,31,2708600
2023-08-22,28,30,27,30,2497900
2023-08-23,29,29,27,29,665500
2023-08-24,28,30,28,29,574200
2023-08-25,30,30,27,27,184400
2023-08-28,30,32,29,30,593600
2023-08-29,31,33,29,30,4252700
2023-08-30,31,31,30,30,411400
2023-08-31,29,31,28,31,4834500
2023-09-01,30,30,29,29,844900
2023-09-04,30,30,28,30,1185000
2023-09-05,28,30,28,30,1055300
2023-09-06,30,30,28,29,289400
2023-09-07,28,30,28,29,2242200
2023-09-08,29,29,28,28,277300
2023-09-11,30,30,28,29,816100
2023-09-12,28,30,28,29,1830000
2023-09-13,28,29,28,29,57600
2023-09-14,29,29,28,28,725200
2023-09-15,29,29,28,28,245600
2023-09-18,28,29,28,28,1214500
2023-09-19,28,29,28,29,1030900
2023-09-20,29,29,28,28,296400
2023-09-21,29,29,28,29,37100
2023-09-22,29,29,28,28,168800
2023-09-25,28,29,28,29,1060500
2023-09-26,28,29,28,28,179600
2023-09-27,28,29,27,28,1317300
2023-09-29,28,28,27,28,415100
2023-10-02,29,29,27,28,2751000
2023-10-03,28,29,28,28,1085800
2023-10-04,28,28,27,28,1102400
2023-10-05,28,28,27,27,318200
2023-10-06,28,29,27,27,974200
2023-10-09,28,29,27,29,1712500
2023-10-10,28,28,27,28,133300
2023-10-11,28,28,27,27,210500
2023-10-12,28,28,27,28,106400
2023-10-13,28,28,27,28,1245700
2023-10-16,27,28,27,28,252000
2023-10-17,28,28,27,27,776800
2023-10-18,27,28,27,27,50100
2023-10-19,27,28,26,27,235500
2023-10-20,27,28,26,27,108100
2023-10-23,27,27,26,27,84300
2023-10-24,26,27,25,26,1025300
2023-10-25,27,27,26,26,44500
2023-10-26,27,27,26,27,299700
2023-10-27,27,27,26,27,239600
2023-10-30,27,27,26,27,343100
2023-10-31,27,27,26,27,47300
2023-11-01,27,27,26,27,489000
2023-11-02,27,27,26,26,195700
2023-11-03,27,27,26,27,124400
2023-11-06,26,27,26,26,143200
2023-11-07,25,27,24,27,4620100
2023-11-08,23,26,23,25,5058000
2023-11-09,23,24,22,24,1766700
2023-11-10,23,23,22,23,172500
2023-11-13,22,23,22,23,188900
2023-11-14,24,24,22,22,1175100
2023-11-15,25,26,23,24,1050700
2023-11-16,26,26,25,25,238200
2023-11-17,25,26,24,26,54100
2023-11-20,25,25,23,25,628200
2023-11-21,25,25,23,23,93200
2023-11-22,24,25,23,25,29300
2023-11-23,25,25,23,24,32300
2023-11-24,23,25,23,25,815800
2023-11-27,23,24,22,24,6540700
2023-11-28,20,22,20,22,17620700
2023-11-29,20,21,19,21,1400400
2023-11-30,19,20,18,19,5564100
2023-12-01,20,20,19,19,1537000
2023-12-04,20,20,18,20,1564500
2023-12-05,20,20,18,18,200600
2023-12-06,19,20,19,19,275900
2023-12-07,18,20,18,20,1161400
2023-12-08,19,19,18,18,1674000
2023-12-11,19,19,18,18,1569000
2023-12-12,18,19,18,18,140700
2023-12-13,18,19,18,19,1859000
2023-12-14,18,19,17,19,18520700
2023-12-15,17,18,17,17,3672600
2023-12-18,17,18,17,17,17089200
2023-12-19,18,18,17,17,3228300
2023-12-20,19,19,17,18,53124600
2023-12-21,20,20,18,19,830400
2023-12-22,21,22,19,20,1707400
2023-12-27,21,21,19,20,1238500
2023-12-28,23,23,20,21,8003200
2023-12-29,25,25,22,23,4310100
2024-01-02,25,26,24,25,2393400
2024-01-03,23,25,23,24,1614900
2024-01-04,24,24,23,23,139100
2024-01-05,24,24,23,24,963600
2024-01-08,24,24,23,24,103500
2024-01-09,23,24,23,23,196500
2024-01-10,23,24,22,23,594600
2024-01-11,22,23,21,22,1007000
2024-01-12,22,22,21,21,122100
2024-01-15,22,22,22,22,0
2024-01-16,23,24,21,21,865400
2024-01-17,24,24,22,23,995000
2024-01-18,24,25,23,25,960400
2024-01-19,23,24,22,23,445500
2024-01-22,22,23,22,23,146000
2024-01-23,21,22,20,22,1428700
2024-01-24,22,23,21,22,157700
2024-01-25,22,23,21,22,16600
2024-01-26,21,22,21,22,279700
2024-01-29,19,22,19,21,256700
2024-01-30,19,20,19,19,515900
2024-01-31,19,20,19,20,26300
2024-02-01,19,20,19,20,174100
2024-02-02,20,20,19,19,120200
2024-02-05,19,21,19,21,79700
2024-02-06,19,20,19,19,71800
2024-02-07,20,20,19,20,886700
2024-02-12,19,20,19,20,960000
2024-02-13,20,20,19,19,1437700
2024-02-15,20,20,19,19,868700
2024-02-16,19,20,19,20,150000
2024-02-19,19,20,19,20,73300
2024-02-20,20,20,19,19,37800
2024-02-21,19,20,19,19,107700
2024-02-22,19,20,19,20,77100
2024-02-23,19,20,18,20,5103700
2024-02-26,20,20,18,19,360100
2024-02-27,19,20,18,20,1270200
2024-02-28,19,20,18,19,48900
2024-02-29,20,20,19,19,106200
2024-03-01,18,20,18,20,2085800
2024-03-04,19,19,18,18,633200
2024-03-05,19,19,18,18,87700
2024-03-06,18,19,18,19,1453200
2024-03-07,19,19,17,18,73700
2024-03-08,18,19,18,18,1376800
2024-03-13,18,19,17,18,1775800
