timestamp,open,high,low,close,volume
2019-01-01,170,170,170,170,0
2019-01-02,162,164,162,164,600
2019-01-03,147,162,146,162,20900
2019-01-04,154,178,154,168,54700
2019-01-07,166,166,156,158,500
2019-01-08,158,158,158,158,800
2019-01-09,165,165,165,165,100
2019-01-10,165,165,165,165,200
2019-01-11,159,159,158,158,200
2019-01-14,159,159,159,159,0
2019-01-15,159,159,159,159,0
2019-01-16,154,155,141,151,4000
2019-01-17,158,167,152,152,1900
2019-01-18,158,158,158,158,0
2019-01-21,150,151,146,151,22300
2019-01-22,150,150,150,150,0
2019-01-23,150,150,150,150,0
2019-01-24,154,178,142,151,29100
2019-01-25,154,154,154,154,0
2019-01-28,141,156,141,156,6100
2019-01-29,180,190,146,154,5000
2019-01-30,162,178,160,160,10600
2019-01-31,173,173,162,162,5900
2019-02-01,152,152,152,152,10200
2019-02-04,150,158,150,158,3300
2019-02-05,150,150,150,150,0
2019-02-06,148,190,148,151,112800
2019-02-07,151,190,145,148,381300
2019-02-08,150,180,150,151,20200
2019-02-11,150,190,142,150,61500
2019-02-12,145,150,145,150,9400
2019-02-13,150,150,141,145,75900
2019-02-14,138,185,138,150,80600
2019-02-15,153,173,138,150,49800
2019-02-18,145,153,145,153,44100
2019-02-19,145,153,145,145,5100
2019-02-20,150,150,150,150,100
2019-02-21,150,150,150,150,0
2019-02-22,148,151,148,151,5100
2019-02-25,148,148,148,148,0
2019-02-26,148,148,148,148,0
2019-02-27,136,137,136,137,25200
2019-02-28,132,136,126,126,15800
2019-03-01,136,150,136,140,2000
2019-03-04,140,145,136,136,7600
2019-03-05,140,145,140,145,1900
2019-03-06,152,152,92,147,26400
2019-03-07,152,152,152,152,0
2019-03-08,145,152,145,152,11500
2019-03-11,137,137,135,135,1200
2019-03-12,137,137,137,137,0
2019-03-13,140,140,140,140,11100
2019-03-14,140,150,140,140,19900
2019-03-15,143,157,143,157,21100
2019-03-18,153,153,145,145,300
2019-03-19,150,150,142,142,200
2019-03-20,150,150,150,150,0
2019-03-21,150,150,150,150,0
2019-03-22,150,150,150,150,0
2019-03-25,135,148,134,139,50600
2019-03-26,130,140,128,133,104000
2019-03-27,130,179,130,130,609700
2019-03-28,130,131,129,129,36500
2019-03-29,129,130,129,130,300
2019-04-01,136,136,129,129,200
2019-04-02,130,135,130,133,90200
2019-04-03,130,130,130,130,0
2019-04-04,131,131,126,131,10000
2019-04-05,131,141,117,117,2100
2019-04-08,135,135,131,131,7800
2019-04-09,135,135,135,135,0
2019-04-10,135,135,135,135,0
2019-04-11,126,126,125,126,800
2019-04-12,126,160,122,136,131800
2019-04-15,122,122,91,91,1300
2019-04-16,129,129,129,129,20100
2019-04-17,129,129,129,129,0
2019-04-18,138,138,129,129,2100
2019-04-19,138,138,138,138,0
2019-04-22,125,138,125,138,22800
2019-04-23,128,140,119,119,755900
2019-04-24,134,135,134,135,200
2019-04-25,134,134,134,134,0
2019-04-26,133,134,96,96,28300
2019-04-29,131,131,121,130,300
2019-04-30,121,140,114,140,8300
2019-05-01,121,121,121,121,0
2019-05-02,135,148,120,148,6600
2019-05-03,116,116,106,106,300
2019-05-06,117,117,117,117,400
2019-05-07,126,156,117,118,9300
2019-05-08,132,135,126,126,1400
2019-05-09,129,142,129,142,200
2019-05-10,134,165,134,135,3300
2019-05-13,134,134,125,125,2400
2019-05-14,134,134,134,134,0
2019-05-15,134,134,134,134,0
2019-05-16,128,129,128,129,1400
2019-05-17,139,147,139,147,400
2019-05-20,129,129,129,129,100
2019-05-21,130,147,130,139,300
2019-05-22,130,130,130,130,0
2019-05-23,86,129,86,129,2900
2019-05-24,116,116,95,95,1900
2019-05-27,120,130,120,130,3200
2019-05-28,120,120,120,120,5000
2019-05-29,120,120,120,120,0
2019-05-30,120,120,120,120,0
2019-05-31,120,120,120,120,54600
2019-06-03,120,120,120,120,0
2019-06-04,120,120,120,120,0
2019-06-05,120,120,120,120,0
2019-06-06,120,120,120,120,0
2019-06-07,120,120,120,120,0
2019-06-10,130,140,120,120,10500
2019-06-11,125,125,105,125,8100
2019-06-12,124,124,117,117,400
2019-06-13,124,124,124,124,14900
2019-06-14,125,125,125,125,300
2019-06-17,120,125,120,125,19100
2019-06-18,125,125,125,125,8900
2019-06-19,125,125,125,125,4100
2019-06-20,130,167,129,135,3400
2019-06-21,142,167,140,140,700
2019-06-24,142,142,142,142,0
2019-06-25,135,149,135,138,700
2019-06-26,125,129,116,120,247600
2019-06-27,116,125,115,125,196200
2019-06-28,119,124,119,124,70900
2019-07-01,117,119,117,119,26300
2019-07-02,113,117,113,117,103900
2019-07-03,113,122,113,122,20100
2019-07-04,123,123,123,123,100
2019-07-05,123,123,123,123,300
2019-07-08,122,122,122,122,500
2019-07-09,120,121,120,121,900
2019-07-10,120,120,120,120,0
2019-07-11,114,116,110,116,23000
2019-07-12,108,110,108,110,4900
2019-07-15,108,108,108,108,1100
2019-07-16,117,120,110,110,43700
2019-07-17,113,116,113,116,4800
2019-07-18,113,113,113,113,0
2019-07-19,113,113,113,113,0
2019-07-22,117,119,113,113,1200
2019-07-23,102,111,102,111,400
2019-07-24,111,124,100,102,97700
2019-07-25,110,140,110,112,108400
2019-07-26,101,116,100,116,10200
2019-07-29,101,102,99,102,32600
2019-07-30,101,101,101,101,4000
2019-07-31,102,126,101,101,48100
2019-08-01,108,117,102,107,14600
2019-08-02,101,110,99,104,17500
2019-08-05,106,123,106,106,2400
2019-08-06,98,114,98,106,61500
2019-08-07,100,112,94,98,6400
2019-08-08,100,110,92,110,3100
2019-08-09,100,100,100,100,2000
2019-08-12,87,100,81,100,5102100
2019-08-13,88,89,82,87,651600
2019-08-14,84,89,83,89,96600
2019-08-15,81,87,73,84,314000
2019-08-16,81,81,76,81,59400
2019-08-19,85,85,72,72,71900
2019-08-20,82,85,81,82,22100
2019-08-21,82,82,82,82,800
2019-08-22,74,82,70,80,129300
2019-08-23,70,70,70,70,100
2019-08-26,82,83,72,72,147800
2019-08-27,81,82,81,82,26500
2019-08-28,81,81,81,81,100
2019-08-29,81,81,76,77,44100
2019-08-30,81,81,81,81,65700
2019-09-02,81,81,81,81,0
2019-09-03,81,81,74,75,176100
2019-09-04,81,81,81,81,0
2019-09-05,81,81,76,81,30000
2019-09-06,77,81,76,80,39600
2019-09-09,80,82,80,81,5600
2019-09-10,80,80,80,80,1400
2019-09-11,108,108,81,84,1892300
2019-09-12,145,145,116,120,9308900
2019-09-13,120,170,113,152,4181300
2019-09-16,100,121,90,121,2049800
2019-09-17,110,126,95,100,3624000
2019-09-18,103,119,101,110,588600
2019-09-19,100,106,97,103,222800
2019-09-20,98,103,93,99,82900
2019-09-23,99,108,96,98,395600
2019-09-24,95,103,94,99,129700
2019-09-25,101,112,90,100,2909600
2019-09-26,97,102,95,102,302300
2019-09-27,99,101,93,97,261900
2019-09-30,95,99,94,99,303400
2019-10-01,95,100,90,95,85700
2019-10-02,94,95,93,95,26600
2019-10-03,89,94,89,94,32100
2019-10-04,90,90,84,84,162600
2019-10-07,89,94,80,85,321700
2019-10-08,87,97,85,94,41800
2019-10-09,88,94,82,87,33200
2019-10-10,88,92,88,88,4900
2019-10-11,93,93,83,83,49600
2019-10-14,85,93,85,93,14600
2019-10-15,86,86,85,85,500
2019-10-16,90,95,88,89,5400
2019-10-17,88,95,85,95,69400
2019-10-18,90,90,83,83,50300
2019-10-21,85,93,85,85,1300
2019-10-22,86,90,85,85,7100
2019-10-23,87,90,82,86,23000
2019-10-24,88,89,88,89,2300
2019-10-25,88,96,88,90,25700
2019-10-28,91,93,83,93,189700
2019-10-29,85,95,84,84,62200
2019-10-30,85,90,85,87,23800
2019-10-31,85,88,80,85,203100
2019-11-01,81,90,80,87,115700
2019-11-04,74,90,74,80,46700
2019-11-05,75,85,73,74,179500
2019-11-06,101,101,78,84,1309300
2019-11-07,136,136,104,110,8817500
2019-11-08,183,183,145,150,11211700
2019-11-11,246,246,183,190,9766900
2019-11-12,246,246,246,246,0
2019-11-13,185,280,185,244,6811000
2019-11-14,166,187,137,186,3212800
2019-11-15,142,184,141,156,1949400
2019-11-18,148,156,131,132,351300
2019-11-19,118,170,110,138,1716200
2019-11-20,157,158,102,106,3306900
2019-11-21,124,180,122,161,6032700
2019-11-22,118,130,118,125,974400
2019-11-25,124,135,118,118,831900
2019-11-26,120,134,120,125,2220700
2019-11-27,122,129,110,110,1688300
2019-11-28,100,121,100,120,680300
2019-11-29,106,114,100,100,950800
2019-12-02,119,143,96,96,3732900
2019-12-03,119,129,116,122,3135600
2019-12-04,117,121,109,109,1330700
2019-12-05,116,120,107,107,872600
2019-12-06,113,118,106,106,693700
2019-12-09,111,113,106,106,1420800
2019-12-10,109,129,101,101,2361400
2019-12-11,112,123,100,100,1721900
2019-12-12,115,122,102,102,502600
