timestamp,open,high,low,close,volume
2019-01-01,567,567,567,567,0
2019-01-02,601,604,567,573,23196500
2019-01-03,654,666,601,601,42650800
2019-01-04,654,666,635,657,10875900
2019-01-07,691,710,654,654,25128600
2019-01-08,682,700,676,697,6791100
2019-01-09,679,691,679,682,5389300
2019-01-10,685,691,648,679,11913400
2019-01-11,697,713,685,685,12561300
2019-01-14,682,703,676,697,6973600
2019-01-15,700,703,679,682,5833400
2019-01-16,694,707,688,700,5741300
2019-01-17,679,707,679,697,6246500
2019-01-18,679,691,672,688,2393700
2019-01-21,707,707,676,682,9390900
2019-01-22,741,750,710,713,34579900
2019-01-23,728,750,725,750,9818300
2019-01-24,716,731,713,731,11369000
2019-01-25,725,728,713,722,9617700
2019-01-28,700,744,694,725,9061300
2019-01-29,669,707,663,700,20527900
2019-01-30,666,676,654,669,12803300
2019-01-31,685,688,666,666,10945400
2019-02-01,707,707,688,691,16323500
2019-02-04,716,722,707,710,11200200
2019-02-05,716,716,716,716,0
2019-02-06,719,725,713,719,5578100
2019-02-07,719,725,713,719,6700700
2019-02-08,775,778,710,719,18820500
2019-02-11,768,793,762,775,11262700
2019-02-12,737,775,716,775,17347000
2019-02-13,731,744,722,741,11360000
2019-02-14,753,759,725,734,5073900
2019-02-15,762,768,728,753,10446900
2019-02-18,787,793,753,762,12581600
2019-02-19,790,799,772,793,18438500
2019-02-20,768,799,765,790,10482000
2019-02-21,784,784,765,772,4798400
2019-02-22,778,784,768,784,6336400
2019-02-25,768,781,762,778,4903200
2019-02-26,768,772,756,759,5021500
2019-02-27,747,784,734,775,10546700
2019-02-28,737,747,731,747,12700800
2019-03-01,741,759,734,741,6511600
2019-03-04,753,756,741,741,3337400
2019-03-05,762,762,731,756,4430400
2019-03-06,759,768,750,765,3705500
2019-03-07,759,759,759,759,0
2019-03-08,737,759,734,759,1705600
2019-03-11,719,737,707,737,3114900
2019-03-12,685,725,682,716,3431000
2019-03-13,691,700,676,694,1785500
2019-03-14,700,713,694,694,1498000
2019-03-15,710,713,700,700,2544300
2019-03-18,694,719,685,710,3119000
2019-03-19,691,697,691,691,1059000
2019-03-20,700,707,691,691,805000
2019-03-21,707,716,691,691,2122600
2019-03-22,703,710,694,703,2820100
2019-03-25,685,710,676,710,2328800
2019-03-26,682,700,682,688,1654000
2019-03-27,672,688,672,682,1164100
2019-03-28,663,676,654,676,2056700
2019-03-29,660,669,657,663,2451900
2019-04-01,666,666,654,657,1221700
2019-04-02,688,691,663,666,2061900
2019-04-03,688,688,688,688,0
2019-04-04,685,700,682,694,2266400
2019-04-05,688,697,682,694,717600
2019-04-08,679,703,666,691,1197600
2019-04-09,672,685,669,682,1336900
2019-04-10,669,679,666,676,840900
2019-04-11,657,669,654,666,2402000
2019-04-12,638,669,632,666,7235400
2019-04-15,657,660,638,638,4359200
2019-04-16,657,660,648,657,3989300
2019-04-17,657,657,657,657,0
2019-04-18,666,694,657,657,4137100
2019-04-19,666,666,666,666,0
2019-04-22,663,672,657,657,1783800
2019-04-23,682,688,663,666,2435600
2019-04-24,682,700,682,700,3207400
2019-04-25,676,694,666,688,4883200
2019-04-26,684,687,652,687,2841300
2019-04-29,671,693,671,684,1694000
2019-04-30,677,681,671,671,1668400
2019-05-01,677,677,677,677,0
2019-05-02,671,684,668,677,2792100
2019-05-03,668,677,652,677,2498400
2019-05-06,658,671,655,655,2167900
2019-05-07,700,700,668,668,3048300
2019-05-08,674,700,671,700,2577600
2019-05-09,674,690,668,674,4845200
2019-05-10,681,681,661,674,1735600
2019-05-13,668,693,665,681,3268600
2019-05-14,658,665,636,665,3400200
2019-05-15,649,677,649,658,1458300
2019-05-16,639,665,623,649,6027600
2019-05-17,636,646,633,639,3611500
2019-05-20,633,639,623,636,2767000
2019-05-21,633,649,630,636,1487600
2019-05-22,620,636,620,633,3624100
2019-05-23,620,636,620,620,4952200
2019-05-24,617,627,611,623,7133600
2019-05-27,623,636,620,623,7779900
2019-05-28,617,630,611,630,5081300
2019-05-29,611,623,607,617,6485200
2019-05-30,611,611,611,611,0
2019-05-31,607,623,604,617,12610600
2019-06-03,607,607,607,607,0
2019-06-04,607,607,607,607,0
2019-06-05,607,607,607,607,0
2019-06-06,607,607,607,607,0
2019-06-07,607,607,607,607,0
2019-06-10,617,630,611,617,10180500
2019-06-11,668,674,623,623,25954900
2019-06-12,671,690,661,674,14394500
2019-06-13,674,674,661,674,10204200
2019-06-14,693,700,674,677,12289900
2019-06-17,674,709,674,700,6709400
2019-06-18,706,709,668,674,11139800
2019-06-20,716,747,709,735,9126500
2019-06-21,722,722,696,696,5992500
2019-06-24,716,744,716,725,5098900
2019-06-25,706,731,706,716,3403500
2019-06-26,703,719,703,709,1776000
2019-06-27,719,728,703,706,3297800
2019-06-28,709,725,706,722,3497400
2019-07-01,716,722,706,719,2592200
2019-07-02,712,719,706,716,1620900
2019-07-03,681,712,681,712,12536000
2019-07-04,696,703,677,681,7614700
2019-07-05,687,700,681,693,2156100
2019-07-08,681,696,677,687,3952800
2019-07-09,700,700,681,681,2099900
2019-07-10,709,712,700,700,3734700
2019-07-11,703,719,700,716,3445300
2019-07-12,690,716,690,706,1529400
2019-07-15,696,703,693,693,2242100
2019-07-16,706,712,693,696,3821400
2019-07-17,722,725,700,712,7358000
2019-07-18,728,735,712,722,5206400
2019-07-19,741,741,728,731,6320500
2019-07-22,725,744,719,744,6035200
2019-07-23,731,731,719,725,1504700
2019-07-24,722,738,712,731,4134600
2019-07-25,716,728,712,722,807600
2019-07-26,690,712,687,712,9023600
2019-07-29,684,693,674,693,1586600
2019-07-30,696,706,684,684,1629000
2019-07-31,684,703,684,696,4761800
2019-08-01,687,690,681,681,453500
2019-08-02,677,687,677,687,1064500
2019-08-05,661,677,661,677,1640600
2019-08-06,658,658,636,655,2488000
2019-08-07,674,677,649,658,975700
2019-08-08,687,687,674,677,2185800
2019-08-09,696,700,687,687,2686300
2019-08-12,684,700,677,700,2916200
2019-08-13,668,684,665,684,1127600
2019-08-14,684,690,674,674,1454500
2019-08-15,690,693,668,671,2492400
2019-08-16,690,706,684,700,5587900
2019-08-19,687,696,684,690,5012900
2019-08-20,677,693,674,690,5056200
2019-08-21,674,681,671,677,972300
2019-08-22,677,687,671,677,1558000
2019-08-23,668,681,665,677,667000
2019-08-26,687,690,655,671,2378900
2019-08-27,674,687,674,684,384300
2019-08-28,668,684,668,674,1425700
2019-08-29,674,674,665,671,546400
2019-08-30,668,674,668,668,2848700
2019-09-02,652,668,652,668,883700
2019-09-03,649,658,642,652,2228000
2019-09-04,646,649,636,649,2353700
2019-09-05,639,652,630,652,7214600
2019-09-06,636,639,633,639,2430800
2019-09-09,633,639,633,636,2611000
2019-09-10,636,636,633,636,2439700
2019-09-11,639,642,633,636,6193900
2019-09-12,665,668,639,642,8512900
2019-09-13,658,674,655,665,3027500
2019-09-16,649,661,639,658,2425500
2019-09-17,646,652,639,649,1771500
2019-09-18,649,658,646,652,1229100
2019-09-19,649,655,649,649,1125500
2019-09-20,642,649,642,649,762900
2019-09-23,639,642,636,642,1116100
2019-09-24,636,642,630,642,1851000
2019-09-25,639,642,630,636,377900
2019-09-26,642,642,636,639,1811400
2019-09-27,642,642,636,642,1927700
2019-09-30,639,649,633,649,890700
2019-10-01,627,639,623,639,3219000
2019-10-02,614,627,611,623,3345900
2019-10-03,611,614,601,614,2841100
2019-10-04,607,620,607,617,660600
2019-10-07,614,620,604,611,1084000
2019-10-08,607,623,604,614,977600
2019-10-09,614,617,607,607,1077200
2019-10-10,604,614,601,614,1774500
2019-10-11,614,623,604,607,857800
2019-10-14,617,623,617,620,416700
2019-10-15,623,623,611,620,888900
2019-10-16,633,642,623,623,3419800
2019-10-17,630,636,627,633,649500
2019-10-18,639,639,623,630,1375600
2019-10-21,633,642,627,642,1065000
2019-10-22,630,633,627,627,501200
2019-10-23,630,633,620,630,1968500
