timestamp,open,high,low,close,volume
2019-01-01,520,520,520,520,0
2019-01-02,524,541,516,520,19649053
2019-01-03,524,537,524,524,14217385
2019-01-04,529,533,516,524,14876365
2019-01-07,520,533,520,529,19754879
2019-01-08,504,529,499,516,18973484
2019-01-09,495,512,495,504,7147991
2019-01-10,512,516,495,495,12552773
2019-01-11,549,562,512,512,109446443
2019-01-14,558,579,549,549,115733870
2019-01-15,558,566,554,562,33054153
2019-01-16,554,566,545,562,35253157
2019-01-17,545,558,541,558,7816467
2019-01-18,587,591,545,545,103148605
2019-01-21,712,733,591,591,406183780
2019-01-22,749,778,666,712,317537431
2019-01-23,807,866,753,753,479432871
2019-01-24,870,887,803,828,344492127
2019-01-25,853,870,837,870,147717410
2019-01-28,857,870,841,853,113763565
2019-01-29,853,891,853,857,114190529
2019-01-30,866,887,862,862,60378382
2019-01-31,841,878,816,866,170493073
2019-02-01,928,945,828,841,207367596
2019-02-04,949,986,928,945,146497381
2019-02-05,949,949,949,949,0
2019-02-06,941,970,928,949,41937116
2019-02-07,945,966,932,945,40162560
2019-02-08,924,949,920,945,27798785
2019-02-11,928,957,924,941,28565880
2019-02-12,887,936,857,932,105847679
2019-02-13,874,907,857,891,81660928
2019-02-14,936,945,870,874,206261402
2019-02-15,1049,1057,936,957,239842396
2019-02-18,1016,1066,991,1061,129427847
2019-02-19,1024,1049,1011,1020,48512161
2019-02-20,957,1041,957,1028,207339338
2019-02-21,878,957,816,957,269834809
2019-02-22,878,936,841,891,214185640
2019-02-25,807,887,803,882,172248752
2019-02-26,845,928,795,812,270761385
2019-02-27,866,887,853,853,130321818
2019-02-28,887,891,845,874,90267485
2019-03-01,949,953,882,887,121569164
2019-03-04,882,957,882,949,106439617
2019-03-05,916,916,882,882,107002953
2019-03-06,912,961,895,949,144197814
2019-03-07,912,912,912,912,0
2019-03-08,887,916,870,874,36870290
2019-03-11,878,895,857,874,24564405
2019-03-12,874,895,866,874,23936772
2019-03-13,924,941,891,899,109443697
2019-03-14,924,945,895,928,38854896
2019-03-15,853,932,853,924,124949984
2019-03-18,824,870,820,853,86896389
2019-03-19,766,824,741,824,217701345
2019-03-20,762,791,762,770,66317899
2019-03-21,778,791,770,778,41236835
2019-03-22,778,795,774,782,31003306
2019-03-25,753,770,749,766,31601422
2019-03-26,816,837,762,762,231094204
2019-03-27,824,845,812,828,84860072
2019-03-28,803,832,803,828,22686311
2019-03-29,799,820,787,812,17454511
2019-04-01,799,824,799,824,8293655
2019-04-02,762,812,758,799,31639863
2019-04-03,762,762,762,762,0
2019-04-04,753,770,745,758,29752273
2019-04-05,770,778,749,749,23043716
2019-04-08,762,778,762,774,13500744
2019-04-09,824,824,758,758,121756675
2019-04-10,807,857,799,832,115712705
2019-04-11,799,812,791,812,20989780
2019-04-12,803,816,795,807,10330202
2019-04-15,778,807,778,807,20372101
2019-04-16,782,795,770,778,34305987
2019-04-17,782,782,782,782,0
2019-04-18,807,824,782,791,60912202
2019-04-19,807,807,807,807,0
2019-04-22,799,824,795,816,9189571
2019-04-23,807,816,795,799,11082423
2019-04-24,812,824,803,824,33421970
2019-04-25,795,816,795,816,13421003
2019-04-26,799,812,787,795,16302783
2019-04-29,791,803,791,799,12028106
2019-04-30,782,799,782,787,16232537
2019-05-01,782,782,782,782,0
2019-05-02,782,791,774,778,12854348
2019-05-03,770,782,766,782,18080657
2019-05-06,770,782,758,770,15431579
2019-05-07,770,782,758,770,22109017
2019-05-08,758,774,749,766,13125033
2019-05-09,712,762,712,758,32768595
2019-05-10,691,712,649,712,88756979
2019-05-13,662,703,658,678,82143380
2019-05-14,645,662,645,662,32585888
2019-05-15,670,737,649,649,188602675
2019-05-16,670,691,662,678,26913052
2019-05-17,666,683,662,683,9662756
2019-05-20,678,687,666,666,15370715
2019-05-21,674,687,674,678,9556129
2019-05-22,670,678,658,674,17784802
2019-05-23,683,699,670,670,20195457
2019-05-24,678,695,674,683,10734399
2019-05-27,653,674,649,674,59380873
2019-05-28,645,670,645,658,31826116
2019-05-29,653,658,641,641,19122555
2019-05-30,653,653,653,653,0
2019-05-31,662,674,649,658,14648697
2019-06-03,662,662,662,662,0
2019-06-04,662,662,662,662,0
2019-06-05,662,662,662,662,0
2019-06-06,662,662,662,662,0
2019-06-07,662,662,662,662,0
2019-06-10,666,678,658,662,18665845
2019-06-11,691,712,670,674,101527582
2019-06-12,683,699,678,695,22600049
2019-06-13,691,699,683,691,17347656
2019-06-14,678,699,678,695,7183685
2019-06-17,662,683,662,678,18688040
2019-06-18,662,670,658,666,7782717
2019-06-19,670,674,662,674,14599616
2019-06-20,662,670,658,670,13056390
2019-06-21,662,666,653,662,17832624
2019-06-24,645,666,645,658,20340982
2019-06-25,649,658,645,649,9935157
2019-06-26,670,670,649,653,22331537
2019-06-27,658,674,658,670,11630887
2019-06-28,649,666,649,658,6884627
2019-07-01,653,662,649,649,4881945
2019-07-02,658,662,653,658,5375608
2019-07-03,653,662,653,658,9020822
2019-07-04,670,678,653,658,39436194
2019-07-05,720,720,662,670,124684561
2019-07-08,737,758,720,720,114457210
2019-07-09,712,741,708,737,21190220
2019-07-10,724,728,703,716,20386058
2019-07-11,716,745,708,728,21408278
2019-07-12,803,807,716,720,179379582
2019-07-15,795,816,782,807,60789329
2019-07-16,791,799,782,795,13234520
2019-07-17,799,824,774,791,59047722
2019-07-18,787,807,787,799,17298690
2019-07-19,791,799,787,791,9111775
2019-07-22,778,799,770,799,14119110
2019-07-23,774,787,770,787,8449820
2019-07-24,728,774,724,774,61994600
2019-07-25,741,749,728,728,14076436
2019-07-26,728,745,724,745,5503858
2019-07-29,749,758,712,728,35494440
2019-07-30,774,778,745,758,48165853
2019-07-31,787,812,778,778,77829004
2019-08-01,770,791,766,791,19662781
2019-08-02,745,770,741,762,23871789
2019-08-05,699,745,695,745,50766308
2019-08-06,716,733,666,691,52444763
2019-08-07,749,766,724,724,69261001
2019-08-08,762,774,753,753,42016514
2019-08-09,745,770,741,766,20293046
2019-08-12,749,758,745,745,11141800
2019-08-13,741,749,741,749,6777200
2019-08-14,803,812,749,749,139602457
2019-08-15,899,907,787,791,398499223
2019-08-16,866,903,857,903,101128648
2019-08-19,853,882,845,862,38243051
2019-08-20,828,862,820,853,72715614
2019-08-21,832,862,820,828,90094503
2019-08-22,824,841,824,837,41798570
2019-08-23,807,828,803,828,40227657
2019-08-26,832,832,766,791,29475067
2019-08-27,820,849,820,837,20934865
2019-08-28,820,841,812,816,25312050
2019-08-29,803,832,799,824,20774010
2019-08-30,807,816,803,812,6358358
