timestamp,open,high,low,close,volume
2024-11-12,135,135,112,130,750166000
2024-11-13,144,177,139,140,459526300
2024-11-14,131,162,118,145,301582300
2024-11-15,138,145,123,132,120469400
2024-11-18,133,141,131,139,42247300
2024-11-19,154,162,134,135,272762400
2024-11-20,206,206,155,155,509770100
2024-11-21,256,256,214,222,284495300
2024-11-22,320,320,264,264,175619200
2024-11-25,280,390,266,320,436377600
2024-11-26,292,322,248,298,256847400
2024-11-28,274,320,252,300,133247600
2024-11-29,232,290,230,274,124969800
2024-12-02,210,236,204,234,115637700
2024-12-03,262,262,212,212,256139700
2024-12-04,252,304,250,286,270071800
2024-12-05,242,256,234,252,55659300
2024-12-06,260,272,242,242,110927600
2024-12-09,252,276,252,262,66866600
2024-12-10,264,278,236,254,110216000
2024-12-11,260,274,256,268,41329600
2024-12-12,258,268,250,266,23868200
2024-12-13,246,262,244,258,16674800
2024-12-16,230,250,224,244,25377600
2024-12-17,216,240,216,230,20138800
2024-12-18,254,258,206,222,124761600
2024-12-19,226,258,224,256,48490900
2024-12-20,224,242,222,228,16494000
2024-12-23,212,232,208,224,25284000
2024-12-24,202,214,200,212,13366700
2024-12-27,202,218,200,208,11827900
2024-12-30,195,206,192,202,14916800
2025-01-02,196,200,190,196,12350500
2025-01-03,212,228,193,196,70663700
2025-01-06,230,232,206,214,55152600
2025-01-07,218,240,216,234,54273400
2025-01-08,210,224,206,216,24814300
2025-01-09,204,216,204,212,9510300
2025-01-10,206,216,202,206,12456100
2025-01-13,200,208,199,206,12296000
2025-01-14,199,206,197,200,8481100
2025-01-15,197,200,195,200,5498200
2025-01-16,190,197,186,197,9887200
2025-01-17,180,190,175,190,14895100
2025-01-20,189,199,184,185,11976400
2025-01-21,181,194,181,190,6866600
2025-01-22,181,189,180,181,8978400
2025-01-23,168,184,167,182,15092600
2025-01-24,160,174,160,170,5844400
2025-01-30,161,172,159,165,3861200
