timestamp,open,high,low,close,volume
2019-01-01,695,695,695,695,0
2019-01-02,680,695,680,695,3273600
2019-01-03,695,695,680,680,3615100
2019-01-04,690,695,685,695,3306400
2019-01-07,690,695,685,690,3066300
2019-01-08,670,690,670,690,3563400
2019-01-09,670,675,665,670,3564500
2019-01-10,675,675,665,670,3444000
2019-01-11,680,685,675,675,3161200
2019-01-14,670,680,665,680,3475600
2019-01-15,680,680,670,670,3607900
2019-01-16,670,680,670,680,4155400
2019-01-17,675,675,670,670,3561000
2019-01-18,685,685,670,675,3979200
2019-01-21,675,685,675,685,4256800
2019-01-22,665,675,665,675,3259000
2019-01-23,665,670,665,665,4218400
2019-01-24,670,670,665,665,4537200
2019-01-25,675,680,670,670,3108300
2019-01-28,685,685,675,675,5340500
2019-01-29,680,695,680,685,4926800
2019-01-30,680,690,680,685,4814300
2019-01-31,685,690,680,680,3329400
2019-02-01,690,690,680,685,5041000
2019-02-04,695,700,685,695,4191300
2019-02-05,695,695,695,695,0
2019-02-06,690,700,685,695,9393100
2019-02-07,690,695,685,690,3429300
2019-02-08,690,695,685,690,5436600
2019-02-11,700,700,690,690,5120100
2019-02-12,700,705,695,700,3463400
2019-02-13,695,705,695,700,4643800
2019-02-14,685,700,685,695,4524100
2019-02-15,675,685,675,685,4669700
2019-02-18,680,680,675,675,3533600
2019-02-19,680,685,680,685,4748500
2019-02-20,680,685,680,680,4655100
2019-02-21,670,680,670,675,4638500
2019-02-22,670,675,670,675,3325500
2019-02-25,680,680,665,665,5411700
2019-02-26,695,710,675,680,5491800
2019-02-27,680,695,680,695,4803100
2019-02-28,680,680,675,675,4749800
2019-03-01,700,700,675,680,5197700
2019-03-04,710,710,700,700,4252800
2019-03-05,710,710,705,710,3913700
2019-03-06,725,725,705,710,4649900
2019-03-07,725,725,725,725,0
2019-03-08,720,730,720,725,3362800
2019-03-11,715,725,715,720,4018100
2019-03-12,705,710,705,710,5160200
2019-03-13,705,710,705,705,3629200
2019-03-14,710,710,705,705,5603900
2019-03-15,715,715,705,710,4293300
2019-03-18,725,730,715,715,5056200
2019-03-19,725,725,720,720,4502400
2019-03-20,725,730,720,720,5592400
2019-03-21,735,735,720,725,4713300
2019-03-22,755,760,735,735,6189300
2019-03-25,775,775,745,755,3197300
2019-03-26,765,785,765,780,4807800
2019-03-27,760,765,755,765,4499400
2019-03-28,745,755,745,750,4640900
2019-03-29,775,775,740,745,5220600
2019-04-01,770,775,770,775,20150900
2019-04-02,765,775,765,765,15836800
2019-04-03,765,765,765,765,0
2019-04-04,770,775,755,755,34779400
2019-04-05,770,775,765,770,5618300
2019-04-08,770,770,765,765,5140300
2019-04-09,765,770,765,770,4942300
2019-04-10,765,770,760,770,3291400
2019-04-11,760,770,755,765,5241600
2019-04-12,765,770,765,765,4425200
2019-04-15,800,800,770,770,5628300
2019-04-16,785,800,785,800,5544300
2019-04-17,785,785,785,785,0
2019-04-18,785,785,770,785,5429900
2019-04-19,785,785,785,785,0
2019-04-22,770,785,770,785,4661600
2019-04-23,755,775,755,770,5830200
2019-04-24,760,760,755,755,4434100
2019-04-25,760,760,725,760,7222800
2019-04-26,760,770,755,760,4851400
2019-04-29,765,765,755,755,6622500
2019-04-30,775,775,765,765,5001900
2019-05-01,775,775,775,775,0
2019-05-02,770,775,770,775,6799700
2019-05-03,755,770,750,770,5574300
2019-05-06,730,755,730,755,7138800
2019-05-07,740,740,725,725,5237100
2019-05-08,745,745,740,740,10128600
2019-05-09,750,750,740,745,5064100
2019-05-10,750,755,745,750,3179300
2019-05-13,765,765,755,755,4910900
2019-05-14,765,770,760,765,4600300
2019-05-15,760,770,755,765,4725400
2019-05-16,755,760,755,760,3608200
2019-05-17,745,755,745,755,5759800
2019-05-20,750,750,745,745,5297000
2019-05-21,760,760,750,750,3616600
2019-05-22,760,760,755,755,5515200
2019-05-23,765,765,760,760,4653800
2019-05-24,765,765,760,765,3886700
2019-05-27,770,770,765,765,4994900
2019-05-28,765,770,755,770,3765700
2019-05-29,765,765,760,765,4307500
2019-05-30,765,765,765,765,0
2019-05-31,765,765,760,765,3839800
2019-06-03,765,765,765,765,0
2019-06-04,765,765,765,765,0
2019-06-05,765,765,765,765,0
2019-06-06,765,765,765,765,0
2019-06-07,765,765,765,765,0
2019-06-10,765,770,765,765,3394900
2019-06-11,765,765,760,765,3977400
2019-06-12,760,765,760,765,3622800
2019-06-13,755,760,755,760,3187000
2019-06-14,750,755,750,755,4294200
2019-06-17,750,750,750,750,3299300
2019-06-18,735,750,735,750,5151800
2019-06-20,735,750,735,750,3588500
2019-06-21,725,740,725,740,5240200
2019-06-24,725,730,720,725,3601300
2019-06-25,725,730,725,730,4695900
2019-06-26,725,730,725,730,3081300
2019-06-27,730,735,730,730,6096500
2019-06-28,730,730,725,730,5444700
2019-07-01,730,735,730,730,5698100
2019-07-02,735,735,725,730,5507000
2019-07-03,745,745,735,735,5434400
2019-07-04,750,755,745,750,6081800
2019-07-05,745,750,740,750,5405700
2019-07-08,735,745,730,745,5260600
2019-07-09,745,745,735,735,5781300
2019-07-10,745,755,745,745,5104500
2019-07-11,750,750,745,745,4856200
2019-07-12,760,760,750,750,5872300
2019-07-15,760,765,755,765,5459300
2019-07-16,760,760,755,760,6369500
2019-07-17,750,770,745,760,5022400
2019-07-18,740,760,740,750,5411600
2019-07-19,745,750,745,745,4277500
2019-07-22,730,745,725,745,4859000
2019-07-23,725,730,720,730,8763500
2019-07-24,720,725,705,725,5935100
2019-07-25,715,725,710,725,5584500
2019-07-26,690,715,690,715,4320200
2019-07-29,680,695,680,695,5210700
2019-07-30,685,690,675,690,4739800
2019-07-31,680,685,670,685,5680300
2019-08-01,695,695,670,680,5216000
2019-08-02,700,700,690,700,4037800
2019-08-05,695,700,690,700,3266300
2019-08-06,695,695,685,695,3602700
2019-08-07,705,705,695,700,4191700
2019-08-08,720,720,705,710,4719500
2019-08-09,725,725,720,725,4212200
2019-08-12,730,740,725,725,4112800
2019-08-13,725,735,720,735,4254700
2019-08-14,740,740,730,730,5326300
2019-08-15,740,740,730,740,4907600
2019-08-16,740,750,740,740,4889000
2019-08-19,740,755,740,745,5354000
2019-08-20,750,755,745,745,6598700
2019-08-21,760,765,750,750,4561600
2019-08-22,765,765,755,760,6546800
2019-08-23,790,790,760,765,5594600
2019-08-26,790,790,770,790,3926200
2019-08-27,800,805,790,790,5510600
2019-08-28,800,810,795,800,4719500
2019-08-29,805,810,795,795,5233600
2019-08-30,815,815,800,800,6458800
2019-09-02,815,815,800,815,5030700
2019-09-03,820,825,815,815,5962800
2019-09-04,825,825,815,820,5485400
2019-09-05,830,835,820,825,6373300
2019-09-06,830,830,825,830,5826300
2019-09-09,825,840,825,830,6916900
2019-09-10,815,825,815,825,5935600
2019-09-11,805,810,795,810,7536700
2019-09-12,805,815,805,805,5568000
2019-09-13,810,815,805,805,6198600
2019-09-16,805,810,805,810,5177400
2019-09-17,805,815,805,805,5100200
2019-09-18,810,825,805,805,5958700
2019-09-19,815,815,805,810,5426000
2019-09-20,825,830,810,815,6224000
2019-09-23,825,835,825,825,5677800
2019-09-24,830,830,820,820,4638600
2019-09-25,845,845,825,830,6260500
2019-09-26,870,895,845,845,5146400
