timestamp,open,high,low,close,volume
2019-01-01,880,880,880,880,0
2019-01-02,880,885,876,885,121900
2019-01-03,876,885,871,880,118900
2019-01-04,880,880,867,871,121500
2019-01-07,885,885,867,876,166100
2019-01-08,871,885,867,885,145300
2019-01-09,871,876,867,871,117900
2019-01-10,871,871,862,862,123600
2019-01-11,862,867,858,867,107200
2019-01-14,853,862,849,862,119600
2019-01-15,853,858,849,853,111300
2019-01-16,858,858,844,853,128700
2019-01-17,862,867,858,858,148700
2019-01-18,862,862,858,862,98100
2019-01-21,858,862,849,862,104100
2019-01-22,853,858,853,858,94500
2019-01-23,858,858,849,849,118700
2019-01-24,853,858,849,853,130800
2019-01-25,853,858,849,853,130600
2019-01-28,849,853,844,849,106900
2019-01-29,844,849,839,849,101200
2019-01-30,849,853,844,844,106500
2019-01-31,853,858,849,849,108900
2019-02-01,849,858,849,853,102100
2019-02-04,849,858,849,849,114000
2019-02-05,849,849,849,849,0
2019-02-06,853,858,849,849,125100
2019-02-07,849,853,844,849,103700
2019-02-08,853,853,844,849,111800
2019-02-11,853,853,844,849,114100
2019-02-12,849,853,844,853,109100
2019-02-13,844,853,844,849,98700
2019-02-14,844,849,844,844,101800
2019-02-15,844,844,839,844,110100
2019-02-18,844,844,835,839,125900
2019-02-19,844,844,839,844,130900
2019-02-20,839,844,839,844,5100
2019-02-21,839,839,835,839,92700
2019-02-22,839,839,839,839,109400
2019-02-25,839,844,839,839,94300
2019-02-26,839,839,839,839,96600
2019-02-27,835,835,835,835,118700
2019-02-28,835,835,835,835,108600
2019-03-01,835,835,835,835,94100
2019-03-04,835,835,830,835,95100
2019-03-05,835,835,830,835,107300
2019-03-06,835,835,830,830,110300
2019-03-07,835,835,835,835,0
2019-03-08,830,830,826,830,109500
2019-03-11,826,830,826,830,96300
2019-03-12,830,830,826,830,107500
2019-03-13,826,826,826,826,89800
2019-03-14,826,826,826,826,83300
2019-03-15,826,830,826,830,94200
2019-03-18,826,826,826,826,114000
2019-03-19,826,826,821,826,59900
2019-03-20,808,826,808,826,123800
2019-03-21,812,817,808,812,115400
2019-03-22,817,817,812,812,101300
2019-03-25,812,817,808,817,86300
2019-03-26,808,817,808,808,103100
2019-03-27,817,817,808,812,103200
2019-03-28,799,812,799,812,96000
2019-03-29,794,799,785,799,105600
2019-04-01,799,799,794,794,95200
2019-04-02,794,799,794,799,29800
2019-04-03,794,794,794,794,0
2019-04-04,794,794,790,794,93800
2019-04-05,794,799,790,799,96000
2019-04-08,785,799,780,799,96600
2019-04-09,790,790,785,785,96400
2019-04-10,785,785,785,785,95100
2019-04-11,785,785,780,785,93700
2019-04-12,785,785,780,785,86800
2019-04-15,785,785,785,785,90900
2019-04-16,790,790,785,785,101100
2019-04-17,790,790,790,790,0
2019-04-18,785,785,780,785,100900
2019-04-19,785,785,785,785,0
2019-04-22,785,785,780,785,100200
2019-04-23,780,785,780,785,127000
2019-04-24,785,785,780,780,100600
2019-04-25,776,780,776,780,94200
2019-04-26,776,776,771,771,113300
2019-04-29,776,776,771,771,134700
2019-04-30,771,771,771,771,104900
2019-05-01,771,771,771,771,0
2019-05-02,762,767,758,767,108500
2019-05-03,749,758,749,758,137900
2019-05-06,735,744,735,744,103700
2019-05-07,731,731,726,731,129600
2019-05-08,717,726,712,726,137100
2019-05-09,712,717,708,712,105000
2019-05-10,723,723,719,723,113200
2019-05-13,714,723,714,719,111600
2019-05-14,696,710,696,710,111100
2019-05-15,696,700,691,696,108800
2019-05-16,673,691,668,691,99200
2019-05-17,664,668,664,668,114700
2019-05-20,677,677,659,659,148900
2019-05-21,691,691,673,673,146700
2019-05-22,696,696,691,691,122000
2019-05-23,710,710,696,696,150600
2019-05-24,723,723,710,710,143900
2019-05-27,742,742,723,723,170400
2019-05-28,742,747,742,742,119600
2019-05-29,751,751,742,742,103900
2019-05-30,751,751,751,751,0
2019-05-31,760,760,751,751,116800
2019-06-03,760,760,760,760,0
2019-06-04,760,760,760,760,0
2019-06-05,760,760,760,760,0
2019-06-06,760,760,760,760,0
2019-06-07,760,760,760,760,0
2019-06-10,770,770,742,760,126400
2019-06-11,779,783,765,765,167200
2019-06-12,774,774,770,774,81700
2019-06-13,774,774,770,774,111800
2019-06-14,770,774,765,774,99400
2019-06-17,765,770,751,770,133200
2019-06-18,779,779,765,765,147200
2019-06-20,779,783,774,783,113300
2019-06-21,774,779,770,779,107400
2019-06-24,770,774,765,774,113600
2019-06-25,779,779,770,770,117800
2019-06-26,783,783,779,779,102300
2019-06-27,797,797,783,783,135100
2019-06-28,802,802,793,793,100300
2019-07-01,802,802,797,802,106900
2019-07-02,802,802,793,802,112200
2019-07-03,797,802,793,802,95700
2019-07-04,802,802,797,797,91900
2019-07-05,802,802,793,802,105600
2019-07-08,797,802,783,802,112700
2019-07-09,802,802,793,797,120600
2019-07-10,820,820,797,802,153100
2019-07-11,820,820,816,820,104100
2019-07-12,797,820,797,820,113700
2019-07-15,797,802,783,797,123800
2019-07-16,793,797,788,797,110600
2019-07-17,793,793,788,793,97400
2019-07-18,797,797,793,793,128400
2019-07-19,802,802,793,793,143200
2019-07-22,802,802,797,802,105600
2019-07-23,793,802,793,802,112200
2019-07-24,788,797,783,793,99500
2019-07-25,788,788,783,788,110600
2019-07-26,783,788,779,788,114900
2019-07-29,783,783,783,783,101300
2019-07-30,783,793,783,783,104300
2019-07-31,783,788,779,779,106700
2019-08-01,783,783,779,779,110900
2019-08-02,783,783,765,765,105200
2019-08-05,779,783,779,783,90100
2019-08-06,779,783,774,779,113700
2019-08-07,793,793,779,779,113400
2019-08-08,793,797,788,793,104200
2019-08-09,793,802,788,793,122100
2019-08-12,793,793,788,788,101800
2019-08-13,793,793,774,793,83500
2019-08-14,797,797,783,788,118500
2019-08-15,793,793,793,793,105400
2019-08-16,802,802,793,793,107500
2019-08-19,806,806,797,802,104900
2019-08-20,806,811,806,806,88100
2019-08-21,802,806,797,806,370600
2019-08-22,802,802,793,802,388700
2019-08-23,811,811,802,802,120200
2019-08-26,802,811,797,811,98100
2019-08-27,811,811,802,802,115400
2019-08-28,811,811,802,811,104900
2019-08-29,811,811,802,811,101300
2019-08-30,816,816,811,811,113200
2019-09-02,811,816,802,816,128600
2019-09-03,811,811,788,811,124100
2019-09-04,811,816,802,811,126100
2019-09-05,820,820,797,811,139300
2019-09-06,820,820,811,820,107400
2019-09-09,825,825,816,820,118200
2019-09-10,820,829,820,825,131700
2019-09-11,825,825,816,820,119700
2019-09-12,816,825,816,825,113200
2019-09-13,816,820,816,816,105500
2019-09-16,806,816,806,816,108200
2019-09-17,806,806,797,806,108700
2019-09-18,806,806,793,806,125500
2019-09-19,806,811,802,806,120800
2019-09-20,806,806,802,806,104900
2019-09-23,802,802,797,802,109300
2019-09-24,797,797,788,797,97400
2019-09-25,802,802,793,797,94700
2019-09-26,811,811,802,802,110700
2019-09-27,811,811,802,802,111400
2019-09-30,806,806,802,806,109300
2019-10-01,806,806,797,802,107400
2019-10-02,797,806,797,806,95100
2019-10-03,797,797,793,797,112800
2019-10-04,802,802,779,779,118300
2019-10-07,793,802,783,802,113400
2019-10-08,788,793,783,793,103700
2019-10-09,797,802,788,788,116600
2019-10-10,806,806,797,797,107600
2019-10-11,802,806,802,806,113800
2019-10-14,802,806,802,802,110700
2019-10-15,811,811,802,802,117100
2019-10-16,811,811,806,811,103900
2019-10-17,802,811,797,811,107100
2019-10-18,802,806,783,783,105700
2019-10-21,806,811,802,802,120400
2019-10-22,811,811,802,806,116700
2019-10-23,806,811,802,811,114700
2019-10-24,816,816,806,806,101400
2019-10-25,811,816,806,816,107800
2019-10-28,806,816,793,811,105900
2019-10-29,806,806,797,806,109200
2019-10-30,816,816,806,806,99800
2019-10-31,811,816,806,816,102800
2019-11-01,806,811,806,811,112100
2019-11-04,806,806,802,806,111800
2019-11-05,806,806,797,806,127800
2019-11-06,797,802,793,802,101100
2019-11-07,793,797,779,797,96200
2019-11-08,788,788,783,788,112700
2019-11-11,779,788,770,788,103300
2019-11-12,774,779,774,774,115300
2019-11-13,770,774,765,774,115800
2019-11-14,765,765,760,765,114600
2019-11-15,765,765,756,765,105800
2019-11-18,760,765,756,765,100800
2019-11-19,756,760,751,760,113300
2019-11-20,756,756,747,756,103300
2019-11-21,756,756,751,756,106900
2019-11-22,770,770,756,756,108600
2019-11-25,779,779,770,770,98300
2019-11-26,788,788,765,779,139800
2019-11-27,788,793,774,788,109900
2019-11-28,779,788,770,788,95800
2019-11-29,783,783,779,779,109900
2019-12-02,783,783,774,783,106100
2019-12-03,779,779,765,779,89300
2019-12-04,774,779,770,779,107700
2019-12-05,783,783,774,774,100600
2019-12-06,779,779,774,779,105300
2019-12-09,783,783,779,779,103800
2019-12-10,779,779,774,779,110900
2019-12-11,779,779,774,779,102000
2019-12-12,765,779,760,779,111200
2019-12-13,760,765,756,765,102900
2019-12-16,765,765,760,760,117600
2019-12-17,774,774,765,765,104600
2019-12-18,779,783,774,774,102700
2019-12-19,774,779,774,779,95700
2019-12-20,774,779,774,774,103300
2019-12-23,779,783,774,774,98400
2019-12-26,774,779,760,779,104600
2019-12-27,774,774,770,774,103800
2019-12-30,774,779,774,774,101800
2020-01-02,774,774,765,774,100200
2020-01-03,783,783,774,774,102200
2020-01-06,783,783,765,765,106200
2020-01-07,783,783,779,783,91200
2020-01-08,774,783,774,783,105200
2020-01-09,779,783,774,774,102800
2020-01-10,774,783,774,779,110700
2020-01-13,774,783,774,774,118400
2020-01-14,770,774,770,774,102200
2020-01-15,765,770,765,770,77000
2020-01-16,765,765,760,765,113100
2020-01-17,774,774,765,765,105800
2020-01-20,770,774,770,774,107800
2020-01-21,774,779,770,770,100300
2020-01-22,783,783,774,774,105900
2020-01-23,788,788,779,783,782600
2020-01-24,788,793,788,788,103000
2020-01-27,765,788,760,788,95700
2020-01-28,770,770,765,765,112300
2020-01-29,774,774,770,770,107600
2020-01-30,770,774,765,774,102900
2020-01-31,760,770,760,770,102600
2020-02-03,751,760,742,742,658400
2020-02-04,765,765,751,751,113800
2020-02-05,770,770,765,765,111800
2020-02-06,756,770,751,770,110300
2020-02-07,760,765,747,756,101800
2020-02-10,742,760,742,760,103000
2020-02-11,742,747,742,742,105100
2020-02-12,737,742,723,742,113800
2020-02-13,737,737,719,737,98900
2020-02-14,742,742,737,737,114000
2020-02-17,747,747,742,742,98300
2020-02-18,756,756,747,747,113700
2020-02-19,770,770,756,756,138800
2020-02-20,770,774,770,770,89700
2020-02-21,765,770,765,770,91100
2020-02-24,765,770,747,747,107100
2020-02-25,765,770,765,765,94700
2020-02-26,756,765,756,765,109100
2020-02-27,747,756,747,756,94700
2020-02-28,747,747,737,742,96100
2020-03-02,747,747,747,747,0
2020-03-03,747,747,747,747,100
2020-03-04,747,747,747,747,0
2020-03-05,747,747,747,747,0
2020-03-06,747,747,747,747,0
2020-03-09,747,747,747,747,0
2020-03-10,747,747,719,719,1200
2020-03-11,719,719,719,719,4000
2020-03-12,700,710,700,710,20500
2020-03-13,700,700,700,700,0
2020-03-16,700,700,700,700,0
2020-03-17,700,700,700,700,0
2020-03-18,700,700,700,700,0
2020-03-19,700,700,700,700,0
2020-03-20,700,700,700,700,300
2020-03-23,700,700,700,700,2200
2020-03-24,700,700,700,700,100
2020-03-26,700,700,700,700,100
2020-03-27,700,700,700,700,0
2020-03-30,700,700,700,700,0
2020-03-31,700,700,700,700,100
2020-04-01,700,700,700,700,0
2020-04-02,700,700,700,700,0
2020-04-03,700,700,700,700,0
2020-04-06,700,700,700,700,0
2020-04-07,700,700,700,700,0
2020-04-08,700,700,700,700,0
2020-04-09,700,700,700,700,0
2020-04-13,700,700,700,700,0
2020-04-14,700,700,700,700,0
2020-04-15,700,700,700,700,0
2020-04-16,700,700,700,700,0
2020-04-17,700,700,700,700,0
2020-04-20,700,700,700,700,0
2020-04-21,700,700,700,700,0
2020-04-22,700,700,700,700,0
2020-04-23,654,654,654,654,100
2020-04-24,654,654,654,654,0
2020-04-27,654,654,654,654,0
2020-04-28,654,654,654,654,0
2020-04-29,654,654,654,654,0
2020-04-30,654,654,654,654,0
2020-05-04,654,654,654,654,0
2020-05-05,654,654,654,654,0
2020-05-06,654,654,654,654,0
2020-05-08,613,613,613,613,100
2020-05-11,613,613,613,613,0
2020-05-12,613,613,613,613,0
2020-05-13,613,613,613,613,0
2020-05-14,613,613,613,613,0
2020-05-15,613,613,613,613,0
2020-05-18,613,613,613,613,0
2020-05-19,613,613,613,613,0
2020-05-20,613,613,613,613,11000
2020-05-26,613,613,613,613,0
2020-05-27,613,613,613,613,0
2020-05-28,613,613,613,613,0
2020-05-29,613,613,613,613,0
2020-06-02,613,613,613,613,0
2020-06-03,613,613,613,613,0
2020-06-04,737,765,737,765,1400
2020-06-05,737,737,737,737,0
2020-06-08,765,765,765,765,300
2020-06-09,765,765,765,765,0
2020-06-10,737,765,737,765,200
2020-06-11,737,737,737,737,100
2020-06-12,737,737,737,737,100
2020-06-15,737,737,737,737,0
2020-06-16,737,737,737,737,100
2020-06-17,737,737,737,737,0
2020-06-18,922,922,687,705,20100
2020-06-19,894,922,894,922,5400
