timestamp,open,high,low,close,volume
2019-01-01,471,471,471,471,0
2019-01-02,474,482,473,473,44467684
2019-01-03,474,482,463,480,46472780
2019-01-04,476,476,471,473,29995482
2019-01-07,480,480,469,478,54520324
2019-01-08,471,486,465,480,45892424
2019-01-09,467,474,449,471,70061207
2019-01-10,461,469,457,469,13031368
2019-01-11,473,473,453,461,26149237
2019-01-14,473,476,457,473,44432983
2019-01-15,471,474,463,473,36263735
2019-01-16,463,480,463,467,56136673
2019-01-17,453,473,453,473,45111407
2019-01-18,467,469,453,453,19354941
2019-01-21,463,473,459,471,20746489
2019-01-22,471,473,457,463,24205495
2019-01-23,474,482,467,471,45731996
2019-01-24,478,480,469,480,27168633
2019-01-25,480,486,473,480,24520819
2019-01-28,506,506,480,480,54342798
2019-01-29,504,512,496,508,25126321
2019-01-30,514,516,498,504,37942947
2019-01-31,514,520,504,516,31563048
2019-02-01,504,516,504,514,55124820
2019-02-04,506,506,486,502,32649834
2019-02-05,506,506,506,506,0
2019-02-06,508,510,496,506,32484880
2019-02-07,504,512,494,512,50570983
2019-02-08,492,504,486,504,43964775
2019-02-11,482,492,476,492,41633291
2019-02-12,500,500,471,482,53364640
2019-02-13,512,518,496,506,53036744
2019-02-14,532,571,510,514,105680214
2019-02-15,551,555,534,534,97858476
2019-02-18,577,579,555,557,125071867
2019-02-19,563,581,563,579,55589005
2019-02-20,563,567,555,563,59882839
2019-02-21,591,591,559,563,71830439
2019-02-22,591,593,581,591,40071759
2019-02-25,597,597,579,591,167386600
2019-02-26,589,597,587,597,46903270
2019-02-27,587,593,579,591,38852206
2019-02-28,591,591,555,583,78475874
2019-03-01,591,591,579,591,54440865
2019-03-04,581,591,577,589,44067871
2019-03-05,583,587,569,585,32900282
2019-03-06,606,606,583,585,110912978
2019-03-07,606,606,606,606,0
2019-03-08,599,606,597,606,56491223
2019-03-11,593,599,587,599,52102842
2019-03-12,591,593,585,593,62729805
2019-03-13,593,599,589,591,39230896
2019-03-14,620,622,591,593,109253882
2019-03-15,650,652,622,622,113612591
2019-03-18,654,658,640,650,53796639
2019-03-19,648,658,646,650,63851291
2019-03-20,650,650,632,642,57510116
2019-03-21,679,679,650,652,79748233
2019-03-22,677,683,673,679,86493243
2019-03-25,681,683,665,675,95533529
2019-03-26,697,699,679,683,227074311
2019-03-27,691,699,687,697,96151101
2019-03-28,705,707,691,695,216140071
2019-03-29,701,705,695,705,80248124
2019-04-01,719,723,703,705,162266990
