timestamp,open,high,low,close,volume
2019-01-01,225,225,225,225,0
2019-01-02,225,229,219,225,562200
2019-01-03,225,229,219,219,280000
2019-01-04,227,229,223,225,263700
2019-01-07,231,235,227,227,1085300
2019-01-08,239,245,235,235,1499600
2019-01-09,276,297,241,241,35521400
2019-01-10,250,284,246,278,19312900
2019-01-11,252,258,246,252,2286200
2019-01-14,254,258,243,243,1671700
2019-01-15,260,268,252,254,2729200
2019-01-16,260,272,258,264,1360100
2019-01-17,258,264,258,262,913000
2019-01-18,254,264,252,258,782000
2019-01-21,260,266,254,258,1128800
2019-01-22,258,262,256,260,880200
2019-01-23,268,276,256,258,4493800
2019-01-24,270,278,268,270,1589700
2019-01-25,274,278,270,270,2030200
2019-01-28,274,280,270,274,1039900
2019-01-29,262,276,262,274,1326700
2019-01-30,272,274,258,264,821500
2019-01-31,272,280,272,272,688500
2019-02-01,274,280,272,272,539500
2019-02-04,272,274,266,274,715900
2019-02-05,272,272,272,272,0
2019-02-06,286,290,272,272,1824600
2019-02-07,284,291,284,290,1744000
2019-02-08,276,284,276,284,490200
2019-02-11,288,291,276,276,1176800
2019-02-12,272,288,262,288,1096600
2019-02-13,276,282,268,274,553200
2019-02-14,270,282,266,276,518600
2019-02-15,268,276,264,270,577900
2019-02-18,270,274,266,268,325800
2019-02-19,270,276,264,274,425700
2019-02-20,270,270,264,270,424900
2019-02-21,270,274,264,270,266400
2019-02-22,270,274,266,270,195500
2019-02-25,268,270,264,270,498800
2019-02-26,266,272,254,268,992000
2019-02-27,270,272,264,266,699000
2019-02-28,270,278,266,270,694200
2019-03-01,270,272,266,270,404400
2019-03-04,270,274,268,272,309000
2019-03-05,268,270,264,268,642200
2019-03-06,266,268,260,268,571100
2019-03-07,266,266,266,266,0
2019-03-08,258,266,258,266,677400
2019-03-11,258,258,248,248,626800
2019-03-12,252,258,248,248,60800
2019-03-13,250,254,246,246,366300
2019-03-14,250,256,248,252,241100
2019-03-15,254,258,246,246,300000
2019-03-18,252,256,246,248,293200
2019-03-19,254,256,246,246,149100
2019-03-20,256,258,248,248,322600
2019-03-21,252,260,248,248,216300
2019-03-22,256,262,248,248,90900
2019-03-25,252,256,248,248,281900
2019-03-26,254,262,250,250,378600
2019-03-27,254,260,248,248,267300
2019-03-28,254,258,254,256,105200
2019-03-29,248,256,246,256,851100
2019-04-01,248,252,246,252,395800
2019-04-02,246,252,246,250,291700
2019-04-03,246,246,246,246,0
2019-04-04,252,256,243,246,237800
2019-04-05,248,258,245,245,223600
2019-04-08,248,250,237,237,360000
2019-04-09,248,250,246,246,104000
2019-04-10,252,252,245,245,60300
2019-04-11,250,254,243,243,125700
2019-04-12,248,252,243,243,189100
2019-04-15,248,252,243,245,423800
2019-04-16,252,252,237,239,2233200
2019-04-17,252,252,252,252,0
2019-04-18,246,252,245,252,380100
2019-04-19,246,246,246,246,0
2019-04-22,245,246,243,246,159700
2019-04-23,246,248,245,246,164800
2019-04-24,246,248,243,246,216700
2019-04-25,245,250,245,248,274900
2019-04-26,246,248,245,248,80000
2019-04-29,246,248,245,246,334700
2019-04-30,246,250,246,248,91900
2019-05-01,246,246,246,246,0
2019-05-02,246,248,245,246,235600
2019-05-03,231,246,229,246,1295800
2019-05-06,217,231,198,231,947100
2019-05-07,221,227,217,217,229000
2019-05-08,217,227,215,221,413700
