timestamp,open,high,low,close,volume
2019-01-01,1413,1413,1413,1413,0
2019-01-02,1413,1413,1413,1413,0
2019-01-03,1413,1413,1413,1413,0
2019-01-04,1413,1413,1413,1413,0
2019-01-07,1337,1351,1337,1351,312000
2019-01-08,1266,1307,1259,1271,206000
2019-01-09,1257,1266,1195,1266,174000
2019-01-10,1245,1257,1245,1257,76000
2019-01-11,1266,1266,1245,1252,118000
2019-01-14,1280,1280,1269,1278,94000
2019-01-15,1280,1280,1280,1280,42000
2019-01-16,1298,1298,1280,1280,99000
2019-01-17,1298,1298,1298,1298,0
2019-01-18,1273,1298,1273,1298,47000
2019-01-21,1309,1360,1309,1360,21000
2019-01-22,1287,1337,1287,1337,19000
2019-01-23,1287,1309,1287,1309,11000
2019-01-24,1294,1344,1294,1344,10000
2019-01-25,1294,1294,1294,1294,0
2019-01-28,1287,1294,1287,1294,8000
2019-01-29,1337,1337,1337,1337,5000
2019-01-30,1301,1333,1301,1333,26000
2019-01-31,1351,1351,1280,1316,276000
2019-02-01,1330,1351,1330,1351,13000
2019-02-04,1387,1387,1373,1373,3000
2019-02-05,1387,1387,1387,1387,0
2019-02-06,1330,1387,1323,1387,59000
2019-02-07,1342,1351,1325,1351,202000
2019-02-08,1344,1344,1344,1344,240000
2019-02-11,1344,1348,1337,1344,22000
2019-02-12,1280,1351,1280,1351,45000
2019-02-13,1344,1351,1337,1351,18000
2019-02-14,1351,1351,1337,1351,171000
2019-02-15,1330,1333,1330,1333,11000
2019-02-18,1351,1351,1351,1351,3000
2019-02-19,1351,1351,1344,1351,78000
2019-02-20,1351,1351,1351,1351,10000
2019-02-21,1339,1351,1339,1351,4000
2019-02-22,1351,1369,1341,1341,252000
2019-02-25,1351,1351,1337,1337,8000
2019-02-26,1337,1351,1337,1351,14000
2019-02-27,1349,1349,1349,1349,1000
2019-02-28,1349,1349,1349,1349,0
2019-03-01,1337,1337,1337,1337,9000
2019-03-04,1337,1337,1337,1337,5000
2019-03-05,1337,1337,1337,1337,0
2019-03-06,1337,1337,1337,1337,5000
2019-03-07,1337,1337,1337,1337,0
2019-03-08,1337,1337,1337,1337,0
2019-03-11,1280,1330,1280,1330,50000
2019-03-12,1337,1337,1266,1273,130000
2019-03-13,1323,1323,1323,1323,5000
2019-03-14,1351,1351,1316,1316,9000
2019-03-15,1351,1351,1351,1351,0
2019-03-18,1355,1355,1316,1316,710000
2019-03-19,1355,1355,1355,1355,905000
2019-03-20,1355,1355,1355,1355,1450000
2019-03-21,1355,1355,1351,1355,2210000
2019-03-22,1355,1355,1351,1351,5417000
2019-03-25,1362,1362,1355,1355,244000
2019-03-26,1362,1362,1362,1362,0
2019-03-27,1362,1362,1362,1362,0
2019-03-28,1362,1362,1362,1362,0
2019-03-29,1344,1344,1344,1344,8000
2019-04-01,1344,1344,1344,1344,0
2019-04-02,1344,1344,1344,1344,0
2019-04-03,1344,1344,1344,1344,0
2019-04-04,1351,1351,1351,1351,100000
2019-04-05,1351,1351,1351,1351,205000
2019-04-08,1351,1351,1351,1351,5000
2019-04-09,1351,1351,1351,1351,5000
2019-04-10,1351,1351,1351,1351,60000
2019-04-11,1351,1351,1351,1351,10000
2019-04-12,1351,1351,1351,1351,53000
2019-04-15,1351,1351,1351,1351,0
2019-04-16,1351,1351,1351,1351,0
2019-04-17,1351,1351,1351,1351,0
2019-04-18,1373,1373,1351,1351,1106000
2019-04-19,1373,1373,1373,1373,0
2019-04-22,1373,1373,1373,1373,0
2019-04-23,1373,1373,1373,1373,0
2019-04-24,1373,1373,1373,1373,0
