timestamp,open,high,low,close,volume
2019-01-01,377,377,377,377,0
2019-01-02,377,407,374,380,208200
2019-01-03,407,407,377,380,105300
2019-01-04,401,407,389,407,74300
2019-01-07,395,413,395,407,18500
2019-01-08,413,442,395,395,278900
2019-01-09,427,430,401,413,39600
2019-01-10,424,424,424,424,2900
2019-01-11,413,442,413,430,46800
2019-01-14,410,424,410,413,37900
2019-01-15,413,413,413,413,20200
2019-01-16,427,433,413,413,28000
2019-01-17,421,433,421,433,13000
2019-01-18,421,421,416,421,28000
2019-01-21,421,421,421,421,700
2019-01-22,424,433,424,433,4200
2019-01-23,424,424,424,424,174900
2019-01-24,410,424,392,424,721800
2019-01-25,410,421,410,419,171600
2019-01-28,416,416,410,416,52400
2019-01-29,410,413,407,410,75700
2019-01-30,413,413,410,410,27800
2019-01-31,407,424,407,424,29300
2019-02-01,416,416,407,407,57200
2019-02-04,404,419,401,416,198600
2019-02-05,404,404,404,404,0
2019-02-06,410,413,404,413,99800
2019-02-07,433,492,410,410,205100
2019-02-08,427,442,419,433,111400
2019-02-11,424,442,424,442,26900
2019-02-12,424,424,419,424,27500
2019-02-13,427,433,421,424,20500
2019-02-14,419,436,416,419,27600
2019-02-15,416,433,416,433,2100
2019-02-18,430,436,416,416,22500
2019-02-19,421,454,413,419,75300
2019-02-20,419,430,419,430,12600
2019-02-21,421,442,419,436,74500
2019-02-22,421,421,421,421,0
2019-02-25,421,421,421,421,8300
2019-02-26,419,421,419,421,9100
2019-02-27,413,419,413,419,152000
2019-02-28,413,419,413,419,55000
2019-03-01,413,413,410,413,5300
2019-03-04,404,413,404,413,80500
2019-03-05,407,413,407,413,10500
2019-03-06,401,410,401,407,197400
2019-03-07,401,401,401,401,0
2019-03-08,401,401,401,401,0
2019-03-11,416,416,410,410,11700
2019-03-12,401,410,401,410,16900
2019-03-13,398,404,392,404,92300
2019-03-14,398,398,398,398,2000
2019-03-15,398,398,398,398,0
2019-03-18,413,413,413,413,1800
2019-03-19,410,410,401,404,2700
2019-03-20,416,416,407,410,1300
2019-03-21,416,416,404,407,8900
2019-03-22,416,416,416,416,0
2019-03-25,407,410,407,410,11800
2019-03-26,407,407,407,407,15600
2019-03-27,407,413,407,413,1200
2019-03-28,407,407,404,407,5900
2019-03-29,413,430,407,407,1900
2019-04-01,413,413,413,413,0
2019-04-02,445,460,404,413,81800
2019-04-03,445,445,445,445,0
2019-04-04,424,436,398,413,66300
2019-04-05,427,430,407,430,2800
2019-04-08,433,433,407,424,13600
2019-04-09,442,442,416,416,9200
2019-04-10,430,442,416,416,23400
2019-04-11,439,442,424,442,10300
2019-04-12,436,436,416,419,11500
2019-04-15,421,430,413,419,130900
2019-04-16,419,419,410,419,12700
2019-04-17,419,419,419,419,0
2019-04-18,421,436,419,419,4300
2019-04-19,421,421,421,421,0
2019-04-22,421,421,419,421,18200
2019-04-23,424,424,421,421,75500
2019-04-24,424,439,424,424,110600
2019-04-25,424,427,424,424,6800
2019-04-26,421,421,421,421,500
2019-04-29,424,436,421,433,39200
2019-04-30,463,489,424,424,810900
2019-05-01,463,463,463,463,0
2019-05-02,475,498,469,472,398100
2019-05-03,472,480,463,478,172900
2019-05-06,478,492,448,463,306600
2019-05-07,480,486,480,480,10800
2019-05-08,480,480,466,466,62400
2019-05-09,472,478,463,478,22100
2019-05-10,466,472,466,472,26700
2019-05-13,457,483,457,483,63400
2019-05-14,472,472,448,457,28100
2019-05-15,460,472,460,472,4200
2019-05-16,457,469,445,445,43800
2019-05-17,451,451,442,448,93400
2019-05-20,454,454,454,454,4200
2019-05-21,454,478,454,475,6000
2019-05-22,451,469,451,469,111300
2019-05-23,448,463,439,451,927600
2019-05-24,451,454,442,451,340600
2019-05-27,442,454,442,454,1643000
2019-05-28,439,451,436,442,719000
2019-05-29,439,448,439,439,322300
2019-05-30,439,439,439,439,0
2019-05-31,442,448,439,448,506000
2019-06-03,442,442,442,442,0
2019-06-04,442,442,442,442,0
2019-06-05,442,442,442,442,0
2019-06-06,442,442,442,442,0
2019-06-07,442,442,442,442,0
2019-06-10,454,460,448,454,508500
2019-06-11,463,466,454,454,441400
2019-06-12,472,480,454,463,340500
2019-06-13,472,489,469,478,623100
2019-06-14,478,489,472,472,136300
2019-06-17,472,478,472,478,245100
2019-06-18,472,507,472,472,344400
2019-06-20,469,486,457,483,2081200
2019-06-21,475,483,469,483,1104900
2019-06-24,483,495,478,483,2152500
2019-06-25,483,489,480,483,492200
2019-06-26,480,489,472,486,1154800
2019-06-27,490,506,481,506,644100
2019-06-28,490,496,487,496,139800
2019-07-01,490,503,487,503,175500
2019-07-02,490,493,487,490,53500
2019-07-03,487,490,484,490,97500
2019-07-04,490,493,487,487,71000
2019-07-05,493,493,487,490,366000
2019-07-08,496,499,490,496,343800
2019-07-09,506,509,496,499,522900
2019-07-10,506,512,493,506,169000
2019-07-11,506,509,503,509,200100
2019-07-12,506,509,499,506,501700
2019-07-15,506,509,499,499,62000
2019-07-16,506,509,499,506,103900
2019-07-17,506,506,506,506,105300
2019-07-18,506,506,503,506,211800
2019-07-19,506,509,503,509,144700
2019-07-22,506,515,506,506,263300
2019-07-23,515,515,506,509,297100
2019-07-24,515,515,509,512,193300
2019-07-25,512,515,512,515,108600
2019-07-26,525,525,512,512,631000
2019-07-29,525,531,522,531,300800
2019-07-30,541,547,528,528,508000
2019-07-31,528,544,512,544,1462800
2019-08-01,522,528,518,525,747000
2019-08-02,518,522,515,522,150500
2019-08-05,518,560,512,518,343200
2019-08-06,515,522,499,509,366900
2019-08-07,515,531,509,515,330300
2019-08-08,515,518,512,515,162600
2019-08-09,509,518,509,518,24600
2019-08-12,518,518,499,509,10700
2019-08-13,506,518,499,509,200500
2019-08-14,512,518,509,518,6200
2019-08-15,512,515,503,512,3600
2019-08-16,506,512,496,496,43600
2019-08-19,515,518,506,518,6300
2019-08-20,506,512,506,512,5300
2019-08-21,512,512,506,506,18200
2019-08-22,518,528,509,509,114600
2019-08-23,525,528,506,518,48700
2019-08-26,522,525,506,525,41600
2019-08-27,518,518,509,509,16700
2019-08-28,509,518,509,518,36500
2019-08-29,512,515,506,509,58900
2019-08-30,506,512,503,512,146600
2019-09-02,509,515,503,512,236400
2019-09-03,499,509,499,506,396700
2019-09-04,506,506,493,499,85900
2019-09-05,503,503,496,499,62200
2019-09-06,515,515,493,499,515100
2019-09-09,515,515,506,509,384800
2019-09-10,525,525,496,509,2491500
2019-09-11,528,528,522,525,478600
2019-09-12,531,556,525,531,422300
2019-09-13,531,531,522,528,273800
2019-09-16,503,531,503,531,551000
2019-09-17,506,509,503,503,318200
2019-09-18,509,509,503,503,634900
2019-09-19,506,509,506,509,10600
2019-09-20,506,509,506,506,10600
2019-09-23,503,506,499,506,43100
2019-09-24,509,509,503,503,1700
2019-09-25,512,515,503,515,32100
2019-09-26,512,512,506,512,28300
2019-09-27,512,515,512,515,4900
2019-09-30,506,506,499,506,77300
2019-10-01,499,506,499,506,208600
2019-10-02,499,503,496,503,86300
2019-10-03,499,499,496,496,129000
2019-10-04,499,506,499,506,11800
2019-10-07,490,503,490,503,21700
2019-10-08,496,506,490,493,121200
2019-10-09,499,506,493,493,7300
2019-10-10,499,506,499,506,3500
2019-10-11,490,503,490,503,26000
2019-10-14,496,503,496,503,36200
2019-10-15,493,503,493,503,7200
2019-10-16,493,503,493,499,2700
2019-10-17,506,506,493,503,34800
2019-10-18,503,506,481,506,166600
2019-10-21,499,503,487,503,87600
2019-10-22,493,499,493,499,33500
2019-10-23,493,503,493,493,41100
2019-10-24,499,499,490,496,75400
2019-10-25,499,503,493,499,123400
2019-10-28,499,506,490,503,235600
2019-10-29,496,506,493,506,380800
2019-10-30,499,499,496,499,13300
2019-10-31,496,522,496,509,849500
2019-11-01,503,506,490,496,333200
2019-11-04,496,503,493,503,73700
