timestamp,open,high,low,close,volume
2019-01-01,119,119,119,119,0
2019-01-02,115,120,113,117,160700
2019-01-03,116,119,115,119,192200
2019-01-04,115,120,114,120,206200
2019-01-07,115,117,114,117,332600
2019-01-08,116,120,113,120,410400
2019-01-09,116,119,112,119,447300
2019-01-10,114,118,114,118,942000
2019-01-11,114,117,114,117,298200
2019-01-14,115,120,112,120,584500
2019-01-15,122,125,113,118,3945500
2019-01-16,135,135,116,127,17800000
2019-01-17,126,140,119,135,23542700
2019-01-18,110,128,102,128,43955100
2019-01-21,109,111,101,101,3312600
2019-01-22,107,112,105,105,1268400
2019-01-23,117,129,105,105,8883000
2019-01-24,116,124,113,119,1636600
2019-01-25,113,118,112,113,538300
2019-01-28,115,118,107,107,323600
2019-01-29,110,115,110,110,1960700
2019-01-30,110,113,110,110,835700
2019-01-31,113,115,109,109,1564600
2019-02-01,113,116,107,107,409900
2019-02-04,117,120,110,110,1395500
2019-02-05,117,117,117,117,0
2019-02-06,114,117,111,117,630300
2019-02-07,110,117,107,117,4806100
2019-02-08,113,114,108,111,1506600
2019-02-11,114,119,108,108,2145800
2019-02-12,112,118,110,110,394300
2019-02-13,111,114,107,107,114500
2019-02-14,112,113,106,106,90700
2019-02-15,110,112,107,107,357200
2019-02-18,110,113,109,109,118700
2019-02-19,110,114,105,109,8053200
2019-02-20,118,128,107,108,10743700
2019-02-21,115,117,111,111,916100
2019-02-22,113,115,109,109,93600
2019-02-25,114,118,107,107,143000
2019-02-26,113,117,110,110,373200
2019-02-27,113,115,111,111,430000
2019-02-28,110,113,107,107,876800
2019-03-01,112,113,108,108,127300
2019-03-04,111,114,106,106,502900
2019-03-05,112,114,111,112,38100
2019-03-06,112,114,111,112,216000
2019-03-07,112,112,112,112,0
2019-03-08,110,113,110,111,244300
2019-03-11,112,114,112,113,105200
2019-03-12,110,112,109,110,212700
2019-03-13,109,112,109,109,145000
2019-03-14,110,112,110,112,53400
2019-03-15,111,112,109,109,49300
2019-03-18,112,112,110,111,67200
2019-03-19,112,113,111,113,72600
2019-03-20,112,114,110,114,106100
2019-03-21,112,112,110,112,62800
2019-03-22,112,112,110,110,1602000
2019-03-25,111,112,109,112,30700
2019-03-26,111,112,109,111,69900
2019-03-27,113,113,110,111,335900
2019-03-28,113,113,109,110,271900
2019-03-29,113,113,112,113,56600
2019-04-01,108,112,100,110,211200
2019-04-02,108,108,108,108,0
2019-04-03,108,108,108,108,0
