timestamp,open,high,low,close,volume
2019-01-01,1610,1610,1610,1610,0
2019-01-02,1570,1610,1560,1595,3174800
2019-01-03,1540,1585,1540,1575,4616600
2019-01-04,1530,1550,1530,1540,4185800
2019-01-07,1510,1535,1510,1530,3910200
2019-01-08,1475,1510,1410,1510,5555200
2019-01-09,1475,1475,1455,1475,4225200
2019-01-10,1470,1475,1445,1475,4100000
2019-01-11,1475,1500,1470,1470,3944400
2019-01-14,1470,1480,1460,1475,4204400
2019-01-15,1470,1485,1465,1470,4219600
2019-01-16,1470,1470,1445,1470,4657400
2019-01-17,1465,1470,1435,1470,4496800
2019-01-18,1440,1465,1415,1465,3139600
2019-01-21,1410,1445,1405,1440,2824200
2019-01-22,1410,1415,1405,1410,6270000
2019-01-23,1425,1435,1415,1415,4264800
2019-01-24,1440,1450,1430,1430,4286400
2019-01-25,1440,1450,1440,1445,4348000
2019-01-28,1430,1445,1430,1445,3892200
2019-01-29,1405,1425,1400,1425,4262400
2019-01-30,1405,1410,1390,1405,2735000
2019-01-31,1405,1405,1395,1405,3072200
2019-02-01,1405,1410,1400,1410,4181400
2019-02-04,1415,1425,1410,1410,4309000
2019-02-05,1415,1415,1415,1415,0
2019-02-06,1450,1485,1420,1420,5090600
2019-02-07,1485,1495,1455,1455,5397800
2019-02-08,1495,1505,1490,1490,5206200
2019-02-11,1500,1540,1500,1500,6479800
2019-02-12,1535,1535,1500,1500,7257600
2019-02-13,1540,1550,1525,1540,8368800
2019-02-14,1545,1555,1540,1545,6556400
2019-02-15,1535,1555,1530,1545,3891000
2019-02-18,1545,1545,1530,1535,4279400
2019-02-19,1540,1550,1535,1545,3856600
2019-02-20,1540,1550,1540,1540,3887400
2019-02-21,1555,1560,1545,1545,5589600
2019-02-22,1555,1565,1550,1560,5207800
2019-02-25,1555,1565,1555,1555,4031600
2019-02-26,1560,1565,1555,1555,4031800
2019-02-27,1555,1565,1555,1560,3864200
2019-02-28,1540,1560,1540,1555,4084200
2019-03-01,1545,1550,1535,1540,4019400
2019-03-04,1550,1550,1540,1545,4241200
2019-03-05,1555,1560,1545,1550,3759200
2019-03-06,1560,1560,1545,1555,3939200
2019-03-07,1560,1560,1560,1560,0
2019-03-08,1545,1560,1545,1560,4165600
2019-03-11,1540,1545,1540,1545,1319800
2019-03-12,1530,1540,1530,1540,1484200
2019-03-13,1520,1530,1520,1530,1544200
2019-03-14,1515,1520,1515,1520,1633000
2019-03-15,1495,1515,1495,1515,1659000
2019-03-18,1500,1530,1495,1530,349200
2019-03-19,1495,1500,1495,1495,358200
2019-03-20,1495,1495,1495,1495,0
2019-03-21,1495,1495,1495,1495,0
2019-03-22,1495,1495,1495,1495,0
2019-03-25,1485,1550,1480,1525,348000
2019-03-26,1550,1560,1535,1550,357000
2019-03-27,1550,1550,1550,1550,0
2019-03-28,1515,1520,1515,1520,325800
2019-03-29,1545,1550,1500,1525,387600
2019-04-01,1550,1625,1550,1625,335400
2019-04-02,1525,1550,1525,1525,273800
2019-04-03,1525,1525,1525,1525,0
2019-04-04,1525,1525,1525,1525,0
2019-04-05,1465,1530,1450,1530,3225800
2019-04-08,1495,1500,1475,1475,355800
2019-04-09,1500,1550,1475,1550,417800
2019-04-10,1485,1485,1480,1485,314200
2019-04-11,1510,1515,1470,1500,303000
2019-04-12,1510,1510,1500,1510,297400
2019-04-15,1515,1515,1475,1495,364200
2019-04-16,1450,1510,1450,1480,400400
2019-04-17,1450,1450,1450,1450,0
2019-04-18,1430,1500,1430,1500,381400
2019-04-19,1430,1430,1430,1430,0
2019-04-22,1450,1470,1450,1465,282200
2019-04-23,1465,1465,1435,1445,352800
2019-04-24,1450,1460,1445,1445,326200
2019-04-25,1450,1480,1450,1475,285800
2019-04-26,1460,1465,1460,1465,321400
2019-04-29,1470,1470,1460,1465,352200
2019-04-30,1445,1465,1445,1465,368800
2019-05-01,1445,1445,1445,1445,0
2019-05-02,1450,1465,1450,1450,310000
2019-05-03,1440,1460,1430,1460,299000
2019-05-06,1445,1445,1440,1440,291400
2019-05-07,1445,1445,1445,1445,324800
2019-05-08,1445,1445,1425,1440,345800
2019-05-09,1445,1450,1425,1445,316600
2019-05-10,1450,1475,1440,1445,336600
2019-05-13,1450,1455,1445,1450,320600
2019-05-14,1445,1445,1445,1445,320600
2019-05-15,1445,1450,1410,1410,318600
2019-05-16,1440,1450,1400,1440,356600
2019-05-17,1375,1450,1375,1450,359400
2019-05-20,1375,1400,1355,1400,485800
2019-05-21,1385,1395,1385,1385,337000
2019-05-22,1450,1450,1385,1385,395600
2019-05-23,1460,1465,1415,1465,383200
2019-05-24,1460,1470,1460,1460,319600
2019-05-27,1465,1465,1425,1460,349600
2019-05-28,1465,1465,1450,1460,316400
2019-05-29,1465,1465,1455,1455,301600
2019-05-30,1465,1465,1465,1465,0
2019-05-31,1460,1480,1460,1460,378800
2019-06-03,1460,1460,1460,1460,0
2019-06-04,1460,1460,1460,1460,0
