timestamp,open,high,low,close,volume
2019-01-01,494,494,494,494,0
2019-01-02,490,504,485,494,5859000
2019-01-03,490,508,485,490,9358700
2019-01-04,523,532,490,490,94179500
2019-01-07,518,541,518,532,54533800
2019-01-08,513,527,504,518,22827700
2019-01-09,537,546,513,518,73398800
2019-01-10,532,551,532,546,40256600
2019-01-11,541,551,527,532,41223600
2019-01-14,523,541,518,541,24577300
2019-01-15,532,537,518,527,26993900
2019-01-16,579,584,532,537,148878100
2019-01-17,574,607,570,589,102671100
2019-01-18,570,598,565,579,51938600
2019-01-21,556,579,551,574,45255000
2019-01-22,541,556,532,551,41493500
2019-01-23,621,626,537,541,208933500
2019-01-24,584,640,584,636,164275800
2019-01-25,598,617,579,598,98354500
2019-01-28,589,607,589,603,37550600
2019-01-29,579,593,570,589,21708000
2019-01-30,589,603,574,584,42914200
2019-01-31,607,631,593,593,104445300
2019-02-01,598,617,593,607,27789300
2019-02-04,598,607,584,598,34051300
2019-02-05,598,598,598,598,0
2019-02-06,607,612,593,598,36545900
2019-02-07,589,612,584,612,28495100
2019-02-08,560,589,556,589,57480100
2019-02-11,560,565,546,560,16533400
2019-02-12,565,574,551,560,26765200
2019-02-13,556,570,551,565,14204300
2019-02-14,546,565,537,560,23275300
2019-02-15,546,556,537,546,16403600
2019-02-18,551,565,546,556,10183800
2019-02-19,560,574,556,560,33726900
2019-02-20,560,574,556,570,32086800
2019-02-21,589,593,560,560,78865100
2019-02-22,589,593,574,589,29981800
2019-02-25,574,598,574,589,22059900
2019-02-26,570,584,560,579,22275200
2019-02-27,551,579,541,574,30087000
2019-02-28,537,560,527,551,30464500
2019-03-01,560,565,537,541,27912300
2019-03-04,560,574,556,560,16876100
2019-03-05,551,570,551,565,7930300
2019-03-06,551,560,546,560,6002500
2019-03-07,551,551,551,551,0
2019-03-08,541,556,541,551,7018900
2019-03-11,541,551,532,541,13754600
2019-03-12,527,546,527,546,11342500
2019-03-13,532,541,527,527,6744100
2019-03-14,546,556,537,537,23741300
2019-03-15,546,556,541,556,4083600
2019-03-18,537,551,532,546,12766200
2019-03-19,541,541,532,537,12487200
2019-03-20,546,570,541,546,50957100
2019-03-21,551,560,546,551,10122200
2019-03-22,546,556,537,546,10458100
2019-03-25,532,541,523,527,14593600
2019-03-26,532,541,523,527,6981500
2019-03-27,537,551,532,541,18778900
2019-03-28,541,551,532,541,24512100
2019-03-29,537,551,527,551,12688300
2019-04-01,541,546,532,537,7720800
2019-04-02,541,546,537,541,13187700
2019-04-03,541,541,541,541,0
2019-04-04,523,537,518,532,19257900
2019-04-05,541,546,523,523,16021800
2019-04-08,527,551,527,546,8035400
2019-04-09,541,546,532,537,17196100
2019-04-10,541,546,541,541,13632300
2019-04-11,551,570,541,546,71096500
2019-04-12,546,556,541,551,8430500
2019-04-15,537,551,537,546,9031100
2019-04-16,537,546,537,537,19748700
2019-04-17,537,537,537,537,0
2019-04-18,541,546,527,541,18083700
2019-04-19,541,541,541,541,0
2019-04-22,537,551,537,546,5544700
2019-04-23,570,574,541,541,82240800
2019-04-24,560,579,556,574,30663800
2019-04-25,541,560,541,560,16881300
2019-04-26,546,556,537,546,19637500
2019-04-29,546,556,541,546,7358800
2019-04-30,508,551,499,551,120456100
2019-05-01,508,508,508,508,0
2019-05-02,508,518,499,499,16134100
2019-05-03,508,513,485,513,21959600
2019-05-06,508,508,485,508,20978500
2019-05-07,518,523,504,508,30633600
2019-05-08,513,523,508,513,15976000
2019-05-09,494,518,485,518,17168700
2019-05-10,490,499,480,499,15830700
2019-05-13,490,504,490,490,21982800
2019-05-14,494,494,480,490,12801200
2019-05-15,490,504,490,499,13793100
2019-05-16,476,494,476,490,17001500
2019-05-17,485,494,471,480,17518000
2019-05-20,480,490,476,485,9844100
2019-05-21,480,494,476,490,11387000
2019-05-22,465,480,463,480,14573600
2019-05-23,480,485,465,465,11852800
2019-05-24,476,480,471,480,3364200
2019-05-27,476,480,471,476,11577400
2019-05-28,494,494,471,476,21882400
2019-05-29,485,494,480,480,3303100
2019-05-30,485,485,485,485,0
2019-05-31,480,490,480,485,9933900
2019-06-03,480,480,480,480,0
2019-06-04,480,480,480,480,0
2019-06-05,480,480,480,480,0
2019-06-06,480,480,480,480,0
2019-06-07,480,480,480,480,0
2019-06-10,471,485,471,480,7684600
2019-06-11,485,494,471,476,27554100
2019-06-12,485,490,480,485,7849500
2019-06-13,513,527,480,480,71477000
2019-06-14,499,523,494,523,15568200
2019-06-17,476,504,476,499,10277400
2019-06-18,476,490,476,476,4712800
2019-06-20,490,494,476,476,6167100
2019-06-21,480,499,480,494,5274400
2019-06-24,480,485,476,480,5637000
2019-06-25,504,504,480,480,33676500
2019-06-26,485,513,480,513,24972500
2019-06-27,485,494,485,490,10490400
2019-06-28,485,490,480,485,5751000
2019-07-01,494,499,485,485,11376200
2019-07-02,490,504,485,494,9075200
2019-07-03,476,494,476,494,12781700
2019-07-04,480,494,480,480,7219000
2019-07-05,485,494,480,485,6771700
2019-07-08,480,490,480,485,3430100
2019-07-09,480,485,476,480,5062800
