timestamp,open,high,low,close,volume
2019-01-01,331,331,331,331,0
2019-01-02,292,327,292,305,557500
2019-01-03,298,298,292,292,771000
2019-01-04,298,298,292,298,505000
2019-01-07,305,305,294,298,1507200
2019-01-08,302,305,295,305,844100
2019-01-09,300,302,298,298,636000
2019-01-10,302,302,298,300,589500
2019-01-11,295,300,295,298,857400
2019-01-14,295,298,294,295,847300
2019-01-15,294,295,292,295,2132900
2019-01-16,294,295,290,294,1788800
2019-01-17,292,294,292,294,1494100
2019-01-18,298,305,292,292,2042200
2019-01-21,308,315,298,298,1704400
2019-01-22,310,310,307,308,838500
2019-01-23,307,310,303,310,398700
2019-01-24,307,307,300,307,673100
2019-01-25,307,308,300,307,1056800
2019-01-28,324,329,307,307,7774100
2019-01-29,334,339,324,324,6670700
2019-01-30,326,331,321,331,1116000
2019-01-31,323,326,323,324,891300
2019-02-01,323,323,315,323,374900
2019-02-04,332,339,323,323,2297900
2019-02-05,332,332,332,332,0
2019-02-06,331,332,327,332,934200
2019-02-07,329,334,329,331,458000
2019-02-08,334,336,331,331,1058000
2019-02-11,329,332,329,332,156000
2019-02-12,323,331,321,323,904700
2019-02-13,324,334,323,323,2079600
2019-02-14,324,327,324,324,724200
2019-02-15,323,324,321,323,488000
2019-02-18,319,323,319,321,178900
2019-02-19,321,323,321,321,444400
2019-02-20,321,324,321,324,353300
2019-02-21,323,324,323,323,959000
2019-02-22,323,324,323,323,455600
2019-02-25,323,324,319,324,248600
2019-02-26,324,327,319,319,3721900
2019-02-27,324,326,321,326,2006000
2019-02-28,323,324,316,324,598300
2019-03-01,321,323,321,321,190700
2019-03-04,321,323,321,321,226600
2019-03-05,319,323,319,321,527300
2019-03-06,321,323,318,318,828700
2019-03-07,321,321,321,321,0
2019-03-08,319,324,318,323,919400
2019-03-11,321,323,319,319,287100
2019-03-12,321,324,321,321,464500
2019-03-13,321,323,321,321,382900
2019-03-14,318,321,318,321,390400
2019-03-15,318,318,318,318,151000
2019-03-18,323,324,315,318,1613700
2019-03-19,321,323,319,321,545000
2019-03-20,319,321,318,321,395500
2019-03-21,318,319,318,319,340600
2019-03-22,321,321,318,318,461900
2019-03-25,319,321,316,321,475000
2019-03-26,319,319,319,319,0
2019-03-27,319,319,319,319,0
2019-03-28,319,321,319,319,571800
2019-03-29,318,321,318,321,318000
2019-04-01,319,321,318,318,264200
2019-04-02,319,319,319,319,0
2019-04-03,319,319,319,319,0
2019-04-04,318,321,318,321,312200
2019-04-05,323,324,319,319,2753100
2019-04-08,321,323,319,323,367100
2019-04-09,319,321,319,319,642500
2019-04-10,316,318,316,316,321500
2019-04-11,318,318,318,318,456100
2019-04-12,313,319,313,319,466800
2019-04-15,311,313,311,311,356000
2019-04-16,310,313,310,311,419900
2019-04-17,310,310,310,310,0
2019-04-18,315,315,307,310,1660500
2019-04-19,315,315,315,315,0
2019-04-22,315,315,313,315,330800
2019-04-23,316,316,315,316,232600
2019-04-24,315,315,311,315,476100
2019-04-25,311,313,310,313,379400
2019-04-26,311,311,310,310,275900
2019-04-29,311,313,311,313,203600
2019-04-30,311,311,308,310,460100
2019-05-01,311,311,311,311,0
2019-05-02,307,313,297,311,1265400
2019-05-03,305,307,300,307,483200
2019-05-06,298,305,298,305,1385600
2019-05-07,298,302,294,300,539300
2019-05-08,298,300,298,300,336600
2019-05-09,300,300,294,298,1725900
2019-05-10,297,302,297,298,5673100
2019-05-13,295,298,295,298,585000
2019-05-14,295,297,294,295,647300
2019-05-15,297,298,294,294,2362800
2019-05-16,297,298,297,297,2312400
2019-05-17,300,300,297,297,2853100
2019-05-20,308,310,307,307,2960000
2019-05-21,319,320,317,317,3351500
2019-05-22,317,320,315,319,1515400
2019-05-23,319,319,317,317,1113400
2019-05-24,319,320,315,317,422600
2019-05-27,319,320,317,317,517500
2019-05-28,320,320,319,319,343300
2019-05-29,319,320,319,320,195000
2019-05-30,319,319,319,319,0
2019-05-31,317,320,317,319,221000
2019-06-03,317,317,317,317,0
2019-06-04,317,317,317,317,0
2019-06-05,317,317,317,317,0
2019-06-06,317,317,317,317,0
2019-06-07,317,317,317,317,0
2019-06-10,312,319,310,319,732500
2019-06-11,308,313,307,307,1815100
2019-06-12,310,310,307,307,367100
2019-06-13,310,310,307,310,220000
2019-06-14,310,310,308,310,199500
2019-06-17,300,310,300,310,712900
2019-06-18,300,305,298,302,1011900
2019-06-20,305,307,303,303,411500
2019-06-21,310,310,305,305,566100
2019-06-24,310,310,310,310,198600
2019-06-25,310,310,310,310,208000
2019-06-26,307,310,307,310,59900
2019-06-27,313,313,305,307,1058500
2019-06-28,315,315,313,313,95500
2019-07-01,315,319,312,315,1560300
2019-07-02,315,317,312,315,212000
2019-07-03,317,317,313,315,192400
2019-07-04,319,319,317,317,187500
2019-07-05,307,319,305,319,443800
2019-07-08,310,312,308,308,529300
2019-07-09,305,313,305,310,367500
2019-07-10,307,308,302,307,1115000
2019-07-11,305,310,303,308,475300
2019-07-12,303,310,302,307,433400
2019-07-15,303,307,302,303,175800
2019-07-16,303,303,298,303,395200
2019-07-17,303,305,302,303,365900
2019-07-18,303,303,302,303,305500
2019-07-19,302,303,302,303,302000
2019-07-22,300,302,300,302,105600
2019-07-23,298,303,295,300,821000
2019-07-24,298,300,296,298,710500
2019-07-25,298,302,295,300,1508300
2019-07-26,298,298,295,298,548200
2019-07-29,298,298,296,298,50500
2019-07-30,296,300,296,298,217700
2019-07-31,296,298,296,298,120400
2019-08-01,296,298,295,298,196100
2019-08-02,296,296,296,296,26800
2019-08-05,296,296,295,296,62800
2019-08-06,296,296,296,296,20700
2019-08-07,296,296,295,296,48600
2019-08-08,296,298,296,296,1827500
2019-08-09,298,300,296,296,509700
2019-08-12,296,307,296,300,1170500
2019-08-13,312,317,298,298,2669400
2019-08-14,298,313,298,312,1637400
2019-08-15,296,300,288,300,1029400
2019-08-16,298,298,293,296,293600
2019-08-19,298,298,295,298,41400
2019-08-20,293,300,293,298,387500
