timestamp,open,high,low,close,volume
2019-01-01,1560,1560,1560,1560,0
2019-01-02,1550,1655,1535,1575,1712200
2019-01-03,1575,1600,1550,1550,328100
2019-01-04,1575,1650,1480,1575,220100
2019-01-07,1565,1620,1565,1575,925800
2019-01-08,1555,1600,1530,1565,847300
2019-01-09,1580,1590,1525,1540,1354100
2019-01-10,1575,1585,1550,1580,152800
2019-01-11,1580,1615,1550,1560,580200
2019-01-14,1580,1585,1550,1560,606400
2019-01-15,1580,1610,1560,1580,540400
2019-01-16,1590,1625,1580,1590,1586500
2019-01-17,1555,1600,1555,1590,576700
2019-01-18,1570,1630,1525,1565,1682100
2019-01-21,1560,1620,1545,1570,769300
2019-01-22,1540,1560,1535,1560,79100
2019-01-23,1545,1550,1525,1535,164500
2019-01-24,1525,1555,1510,1525,293900
2019-01-25,1520,1530,1515,1530,59000
2019-01-28,1505,1530,1505,1520,68100
2019-01-29,1540,1575,1480,1500,1519300
2019-01-30,1515,1540,1515,1540,147700
2019-01-31,1490,1500,1490,1500,292100
2019-02-01,1500,1500,1480,1490,68000
2019-02-04,1550,1560,1490,1500,1181200
2019-02-05,1550,1550,1550,1550,0
2019-02-06,1525,1560,1525,1560,239500
2019-02-07,1525,1530,1500,1515,92800
2019-02-08,1525,1525,1500,1500,190400
2019-02-11,1520,1520,1500,1500,71000
2019-02-12,1490,1500,1490,1495,97700
2019-02-13,1475,1475,1455,1465,269500
2019-02-14,1470,1475,1450,1475,94300
2019-02-15,1460,1460,1445,1460,60600
2019-02-18,1495,1540,1460,1460,1834300
2019-02-19,1500,1505,1495,1495,136000
2019-02-20,1470,1475,1470,1475,105400
2019-02-21,1465,1475,1465,1465,46300
2019-02-22,1470,1470,1445,1465,4700
2019-02-25,1450,1450,1450,1450,500
2019-02-26,1430,1460,1430,1450,23800
2019-02-27,1430,1445,1425,1430,79200
2019-02-28,1460,1520,1425,1425,1424400
2019-03-01,1435,1465,1425,1465,230600
2019-03-04,1425,1425,1410,1425,17500
2019-03-05,1475,1490,1410,1410,1255200
2019-03-06,1475,1485,1445,1485,114700
2019-03-07,1475,1475,1475,1475,0
2019-03-08,1445,1475,1445,1475,41400
2019-03-11,1430,1430,1425,1430,27200
2019-03-12,1415,1435,1415,1415,16900
2019-03-13,1400,1420,1400,1420,74900
2019-03-14,1395,1395,1350,1370,49200
2019-03-15,1355,1380,1350,1350,19300
2019-03-18,1345,1350,1315,1350,191600
2019-03-19,1290,1300,1290,1300,239900
2019-03-20,1365,1365,1350,1350,96600
2019-03-21,1370,1375,1350,1365,13700
2019-03-22,1410,1430,1355,1375,846600
2019-03-25,1475,1540,1415,1415,2091200
2019-03-26,1480,1530,1430,1475,1767900
2019-03-27,1455,1480,1450,1480,101400
2019-03-28,1445,1450,1430,1430,65100
2019-03-29,1430,1460,1430,1460,32000
2019-04-01,1420,1425,1410,1425,76200
2019-04-02,1420,1420,1420,1420,0
2019-04-03,1420,1420,1420,1420,0
2019-04-04,1420,1420,1420,1420,0
2019-04-05,1385,1405,1385,1390,75900
2019-04-08,1380,1400,1380,1400,16000
2019-04-09,1350,1390,1350,1390,114000
2019-04-10,1340,1360,1340,1360,62100
2019-04-11,1325,1325,1315,1315,48200
2019-04-12,1380,1400,1380,1400,11500
2019-04-15,1400,1400,1380,1400,65500
2019-04-16,1450,1475,1400,1400,808200
2019-04-17,1450,1450,1450,1450,0
2019-04-18,1430,1435,1430,1435,25600
2019-04-19,1430,1430,1430,1430,0
2019-04-22,1475,1480,1410,1410,539800
2019-04-23,1470,1510,1415,1480,1737500
2019-04-24,1485,1530,1450,1470,1303900
2019-04-25,1455,1495,1455,1485,237200
2019-04-26,1425,1435,1425,1435,237400
2019-04-29,1425,1425,1405,1425,800
2019-04-30,1435,1435,1405,1435,30500
2019-05-01,1435,1435,1435,1435,0
2019-05-02,1565,1570,1430,1435,3049700
2019-05-03,1665,1705,1530,1545,4075100
2019-05-06,1650,1705,1605,1665,617600
2019-05-07,1650,1740,1650,1650,1801600
2019-05-08,1550,1695,1550,1670,162000
2019-05-09,1535,1560,1430,1540,285200
2019-05-10,1510,1530,1430,1450,15100
2019-05-13,1490,1530,1430,1530,16000
2019-05-14,1490,1500,1400,1485,106000
2019-05-15,1375,1490,1365,1425,418500
2019-05-16,1350,1450,1255,1325,10800
2019-05-17,1410,1410,1300,1400,48000
2019-05-20,1410,1415,1355,1355,68500
2019-05-21,1495,1530,1410,1410,30100
2019-05-22,1495,1495,1490,1495,1600
2019-05-23,1495,1500,1435,1490,25400
2019-05-24,1480,1495,1480,1495,5400
2019-05-27,1480,1485,1425,1480,188000
2019-05-28,1450,1480,1430,1480,64000
2019-05-29,1450,1450,1435,1435,2200
2019-05-30,1450,1450,1450,1450,0
2019-05-31,1490,1500,1425,1450,13900
2019-06-03,1490,1490,1490,1490,0
2019-06-04,1490,1490,1490,1490,0
2019-06-05,1490,1490,1490,1490,0
2019-06-06,1490,1490,1490,1490,0
2019-06-07,1490,1490,1490,1490,0
2019-06-10,1505,1585,1430,1430,177200
2019-06-11,1505,1505,1495,1495,17700
2019-06-12,1505,1505,1500,1500,8600
2019-06-13,1525,1525,1500,1500,1800
2019-06-14,1525,1525,1500,1525,13500
2019-06-17,1500,1620,1500,1520,32300
2019-06-18,1500,1500,1500,1500,11000
2019-06-20,1495,1495,1465,1495,15100
2019-06-21,1495,1495,1450,1495,12200
2019-06-24,1495,1505,1495,1505,13800
2019-06-25,1480,1490,1450,1450,46200
2019-06-26,1470,1485,1435,1485,35700
2019-06-27,1465,1470,1425,1430,19000
2019-06-28,1465,1470,1425,1465,13900
2019-07-01,1465,1465,1450,1465,10100
2019-07-02,1560,1620,1490,1490,24000
2019-07-03,1570,1605,1480,1560,161700
2019-07-04,1580,1600,1500,1570,155800
2019-07-05,1555,1580,1535,1550,351900
2019-07-08,1580,1585,1560,1580,27200
2019-07-09,1550,1580,1540,1555,255000
2019-07-10,1595,1600,1550,1580,324400
2019-07-11,1590,1590,1550,1585,209900
2019-07-12,1575,1595,1560,1560,335900
2019-07-15,1590,1590,1550,1580,260300
2019-07-16,1550,1585,1550,1560,356800
2019-07-17,1525,1560,1500,1560,865100
2019-07-18,1500,1520,1485,1520,274100
2019-07-19,1525,1525,1500,1520,265900
2019-07-22,1480,1525,1460,1525,612100
2019-07-23,1480,1490,1450,1490,710100
2019-07-24,1505,1510,1485,1485,136800
2019-07-25,1515,1555,1505,1505,392000
2019-07-26,1510,1515,1510,1515,200000
2019-07-29,1510,1510,1505,1505,245200
2019-07-30,1540,1540,1475,1510,335200
2019-07-31,1545,1545,1515,1515,15700
2019-08-01,1495,1495,1490,1495,15600
2019-08-02,1590,1615,1490,1490,964100
2019-08-05,1565,1590,1545,1590,251700
2019-08-06,1545,1545,1500,1545,212900
2019-08-07,1530,1560,1505,1510,276400
2019-08-08,1530,1535,1525,1530,214900
2019-08-09,1510,1525,1495,1525,242200
2019-08-12,1500,1505,1500,1505,200000
2019-08-13,1500,1500,1430,1500,217300
2019-08-14,1510,1510,1495,1495,252200
2019-08-15,1450,1500,1450,1450,300200
2019-08-16,1450,1450,1445,1445,200100
2019-08-19,1495,1540,1460,1465,784100
2019-08-20,1505,1505,1460,1470,234800
2019-08-21,1600,1605,1480,1505,806000
2019-08-22,1580,1615,1540,1605,505500
2019-08-23,1655,1655,1590,1595,456800
2019-08-26,1685,1695,1655,1660,574800
2019-08-27,1655,1685,1635,1685,443900
2019-08-28,1615,1650,1585,1650,564800
2019-08-29,1630,1630,1580,1610,262700
2019-08-30,1635,1640,1600,1600,206300
2019-09-02,1650,1650,1620,1635,201200
2019-09-03,1620,1625,1595,1625,437600
2019-09-04,1630,1635,1570,1620,528300
2019-09-05,1625,1635,1625,1635,126100
2019-09-06,1645,1650,1625,1625,235700
2019-09-09,1620,1665,1620,1640,471500
2019-09-10,1595,1635,1595,1635,301300
2019-09-11,1615,1615,1600,1610,122600
2019-09-12,1600,1615,1545,1615,658100
2019-09-13,1595,1600,1565,1565,36500
2019-09-16,1615,1615,1545,1545,32600
2019-09-17,1630,1635,1615,1615,14800
2019-09-18,1630,1675,1630,1640,100600
2019-09-19,1640,1640,1630,1630,36700
2019-09-20,1620,1640,1600,1640,84000
2019-09-23,1630,1630,1620,1620,28200
2019-09-24,1645,1645,1630,1630,55200
2019-09-25,1660,1660,1640,1640,62400
2019-09-26,1660,1675,1630,1660,1365200
2019-09-27,1655,1660,1650,1650,56600
2019-09-30,1660,1660,1650,1660,1854700
2019-10-01,1665,1665,1605,1660,30300
2019-10-02,1670,1670,1655,1665,375400
2019-10-03,1670,1670,1600,1660,93100
2019-10-04,1670,1670,1610,1615,3525100
2019-10-07,1620,1675,1620,1670,9493000
2019-10-08,1645,1645,1630,1645,8602500
2019-10-09,1665,1665,1635,1650,7616200
2019-10-10,1700,1735,1645,1645,9088700
2019-10-11,1720,1725,1675,1700,8108200
2019-10-14,1720,1725,1680,1720,18968900
2019-10-15,1720,1720,1690,1690,5766000
2019-10-16,1720,1725,1710,1725,11537400
2019-10-17,1725,1725,1715,1715,6760500
2019-10-18,1725,1730,1720,1725,8797600
2019-10-21,1720,1810,1720,1745,12478400
2019-10-22,1725,1730,1695,1710,12360600
2019-10-23,1740,1780,1590,1740,12357800
2019-10-24,1745,1745,1700,1740,9176200
2019-10-25,1745,1745,1725,1745,8940800
2019-10-28,1790,1805,1740,1740,12111300
2019-10-29,1845,1855,1750,1795,17726700
2019-10-30,1900,1925,1800,1845,12307900
2019-10-31,1905,1915,1880,1910,8485800
2019-11-01,1905,1905,1835,1905,8809400
2019-11-04,1940,2100,1890,1905,13727600
2019-11-05,2010,2100,1930,1940,13251100
2019-11-06,2070,2070,1980,2010,8266300
2019-11-07,2060,2120,1840,2070,9122600
2019-11-08,1875,2060,1830,2060,525200
2019-11-11,1745,1875,1675,1875,406500
2019-11-12,1675,1745,1310,1700,2774300
2019-11-13,1570,1720,1510,1675,901900
2019-11-14,1705,1705,1530,1600,349500
2019-11-15,1615,1700,1545,1700,318000
2019-11-18,1600,1610,1400,1610,975100
2019-11-19,1405,1525,1380,1525,3824700
2019-11-20,1410,1450,1285,1400,1437800
2019-11-21,1410,1425,1310,1410,1008300
2019-11-22,1365,1400,1340,1350,612100
2019-11-25,1270,1310,1260,1310,664300
2019-11-26,1185,1260,1160,1260,920200
2019-11-27,1200,1200,1100,1160,2330500
2019-11-28,1200,1205,1110,1190,1673200
2019-11-29,1145,1200,1125,1200,2787300
2019-12-02,1145,1150,1100,1135,1369600
2019-12-03,1145,1150,1115,1130,2216800
2019-12-04,1145,1145,1120,1130,587200
2019-12-05,1185,1200,1125,1140,1318200
2019-12-06,1180,1200,1150,1180,660900
2019-12-09,1190,1190,1160,1175,718000
2019-12-10,1210,1215,1170,1185,544900
2019-12-11,1200,1215,1195,1210,618500
2019-12-12,1200,1210,1160,1195,1659900
2019-12-13,1180,1200,1180,1180,805200
2019-12-16,1190,1190,1175,1175,249500
2019-12-17,1180,1190,1180,1180,360000
2019-12-18,1190,1195,1175,1175,360500
2019-12-19,1195,1195,1180,1180,235200
2019-12-20,1195,1195,1175,1190,588600
