timestamp,open,high,low,close,volume
2021-02-08,1770,1770,1770,1770,13000
2021-02-09,2120,2120,2120,2120,20500
2021-02-10,2540,2540,2540,2540,17000
2021-02-11,3045,3045,3045,3045,592500
2021-02-15,3650,3650,3245,3245,136500
2021-02-16,4380,4380,4320,4345,778000
2021-02-17,5255,5255,5240,5240,747000
2021-02-18,6305,6305,5350,5350,1954000
2021-02-19,5865,7565,5865,6540,1368000
2021-02-22,5455,5870,5455,5870,223500
2021-02-23,5075,5255,5075,5255,438000
2021-02-24,4720,4750,4720,4720,225500
2021-02-25,4390,4570,4390,4570,154000
2021-02-26,4085,4085,4085,4085,194000
2021-03-01,3800,3800,3800,3800,234500
2021-03-02,3535,3535,3535,3535,94500
2021-03-03,3755,4240,3290,3290,2124000
2021-03-04,3745,4100,3650,3760,461500
2021-03-05,3485,3655,3485,3655,260500
2021-03-08,3245,3485,3245,3485,106500
2021-03-09,3095,3180,3020,3020,521000
2021-03-10,2880,3095,2880,3095,66000
2021-03-12,2680,2880,2680,2880,117000
2021-03-15,2495,2560,2495,2560,97000
2021-03-16,2990,2990,2325,2400,3016000
2021-03-17,2790,3470,2785,3040,3034500
2021-03-18,2595,2800,2595,2790,741000
2021-03-19,2460,2595,2415,2595,392500
2021-03-22,2495,2735,2440,2460,339000
2021-03-23,2500,2585,2460,2540,216500
2021-03-24,2500,2535,2490,2530,153000
2021-03-25,2485,2500,2410,2460,110000
2021-03-26,2460,2485,2440,2480,41500
2021-03-29,2440,2500,2400,2460,171500
2021-03-30,2375,2440,2270,2440,66500
2021-03-31,2240,2375,2230,2375,46000
2021-04-01,2245,2300,2240,2245,87000
2021-04-05,2300,2410,2245,2245,66500
2021-04-06,2415,2440,2355,2355,257500
2021-04-07,2440,2440,2390,2430,166000
2021-04-08,2460,2460,2400,2440,63500
2021-04-09,2450,2460,2420,2460,36000
2021-04-12,2395,2445,2355,2445,62000
2021-04-13,2390,2395,2300,2395,49000
2021-04-14,2400,2460,2360,2400,72500
2021-04-15,2415,2415,2360,2400,41500
2021-04-16,2440,2470,2415,2415,67000
2021-04-19,2435,2440,2400,2440,17000
2021-04-20,2430,2435,2400,2435,8500
2021-04-21,2435,2440,2420,2435,66500
2021-04-22,2440,2455,2300,2440,74000
2021-04-23,2435,2435,2390,2390,25500
2021-04-26,2390,2430,2380,2430,25000
2021-04-27,2400,2400,2320,2390,48500
2021-04-28,2390,2400,2350,2400,19000
2021-04-29,2400,2440,2370,2390,51500
2021-04-30,2350,2410,2350,2400,93000
2021-05-03,2390,2410,2320,2350,62500
2021-05-04,2380,2390,2320,2390,50500
2021-05-05,2340,2380,2320,2375,41500
2021-05-06,2330,2390,2330,2340,59500
2021-05-07,2340,2350,2330,2330,8500
2021-05-10,2335,2340,2280,2340,47000
2021-05-11,2355,2380,2300,2335,35000
2021-05-17,2355,2355,2340,2350,10000
2021-05-18,2200,2350,2200,2350,16000
2021-05-19,2250,2320,2195,2200,10500
2021-05-20,2240,2250,2200,2250,22500
2021-05-21,2240,2240,2200,2240,22500
2021-05-24,2235,2240,2200,2240,10500
2021-05-25,2165,2230,2155,2200,23500
2021-05-27,2200,2225,2155,2165,15500
2021-05-28,2185,2185,2080,2150,50500
2021-05-31,2230,2240,2190,2235,23000
2021-06-02,2320,2400,2205,2230,111500
2021-06-03,2330,2460,2270,2360,415000
2021-06-04,2795,2795,2350,2350,705500
2021-06-07,3350,3350,2930,2965,431000
2021-06-08,4020,4020,3675,3685,388000
2021-06-09,3740,4715,3740,4110,2427000
2021-06-10,3500,3740,3480,3740,1016500
2021-06-11,4200,4200,3520,3520,1149500
2021-06-14,5040,5040,4400,4400,216000
2021-06-15,6045,6045,5540,5540,649000
2021-06-16,7250,7250,6045,6045,667000
2021-06-17,8175,8700,7255,7265,4540500
2021-06-18,7760,9400,7605,8210,2622000
2021-06-21,7220,7820,7220,7800,286000
2021-06-22,6715,6870,6715,6870,162000
2021-06-23,6245,6300,6245,6300,149000
2021-06-24,5810,6200,5810,6195,178000
2021-06-25,5405,6300,5405,5495,2479000
2021-06-28,5030,5405,5030,5405,643500
2021-06-29,4680,5000,4680,5000,450500
2021-06-30,5615,5615,4355,4680,2068500
2021-07-01,6735,6735,5700,5700,1515500
