timestamp,open,high,low,close,volume
2019-01-01,139,139,139,139,0
2019-01-02,140,140,137,140,205000
2019-01-03,140,145,139,141,432500
2019-01-04,140,140,138,140,200500
2019-01-07,142,143,138,140,492000
2019-01-08,141,142,139,142,174500
2019-01-09,142,143,140,141,821500
2019-01-10,142,143,139,142,655500
2019-01-11,139,143,139,142,3173000
2019-01-14,139,142,137,142,592500
2019-01-15,139,139,135,139,2925000
2019-01-16,138,140,138,139,242000
2019-01-17,138,139,136,139,1567500
2019-01-18,137,139,137,138,139000
2019-01-21,139,139,137,137,1495500
2019-01-22,142,145,139,140,7238000
2019-01-23,142,143,140,142,1796000
2019-01-24,147,147,142,143,858500
2019-01-25,145,147,144,147,496500
2019-01-28,144,145,142,145,1157000
2019-01-29,142,144,139,142,1008000
2019-01-30,142,142,140,142,839500
2019-01-31,142,143,140,140,508500
2019-02-01,141,142,140,142,253500
2019-02-04,141,142,140,141,451000
2019-02-05,141,141,141,141,0
2019-02-06,142,142,141,141,1677500
2019-02-07,142,147,142,143,121500
2019-02-08,143,144,142,143,1427500
2019-02-11,142,144,141,143,242000
2019-02-12,140,144,140,142,510500
2019-02-13,142,143,139,139,507500
2019-02-14,142,142,140,141,371000
2019-02-15,140,144,139,144,780000
2019-02-18,140,142,139,140,133500
2019-02-19,140,141,139,140,856000
2019-02-20,140,141,139,140,79000
2019-02-21,140,142,139,141,5162500
2019-02-22,140,140,139,140,121500
2019-02-25,140,142,140,140,232000
2019-02-26,140,140,139,140,183000
2019-02-27,139,140,139,140,484500
2019-02-28,139,140,139,140,237500
2019-03-01,137,139,136,139,1049000
2019-03-04,137,141,137,140,75000
2019-03-05,139,140,136,138,878000
2019-03-06,139,140,139,140,459000
2019-03-07,139,139,139,139,0
2019-03-08,139,140,139,139,26500
2019-03-11,139,139,136,139,68000
2019-03-12,137,139,135,138,123500
2019-03-13,137,139,137,137,162000
2019-03-14,137,138,132,138,269500
2019-03-15,139,139,138,138,21500
2019-03-18,139,139,138,139,73500
2019-03-19,138,139,137,139,585500
2019-03-20,137,138,137,138,35500
2019-03-21,137,137,136,137,59500
2019-03-22,137,138,136,137,30500
2019-03-25,137,137,136,137,6765500
2019-03-26,136,138,135,135,103500
2019-03-27,136,136,136,136,0
2019-03-28,137,138,134,135,102000
2019-03-29,137,138,135,138,150000
2019-04-01,134,139,129,134,647000
2019-04-02,134,138,133,136,544500
2019-04-03,134,134,134,134,0
2019-04-04,135,135,133,135,134000
2019-04-05,135,135,134,135,153500
2019-04-08,134,135,134,135,36000
2019-04-09,135,135,134,134,500000
2019-04-10,135,135,133,135,138000
2019-04-11,135,135,132,134,406000
2019-04-12,134,135,134,134,217500
2019-04-15,136,136,132,135,553000
2019-04-16,134,135,134,135,106000
2019-04-17,134,134,134,134,0
2019-04-18,135,135,134,134,38500
2019-04-19,135,135,135,135,0
2019-04-22,136,136,133,135,189500
2019-04-23,134,135,134,135,89500
2019-04-24,134,135,129,135,699000
2019-04-25,134,134,134,134,31000
2019-04-26,134,134,130,133,98500
2019-04-29,133,134,133,134,134000
2019-04-30,132,133,131,133,111500
2019-05-01,132,132,132,132,0
2019-05-02,133,137,132,132,7053000
2019-05-03,132,133,131,133,84500
2019-05-06,132,133,132,132,419500
2019-05-07,133,133,132,132,456500
2019-05-08,133,133,131,132,379500
2019-05-09,133,133,132,133,480000
2019-05-10,133,133,132,133,424500
2019-05-13,133,133,132,133,1543000
2019-05-14,132,133,131,131,685000
2019-05-15,131,132,131,131,298500
2019-05-16,130,132,130,132,436500
2019-05-17,130,133,130,133,154500
2019-05-20,130,130,129,130,1013500
2019-05-21,135,135,130,130,697000
2019-05-22,135,135,132,135,222500
2019-05-23,137,139,135,137,461000
2019-05-24,137,139,137,139,1542500
2019-05-27,139,139,138,139,635000
2019-05-28,139,140,138,139,2035000
2019-05-29,141,141,134,141,2104500
2019-05-30,141,141,141,141,0
2019-05-31,142,143,138,141,348500
2019-06-03,142,142,142,142,0
2019-06-04,142,142,142,142,0
2019-06-05,142,142,142,142,0
2019-06-06,142,142,142,142,0
2019-06-07,142,142,142,142,0
2019-06-10,142,143,141,142,1207000
2019-06-11,142,144,142,142,239000
2019-06-12,140,144,140,144,403500
2019-06-13,143,143,140,140,679500
2019-06-14,143,144,141,144,679500
2019-06-17,142,143,137,143,4646500
2019-06-18,142,144,141,144,581000
2019-06-19,143,144,141,142,435500
2019-06-20,141,144,140,144,809500
2019-06-21,140,143,140,141,236500
2019-06-24,141,144,139,140,556000
2019-06-25,142,144,141,142,631500
2019-06-26,143,144,141,144,1307000
2019-06-27,142,143,141,143,927000
2019-06-28,143,144,142,143,1139500
2019-07-01,144,144,142,144,1312500
2019-07-02,143,144,142,144,183500
2019-07-03,143,144,142,144,663500
2019-07-04,142,144,142,143,229000
2019-07-05,143,144,143,143,197000
2019-07-08,144,146,143,144,1305500
2019-07-09,144,145,144,145,953000
2019-07-10,146,146,144,144,586500
2019-07-11,148,148,146,146,1034000
2019-07-12,148,149,147,148,662500
2019-07-15,149,149,146,148,450000
2019-07-16,157,166,149,149,3950500
2019-07-17,155,160,152,157,1238000
2019-07-18,156,158,155,155,382000
2019-07-19,155,156,153,156,416500
2019-07-22,154,156,152,155,1096500
2019-07-23,152,154,152,154,1330500
2019-07-24,150,152,149,152,1462500
2019-07-25,152,155,149,155,972500
2019-07-26,152,155,150,152,764000
2019-07-29,152,153,150,153,723000
2019-07-30,154,156,150,152,204500
2019-07-31,154,155,151,154,1567000
2019-08-01,150,154,144,154,5310500
2019-08-02,150,151,147,149,1144500
2019-08-05,148,151,148,150,440000
2019-08-06,148,148,142,148,1688500
2019-08-07,147,149,147,148,1048500
2019-08-08,145,148,145,147,1444000
2019-08-09,147,148,145,146,727500
2019-08-12,146,147,144,147,1053500
2019-08-13,146,146,144,146,331000
2019-08-14,148,148,146,146,157500
2019-08-15,147,147,145,147,590000
2019-08-16,146,147,146,147,430500
2019-08-19,147,147,145,146,194500
2019-08-20,147,148,145,147,751000
2019-08-21,146,147,145,147,362000
2019-08-22,147,148,145,146,622000
2019-08-23,148,148,145,145,270500
2019-08-26,147,148,146,146,250500
2019-08-27,147,148,145,147,242000
2019-08-28,145,148,145,148,744000
2019-08-29,145,146,145,145,366000
2019-08-30,145,147,145,145,276000
2019-09-02,146,147,145,145,372500
2019-09-03,146,147,145,146,158000
2019-09-04,145,147,144,146,2048000
2019-09-05,145,147,145,145,934500
2019-09-06,145,147,144,145,803500
2019-09-09,146,147,144,145,316000
2019-09-10,147,147,145,146,613000
2019-09-11,148,148,146,147,106500
2019-09-12,147,148,146,148,91000
2019-09-13,146,148,146,146,145500
2019-09-16,146,147,145,146,298000
2019-09-17,146,147,145,145,467000
2019-09-18,147,148,146,146,202000
2019-09-19,146,147,146,147,1235000
2019-09-20,147,147,146,147,639000
2019-09-23,147,148,147,147,1306500
2019-09-24,144,147,144,147,1152000
2019-09-25,145,147,144,144,1992000
2019-09-26,146,146,145,146,266000
2019-09-27,145,146,145,146,425000
2019-09-30,146,147,143,147,1061500
2019-10-01,145,147,145,147,172500
2019-10-02,142,146,142,146,898500
2019-10-03,142,144,141,141,726000
2019-10-04,143,144,142,143,248000
2019-10-07,142,144,142,143,815500
2019-10-08,143,144,142,142,846500
2019-10-09,144,144,143,143,167000
2019-10-10,144,144,144,144,241500
2019-10-11,144,144,144,144,517000
2019-10-14,144,145,144,144,218500
2019-10-15,144,145,144,144,485000
2019-10-16,146,147,144,145,1254500
2019-10-17,145,147,145,146,139000
2019-10-18,146,147,145,145,808000
2019-10-21,144,147,144,146,3367000
2019-10-22,146,146,145,146,299000
2019-10-23,145,147,145,145,403500
2019-10-24,149,162,145,145,4318500
2019-10-25,150,151,148,149,4234000
2019-10-28,149,150,149,150,1099000
2019-10-29,152,155,149,149,2432000
2019-10-30,152,156,152,154,1840000
2019-10-31,152,155,152,154,349000
2019-11-01,153,154,151,152,1741000
2019-11-04,155,156,152,153,5220500
2019-11-05,155,156,150,155,1395000
2019-11-06,155,156,154,156,1663000
2019-11-07,154,156,153,156,3853000
2019-11-08,155,155,154,154,1285000
2019-11-11,156,157,155,155,453000
2019-11-12,157,157,155,156,1775500
2019-11-13,160,161,157,158,645000
2019-11-14,160,162,157,160,1139500
2019-11-15,160,160,157,160,394500
2019-11-18,160,161,157,160,695000
