timestamp,open,high,low,close,volume
2019-07-08,555,555,500,500,4174800
2019-07-09,690,690,660,690,34161400
2019-07-10,695,735,685,700,14297100
2019-07-11,865,865,695,695,53014800
2019-07-12,890,935,825,880,65932600
2019-07-15,885,930,870,895,42815500
2019-07-16,1065,1090,890,890,112006500
2019-07-17,1050,1105,1020,1070,60157100
2019-07-18,1050,1135,1015,1055,74800300
2019-07-19,1095,1105,1045,1060,39513900
2019-07-22,1130,1135,1075,1095,25551600
2019-07-23,1140,1155,1115,1130,28260700
2019-07-24,1130,1185,1040,1145,53792800
2019-07-25,1130,1140,1105,1135,17100800
2019-07-26,1115,1140,1105,1130,17046500
2019-07-29,1090,1120,1065,1115,19574700
2019-07-30,1100,1120,1080,1090,18240700
2019-07-31,1110,1130,1085,1105,15343800
2019-08-01,1130,1140,1115,1115,16716600
2019-08-02,1210,1225,1130,1135,41379700
2019-08-05,1180,1215,1180,1215,10013200
2019-08-06,1225,1230,1155,1180,21520800
2019-08-07,1250,1270,1220,1230,39585000
2019-08-08,1250,1315,1235,1255,57507500
2019-08-09,1265,1275,1245,1250,14935800
2019-08-12,1260,1275,1225,1265,20923500
2019-08-13,1245,1270,1240,1260,17635500
2019-08-14,1280,1280,1240,1255,18457300
2019-08-15,1295,1300,1255,1275,19854800
2019-08-16,1295,1330,1290,1300,22322500
2019-08-19,1285,1350,1275,1295,52516400
2019-08-20,1335,1400,1280,1290,54706400
2019-08-21,1315,1350,1315,1340,15308500
2019-08-22,1325,1335,1315,1315,16215200
2019-08-23,1325,1360,1325,1325,16344800
2019-08-26,1290,1325,1290,1325,14518700
2019-08-27,1365,1385,1295,1295,30264800
2019-08-28,1350,1375,1345,1365,15723300
2019-08-29,1345,1370,1345,1350,15153800
2019-08-30,1345,1365,1335,1345,11772200
2019-09-02,1330,1355,1325,1350,14086400
2019-09-03,1340,1355,1330,1330,14479800
2019-09-04,1440,1450,1330,1345,34768600
2019-09-05,1485,1530,1435,1450,33093200
2019-09-06,1560,1570,1480,1485,47747000
2019-09-09,1580,1600,1560,1560,15396200
2019-09-10,1560,1590,1555,1580,17603500
2019-09-11,1560,1585,1560,1565,11054300
2019-09-12,1570,1600,1560,1560,18282600
2019-09-13,1570,1590,1560,1575,12327800
2019-09-16,1570,1570,1540,1565,9693100
2019-09-17,1575,1595,1565,1570,15715100
2019-09-18,1575,1595,1570,1575,11421600
2019-09-19,1570,1580,1560,1575,10339300
2019-09-20,1575,1580,1560,1570,10989100
2019-09-23,1685,1685,1575,1575,35038400
2019-09-24,1700,1720,1685,1690,20989000
2019-09-25,1690,1710,1685,1700,11542800
2019-09-26,1710,1730,1685,1685,18015000
2019-09-27,1700,1715,1695,1710,10337000
2019-09-30,1795,1810,1690,1700,29102100
2019-10-01,1830,1835,1790,1795,21692700
2019-10-02,1840,1865,1825,1830,24895500
2019-10-03,1830,1860,1815,1850,17812600
2019-10-04,1855,1880,1825,1830,15207600
2019-10-07,1850,1885,1850,1855,21316500
2019-10-08,1875,1890,1850,1855,24091800
2019-10-09,1860,1880,1855,1875,11303500
2019-10-10,1880,1900,1855,1860,14898500
2019-10-11,1995,2020,1880,1880,34638100
2019-10-14,2040,2060,1990,2000,17049400
2019-10-15,2050,2090,2030,2040,18368000
2019-10-16,2110,2120,2050,2050,19069200
2019-10-17,2180,2200,2110,2120,17644000
2019-10-18,2160,2210,2150,2180,17194700
2019-10-21,2150,2180,2120,2160,13717300
