timestamp,open,high,low,close,volume
2020-03-09,68,68,50,50,4405512
2020-03-10,84,84,62,75,698364357
2020-03-11,82,103,77,85,297370883
2020-03-12,74,82,74,82,1387600
2020-03-13,70,70,70,70,99974
2020-03-16,65,65,65,65,46373
2020-03-17,61,61,61,61,19272
2020-03-18,57,57,57,57,20175
2020-03-19,53,53,53,53,48481
2020-03-20,50,50,49,49,201044640
2020-03-23,46,46,46,46,122860
2020-03-24,44,44,44,44,37641
2020-03-26,42,44,41,41,7757074
2020-03-27,44,49,39,41,183850193
2020-03-30,42,54,41,46,104721107
2020-03-31,42,45,39,42,107506246
2020-04-01,40,43,40,40,13265922
2020-04-02,37,40,37,40,9713808
2020-04-03,35,37,35,36,13717013
2020-04-06,35,36,33,35,8381013
2020-04-07,42,42,33,36,112561293
2020-04-08,39,43,39,43,31181572
2020-04-09,40,42,36,40,67702156
2020-04-13,38,42,38,38,22506356
2020-04-14,40,44,37,41,167492884
2020-04-15,39,40,37,37,17213116
2020-04-16,39,42,37,39,144491472
2020-04-17,38,40,38,38,9626481
2020-04-20,36,39,35,35,11949086
2020-04-21,37,41,34,34,100307465
2020-04-22,36,38,35,36,13760074
2020-04-23,36,40,35,36,56178865
2020-04-24,35,38,35,36,9132329
2020-04-27,36,37,33,33,1716132
2020-04-28,36,39,35,37,27892042
2020-04-29,37,40,36,36,37156567
2020-04-30,36,38,36,38,1547500
2020-05-04,37,37,35,37,470061
2020-05-05,35,37,35,35,1704990
2020-05-06,35,36,35,36,742282
2020-05-08,34,35,34,35,6996724
2020-05-11,34,36,32,32,76419530
2020-05-12,34,36,32,33,2875477
2020-05-13,33,34,33,34,720600
2020-05-14,31,33,31,33,1276785
2020-05-15,30,32,29,32,544741
2020-05-18,28,30,28,28,1149106
2020-05-19,37,37,27,28,23903894
2020-05-20,35,41,35,41,2582780
2020-05-26,33,33,33,33,82208
2020-05-27,31,31,31,31,199648
2020-05-28,31,34,29,29,20414114
2020-05-29,30,32,29,29,780224
2020-06-02,31,33,29,33,911516
2020-06-03,30,31,30,30,409233
2020-06-04,31,33,28,28,356837
2020-06-05,31,33,30,31,540525
2020-06-08,30,32,30,31,1213849
2020-06-09,31,32,30,30,877790
2020-06-10,30,31,30,31,61731
2020-06-11,30,31,29,30,1280097
2020-06-12,30,32,29,32,430312
2020-06-15,30,31,30,31,1365618
2020-06-16,31,31,28,30,2000999
2020-06-17,31,32,30,32,427000
2020-06-18,31,31,31,31,109610
2020-06-19,31,32,30,31,2156984
2020-06-22,31,32,31,31,910613
2020-06-23,31,32,29,32,1008781
2020-06-24,30,32,29,31,916635
2020-06-25,30,32,29,32,1638139
2020-06-26,31,32,30,30,672721
2020-06-29,31,32,29,30,2078088
2020-06-30,31,31,30,31,668806
2020-07-01,31,32,30,32,190313
2020-07-02,31,33,31,31,1496910
2020-07-03,32,33,31,33,51794
2020-07-06,33,34,31,31,778116
2020-07-07,31,33,31,31,662181
2020-07-08,32,34,31,32,2229556
2020-07-09,32,33,31,31,1049433
2020-07-10,33,33,32,33,230062
