timestamp,open,high,low,close,volume
2019-01-01,104,104,104,104,0
2019-01-02,104,104,104,104,0
2019-01-03,106,120,106,120,200
2019-01-04,106,106,106,106,0
2019-01-07,107,107,100,100,2600
2019-01-08,102,109,100,100,16700
2019-01-09,101,109,101,109,36200
2019-01-10,103,108,100,108,29800
2019-01-11,107,107,101,101,12700
2019-01-14,107,109,107,107,51000
2019-01-15,107,107,107,107,0
2019-01-16,107,107,107,107,0
2019-01-17,107,107,107,107,0
2019-01-18,107,107,107,107,0
2019-01-21,107,107,107,107,0
2019-01-22,104,106,104,106,4400
2019-01-23,102,103,100,100,1100
2019-01-24,102,102,102,102,0
2019-01-25,102,102,102,102,0
2019-01-28,105,107,105,107,600
2019-01-29,102,102,98,98,14100
2019-01-30,102,102,102,102,0
2019-01-31,102,102,101,102,19100
2019-02-01,102,102,102,102,300
2019-02-04,108,108,103,103,3800
2019-02-05,108,108,108,108,0
2019-02-06,108,108,108,108,0
2019-02-07,108,108,108,108,0
2019-02-08,108,108,108,108,0
2019-02-11,101,104,101,102,4300
2019-02-12,101,101,101,101,0
2019-02-13,101,105,101,104,1300
2019-02-14,101,101,101,101,0
2019-02-15,108,108,104,104,1100
2019-02-18,105,111,104,111,1300
2019-02-19,105,105,105,105,0
2019-02-20,104,111,100,111,1300
2019-02-21,104,104,104,104,0
2019-02-22,102,102,102,102,100
2019-02-25,107,110,103,110,700
2019-02-26,107,111,107,111,4300
2019-02-27,107,107,107,107,0
2019-02-28,105,111,105,111,200
2019-03-01,105,105,105,105,0
2019-03-04,108,108,99,99,200
2019-03-05,108,111,107,111,800
2019-03-06,108,108,108,108,0
2019-03-07,108,108,108,108,0
2019-03-08,102,102,102,102,200
2019-03-11,102,102,102,102,0
2019-03-12,104,104,104,104,100
2019-03-13,104,104,104,104,0
2019-03-14,101,104,99,99,26700
2019-03-15,107,108,101,101,2700
2019-03-18,101,110,101,109,1400
2019-03-19,101,101,101,101,0
2019-03-20,101,101,101,101,0
2019-03-21,101,101,101,101,0
2019-03-22,101,101,101,101,0
2019-03-25,101,101,101,101,0
2019-03-26,106,106,106,106,300
2019-03-27,108,108,108,108,100
2019-03-28,106,106,106,106,200
2019-03-29,106,106,106,106,0
2019-04-01,106,106,106,106,0
2019-04-02,106,106,106,106,0
2019-04-03,106,106,106,106,0
2019-04-04,106,106,106,106,0
2019-04-05,106,106,106,106,0
2019-04-08,99,99,99,99,14500
2019-04-09,109,109,109,109,200
2019-04-10,99,99,99,99,300
2019-04-11,99,99,99,99,0
2019-04-12,99,99,99,99,0
2019-04-15,104,110,104,110,11900
2019-04-16,105,109,98,98,1100
2019-04-17,105,105,105,105,0
2019-04-18,101,101,101,101,300
2019-04-19,101,101,101,101,0
2019-04-22,99,101,99,101,2600
2019-04-23,99,99,99,99,29700
2019-04-24,100,104,100,104,18300
2019-04-25,100,100,100,100,10200
2019-04-26,100,110,100,110,2500
2019-04-29,102,103,100,100,1300
2019-04-30,100,100,100,100,2000
2019-05-01,100,100,100,100,0
2019-05-02,99,101,99,99,3000
2019-05-03,99,99,99,99,34000
2019-05-06,99,99,99,99,0
2019-05-07,99,99,99,99,5000
2019-05-08,99,99,99,99,0
2019-05-09,99,99,99,99,100
2019-05-10,97,98,97,98,23300
2019-05-13,101,101,97,97,600
2019-05-14,101,101,101,101,100
2019-05-15,101,101,101,101,100
2019-05-16,99,101,99,101,2000
2019-05-17,99,99,99,99,0
2019-05-20,99,99,99,99,100
2019-05-21,99,99,99,99,0
2019-05-22,99,99,99,99,0
2019-05-23,101,101,89,89,500
2019-05-24,101,101,101,101,0
2019-05-27,101,101,101,101,100
2019-05-28,100,100,100,100,200
2019-05-29,101,101,101,101,100
2019-05-30,101,101,101,101,0
2019-05-31,98,101,98,101,20100
2019-06-03,98,98,98,98,0
