timestamp,open,high,low,close,volume
2019-01-01,1910,1910,1910,1910,0
2019-01-02,1910,1940,1910,1910,400
2019-01-03,1910,1910,1910,1910,0
2019-01-04,1910,1910,1910,1910,3000
2019-01-07,1905,1905,1905,1905,1000
2019-01-08,1905,1905,1905,1905,0
2019-01-09,1905,1905,1905,1905,200
2019-01-10,1900,1905,1895,1895,1000
2019-01-11,1905,1915,1905,1915,200
2019-01-14,2110,2140,1900,1900,14400
2019-01-15,2010,2060,1910,1910,700
2019-01-16,2140,2140,1995,1995,5800
2019-01-17,2130,2130,2130,2130,100
2019-01-18,2130,2130,2130,2130,0
2019-01-21,2290,2290,2130,2150,1400
2019-01-22,2290,2290,2290,2290,0
2019-01-23,2290,2290,2290,2290,0
2019-01-24,2290,2290,2290,2290,0
2019-01-25,2290,2290,2290,2290,0
2019-01-28,2240,2240,2240,2240,100
2019-01-29,2240,2240,2240,2240,0
2019-01-30,2220,2220,2220,2220,500
2019-01-31,2220,2220,2220,2220,0
2019-02-01,2220,2220,2220,2220,0
2019-02-04,2290,2290,2290,2290,100
2019-02-05,2290,2290,2290,2290,0
2019-02-06,2280,2280,2280,2280,100
2019-02-07,2280,2280,2280,2280,0
2019-02-08,2280,2280,2280,2280,0
2019-02-11,2280,2280,2280,2280,0
2019-02-12,2280,2280,2280,2280,0
2019-02-13,2280,2280,2280,2280,0
2019-02-14,2280,2280,2280,2280,0
2019-02-15,2290,2290,2290,2290,100
2019-02-18,2290,2290,2290,2290,0
2019-02-19,2290,2290,2290,2290,0
2019-02-20,2220,2230,1935,1935,1700
2019-02-21,2190,2300,1965,2200,2700
2019-02-22,2190,2190,2190,2190,0
2019-02-25,2190,2190,2190,2190,0
2019-02-26,2200,2250,2200,2250,400
2019-02-27,2200,2200,2200,2200,0
2019-02-28,2200,2200,2200,2200,0
2019-03-01,2200,2200,2200,2200,0
2019-03-04,2200,2200,2200,2200,0
2019-03-05,2200,2200,2200,2200,0
2019-03-06,2200,2200,2200,2200,0
2019-03-07,2200,2200,2200,2200,0
2019-03-08,2200,2200,2200,2200,0
2019-03-11,2200,2200,2200,2200,0
2019-03-12,2200,2200,2200,2200,0
2019-03-13,2200,2200,2200,2200,0
2019-03-14,2100,2100,2090,2100,500
2019-03-15,2100,2100,2050,2050,2600
2019-03-18,2280,2280,2050,2050,2400
2019-03-19,2100,2100,1955,2100,13800
2019-03-20,2100,2100,2100,2100,400
2019-03-21,2100,2100,1925,2100,12100
2019-03-22,2100,2100,2100,2100,0
2019-03-25,2300,2300,2150,2150,4800
2019-03-26,2100,2200,2000,2200,9200
2019-03-27,2100,2100,2100,2100,0
2019-03-28,2100,2100,2100,2100,0
2019-03-29,2100,2100,2100,2100,0
2019-04-01,2100,2100,2100,2100,0
2019-04-02,2100,2100,2100,2100,0
2019-04-03,2100,2100,2100,2100,0
2019-04-04,2100,2100,2100,2100,0
2019-04-05,2100,2100,2100,2100,0
2019-04-08,2100,2100,2100,2100,0
2019-04-09,2100,2100,2100,2100,200
2019-04-10,2100,2100,2100,2100,0
2019-04-11,2090,2090,2090,2090,100
2019-04-12,1895,2040,1895,2040,42000
2019-04-15,1930,1930,1930,1930,100
2019-04-16,1930,1930,1930,1930,100
2019-04-17,1930,1930,1930,1930,0
2019-04-18,2060,2060,1905,1905,1500
2019-04-19,2060,2060,2060,2060,0
2019-04-22,2000,2000,2000,2000,200
2019-04-23,1905,1905,1905,1905,400
2019-04-24,1905,1905,1905,1905,0
2019-04-25,1980,1980,1980,1980,1200
2019-04-26,1970,1970,1970,1970,100
2019-04-29,1970,1970,1970,1970,0
2019-04-30,2010,2020,1995,2000,26400
2019-05-01,2010,2010,2010,2010,0
2019-05-02,2000,2000,2000,2000,500
2019-05-03,2100,2150,2100,2100,10200
2019-05-06,2100,2100,2100,2100,0
2019-05-07,2050,2050,2050,2050,500
2019-05-08,2050,2050,2050,2050,0
2019-05-09,2050,2050,2050,2050,0
2019-05-10,2000,2000,2000,2000,300
2019-05-13,2000,2000,2000,2000,0
2019-05-14,2000,2000,2000,2000,0
2019-05-15,2000,2000,2000,2000,0
2019-05-16,2000,2000,2000,2000,0
2019-05-17,2000,2000,2000,2000,0
2019-05-20,2000,2000,2000,2000,0
2019-05-21,1920,1965,1920,1920,3700
2019-05-22,1915,1915,1915,1915,200
2019-05-23,1915,1915,1915,1915,0
2019-05-24,1910,1910,1910,1910,300
2019-05-27,1910,1910,1910,1910,0
2019-05-28,1910,1910,1910,1910,0
2019-05-29,1910,1910,1910,1910,0
2019-05-30,1910,1910,1910,1910,0
2019-05-31,1900,1900,1900,1900,100
2019-06-03,1900,1900,1900,1900,0
2019-06-04,1900,1900,1900,1900,0
2019-06-05,1900,1900,1900,1900,0
2019-06-06,1900,1900,1900,1900,0
2019-06-07,1900,1900,1900,1900,0
2019-06-10,1900,1900,1900,1900,200
2019-06-11,1905,1905,1905,1905,100
2019-06-12,1905,1905,1905,1905,0
2019-06-13,1905,1905,1905,1905,0
2019-06-14,1905,1905,1905,1905,0
2019-06-17,1905,1905,1905,1905,0
2019-06-18,1905,1905,1905,1905,0
2019-06-20,1895,1895,1895,1895,100
2019-06-21,1895,1895,1895,1895,0
2019-06-24,1895,1895,1895,1895,0
2019-06-25,1895,1895,1895,1895,0
2019-06-26,1900,1900,1900,1900,600
2019-06-27,1900,1900,1900,1900,0
2019-06-28,1900,1900,1900,1900,0
2019-07-01,1900,1900,1900,1900,100
2019-07-02,1900,1900,1900,1900,0
2019-07-03,1905,1905,1900,1900,1100
2019-07-04,1905,1905,1905,1905,0
2019-07-05,1900,1905,1900,1905,2000
2019-07-08,1905,1905,1905,1905,11500
2019-07-09,1905,1905,1905,1905,300
2019-07-10,1905,1905,1905,1905,2000
2019-07-11,1905,1905,1905,1905,5000
2019-07-12,1950,1950,1950,1950,200
2019-07-15,1905,1905,1905,1905,21500
2019-07-16,1905,1905,1905,1905,0
2019-07-17,1905,1905,1905,1905,100
2019-07-18,1905,1905,1905,1905,0
2019-07-19,1900,1905,1900,1905,1900
2019-07-22,1900,1900,1900,1900,0
2019-07-23,1900,1900,1900,1900,0
2019-07-24,1900,1900,1900,1900,800
2019-07-25,1900,1900,1900,1900,0
2019-07-26,1950,1990,1950,1990,40000
2019-07-29,1950,1950,1950,1950,0
2019-07-30,1985,1985,1985,1985,800
2019-07-31,1985,1985,1985,1985,0
2019-08-01,1985,1985,1985,1985,0
2019-08-02,1985,1985,1985,1985,0
2019-08-05,1985,1985,1985,1985,0
2019-08-06,1985,1985,1985,1985,200
2019-08-07,1985,1985,1985,1985,0
2019-08-08,1985,1985,1985,1985,0
2019-08-09,1985,1985,1985,1985,0
2019-08-12,1985,1985,1985,1985,0
2019-08-13,1985,1985,1985,1985,0
2019-08-14,1985,1985,1985,1985,0
2019-08-15,1985,1985,1985,1985,0
2019-08-16,1985,1985,1985,1985,0
2019-08-19,1985,1985,1985,1985,0
2019-08-20,1985,1985,1985,1985,0
2019-08-21,1985,1985,1985,1985,0
2019-08-22,1985,1985,1985,1985,0
2019-08-23,1985,1985,1985,1985,0
2019-08-26,1985,1985,1985,1985,0
2019-08-27,1985,1985,1985,1985,0
2019-08-28,1985,1985,1985,1985,0
2019-08-29,1985,1985,1985,1985,0
2019-08-30,1985,1985,1985,1985,0
2019-09-02,1985,1985,1985,1985,0
2019-09-03,1985,1985,1985,1985,0
2019-09-04,1985,1985,1985,1985,0
2019-09-05,1985,1985,1985,1985,0
2019-09-06,1985,1985,1985,1985,0
2019-09-09,1985,1985,1985,1985,0
2019-09-10,1985,1985,1985,1985,0
2019-09-11,1985,1985,1985,1985,0
2019-09-12,1985,1985,1985,1985,0
2019-09-13,1985,1985,1985,1985,0
2019-09-16,1985,1985,1985,1985,0
2019-09-17,1985,1985,1985,1985,0
2019-09-18,1985,1985,1985,1985,0
2019-09-19,1985,1985,1985,1985,0
2019-09-20,1985,1985,1985,1985,0
2019-09-23,1985,1985,1985,1985,0
2019-09-24,1985,1985,1985,1985,0
2019-09-25,1985,1985,1985,1985,0
2019-09-26,1985,1985,1985,1985,0
2019-09-27,1985,1985,1985,1985,0
2019-09-30,1985,1985,1985,1985,0
2019-10-01,1985,1985,1985,1985,0
2019-10-02,1985,1985,1985,1985,0
2019-10-03,1985,1985,1985,1985,0
2019-10-04,1985,1985,1985,1985,0
2019-10-07,1985,1985,1985,1985,0
2019-10-08,1985,1985,1985,1985,0
2019-10-09,1985,1985,1985,1985,0
2019-10-10,1985,1985,1985,1985,0
2019-10-11,1985,1985,1985,1985,0
2019-10-14,1985,1985,1985,1985,0
2019-10-15,1985,1985,1985,1985,0
2019-10-16,1985,1985,1985,1985,0
2019-10-17,1985,1985,1985,1985,0
2019-10-18,1985,1985,1985,1985,0
2019-10-21,1985,1985,1985,1985,0
2019-10-22,1985,1985,1985,1985,0
2019-10-23,1985,1985,1985,1985,0
2019-10-24,1985,1985,1985,1985,0
2019-10-25,1985,1985,1985,1985,0
2019-10-28,1985,1985,1985,1985,0
2019-10-29,1985,1985,1985,1985,0
2019-10-30,1985,1985,1985,1985,0
2019-10-31,1985,1985,1985,1985,0
2019-11-01,1985,1985,1985,1985,0
2019-11-04,1985,1985,1985,1985,0
2019-11-05,1985,1985,1985,1985,0
2019-11-06,1985,1985,1985,1985,0
2019-11-07,1985,1985,1985,1985,0
2019-11-08,1985,1985,1985,1985,0
2019-11-11,1985,1985,1985,1985,0
2019-11-12,1985,1985,1985,1985,0
2019-11-13,1985,1985,1985,1985,0
2019-11-14,1985,1985,1985,1985,0
2019-11-15,1990,1990,1990,1990,200
2019-11-18,1990,1990,1990,1990,0
2019-11-19,1990,1990,1990,1990,0
2019-11-20,2000,2000,2000,2000,1000
2019-11-21,2000,2000,2000,2000,0
2019-11-22,2000,2000,2000,2000,0
2019-11-25,2000,2000,2000,2000,0
2019-11-26,2000,2000,2000,2000,0
2019-11-27,2000,2000,2000,2000,0
2019-11-28,2000,2000,2000,2000,0
2019-11-29,2000,2000,2000,2000,0
2019-12-02,2000,2000,2000,2000,0
2019-12-03,2000,2000,2000,2000,500
2019-12-04,2000,2000,2000,2000,0
2019-12-05,2000,2000,2000,2000,1500
2019-12-06,2000,2000,2000,2000,0
2019-12-09,2000,2000,2000,2000,0
2019-12-10,2000,2000,2000,2000,0
2019-12-11,2000,2000,2000,2000,0
2019-12-12,2000,2000,2000,2000,0
2019-12-13,2000,2000,2000,2000,0
2019-12-16,2000,2000,2000,2000,0
2019-12-17,2000,2000,2000,2000,0
2019-12-18,2000,2000,2000,2000,0
2019-12-19,2000,2000,2000,2000,0
2019-12-20,2000,2000,2000,2000,0
2019-12-23,2000,2000,2000,2000,0
2019-12-26,2000,2000,2000,2000,0
2019-12-27,2000,2000,2000,2000,0
2019-12-30,2000,2000,2000,2000,0
2020-01-02,2000,2000,2000,2000,0
2020-01-03,2000,2000,2000,2000,0
2020-01-06,2000,2000,2000,2000,0
2020-01-07,2000,2000,2000,2000,0
2020-01-08,2000,2000,2000,2000,0
2020-01-09,2000,2000,2000,2000,0
2020-01-10,2000,2000,2000,2000,0
2020-01-13,2000,2000,2000,2000,0
2020-01-14,2000,2000,2000,2000,0
2020-01-15,2000,2000,2000,2000,0
2020-01-16,2000,2000,2000,2000,0
2020-01-17,2000,2000,2000,2000,0
2020-01-20,2000,2000,2000,2000,0
2020-01-21,2000,2000,2000,2000,0
2020-01-22,2000,2000,2000,2000,0
2020-01-23,2000,2000,2000,2000,0
2020-01-24,2000,2000,2000,2000,0
2020-01-27,2000,2000,2000,2000,0
2020-01-28,2000,2000,2000,2000,0
2020-01-29,2000,2000,2000,2000,0
2020-01-30,1770,2140,1715,2090,71900
2020-01-31,1990,1990,1770,1775,12900
2020-02-03,1950,1950,1950,1950,100
2020-02-04,1950,1950,1950,1950,0
2020-02-05,1950,1950,1950,1950,0
2020-02-06,1950,1950,1950,1950,0
2020-02-07,1950,1950,1950,1950,0
2020-02-10,1950,1950,1950,1950,0
2020-02-11,1950,1950,1950,1950,0
2020-02-12,1950,1950,1950,1950,0
2020-02-13,1950,1950,1950,1950,0
2020-02-14,1950,1950,1950,1950,0
2020-02-17,1950,1950,1950,1950,0
2020-02-18,1950,1950,1950,1950,0
2020-02-19,1950,1950,1950,1950,0
2020-02-20,1950,1950,1950,1950,0
2020-02-21,2000,2000,2000,2000,800
2020-02-24,2000,2000,2000,2000,0
2020-02-25,1725,2000,1725,1995,800
2020-02-26,1725,1725,1725,1725,0
2020-02-27,1725,1725,1725,1725,0
2020-02-28,1725,1725,1725,1725,0
2020-03-02,1715,1715,1715,1715,200
2020-03-03,1715,1715,1715,1715,0
2020-03-04,1715,1715,1715,1715,0
2020-03-05,1715,1715,1715,1715,0
2020-03-06,1715,1715,1715,1715,0
2020-03-09,1715,1715,1715,1715,0
2020-03-10,1715,1715,1715,1715,0
2020-03-11,1700,1715,1700,1715,42900
2020-03-12,1700,1705,1700,1705,119600
2020-03-13,1700,1700,1700,1700,0
2020-03-16,1700,1700,1700,1700,0
2020-03-17,1700,1700,1700,1700,0
2020-03-18,1700,1700,1700,1700,0
2020-03-19,1700,1700,1700,1700,0
2020-03-20,1700,1700,1700,1700,0
2020-03-23,1700,1700,1700,1700,0
2020-03-24,1700,1700,1700,1700,0
2020-03-26,1700,1700,1700,1700,0
2020-03-27,1700,1700,1700,1700,0
2020-03-30,1590,1595,1590,1595,2500
2020-03-31,1590,1590,1590,1590,0
2020-04-01,1590,1590,1590,1590,0
2020-04-02,1500,1505,1500,1505,2500
2020-04-03,1410,1410,1410,1410,1000
2020-04-06,1410,1410,1410,1410,0
2020-04-07,1410,1410,1410,1410,0
2020-04-08,1410,1410,1410,1410,0
2020-04-09,1410,1410,1410,1410,0
2020-04-13,1410,1410,1410,1410,0
2020-04-14,1410,1410,1410,1410,0
2020-04-15,1465,1695,1330,1330,18700
2020-04-16,1580,1685,1575,1685,6500
2020-04-17,1535,1640,1480,1480,19500
2020-04-20,1580,1610,1580,1610,200
2020-04-21,1620,1620,1485,1595,20000
2020-04-22,1510,1570,1510,1570,900
2020-04-23,1510,1510,1510,1510,0
2020-04-24,1535,1600,1405,1565,55600
2020-04-27,1535,1535,1535,1535,0
2020-04-28,1535,1535,1535,1535,0
2020-04-29,1445,1445,1445,1445,4400
2020-04-30,1445,1445,1445,1445,0
2020-05-04,1445,1445,1445,1445,1000
2020-05-05,1445,1445,1445,1445,0
2020-05-06,1450,1450,1450,1450,200
2020-05-08,1450,1450,1450,1450,0
2020-05-11,1450,1450,1450,1450,0
2020-05-12,1450,1450,1450,1450,0
2020-05-13,1450,1450,1450,1450,0
2020-05-14,1450,1450,1450,1450,0
2020-05-15,1495,1495,1495,1495,300
2020-05-18,1495,1495,1495,1495,0
2020-05-19,1495,1495,1495,1495,200
2020-05-20,1495,1495,1495,1495,0
2020-05-26,1495,1495,1495,1495,0
2020-05-27,1495,1495,1495,1495,0
2020-05-28,1495,1495,1495,1495,0
2020-05-29,1570,1595,1500,1500,5400
2020-06-02,1570,1570,1570,1570,0
2020-06-03,1570,1570,1570,1570,0
