timestamp,open,high,low,close,volume
2019-01-01,67210,67210,67210,67210,0
2019-01-02,67371,67914,67210,67914,421100
2019-01-03,66768,67371,65503,67271,1127300
2019-01-04,67110,67311,66306,66768,389200
2019-01-07,66507,67793,65924,67793,640100
2019-01-08,66186,67030,65161,66708,1051900
2019-01-09,65020,66668,64719,66668,1150000
2019-01-10,66186,66186,64759,65422,993500
2019-01-11,66929,66929,65925,66186,749900
2019-01-14,67210,67210,66949,67130,767000
2019-01-15,67512,67512,66025,67512,617600
2019-01-16,67753,67853,66387,67532,764000
2019-01-17,67632,67632,66949,67512,835100
2019-01-18,67431,67793,67110,67632,726900
2019-01-21,66527,67231,66527,66547,844900
2019-01-22,66547,66648,66326,66527,558900
2019-01-23,65824,67110,65824,66547,604200
2019-01-24,66346,66949,65904,65904,981100
2019-01-25,68034,68115,66588,66628,1013100
2019-01-28,68074,69642,67833,68316,2092000
2019-01-29,66507,69019,65985,68074,1694900
2019-01-30,66708,66949,66628,66869,805100
2019-01-31,67231,67271,66507,66708,1469400
2019-02-01,66708,67351,65945,67231,1071800
2019-02-04,65101,66447,65101,66447,1202300
2019-02-05,65101,65101,65101,65101,0
2019-02-06,65503,66105,65181,65181,764000
2019-02-07,65342,65884,65101,65503,514400
2019-02-08,65020,65342,64438,65342,716000
2019-02-11,65101,66065,65040,65040,568100
2019-02-12,64920,66005,64699,65101,813200
2019-02-13,66367,66487,65342,65904,1053300
2019-02-14,66708,66829,65663,65663,1177500
2019-02-15,67411,67512,66306,66708,924000
2019-02-18,68316,69762,67411,67411,1265600
2019-02-19,68316,69159,68316,68316,451400
2019-02-20,67271,68677,66728,68637,841500
2019-02-21,66708,67271,66668,67271,535800
2019-02-22,65724,67190,65503,67190,1119700
2019-02-25,66306,66708,65703,65724,721200
2019-02-26,67914,67914,66045,66045,974800
2019-02-27,69601,69963,67853,67914,1441700
2019-02-28,68637,69923,67673,69823,1580500
2019-03-01,73721,74283,68778,69119,2267700
2019-03-04,75870,81155,74424,74424,3681800
2019-03-05,72394,75790,71932,75790,1996600
2019-03-06,73942,74343,69320,72394,1727900
2019-03-07,73942,73942,73942,73942,0
2019-03-08,72334,73921,72173,73660,777400
2019-03-11,73761,75147,72234,72334,660000
2019-03-12,73901,74424,73459,74424,422000
2019-03-13,74142,74223,73540,73620,292200
2019-03-14,73178,73942,72816,73620,260600
2019-03-15,74585,74906,73198,73198,447800
2019-03-18,73540,74665,73379,74183,153100
2019-03-19,72294,73942,72254,73942,591400
2019-03-20,72334,72877,72294,72334,415500
2019-03-21,70244,72535,70164,72414,1419400
2019-03-22,67914,70787,67552,70727,2068300
2019-03-25,65724,69059,65121,68316,2259000
2019-03-26,67170,67552,66146,66146,965900
2019-03-27,68034,68316,67693,67693,616100
2019-03-28,67652,68557,67030,68034,636500
2019-03-29,66869,67713,64699,67713,688300
2019-04-01,66748,67231,66306,66869,636900
2019-04-02,66407,67231,66266,66708,728200
2019-04-03,66407,66407,66407,66407,0
2019-04-04,65020,66567,64960,66567,1287100
2019-04-05,63614,65221,63272,65181,1532300
2019-04-08,62911,64076,62710,64056,1295300
2019-04-09,63795,64136,62850,63594,891900
2019-04-10,62690,63935,62669,63935,1094800
2019-04-11,62248,63232,62248,62770,537500
2019-04-12,62187,62951,62167,62850,466400
2019-04-15,63895,64297,60299,62308,3949900
2019-04-16,66246,66407,64036,64217,2142100
2019-04-17,66246,66246,66246,66246,0
2019-04-18,63574,67512,63493,67512,2601200
2019-04-19,63574,63574,63574,63574,0
2019-04-22,61404,63574,61163,63574,2534500
2019-04-23,63333,63554,60680,61404,1332000
2019-04-24,65663,66005,62087,62288,2809900
2019-04-25,64297,65683,63915,65663,2074900
2019-04-26,66668,66688,63252,63574,2553900
2019-04-29,66849,67472,65985,67110,1945200
2019-04-30,67894,68516,66748,66788,4244700
2019-05-01,67894,67894,67894,67894,0
2019-05-02,65623,68416,65382,68376,1547300
2019-05-03,64940,66387,64659,65623,1240300
2019-05-06,64779,65503,63614,64297,880700
2019-05-07,65925,66909,64779,64779,1628300
2019-05-08,65925,66226,65543,65884,1334300
2019-05-09,67552,67994,66427,66708,3000500
2019-05-10,66969,67612,65362,67592,1894100
2019-05-13,65985,67311,65985,66708,744400
2019-05-14,65503,66226,64659,65261,1565300
2019-05-15,64819,66125,64136,65583,1573700
2019-05-16,64739,65282,63513,64860,1056200
2019-05-17,64076,64739,63634,64418,814500
2019-05-20,63493,64498,62911,64076,599800
2019-05-21,63795,64297,63473,63473,893600
2019-05-22,63172,63734,62730,63493,1000900
2019-05-23,62931,64016,62890,63172,1168100
2019-05-24,63554,64458,63493,63493,999300
2019-05-27,64136,64940,63554,63554,855200
2019-05-28,61725,64518,61725,64136,2751000
2019-05-29,64397,64458,62690,62690,1285600
2019-05-30,64397,64397,64397,64397,0
2019-05-31,64679,64719,63433,64397,1488200
2019-06-03,64679,64679,64679,64679,0
2019-06-04,64679,64679,64679,64679,0
2019-06-05,64679,64679,64679,64679,0
2019-06-06,64679,64679,64679,64679,0
2019-06-07,64679,64679,64679,64679,0
2019-06-10,63734,64839,63574,64679,1717900
2019-06-11,64297,64357,63714,63734,925000
2019-06-12,64116,64478,63835,64217,692800
2019-06-13,63493,63915,63493,63734,647100
2019-06-14,62288,63272,62268,63252,1650400
2019-06-17,61625,62690,61605,62288,850000
2019-06-18,62087,62288,61866,62288,969700
2019-06-20,62047,62710,61584,62710,2448600
2019-06-21,61082,62489,60941,62047,3378200
2019-06-24,62087,62448,61363,61363,839500
2019-06-25,61484,62690,61283,62288,1419800
2019-06-26,61805,62529,61384,61886,1362200
2019-06-27,61966,62408,61745,62288,846900
2019-06-28,61785,62107,61424,61986,1586300
2019-07-01,61645,62308,61464,61926,1243300
2019-07-02,62850,62850,61725,61846,1426500
2019-07-03,62469,63232,62388,62850,1216100
2019-07-04,62870,63051,62690,62690,1120600
2019-07-05,64180,64595,63245,63369,1149300
2019-07-08,64138,64595,63598,64595,729000
2019-07-09,64304,64429,63972,64346,970400
2019-07-10,63515,64346,63432,64097,944700
2019-07-11,63494,64034,63224,64034,840200
2019-07-12,61519,63889,61478,63390,2738000
2019-07-15,62309,62995,61769,61769,1125600
2019-07-16,63432,63432,62517,62704,1016700
2019-07-17,63702,63910,63265,63432,1342400
2019-07-18,64201,64512,63390,63494,1408300
2019-07-19,65926,66050,64201,64201,3364400
2019-07-22,65676,66549,65281,66092,1404200
2019-07-23,66341,66466,66175,66196,1722500
2019-07-24,64845,66341,64845,66341,732200
2019-07-25,63452,64866,63286,64845,2500000
2019-07-26,62309,64014,62288,64014,1840500
2019-07-29,62143,63182,61540,62351,1269400
2019-07-30,61997,62517,61540,61935,1812000
2019-07-31,62766,63598,61997,61997,3574600
2019-08-01,62039,63390,62039,62766,2188300
