timestamp,open,high,low,close,volume
2019-01-01,324,324,324,324,0
2019-01-02,404,404,314,360,84100
2019-01-03,505,505,430,430,133700
2019-01-04,630,630,575,590,157900
2019-01-07,550,785,535,630,305800
2019-01-08,490,550,488,500,53700
2019-01-09,525,610,480,605,51900
2019-01-10,500,580,472,520,50500
2019-01-11,470,525,452,525,75300
2019-01-14,496,500,472,472,24900
2019-01-15,496,550,496,496,27300
2019-01-16,545,560,496,550,35200
2019-01-17,482,545,480,545,36200
2019-01-18,480,484,480,482,15700
2019-01-21,490,510,490,490,10500
2019-01-22,450,490,450,490,61000
2019-01-23,452,525,452,490,6600
2019-01-24,452,500,442,460,28500
2019-01-25,452,452,452,452,0
2019-01-28,404,450,404,450,600
2019-01-29,404,480,364,404,22600
2019-01-30,364,446,364,404,8400
2019-01-31,370,386,366,368,7000
2019-02-01,402,434,400,434,10900
2019-02-04,408,410,404,404,3600
2019-02-05,408,408,408,408,0
2019-02-06,410,440,408,408,4700
2019-02-07,406,410,350,410,11600
2019-02-08,406,406,406,406,0
2019-02-11,404,404,404,404,17200
2019-02-12,384,500,384,450,10900
2019-02-13,390,390,390,390,500
2019-02-14,448,448,394,394,6500
2019-02-15,372,498,360,498,73400
2019-02-18,362,438,322,380,11200
2019-02-19,368,398,368,396,8900
2019-02-20,372,398,360,368,56400
2019-02-21,370,370,352,370,3100
2019-02-22,370,370,362,370,3100
2019-02-25,352,370,340,370,13000
2019-02-26,376,378,296,352,16300
2019-02-27,366,378,352,376,16600
2019-02-28,386,386,366,366,12800
2019-03-01,370,386,368,368,8100
2019-03-04,348,370,332,370,1500
2019-03-05,312,312,272,272,200
2019-03-06,390,390,366,366,37000
2019-03-07,390,390,390,390,0
2019-03-08,400,480,390,408,250900
2019-03-11,430,438,390,390,27700
2019-03-12,376,396,354,362,30200
2019-03-13,380,394,352,352,11700
2019-03-14,390,390,380,380,1900
2019-03-15,366,390,362,390,2800
2019-03-18,446,446,366,366,117300
2019-03-19,450,555,418,484,456300
2019-03-20,400,422,366,422,10300
2019-03-21,380,420,344,344,20200
2019-03-22,424,428,370,370,55300
2019-03-25,408,535,406,460,514100
2019-03-26,380,386,352,380,56100
2019-03-27,378,400,374,380,12500
2019-03-28,402,404,384,384,25500
2019-03-29,380,402,372,402,68300
2019-04-01,378,378,352,370,21000
2019-04-02,378,378,372,372,4400
2019-04-03,378,378,378,378,0
2019-04-04,420,420,368,368,28100
2019-04-05,470,530,442,478,323500
2019-04-08,460,480,430,480,1600
2019-04-09,454,478,454,478,1600
2019-04-10,390,440,380,402,98500
2019-04-11,398,400,378,380,9400
2019-04-12,386,386,370,380,1000
2019-04-15,394,460,384,390,8000
2019-04-16,370,390,370,374,23500
2019-04-17,370,370,370,370,0
2019-04-18,388,390,368,390,1900
2019-04-19,388,388,388,388,0
2019-04-22,370,390,368,390,9300
2019-04-23,378,380,360,370,10600
2019-04-24,366,398,322,398,10800
2019-04-25,360,366,360,366,500
2019-04-26,360,380,350,378,5700
2019-04-29,370,380,350,380,14600
2019-04-30,380,380,350,350,3900
2019-05-01,380,380,380,380,0
2019-05-02,352,380,352,380,2800
2019-05-03,352,352,352,352,0
2019-05-06,352,370,340,370,18000
2019-05-07,352,352,352,352,0
2019-05-08,368,368,330,330,300
2019-05-09,332,334,330,330,8300
2019-05-10,310,320,308,320,13000
2019-05-13,350,350,330,340,6000
2019-05-14,318,348,312,332,12300
2019-05-15,338,340,300,318,2900
2019-05-16,338,338,338,338,300
2019-05-17,338,338,338,338,0
2019-05-20,338,338,338,338,0
2019-05-21,338,338,338,338,0
2019-05-22,338,338,338,338,0
2019-05-23,328,328,328,328,200
2019-05-24,328,328,328,328,800
2019-05-27,328,328,318,318,3300
2019-05-28,328,328,328,328,0
2019-05-29,328,328,328,328,100
2019-05-30,328,328,328,328,0
2019-05-31,310,310,310,310,300
2019-06-03,310,310,310,310,0
2019-06-04,310,310,310,310,0
2019-06-05,310,310,310,310,0
2019-06-06,310,310,310,310,0
2019-06-07,310,310,310,310,0
2019-06-10,350,368,310,310,6800
2019-06-11,350,350,350,350,1100
2019-06-12,350,350,332,350,3200
2019-06-13,348,348,348,348,3400
2019-06-14,348,348,348,348,0
2019-06-17,302,348,284,348,1800
2019-06-18,320,320,302,302,1900
2019-06-19,258,302,240,302,800
2019-06-20,318,320,280,280,10800
2019-06-21,330,336,300,310,1400
2019-06-24,346,346,346,346,100
2019-06-25,338,340,270,340,14100
2019-06-26,338,338,338,338,0
2019-06-27,320,338,290,338,28100
2019-06-28,300,320,300,310,4900
2019-07-01,282,310,262,300,5600
2019-07-02,304,352,282,336,80900
2019-07-03,322,340,302,304,59800
2019-07-04,322,322,322,322,500
2019-07-05,302,302,302,302,4700
2019-07-08,280,292,270,290,28200
2019-07-09,350,350,288,302,98200
2019-07-10,430,436,350,350,445200
2019-07-11,356,500,356,450,250100
2019-07-12,328,368,320,368,53200
2019-07-15,344,348,338,338,29500
2019-07-16,326,342,326,328,131800
2019-07-17,406,406,326,326,88100
2019-07-18,505,505,408,416,623000
2019-07-19,630,630,545,545,545800
2019-07-22,480,780,474,670,1460500
2019-07-23,446,478,430,478,145600
2019-07-24,426,448,402,448,88200
2019-07-25,530,530,400,410,700600
2019-07-26,500,660,460,580,1489600
2019-07-29,464,500,460,500,127700
2019-07-30,478,488,454,472,119000
2019-07-31,464,486,432,470,172300
2019-08-01,480,580,458,468,806900
2019-08-02,488,500,452,500,54700
2019-08-05,464,488,464,488,48100
2019-08-06,478,480,442,480,34900
2019-08-07,494,500,470,478,173900
2019-08-08,490,520,476,476,89300
