timestamp,open,high,low,close,volume
2019-01-01,344,344,344,344,0
2019-01-02,344,344,342,342,319000
2019-01-03,342,345,342,343,536000
2019-01-04,340,343,339,343,332500
2019-01-07,344,346,340,340,414500
2019-01-08,340,345,340,345,551000
2019-01-09,344,344,339,340,768500
2019-01-10,344,347,340,344,551000
2019-01-11,344,346,344,346,146500
2019-01-14,343,344,340,344,272500
2019-01-15,341,343,340,343,641000
2019-01-16,344,346,341,341,259500
2019-01-17,330,344,330,344,2045500
2019-01-18,334,338,332,332,297500
2019-01-21,334,339,334,334,239000
2019-01-22,333,337,330,334,234000
2019-01-23,334,335,332,335,144000
2019-01-24,334,335,333,334,236500
2019-01-25,330,334,330,334,479500
2019-01-28,332,334,329,331,506500
2019-01-29,332,334,329,332,366500
2019-01-30,333,334,330,332,291500
2019-01-31,330,333,324,331,1489000
2019-02-01,332,334,329,330,251500
2019-02-04,333,334,331,333,315000
2019-02-05,333,333,333,333,0
2019-02-06,332,334,331,333,196000
2019-02-07,333,334,331,332,199000
2019-02-08,333,333,330,333,74000
2019-02-11,331,334,330,333,493000
2019-02-12,331,334,328,332,153500
2019-02-13,328,333,327,331,396000
2019-02-14,331,331,328,330,328500
2019-02-15,334,346,329,330,783500
2019-02-18,334,339,328,334,881500
2019-02-19,333,334,330,334,263500
2019-02-20,334,335,330,333,171000
2019-02-21,334,334,330,334,205500
2019-02-22,332,334,330,334,445000
2019-02-25,332,334,332,334,309500
2019-02-26,332,333,330,333,219500
2019-02-27,332,332,330,332,286500
2019-02-28,332,332,330,332,123500
2019-03-01,331,332,330,330,138500
2019-03-04,329,332,329,331,320000
2019-03-05,330,333,329,330,252000
2019-03-06,331,331,329,330,97500
2019-03-07,331,331,331,331,0
2019-03-08,329,331,328,331,218500
2019-03-11,329,331,329,329,77000
2019-03-12,328,331,328,330,67500
2019-03-13,327,330,325,330,271000
2019-03-14,327,330,325,326,184000
2019-03-15,328,330,325,327,426000
2019-03-18,331,340,330,340,110500
2019-03-19,332,334,330,334,59500
2019-03-20,333,334,330,330,459500
2019-03-21,330,334,328,334,266000
2019-03-22,328,332,328,332,115500
2019-03-25,328,331,323,331,501500
2019-03-26,329,331,329,329,63500
2019-03-27,330,330,325,330,132500
2019-03-28,330,331,328,329,158500
2019-03-29,329,329,321,327,613500
2019-04-01,326,328,324,328,113000
2019-04-02,324,327,324,327,109500
2019-04-03,324,324,324,324,0
2019-04-04,325,326,323,323,67000
2019-04-05,326,326,323,324,361500
2019-04-08,322,327,321,327,48000
2019-04-09,322,325,321,325,347500
2019-04-10,321,324,320,323,168000
2019-04-11,323,323,321,322,125000
2019-04-12,323,323,321,323,78000
2019-04-15,321,323,320,321,176000
2019-04-16,319,330,319,330,342000
2019-04-17,319,319,319,319,0
2019-04-18,320,320,313,320,448500
2019-04-19,320,320,320,320,0
2019-04-22,312,320,312,318,274500
2019-04-23,321,324,312,312,166000
2019-04-24,321,321,312,321,132000
2019-04-25,321,325,320,321,120000
2019-04-26,324,327,321,321,95500
2019-04-29,329,330,323,323,360500
2019-04-30,323,329,323,329,135000
2019-05-01,323,323,323,323,0
2019-05-02,327,327,321,323,178500
2019-05-03,326,327,321,327,40000
2019-05-06,318,321,317,321,398500
2019-05-07,324,328,317,328,148000
2019-05-08,316,326,316,326,165000
2019-05-09,301,316,301,316,972500
2019-05-10,306,314,306,306,112000
2019-05-13,296,306,283,306,478000
2019-05-14,287,296,287,296,108500
2019-05-15,296,297,287,289,308500
2019-05-16,281,296,280,296,400500
2019-05-17,282,292,281,281,277000
2019-05-20,287,291,278,282,144000
2019-05-21,293,293,287,287,86500
2019-05-22,294,294,291,293,39500
2019-05-23,295,296,293,294,34000
2019-05-24,296,296,285,295,114500
2019-05-27,297,297,294,296,133000
2019-05-28,295,302,294,301,229500
2019-05-29,300,301,295,295,93000
2019-05-30,300,300,300,300,0
2019-05-31,302,306,299,299,102500
2019-06-03,302,302,302,302,0
2019-06-04,302,302,302,302,0
2019-06-05,302,302,302,302,0
2019-06-06,302,302,302,302,0
2019-06-07,302,302,302,302,0
2019-06-10,303,303,296,302,233500
2019-06-11,296,307,296,307,50000
2019-06-12,302,304,297,297,28500
2019-06-13,304,305,298,305,89000
2019-06-14,298,304,297,304,156000
2019-06-17,301,302,296,298,200500
2019-06-18,300,301,296,301,18500
2019-06-19,298,300,294,298,179500
2019-06-20,296,300,293,300,183500
2019-06-21,293,298,293,298,93000
2019-06-24,293,296,293,293,160000
2019-06-25,294,295,291,293,56000
2019-06-26,294,296,292,296,143500
2019-06-27,293,295,293,293,140500
2019-06-28,295,295,293,293,71000
2019-07-01,293,296,278,296,731000
2019-07-02,286,295,285,293,251000
2019-07-03,295,296,286,291,796000
2019-07-04,290,295,288,295,111000
2019-07-05,291,292,289,290,106000
2019-07-08,290,291,284,291,249500
2019-07-09,289,291,287,287,95000
2019-07-10,287,289,283,289,46500
2019-07-11,290,290,285,289,218500
2019-07-12,288,292,284,290,88000
2019-07-15,286,290,283,285,124500
2019-07-16,288,288,284,286,65000
2019-07-17,284,285,284,284,71000
2019-07-18,285,285,283,284,128500
2019-07-19,284,285,283,284,184000
2019-07-22,286,287,284,284,456000
2019-07-23,287,290,286,286,925500
2019-07-24,290,291,287,287,1191000
2019-07-25,293,296,291,291,1568500
2019-07-26,309,322,292,293,6388000
2019-07-29,310,316,306,306,2542000
2019-07-30,306,312,306,311,1920000
2019-07-31,302,306,298,300,1875500
2019-08-01,301,305,299,302,1614000
2019-08-02,299,301,296,301,2029000
2019-08-05,298,300,296,299,872000
2019-08-06,295,298,293,298,1959000
2019-08-07,296,299,295,296,2396000
2019-08-08,298,298,295,297,2140500
2019-08-09,305,306,298,298,2879500
2019-08-12,302,306,301,306,2406000
2019-08-13,299,302,297,302,2644000
2019-08-14,298,299,295,299,2544500
2019-08-15,296,299,294,295,1776000
2019-08-16,298,300,295,296,2717500
2019-08-19,299,299,297,298,3178000
2019-08-20,304,304,298,298,2618500
2019-08-21,326,326,304,305,6201500
2019-08-22,315,331,315,326,4355000
2019-08-23,331,331,308,315,4911500
2019-08-26,327,331,322,331,2598000
2019-08-27,318,328,315,327,3052500
2019-08-28,317,320,315,318,1713500
2019-08-29,321,321,318,318,2989000
2019-08-30,321,326,321,321,2598500
2019-09-02,317,321,317,321,1980000
2019-09-03,309,318,309,317,3135000
2019-09-04,309,309,306,309,3397000
2019-09-05,314,315,309,309,3220500
2019-09-06,315,318,313,314,2785500
2019-09-09,314,317,314,315,2325000
2019-09-10,311,315,309,315,1869000
2019-09-11,311,314,310,311,3375500
2019-09-12,316,316,310,311,2568000
2019-09-13,316,318,315,316,2224500
2019-09-16,315,318,313,316,2229000
2019-09-17,312,316,312,316,1729000
2019-09-18,318,321,311,312,4871500
2019-09-19,318,320,316,319,3165500
2019-09-20,308,318,307,318,3380500
2019-09-23,308,310,307,308,1982000
2019-09-24,301,308,300,308,2132500
2019-09-25,299,300,298,300,1605500
2019-09-26,299,301,298,299,1740500
2019-09-27,303,304,300,300,1934500
2019-09-30,301,303,300,303,1770500
2019-10-01,295,303,293,301,1746000
2019-10-02,289,297,287,294,2138000
2019-10-03,288,289,284,289,1480000
2019-10-04,291,293,288,289,1574000
2019-10-07,289,293,285,291,2929000
2019-10-08,291,291,288,289,1769500
2019-10-09,288,291,288,291,1717500
2019-10-10,287,291,287,288,2493000
2019-10-11,288,289,287,288,1238500
2019-10-14,291,291,287,288,2251000
2019-10-15,291,293,289,291,1926500
2019-10-16,292,293,291,292,1720500
2019-10-17,292,293,290,292,1656000
2019-10-18,287,293,287,292,1636000
2019-10-21,286,291,286,289,2636500
2019-10-22,284,286,283,286,1104500
2019-10-23,288,290,284,284,3209000
2019-10-24,291,291,286,288,3069500
2019-10-25,291,291,289,291,1671000
2019-10-28,291,291,289,291,1601000
2019-10-29,299,299,290,291,3450000
2019-10-30,294,299,293,299,1686000
2019-10-31,290,294,289,294,2022500
2019-11-01,286,289,286,289,1404000
2019-11-04,288,288,285,287,1758500
2019-11-05,287,290,287,288,1873000
2019-11-06,287,288,285,287,1663500
2019-11-07,283,288,283,287,2078500
2019-11-08,284,284,282,283,1943500
2019-11-11,281,284,280,283,1317500
2019-11-12,281,281,280,281,1142000
2019-11-13,283,283,280,281,1572000
2019-11-14,283,284,281,283,1248500
2019-11-15,282,285,280,283,940000
2019-11-18,281,282,279,282,1651500
2019-11-19,279,281,277,281,1319500
2019-11-20,279,281,277,281,1208000
2019-11-21,280,281,278,279,1451000
2019-11-22,281,281,280,280,1423000
2019-11-25,284,284,280,281,2518500
2019-11-26,285,286,283,284,1393000
2019-11-27,285,286,282,285,1557500
2019-11-28,280,285,280,285,711000
2019-11-29,280,282,279,280,1587000
2019-12-02,281,282,278,280,1651000
2019-12-03,278,281,278,281,1530000
2019-12-04,281,281,278,278,1635000
2019-12-05,280,281,279,281,1894000
2019-12-06,281,281,278,278,1820000
2019-12-09,281,281,280,281,1453000
2019-12-10,280,282,278,281,1792500
2019-12-11,281,281,279,280,1697500
2019-12-12,281,282,281,282,1614000
2019-12-13,280,281,280,281,1260000
2019-12-16,281,281,280,280,920000
2019-12-17,281,281,280,281,782000
2019-12-18,281,282,279,279,1647500
2019-12-19,281,282,280,280,1706000
2019-12-20,281,282,279,281,1608000
2019-12-23,281,281,279,281,1651000
2019-12-26,280,281,279,281,940000
2019-12-27,280,280,279,280,1080500
2019-12-30,280,281,280,280,1465000
2020-01-02,280,282,279,279,1833500
2020-01-03,280,281,279,280,1391000
2020-01-06,280,280,279,280,1598000
2020-01-07,281,281,280,280,1306500
2020-01-08,280,281,279,281,1507500
2020-01-09,278,280,276,280,1407500
2020-01-10,276,278,270,278,688500
2020-01-13,267,276,259,276,2554000
2020-01-14,261,267,257,267,985500
2020-01-15,250,261,250,261,1395000
