timestamp,open,high,low,close,volume
2021-09-08,90,90,90,90,81597500
2021-09-09,84,84,84,84,11480800
2021-09-10,78,78,78,78,10438300
2021-09-13,78,82,73,73,1650889700
2021-09-14,75,78,74,78,201338800
2021-09-15,74,76,71,75,107299600
2021-09-16,72,75,71,74,88415900
2021-09-17,71,73,70,72,66306700
2021-09-20,74,77,69,72,297817400
2021-09-21,77,77,72,74,105413800
2021-09-22,76,80,74,80,71700800
2021-09-23,77,79,72,76,87463000
2021-09-24,77,78,74,78,38999800
2021-09-27,75,78,75,77,25772600
2021-09-28,84,85,74,75,416051400
2021-09-29,79,83,79,83,86371400
2021-09-30,77,79,76,79,29397600
2021-10-01,77,78,75,77,30094400
2021-10-04,75,77,74,77,52300200
2021-10-05,74,76,74,74,20960900
2021-10-06,74,75,73,74,28032600
2021-10-07,71,75,71,74,55684400
2021-10-08,73,74,71,71,30813700
2021-10-11,72,73,71,73,22087900
2021-10-12,72,74,71,72,31710800
2021-10-13,71,73,71,72,46618300
2021-10-14,71,72,70,71,41907400
2021-10-15,73,73,70,71,26001600
2021-10-18,71,73,69,73,76216500
2021-10-19,71,71,70,71,15294300
2021-10-21,70,71,69,71,28130700
2021-10-22,68,71,68,70,53204700
2021-10-25,68,70,67,69,43004100
2021-10-26,68,69,67,68,19531200
2021-10-27,68,70,67,68,26952700
2021-10-28,67,69,65,68,56273700
2021-10-29,65,68,65,66,26479200
2021-11-01,64,66,64,65,15686900
2021-11-02,64,66,64,65,11268500
2021-11-03,65,66,64,64,10896400
2021-11-04,66,66,64,65,11875700
2021-11-05,67,70,66,66,41270300
2021-11-08,66,68,66,68,12371600
2021-11-09,67,68,64,68,19682100
2021-11-10,68,69,65,67,21688000
2021-11-11,68,69,66,68,15854000
2021-11-12,67,68,66,68,9540400
2021-11-15,67,68,66,67,9423500
2021-11-16,66,68,66,67,15380600
2021-11-17,67,68,66,66,10773300
2021-11-18,67,68,66,67,13344400
2021-11-19,67,68,66,67,5948500
2021-11-22,67,68,67,67,9867900
2021-11-23,70,75,67,68,167888100
2021-11-24,69,72,68,71,23836200
2021-11-25,69,71,69,69,14615900
2021-11-26,68,70,67,70,15269600
2021-11-29,69,69,67,68,10952700
2021-11-30,70,71,68,69,41759200
2021-12-01,69,71,68,70,13249800
2021-12-02,68,69,67,69,12941300
2021-12-03,68,69,67,69,19883100
2021-12-06,68,69,67,68,9396600
2021-12-07,69,70,67,69,11913100
2021-12-08,67,69,67,68,8005100
2021-12-09,68,69,67,68,5454500
2021-12-10,67,69,67,68,4497600
2021-12-13,68,69,67,68,6213400
2021-12-14,70,71,68,68,39292900
2021-12-15,70,71,68,69,6589000
2021-12-16,68,70,67,70,14657500
2021-12-17,69,70,67,68,13025300
2021-12-20,68,69,68,69,8124700
2021-12-21,68,69,67,69,6885700
2021-12-22,68,69,67,68,4827500
2021-12-23,67,68,66,68,15065200
2021-12-24,65,68,64,67,15967400
2021-12-27,65,68,64,65,9142100
2021-12-28,65,66,64,65,5900800
2021-12-29,65,66,64,65,8844300
2021-12-30,65,65,63,65,9707100
2022-01-03,63,65,61,64,20461000
2022-01-04,62,67,61,64,45581200
2022-01-05,61,63,60,63,14507000
2022-01-06,60,62,58,60,26479700
2022-01-07,59,61,58,61,10675600
2022-01-10,55,59,55,58,35314200
2022-01-11,52,55,52,54,27683200
2022-01-12,49,53,49,49,49907300
2022-01-13,49,50,48,48,68843300
2022-01-14,48,50,48,49,7609500
2022-01-17,61,64,48,49,242735400
2022-01-18,64,70,57,60,354384700
2022-01-19,62,67,61,65,70447800
2022-01-20,60,66,58,62,57014900
2022-01-21,58,61,57,60,21233300
2022-01-24,58,62,57,61,45743400
2022-01-25,66,70,58,66,176565300
2022-01-26,65,69,62,67,65157100
2022-01-27,65,65,62,65,16050000
2022-01-28,65,67,63,65,19989500
2022-01-31,64,66,62,65,10418500
2022-02-02,64,66,62,65,47703200
2022-02-03,63,65,62,65,5226500
2022-02-04,63,64,62,63,8315800
2022-02-07,66,66,62,63,21744300
2022-02-08,62,67,62,66,38940400
2022-02-09,60,62,59,62,14258200
2022-02-10,60,62,59,61,14088700
2022-02-11,59,63,58,63,33323800
2022-02-14,61,61,58,58,14740600
2022-02-15,60,62,58,58,11034500
2022-02-16,61,61,58,59,11182600
2022-02-17,60,61,59,60,2733400
2022-02-18,60,61,58,59,8665200
2022-02-21,58,62,58,59,30619200
2022-02-22,57,59,56,57,11474200
2022-02-23,56,61,56,61,6402800
2022-02-24,60,60,54,56,36125000
2022-02-25,65,65,57,60,64548800
2022-03-01,61,66,61,65,44626400
2022-03-02,57,62,57,62,40325700
2022-03-04,57,58,55,57,6621300
2022-03-07,55,57,54,54,11509700
2022-03-08,53,56,53,56,15275000
2022-03-09,52,54,51,53,16709800
2022-03-10,53,56,52,52,9751100
2022-03-11,53,55,53,54,3898600
2022-03-14,54,55,53,53,3349800
2022-03-15,52,54,52,53,5981600
2022-03-16,52,53,51,53,5825000
2022-03-17,56,63,52,52,133591200
2022-03-18,53,57,52,56,22719000
2022-03-21,53,54,52,54,8030300
2022-03-22,54,71,52,71,8082100
2022-03-23,53,70,53,70,7437900
2022-03-24,54,70,53,70,5761000
2022-03-25,54,55,53,54,24652900
2022-03-28,54,56,53,54,13875800
2022-03-29,56,58,54,54,20478200
2022-03-30,57,59,56,57,11935000
2022-03-31,56,58,55,57,8904400
2022-04-01,57,59,56,56,12718200
2022-04-04,58,62,57,57,33948000
2022-04-05,58,59,57,58,18107900
2022-04-06,56,59,56,58,12329300
2022-04-07,56,57,56,57,1601300
2022-04-08,56,61,55,56,20452300
2022-04-11,57,57,56,57,2898800
2022-04-12,55,57,55,57,2519800
2022-04-13,55,56,55,55,2618000
2022-04-14,55,56,55,55,1036100
2022-04-18,55,56,54,56,1683000
2022-04-19,55,55,54,55,4052100
2022-04-20,54,55,53,55,3385600
2022-04-21,54,55,53,54,2642200
2022-04-22,53,54,52,54,5089900
2022-04-25,52,54,52,53,2483300
2022-04-26,58,58,52,53,19600900
2022-04-27,57,59,55,58,7439900
2022-04-28,57,58,56,57,4583000
2022-05-09,58,59,54,56,17775200
2022-05-10,58,60,57,58,11068900
2022-05-11,58,59,57,58,3559100
2022-05-12,58,64,56,58,38934900
2022-05-13,57,60,56,58,9667000
2022-05-17,56,58,56,58,3314100
2022-05-18,56,57,56,57,3057400
2022-05-19,56,57,54,56,6046300
2022-05-20,55,59,55,56,11338600
2022-05-23,55,56,55,55,1902500
2022-05-24,55,56,55,55,2076300
2022-05-25,54,56,54,55,3383500
2022-05-27,56,56,54,54,2936700
2022-05-30,55,58,55,56,6405000
2022-05-31,59,59,55,55,15418000
2022-06-02,57,61,56,61,11066900
2022-06-03,57,58,56,57,5670300
2022-06-06,57,58,56,57,2274000
2022-06-07,57,62,55,57,63963000
2022-06-08,56,57,55,57,3427900
2022-06-09,56,57,55,56,2331100
2022-06-10,57,57,55,55,5501500
2022-06-13,56,57,55,57,6168300
2022-06-14,55,57,55,56,2184900
2022-06-15,56,57,55,55,5086000
2022-06-16,56,57,55,57,1470300
2022-06-17,56,56,55,56,1696100
2022-06-20,56,56,55,56,2631400
2022-06-21,56,57,55,56,3942600
2022-06-22,55,59,55,57,19441200
2022-06-23,55,56,55,55,2770800
2022-06-24,57,57,55,55,5106800
2022-06-27,56,57,55,57,1017800
2022-06-28,57,57,55,57,2815900
2022-06-29,56,57,55,57,1646400
2022-06-30,55,56,55,56,2471200
2022-07-01,54,56,54,55,2731100
2022-07-04,53,55,53,55,4102900
2022-07-05,54,55,53,53,744000
2022-07-06,53,55,53,54,2820500
2022-07-07,54,54,53,53,1828300
2022-07-08,55,55,53,54,725500
2022-07-11,55,55,54,54,2261300
2022-07-12,54,55,53,55,3068500
2022-07-13,54,54,53,54,606200
2022-07-14,53,55,53,54,2760500
2022-07-15,55,55,53,55,965600
2022-07-18,56,61,53,54,50020500
2022-07-19,55,58,55,56,18165500
2022-07-20,53,56,52,55,43571100
2022-07-21,53,54,52,53,15621300
2022-07-22,53,54,52,53,7092700
2022-07-25,53,53,52,53,5709900
2022-07-26,53,53,52,53,3598900
2022-07-27,52,53,52,53,4915900
2022-07-28,51,53,50,52,30472100
2022-07-29,48,52,48,51,107631800
2022-08-01,54,55,48,49,66835900
2022-08-02,52,55,51,54,19649200
2022-08-03,54,55,51,53,14355100
2022-08-04,53,55,53,54,5804000
2022-08-05,54,55,52,53,10152400
2022-08-08,58,58,53,54,50026900
2022-08-09,58,59,55,58,58134400
2022-08-10,58,65,56,58,171435100
2022-08-11,56,59,55,58,43532500
2022-08-12,55,57,55,56,10508200
2022-08-15,55,56,54,56,10611500
2022-08-16,55,56,54,55,5614400
2022-08-18,58,59,54,55,37537900
2022-08-19,63,64,57,59,96228600
2022-08-22,63,70,61,70,46486100
2022-08-23,66,67,62,63,47307700
2022-08-24,62,67,62,67,29522500
2022-08-25,62,64,59,59,14810200
2022-08-26,62,65,60,62,35261300
2022-08-29,64,71,59,71,18317700
2022-08-30,64,65,62,64,20736800
2022-08-31,62,65,62,64,24929700
2022-09-01,60,63,60,62,20367900
2022-09-02,61,62,60,60,10224400
2022-09-05,61,63,60,60,5673300
2022-09-06,62,64,60,61,21168300
2022-09-07,62,64,61,62,9292600
2022-09-08,63,64,62,62,14691500
2022-09-09,63,64,62,63,4547900
2022-09-12,66,68,62,63,60845900
2022-09-13,69,69,66,66,39132800
2022-09-14,67,69,65,68,19635600
2022-09-15,64,67,63,67,22769600
2022-09-16,60,65,60,64,31429500
2022-09-19,59,61,57,60,18426600
2022-09-20,60,61,58,59,4135100
2022-09-21,61,62,59,60,5634000
2022-09-22,61,62,60,61,3722700
2022-09-23,64,66,60,61,27649800
2022-09-26,61,66,60,64,16062300
2022-09-27,60,62,59,60,6215800
2022-09-28,59,61,59,60,6685300
2022-09-29,63,64,59,59,16502000
2022-09-30,61,62,59,62,10441000
2022-10-03,61,62,59,61,4146300
2022-10-04,60,61,60,61,3694600
2022-10-05,60,62,60,60,3643200
2022-10-06,61,62,60,60,1971100
2022-10-07,61,62,60,61,2941400
2022-10-10,60,62,60,61,3310500
2022-10-11,61,63,59,60,28546700
2022-10-12,60,62,60,61,11912000
2022-10-13,64,65,60,61,22648000
2022-10-14,64,68,64,65,44804300
2022-10-17,64,66,61,66,12932800
2022-10-18,63,66,63,64,4455500
2022-10-19,64,64,62,63,10738500
2022-10-20,65,66,63,64,9039900
2022-10-21,64,66,63,65,8073200
2022-10-24,63,66,62,65,12359600
2022-10-25,62,63,61,63,10545900
2022-10-26,62,63,62,62,4191800
2022-10-27,62,63,61,62,7437300
2022-10-28,62,63,61,62,5897800
2022-10-31,62,66,60,62,62834200
2022-11-01,60,62,60,62,14243800
2022-11-02,62,62,60,60,6350200
2022-11-03,60,63,60,62,5504300
2022-11-04,59,61,59,60,8030200
2022-11-07,56,60,55,60,30786100
2022-11-08,57,57,54,56,11212900
2022-11-09,58,59,57,57,7719600
2022-11-10,58,59,57,58,2622600
2022-11-11,56,58,56,58,8868000
2022-11-14,57,57,55,56,4898600
2022-11-15,57,57,55,57,4810500
2022-11-16,56,57,56,57,2179600
2022-11-17,57,57,55,56,1155000
2022-11-18,57,57,55,57,1116800
2022-11-21,56,57,55,57,987100
2022-11-22,57,58,56,56,2890700
2022-11-23,56,58,56,57,4054800
2022-11-24,61,61,56,56,15890000
2022-11-25,60,62,59,61,8564200
2022-11-28,60,61,57,60,3210000
2022-11-29,58,60,57,60,8214200
2022-11-30,58,60,57,59,3298400
2022-12-01,58,59,57,58,1388300
2022-12-02,58,58,57,58,989700
2022-12-05,61,63,57,58,20030600
2022-12-06,59,62,58,61,2872400
2022-12-07,59,63,57,59,36899800
2022-12-08,57,59,55,59,26353400
2022-12-09,55,57,54,56,11711200
2022-12-12,55,56,54,55,2150500
2022-12-13,52,56,52,55,28369700
2022-12-14,52,55,51,53,26530700
2022-12-15,52,53,51,53,2781500
2022-12-16,52,53,51,53,1836600
2022-12-19,52,53,51,52,1477200
2022-12-20,52,53,51,52,20147000
2022-12-21,49,52,49,51,67006900
2022-12-22,49,51,48,49,31670600
2022-12-23,49,50,49,49,2969400
2022-12-26,51,51,49,49,6156300
2022-12-27,50,52,50,51,6659800
2022-12-28,50,51,49,51,3823000
2022-12-29,51,51,50,50,3096300
2022-12-30,51,51,50,51,4426400
2023-01-02,50,51,50,50,3703600
2023-01-03,49,51,49,51,3461300
2023-01-04,50,50,49,50,1348300
