timestamp,open,high,low,close,volume
2023-02-08,117,135,93,110,924347200
2023-02-09,118,127,110,118,153424400
2023-02-10,131,137,117,118,445460900
2023-02-13,122,133,122,133,67186000
2023-02-14,119,125,114,114,74972900
2023-02-15,126,129,118,120,131676100
2023-02-16,122,127,122,127,30929200
2023-02-17,116,125,115,123,28320500
2023-02-20,113,122,110,116,22371500
2023-02-21,112,116,109,113,15316700
2023-02-22,114,118,112,114,21636500
2023-02-23,115,121,111,115,56073600
2023-02-24,112,117,112,116,25950400
2023-02-27,112,114,111,113,9139800
2023-02-28,112,113,111,112,4736400
2023-03-01,112,113,109,112,11539600
2023-03-02,109,113,105,112,19803800
2023-03-03,114,120,109,109,66258800
2023-03-06,117,120,113,114,58812400
2023-03-07,117,118,111,118,28316500
2023-03-08,116,118,112,116,24190700
2023-03-09,120,122,114,116,45372600
2023-03-10,118,122,116,121,25459700
2023-03-13,120,125,116,118,53702100
2023-03-14,117,125,116,121,40161900
2023-03-15,123,123,118,119,26099800
2023-03-16,166,166,119,124,258191200
2023-03-17,220,224,166,180,339205100
2023-03-20,224,266,206,220,253868500
2023-03-21,210,246,210,226,153528600
2023-03-24,196,224,196,202,123710500
2023-03-27,193,202,191,196,49778800
2023-03-28,202,218,186,193,93031900
2023-03-29,204,210,197,202,47945600
2023-03-30,206,212,200,204,42480800
2023-03-31,212,220,204,206,66667900
2023-04-03,220,238,198,212,222703100
2023-04-04,260,274,212,220,212592900
2023-04-05,286,306,248,262,159852700
2023-04-06,300,304,278,288,64218600
2023-04-10,286,302,280,300,34856100
2023-04-11,288,296,266,288,31154500
2023-04-12,268,328,268,290,21878100
2023-04-13,272,278,250,250,38861800
2023-04-14,276,296,264,274,67208400
2023-04-17,260,306,260,306,27785400
2023-04-18,262,272,244,272,28678200
2023-04-26,248,268,244,262,20631500
2023-04-27,232,282,232,248,64251500
2023-04-28,220,232,216,230,41448400
2023-05-02,228,238,216,226,22548700
2023-05-03,236,236,228,230,15794400
2023-05-04,238,242,230,238,17831500
2023-05-05,222,240,222,238,30199700
2023-05-08,208,226,208,222,35056200
2023-05-09,200,214,200,206,14098500
2023-05-10,194,208,189,202,36062500
2023-05-11,195,222,189,194,94426800
2023-05-12,202,206,194,196,40878300
2023-05-15,188,208,188,202,92245900
2023-05-16,191,194,177,182,37731600
2023-05-17,189,194,179,191,27297400
2023-05-19,176,199,176,189,34835200
2023-05-22,177,180,164,174,10123300
2023-05-23,165,180,165,180,27866900
2023-05-24,156,166,154,165,77512800
2023-05-25,158,162,146,155,86987600
2023-05-26,147,188,147,160,103204300
2023-05-29,150,180,137,148,151301800
2023-05-30,159,174,151,151,51376600
2023-05-31,148,162,148,160,13292400
2023-06-05,126,148,126,148,25670000
2023-06-06,119,134,118,124,57820400
2023-06-07,116,123,115,117,16649700
2023-06-08,120,122,116,118,8067300
2023-06-09,121,148,117,121,99982600
2023-06-12,129,144,121,121,89534600
2023-06-13,121,131,119,131,32170000
2023-06-14,105,134,103,121,137365200
2023-06-15,104,108,95,95,17319500
2023-06-16,111,111,102,105,28793000
2023-06-19,120,122,111,111,36354500
2023-06-20,120,125,117,121,18554200
2023-06-21,119,121,113,120,10888600
2023-06-22,119,122,117,119,7139000
2023-06-23,119,120,116,120,8767700
2023-06-26,119,119,115,119,3284300
2023-06-27,119,122,115,119,12609100
2023-07-03,121,125,119,119,10111000
2023-07-04,126,132,122,122,46492000
2023-07-05,126,132,121,126,31275400
2023-07-06,119,127,119,126,18719000
2023-07-07,109,119,106,118,25443700
2023-07-10,106,113,104,109,22783100
2023-07-11,107,109,100,106,18315100
2023-07-12,105,111,104,107,8030700
2023-07-13,104,107,102,107,4831600
2023-07-14,105,106,94,104,28278200
2023-07-17,98,105,97,105,20746600
2023-07-18,100,100,84,98,35588800
2023-07-20,95,105,95,102,13601300
2023-07-21,95,102,88,95,23734300
2023-07-24,85,98,82,95,44742200
2023-07-25,86,88,77,77,9081400
2023-07-26,85,88,82,86,23789100
2023-07-27,88,92,84,85,23833600
2023-07-28,88,94,85,94,10487100
2023-07-31,88,89,85,88,3168700
2023-08-01,87,90,85,88,10075000
2023-08-02,87,94,84,87,12448400
2023-08-03,86,88,80,87,6590000
2023-08-04,84,90,83,85,15063200
2023-08-07,80,84,79,84,10222400
2023-08-08,77,81,75,80,8041500
2023-08-09,78,88,75,77,37369200
2023-08-10,78,88,75,78,63671100
2023-08-11,75,79,75,75,7923000
2023-08-14,78,86,73,75,101985400
2023-08-15,80,82,77,78,14019800
2023-08-16,76,87,72,81,67239200
2023-08-18,70,77,70,73,28595200
2023-08-21,67,71,62,62,16307900
2023-08-22,69,72,66,68,7804600
2023-08-23,70,71,69,69,4613000
2023-08-24,65,71,64,69,15786900
2023-08-25,64,66,60,65,18742400
2023-08-28,66,66,56,56,19312800
2023-08-29,59,75,59,66,72758800
2023-08-30,57,61,54,54,33525300
2023-08-31,58,60,50,50,13718300
2023-09-01,60,62,57,59,9228000
2023-09-04,59,61,58,60,6080100
2023-09-05,59,60,55,60,13611400
2023-09-06,55,59,54,59,22644800
2023-09-07,54,55,53,55,4001100
2023-09-08,57,63,53,54,86948100
2023-09-11,57,61,55,58,39750900
2023-09-12,57,58,56,58,9411300
2023-09-13,56,59,56,57,5681400
2023-09-14,66,70,57,57,291829800
2023-09-15,58,67,58,66,71480400
2023-09-18,58,60,56,58,17703100
2023-09-19,57,59,56,58,9004500
2023-09-20,59,62,57,57,17269200
2023-09-21,61,62,57,59,15442200
2023-09-22,63,66,61,62,49905600
2023-09-25,69,74,63,63,106388500
2023-09-26,66,72,65,71,30515500
2023-09-27,71,83,62,66,222069400
2023-09-29,74,79,68,71,110610900
2023-10-02,77,82,71,74,91564200
2023-10-03,83,89,76,77,181572500
2023-10-04,79,89,76,84,132022900
2023-10-05,80,82,78,78,31795800
2023-10-06,72,80,71,80,26445900
2023-10-09,71,83,67,72,60430400
2023-10-10,75,76,70,72,13003300
2023-10-11,75,77,72,75,23651100
2023-10-12,71,75,71,75,7488300
2023-10-13,71,75,67,71,28454000
2023-10-16,67,79,63,71,222026100
2023-10-17,67,80,66,67,212527000
2023-10-18,67,69,60,68,113856000
2023-10-19,61,73,60,67,223083300
2023-10-20,60,62,53,61,85673800
2023-10-23,58,60,57,60,10686000
2023-10-24,58,59,57,58,3698200
2023-10-25,57,58,56,58,9044900
2023-10-26,55,58,54,57,12922100
2023-10-27,50,58,50,55,96011600
2023-10-30,50,51,50,50,17053700
2023-10-31,50,51,50,50,8353600
2023-11-01,50,51,50,50,4608200
2023-11-02,50,51,50,50,5806700
2023-11-03,50,51,50,50,4045700
2023-11-06,51,51,50,50,4508200
2023-11-07,51,54,50,51,11309800
2023-11-08,51,51,50,51,1809000
2023-11-09,50,51,50,50,2196800
2023-11-10,50,51,50,50,4650800
2023-11-13,50,52,50,50,5861900
2023-11-14,51,51,50,51,3594900
2023-11-15,52,53,51,51,8352100
2023-11-16,53,53,51,53,5105800
2023-11-17,53,53,51,53,5514900
2023-11-20,53,54,52,53,4115300
2023-11-21,52,54,52,52,3251100
2023-11-22,51,53,51,52,2441200
2023-11-23,51,52,51,52,5153400
2023-11-24,51,52,51,51,1415000
2023-11-27,51,52,51,52,2782400
2023-11-28,51,51,50,51,2529900
2023-11-29,51,52,50,51,1944700
2023-11-30,51,52,50,52,2535000
2023-12-01,52,52,50,50,2410700
2023-12-04,51,53,50,52,2702500
2023-12-05,54,55,50,51,14463500
2023-12-06,53,55,51,52,12849100
2023-12-07,52,54,51,53,5395300
2023-12-08,52,52,50,52,4511400
2023-12-11,50,52,50,51,6858400
2023-12-12,51,58,50,50,58663800
2023-12-13,50,52,50,51,15224600
2023-12-14,50,52,50,50,91533200
2023-12-15,50,51,50,50,3159600
2023-12-18,50,51,50,50,1404600
2023-12-19,50,51,50,50,3829400
2023-12-20,54,65,50,50,309430500
2023-12-21,50,55,50,54,117388600
2023-12-22,51,51,50,51,26733400
2023-12-27,50,51,50,50,10640200
2023-12-28,50,50,50,50,2064400
2023-12-29,50,50,50,50,907700
2024-01-02,50,50,50,50,944200
2024-01-03,50,50,50,50,197900
2024-01-04,50,50,50,50,445100
2024-01-05,50,50,50,50,1222600
2024-01-08,50,50,50,50,287000
2024-01-09,50,50,50,50,393200
2024-01-10,50,50,50,50,36300
2024-01-11,50,50,50,50,345700
2024-01-12,50,50,50,50,225600
2024-01-15,50,50,50,50,0
2024-01-16,50,50,50,50,1122600
2024-01-17,50,50,50,50,2291700
2024-01-18,50,50,50,50,871100
2024-01-19,50,50,50,50,6100
2024-01-22,50,50,50,50,286600
2024-01-23,50,50,50,50,73600
