timestamp,open,high,low,close,volume
2023-08-07,98,118,98,118,182956900
2023-08-08,89,90,89,89,12064300
2023-08-09,81,81,81,81,7959800
2023-08-10,73,82,73,73,61192600
2023-08-11,67,77,66,66,46455500
2023-08-14,61,69,61,69,21666300
2023-08-15,56,63,55,63,60648600
2023-08-16,55,56,52,52,32151600
2023-08-18,54,55,52,55,20847300
2023-08-21,51,54,50,53,21625700
2023-08-22,47,51,46,47,28089300
2023-08-23,51,51,46,46,9933900
2023-08-24,56,56,53,56,35917600
2023-08-25,61,61,58,61,26818300
2023-08-28,67,67,65,67,10763700
2023-08-29,61,73,61,73,17160900
2023-08-30,55,55,55,55,4699700
2023-08-31,53,55,50,50,24613400
2023-09-01,58,58,50,50,11384200
2023-09-04,54,63,53,60,16713100
2023-09-05,53,55,50,50,7945200
2023-09-06,55,57,53,54,20712100
2023-09-07,53,55,51,55,7858200
2023-09-08,54,55,53,53,4853400
2023-09-11,52,55,51,55,4209800
2023-09-12,52,53,50,52,2044400
2023-09-13,51,52,50,52,1490000
2023-09-14,50,51,47,50,4050500
2023-09-15,50,51,48,50,4286100
2023-09-18,49,50,47,49,5336400
2023-09-19,47,49,45,45,1780200
2023-09-20,50,51,46,48,6598200
2023-09-21,49,51,48,50,1389600
2023-09-22,47,49,47,48,1455700
2023-09-25,49,49,47,48,1276200
2023-09-26,47,49,47,48,1016900
2023-09-27,45,48,44,48,3990600
2023-09-29,43,45,42,44,2611900
2023-10-02,41,43,40,42,4677100
2023-10-03,45,45,41,42,4283400
2023-10-04,43,48,41,48,7269300
2023-10-05,42,46,41,46,1003100
2023-10-06,45,46,42,43,2103000
2023-10-09,45,46,42,44,2174700
2023-10-10,42,45,41,45,1151200
2023-10-11,42,43,40,42,2783600
2023-10-12,42,42,40,42,1386600
2023-10-13,46,46,40,41,6107900
2023-10-16,50,50,46,48,7777800
2023-10-17,46,54,45,50,10445700
2023-10-18,44,46,42,46,4312500
2023-10-19,46,48,44,44,2158300
2023-10-20,45,46,44,46,760000
2023-10-23,45,46,43,45,10448100
2023-10-24,46,48,44,44,2876800
2023-10-25,46,46,44,45,262000
2023-10-26,46,46,44,45,6003400
2023-10-27,46,46,44,44,3021000
2023-10-30,45,46,44,45,143700
2023-10-31,45,46,43,44,906100
2023-11-01,44,45,42,44,706600
2023-11-02,44,44,42,44,1415600
2023-11-03,44,45,40,40,301200
2023-11-06,44,47,41,41,458400
2023-11-07,43,44,42,43,449100
2023-11-08,43,44,41,43,1795600
2023-11-09,43,47,41,47,1739000
2023-11-10,43,44,39,39,1135800
2023-11-13,42,47,41,47,848500
2023-11-14,41,43,38,38,880000
2023-11-15,43,45,39,45,2201100
2023-11-16,43,45,39,39,1928400
2023-11-17,43,43,41,42,1007900
2023-11-20,42,43,40,42,630600
2023-11-21,42,42,40,41,311300
2023-11-22,42,42,40,41,951400
2023-11-23,40,42,39,42,771700
2023-11-24,40,41,40,40,608100
2023-11-27,43,45,39,41,3457200
2023-11-28,43,44,41,43,756700
2023-11-29,43,43,40,42,365000
2023-11-30,42,42,40,42,1465100
2023-12-01,42,42,39,42,285700
2023-12-04,42,42,40,40,524700
2023-12-05,41,42,40,42,285900
2023-12-06,41,41,40,40,316100
2023-12-07,40,41,39,40,558800
2023-12-08,40,42,39,42,202600
2023-12-11,39,40,37,40,1174000
2023-12-12,39,40,38,39,959700
2023-12-13,40,42,37,40,3303700
2023-12-14,44,44,38,40,6952000
2023-12-15,43,45,42,44,742700
2023-12-18,42,44,39,39,1121200
2023-12-19,42,42,39,41,553500
2023-12-20,41,41,40,41,2457400
2023-12-21,43,45,39,42,1493800
2023-12-22,44,45,41,43,1114600
2023-12-27,44,45,42,45,398000
2023-12-28,43,44,39,43,2548200
2023-12-29,44,44,41,42,742900
2024-01-02,44,45,42,44,765100
2024-01-03,43,44,41,43,803800
2024-01-04,42,43,42,42,176100
2024-01-05,41,43,40,43,993300
2024-01-08,42,42,40,41,411200
2024-01-09,38,41,38,41,6901100
2024-01-10,40,40,35,35,1135400
2024-01-11,40,40,38,40,396800
2024-01-12,40,40,38,40,163900
2024-01-15,40,40,40,40,0
2024-01-16,39,39,38,38,865100
2024-01-17,39,39,37,39,899700
2024-01-18,39,39,37,38,1876900
2024-01-19,39,39,38,39,273000
