timestamp,open,high,low,close,volume
2019-01-01,273,273,273,273,0
2019-01-02,206,340,206,334,646100
2019-01-03,155,225,155,225,333300
2019-01-04,162,177,127,154,110094
2019-01-07,133,155,128,155,77315
2019-01-08,144,146,134,143,50052
2019-01-09,142,154,137,143,20603
2019-01-10,148,154,140,142,6139
2019-01-11,144,144,144,144,5202
2019-01-14,152,158,144,144,3329
2019-01-15,167,186,152,152,50884
2019-01-16,159,177,159,177,12591
2019-01-17,164,167,156,159,4474
2019-01-18,156,165,156,163,3954
2019-01-21,161,163,150,163,5723
2019-01-22,160,160,160,160,832
2019-01-23,160,160,160,160,31425
2019-01-24,176,186,159,161,21540
2019-01-25,164,169,164,169,16441
2019-01-28,168,169,159,169,31737
2019-01-29,168,168,168,168,0
2019-01-30,152,161,146,146,18106
2019-01-31,152,154,145,152,1873
2019-02-01,161,161,152,159,12799
2019-02-04,163,163,152,152,4162
2019-02-05,163,163,163,163,0
2019-02-06,149,155,148,155,9157
2019-02-07,158,160,149,160,832
2019-02-08,158,158,158,158,0
2019-02-11,160,163,148,155,5306
2019-02-12,160,160,160,160,1768
2019-02-13,160,160,160,160,624
2019-02-14,159,159,159,159,104
2019-02-15,125,173,117,173,175026
2019-02-18,127,136,127,130,30385
2019-02-19,132,134,121,128,5515
2019-02-20,132,132,132,132,0
2019-02-21,126,130,124,130,11862
2019-02-22,129,147,124,124,16337
2019-02-25,173,173,126,143,338502
2019-02-26,163,233,163,183,258689
2019-02-27,142,163,142,163,60978
2019-02-28,173,183,133,145,26951
2019-03-01,175,175,145,175,1768
2019-03-04,161,181,140,173,29656
2019-03-05,168,168,163,163,3329
2019-03-06,174,174,168,168,1352
2019-03-07,174,174,174,174,0
2019-03-08,174,174,174,174,0
2019-03-11,164,164,164,164,2809
2019-03-12,164,164,161,164,5515
2019-03-13,164,164,164,164,0
2019-03-14,155,155,154,154,1144
2019-03-15,152,154,150,154,2081
2019-03-18,150,150,150,150,4162
2019-03-19,173,177,154,154,3433
2019-03-20,173,173,173,173,208
2019-03-21,172,172,172,172,208
2019-03-22,172,172,172,172,0
2019-03-25,152,168,152,168,312
2019-03-26,161,161,154,154,728
2019-03-27,154,161,151,161,21123
2019-03-28,148,154,148,148,10197
2019-03-29,144,158,144,158,6659
2019-04-01,167,173,136,144,9053
2019-04-02,167,167,167,167,0
2019-04-03,167,167,167,167,0
2019-04-04,167,167,167,167,0
2019-04-05,167,167,160,160,312
2019-04-08,167,167,167,167,0
2019-04-09,162,162,162,162,624
2019-04-10,162,162,162,162,0
2019-04-11,154,154,154,154,520
2019-04-12,154,154,146,146,416
2019-04-15,145,145,142,142,1248
2019-04-16,145,145,145,145,0
2019-04-17,145,145,145,145,0
2019-04-18,146,149,146,149,8324
2019-04-19,146,146,146,146,0
2019-04-22,146,146,146,146,0
2019-04-23,136,146,135,146,11446
2019-04-24,156,156,136,136,5619
2019-04-25,145,156,145,151,1144
2019-04-26,154,154,145,145,624
2019-04-29,154,154,144,144,2185
2019-04-30,154,154,154,154,312
2019-05-01,154,154,154,154,0
2019-05-02,154,154,154,154,0
2019-05-03,154,154,154,154,0
2019-05-06,136,136,136,136,312
2019-05-07,136,136,136,136,520
2019-05-08,135,135,135,135,208
2019-05-09,135,135,135,135,0
2019-05-10,135,135,135,135,0
2019-05-13,135,135,135,135,0
2019-05-14,135,135,135,135,416
2019-05-15,135,135,135,135,0
2019-05-16,135,135,135,135,0
2019-05-17,135,135,135,135,0
2019-05-20,173,173,173,173,312
2019-05-21,166,166,166,166,104
2019-05-22,164,164,164,164,104
2019-05-23,108,161,108,161,312
2019-05-24,126,134,112,112,23829
2019-05-27,116,128,116,128,3121
2019-05-28,120,120,120,120,2289
2019-05-29,129,139,118,120,3954
2019-05-30,129,129,129,129,0
2019-05-31,137,147,85,131,11862
2019-06-03,137,137,137,137,0
2019-06-04,137,137,137,137,0
2019-06-05,137,137,137,137,0
2019-06-06,137,137,137,137,0
2019-06-07,137,137,137,137,0
2019-06-10,125,172,121,137,37981
2019-06-11,132,156,127,134,2705
2019-06-12,126,167,86,132,20291
2019-06-13,169,169,135,135,9365
2019-06-14,154,171,146,169,20811
2019-06-17,144,154,126,154,16753
2019-06-18,143,157,139,157,3954
2019-06-19,151,151,127,127,2081
2019-06-20,157,157,130,145,3017
2019-06-21,154,154,154,154,1144
2019-06-24,161,161,144,144,416
2019-06-25,131,154,123,154,14672
2019-06-26,147,147,131,131,40791
2019-06-27,198,198,140,145,157544
2019-06-28,149,211,149,211,139022
2019-07-01,140,149,139,149,13319
2019-07-02,150,177,140,141,68054
2019-07-03,163,163,131,140,47762
2019-07-04,161,161,159,159,208
2019-07-05,171,171,171,171,104
2019-07-08,165,166,127,166,31425
2019-07-09,175,175,175,175,104
2019-07-10,139,185,139,185,14984
2019-07-11,151,154,139,139,31321
2019-07-12,162,175,162,175,22996
2019-07-15,144,162,140,162,46410
2019-07-16,144,158,144,147,68054
2019-07-17,144,147,144,147,1768
2019-07-18,140,144,140,144,4890
2019-07-19,140,140,140,140,3329
2019-07-22,144,162,140,140,3537
2019-07-23,139,151,138,151,88762
2019-07-24,143,143,135,139,3433
