timestamp,open,high,low,close,volume
2023-03-01,1301,1350,1243,1252,67971300
2023-03-02,1463,1580,1296,1301,67644100
2023-03-03,1477,1507,1394,1468,44537100
2023-03-06,1526,1536,1473,1473,24836800
2023-03-07,1546,1575,1522,1526,15957600
2023-03-08,1595,1624,1541,1541,19358300
2023-03-09,1605,1624,1556,1600,20286000
2023-03-10,1663,1663,1585,1600,13609000
2023-03-13,1698,1707,1654,1654,12020800
2023-03-14,1781,1859,1693,1698,27599800
2023-03-15,1957,1967,1786,1805,32178500
2023-03-16,1977,2133,1888,1957,45415600
2023-03-17,1996,2035,1859,2006,48143700
2023-03-20,2006,2074,1986,1996,15780700
2023-03-21,2035,2055,1977,2006,12589900
2023-03-24,2074,2143,2025,2035,18368900
2023-03-27,2084,2113,1932,2074,25865900
2023-03-28,2094,2123,2045,2084,21273800
2023-03-29,2016,2104,2016,2094,13604800
2023-03-30,1879,2016,1879,1986,14330600
2023-03-31,1977,1996,1751,1859,37599700
2023-04-03,1986,2035,1932,1977,17324300
2023-04-04,1947,1996,1937,1986,5749800
2023-04-05,1835,1947,1815,1947,22693300
2023-04-06,1707,1849,1707,1830,18592400
2023-04-10,1722,1737,1590,1707,33616500
2023-04-11,1727,1751,1698,1722,8825900
2023-04-12,1634,1727,1610,1722,21128400
2023-04-13,1551,1658,1522,1634,9413900
2023-04-14,1556,1566,1502,1551,5057700
2023-04-17,1668,1693,1551,1551,8115200
2023-04-18,1673,1703,1619,1668,7289700
2023-04-26,2084,2084,1668,1673,43678900
2023-04-27,2593,2603,1957,2202,97497400
2023-04-28,2671,2798,2564,2593,39008600
2023-05-02,2838,2945,2642,2671,28473500
2023-05-03,3092,3219,2691,2838,72026900
2023-05-04,3356,3425,3053,3092,46740400
2023-05-05,3620,3659,3337,3366,44439700
2023-05-08,3659,3806,3385,3620,39625000
2023-05-09,3767,3845,3650,3659,59068900
2023-05-10,3826,3914,3679,3767,54427700
2023-05-11,3826,3914,3640,3826,47517500
2023-05-12,3581,3904,3562,3826,45705700
2023-05-15,3337,3581,3337,3581,800300
2023-05-16,3112,3278,3112,3219,485800
2023-05-17,2896,3112,2896,3112,5940800
2023-05-19,2955,3033,2701,2701,22369000
2023-05-22,2749,3092,2749,2965,14738500
2023-05-23,2564,2749,2564,2740,5437200
2023-05-24,2387,2573,2387,2564,2110000
2023-05-25,2221,2740,2221,2378,35506900
2023-05-26,2769,2769,2211,2211,49721600
2023-05-29,2622,2798,2583,2779,23135300
2023-05-30,2495,2622,2446,2622,63758700
2023-05-31,2524,2593,2407,2495,15278900
2023-06-05,2583,2710,2485,2534,20200900
2023-06-06,2613,2691,2544,2583,11062800
2023-06-07,2701,2779,2613,2613,15703800
2023-06-08,2661,2779,2456,2701,20557600
2023-06-09,2671,2710,2652,2661,8224500
2023-06-12,2886,2965,2661,2661,26392700
2023-06-13,2818,2935,2730,2896,20624100
2023-06-14,2847,2906,2808,2838,9606000
2023-06-15,2877,2916,2838,2847,8568000
2023-06-16,3043,3072,2877,2886,17788800
2023-06-19,3014,3102,3014,3053,10603700
2023-06-20,2945,3072,2886,3014,9775800
2023-06-21,2926,3004,2906,2945,6800600
2023-06-22,2740,2965,2740,2926,5430700
2023-06-23,2552,2769,2552,2730,8745200
2023-06-26,2631,2641,2532,2542,9634100
2023-06-27,2661,2680,2621,2631,5461100
2023-07-03,2710,2750,2641,2651,8442600
2023-07-04,2740,2759,2700,2720,3934400
2023-07-05,2759,2799,2730,2740,5313700
2023-07-06,2769,2809,2759,2759,4632400
