timestamp,open,high,low,close,volume
2020-09-10,237,237,235,235,63200
2020-09-11,295,295,295,295,92800
2020-09-14,368,368,368,368,143800
2020-09-15,368,450,342,412,3974400
2020-09-16,365,378,342,368,1064400
2020-09-17,342,365,340,365,947600
2020-09-18,330,350,322,342,1621800
2020-09-21,310,348,310,320,1683000
2020-09-22,340,340,292,325,2561400
2020-09-23,342,350,322,340,2623800
2020-09-24,342,368,330,368,2743600
2020-09-25,342,368,342,368,3181200
2020-09-28,352,368,332,368,3080200
2020-09-29,372,378,358,378,3289800
2020-09-30,395,395,368,380,2498800
2020-10-01,478,482,400,420,3247400
2020-10-02,455,502,452,502,2116400
2020-10-05,488,490,455,480,2462600
2020-10-06,498,512,482,512,3311000
2020-10-07,482,512,480,512,2451200
2020-10-08,510,510,482,508,2723800
2020-10-09,495,535,490,535,2026000
2020-10-12,518,520,490,520,2724400
2020-10-13,498,542,492,542,2102200
2020-10-14,492,548,490,522,2665200
2020-10-15,520,520,498,518,2120400
2020-10-16,500,525,498,525,2550800
2020-10-19,498,525,492,525,2277600
2020-10-20,492,505,490,505,2693000
2020-10-21,485,518,485,518,2142200
2020-10-22,470,510,470,510,2775800
2020-10-23,460,548,460,495,2311600
2020-10-26,460,505,452,485,2964400
2020-10-27,455,510,455,460,2572800
2020-11-02,465,545,455,455,2471200
2020-11-03,485,528,468,468,2800000
2020-11-04,498,502,488,488,2262800
2020-11-05,500,505,485,498,2925000
2020-11-06,502,510,500,500,2282200
2020-11-09,495,512,490,505,2310600
2020-11-10,500,520,495,520,2201000
2020-11-11,498,525,498,525,2667400
2020-11-12,508,522,488,522,2534000
2020-11-13,502,512,488,512,2205600
2020-11-16,498,528,498,528,2353200
2020-11-17,500,505,488,505,2192400
2020-11-18,498,505,492,505,2672200
2020-11-19,492,522,492,522,2269200
2020-11-20,500,518,485,518,2721000
2020-11-23,500,525,495,525,2338200
2020-11-24,495,525,492,525,2901200
2020-11-25,510,520,482,520,2811200
2020-11-26,512,525,500,525,2653400
2020-11-27,508,525,505,525,2779000
2020-11-30,512,532,502,532,2829200
2020-12-01,522,538,508,538,2974600
2020-12-02,545,545,525,525,2975400
2020-12-03,560,598,550,570,2295000
2020-12-04,560,570,550,565,2902200
2020-12-07,568,570,542,560,2800600
2020-12-08,575,592,562,592,2641800
2020-12-10,580,600,558,600,2289000
2020-12-11,585,592,575,592,2550400
2020-12-14,620,625,592,605,2245400
2020-12-15,610,645,610,645,2095600
2020-12-16,598,635,590,635,2113600
2020-12-17,602,622,575,622,2107000
2020-12-18,612,620,578,620,2405400
2020-12-21,618,630,602,630,2431400
2020-12-22,620,642,610,642,2479000
2020-12-23,622,630,610,630,2334200
2020-12-28,638,648,622,648,2363400
2020-12-29,650,662,622,662,2263000
2020-12-30,660,675,650,675,2203400
2021-01-04,662,685,650,685,3116400
2021-01-05,662,682,655,680,1249000
2021-01-06,655,700,648,688,1100400
2021-01-07,665,672,648,672,1975200
2021-01-08,670,690,658,690,1989400
2021-01-11,680,695,658,695,2981200
2021-01-12,690,705,665,705,768200
2021-01-13,675,715,665,715,1690000
2021-01-14,665,700,655,700,1728200
2021-01-15,655,690,655,690,1310800
2021-01-18,645,668,642,668,861000
2021-01-19,748,805,648,670,878200
2021-01-20,700,755,700,748,1772000
2021-01-21,678,698,675,698,1061200
2021-01-22,670,702,665,702,1108000
2021-01-25,658,685,658,685,1012600
2021-01-26,660,682,648,682,1425200
2021-01-27,662,662,652,660,1299800
2021-01-28,655,688,652,688,1597800
2021-01-29,662,662,652,658,1702600
2021-02-01,672,672,655,662,3206600
2021-02-02,682,682,658,675,2111600
2021-02-03,698,698,682,682,2555000
2021-02-04,700,722,695,722,2106000
2021-02-05,708,708,692,700,2955000
2021-02-08,715,718,702,708,2996800
2021-02-09,712,720,708,715,2821200
2021-02-10,712,715,705,715,2525600
2021-02-11,715,715,702,715,2430400
2021-02-15,728,740,715,740,2785800
2021-02-16,732,742,725,742,2655200
2021-02-17,722,735,722,735,2209200
2021-02-18,728,728,718,722,2555400
2021-02-19,730,730,722,728,2052800
2021-02-22,740,742,725,730,2705000
2021-02-23,742,742,732,740,1930200
2021-02-24,748,752,742,742,1849800
