timestamp,open,high,low,close,volume
2019-01-01,362,362,362,362,0
2019-01-02,360,363,360,362,14500
2019-01-03,363,369,356,365,600
2019-01-04,363,363,362,363,6500
2019-01-07,365,365,360,360,57300
2019-01-08,365,365,365,365,0
2019-01-09,358,362,344,344,43800
2019-01-10,360,360,343,343,19000
2019-01-11,358,358,346,346,1300
2019-01-14,360,360,356,358,17000
2019-01-15,358,365,358,365,51500
2019-01-16,352,360,346,360,173700
2019-01-17,346,354,346,352,195200
2019-01-18,360,363,350,352,186700
2019-01-21,362,369,360,363,35300
2019-01-22,350,365,346,352,229300
2019-01-23,358,365,350,365,17200
2019-01-24,360,367,360,360,9500
2019-01-25,350,365,341,360,602900
2019-01-28,354,360,346,346,89600
2019-01-29,358,360,346,354,97700
2019-01-30,354,369,352,358,17200
2019-01-31,354,354,354,354,0
2019-02-01,356,363,354,363,9200
2019-02-04,367,369,356,365,501700
2019-02-05,367,367,367,367,0
2019-02-06,409,409,363,365,1299700
2019-02-07,401,413,388,409,321700
2019-02-08,403,409,396,401,121200
2019-02-11,401,416,397,403,57800
2019-02-12,403,409,388,409,88400
2019-02-13,369,397,369,397,14500
2019-02-14,373,375,360,369,87800
2019-02-15,371,371,371,371,16400
2019-02-18,397,397,373,373,11300
2019-02-19,397,399,379,379,224100
2019-02-20,390,390,380,380,21400
2019-02-21,388,388,377,388,15700
2019-02-22,388,388,388,388,0
2019-02-25,386,386,362,386,33300
2019-02-26,373,384,371,384,648000
2019-02-27,367,380,365,365,24400
2019-02-28,371,390,363,363,316000
2019-03-01,384,390,380,390,24700
2019-03-04,373,388,369,388,21300
2019-03-05,382,390,380,388,3100
2019-03-06,365,397,363,397,160800
2019-03-07,365,365,365,365,0
2019-03-08,379,384,365,384,1000
2019-03-11,360,377,352,363,439700
2019-03-12,363,373,348,358,297900
2019-03-13,360,373,348,360,29300
2019-03-14,369,369,350,360,27700
2019-03-15,352,352,352,352,700
2019-03-18,350,363,350,363,1600
2019-03-19,365,367,341,341,59000
2019-03-20,367,369,360,367,10200
2019-03-21,367,367,367,367,0
2019-03-22,367,367,367,367,0
2019-03-25,369,379,369,369,3900
2019-03-26,360,375,354,375,5700
2019-03-27,360,360,360,360,0
2019-03-28,352,369,352,367,46500
2019-03-29,356,356,350,350,12500
2019-04-01,354,356,350,350,8500
2019-04-02,354,356,352,354,4100
2019-04-03,354,354,354,354,0
2019-04-04,354,369,354,358,27100
2019-04-05,358,358,354,356,6200
2019-04-08,365,379,354,360,10900
2019-04-09,365,365,354,354,2900
2019-04-10,356,369,356,365,1400
2019-04-11,367,367,354,365,1800
2019-04-12,354,360,354,356,700
2019-04-15,360,360,356,360,1700
2019-04-16,360,360,360,360,2000
2019-04-17,360,360,360,360,0
2019-04-18,350,367,350,367,34500
2019-04-19,350,350,350,350,0
2019-04-22,354,360,354,360,1200
2019-04-23,354,356,354,356,217300
2019-04-24,335,371,335,358,438200
2019-04-25,352,354,312,350,172200
2019-04-26,337,350,337,350,13100
2019-04-29,350,358,333,350,99700
2019-04-30,358,358,339,354,15000
2019-05-01,358,358,358,358,0
2019-05-02,350,360,339,358,25800
2019-05-03,350,354,341,354,500
2019-05-06,352,354,350,352,700
2019-05-07,350,352,348,352,28700
2019-05-08,346,354,343,352,11800
2019-05-09,341,348,337,346,22600
2019-05-10,348,350,346,346,500
2019-05-13,348,348,331,331,400
2019-05-14,350,350,350,350,200
2019-05-15,350,354,348,348,10300
2019-05-16,350,350,335,335,300
2019-05-17,350,350,333,348,12300
2019-05-20,350,350,333,333,1500
2019-05-21,337,337,337,337,1000
2019-05-22,337,350,337,348,18400
2019-05-23,343,343,335,337,26000
2019-05-24,343,343,343,343,800
2019-05-27,344,350,335,335,14400
2019-05-28,350,350,335,341,88900
2019-05-29,352,352,348,350,73000
2019-05-30,352,352,352,352,0
2019-05-31,348,350,348,350,800
2019-06-03,348,348,348,348,0
2019-06-04,348,348,348,348,0
2019-06-05,348,348,348,348,0
2019-06-06,348,348,348,348,0
2019-06-07,348,348,348,348,0
2019-06-10,356,375,348,348,27100
2019-06-11,356,356,354,354,5400
2019-06-12,356,356,356,356,200
2019-06-13,356,356,356,356,0
2019-06-14,356,356,356,356,300
2019-06-17,356,356,356,356,0
2019-06-18,354,354,352,352,11700
2019-06-20,356,356,356,356,4600
2019-06-21,356,356,356,356,0
