timestamp,open,high,low,close,volume
2019-01-01,218,218,218,218,0
2019-01-02,218,218,218,218,1200
2019-01-03,218,218,218,218,0
2019-01-04,218,218,218,218,5100
2019-01-07,218,218,218,218,1200
2019-01-08,234,234,232,232,2900
2019-01-09,213,232,213,230,986200
2019-01-10,213,213,213,213,4000
2019-01-11,220,223,212,213,46300
2019-01-14,220,239,220,222,17900
2019-01-15,213,220,213,220,3500
2019-01-16,213,213,213,213,2500
2019-01-17,213,213,213,213,100
2019-01-18,208,213,208,213,9200
2019-01-21,212,212,212,212,17600
2019-01-22,212,212,207,212,84900
2019-01-23,213,215,208,215,75100
2019-01-24,218,229,218,222,900
2019-01-25,218,218,217,217,800
2019-01-28,215,215,213,213,10300
2019-01-29,207,212,207,208,72400
2019-01-30,215,218,207,218,93200
2019-01-31,215,215,212,213,11900
2019-02-01,225,227,215,223,508700
2019-02-04,235,237,220,225,109700
2019-02-05,235,235,235,235,0
2019-02-06,237,239,225,225,77700
2019-02-07,234,239,234,239,9900
2019-02-08,234,237,223,235,167600
2019-02-11,234,237,229,234,41600
2019-02-12,234,239,234,234,34000
2019-02-13,262,262,229,234,125500
2019-02-14,254,259,245,247,112600
2019-02-15,254,254,254,254,0
2019-02-18,245,251,245,251,86000
2019-02-19,242,244,237,244,14100
2019-02-20,244,244,237,242,2000
2019-02-21,244,244,244,244,0
2019-02-22,254,267,244,244,66000
2019-02-25,254,254,237,244,9600
2019-02-26,249,254,249,251,24800
2019-02-27,254,254,242,251,14700
2019-02-28,254,262,239,239,42200
2019-03-01,254,254,254,254,0
2019-03-04,252,252,242,252,1700
2019-03-05,252,252,252,252,0
2019-03-06,251,251,244,244,49000
2019-03-07,251,251,251,251,0
2019-03-08,271,271,251,251,43000
2019-03-11,256,256,249,256,1900
2019-03-12,262,271,259,271,19900
2019-03-13,254,262,254,254,17100
2019-03-14,262,271,254,254,32100
2019-03-15,262,262,261,261,300
2019-03-18,257,262,245,257,38600
2019-03-19,262,262,261,262,800
2019-03-20,262,262,262,262,0
2019-03-21,259,259,259,259,5000
2019-03-22,261,271,254,262,23200
2019-03-25,261,261,261,261,700
2019-03-26,257,261,256,256,11100
2019-03-27,262,271,254,254,33300
2019-03-28,259,261,254,254,44100
2019-03-29,256,256,256,256,1700
2019-04-01,259,259,256,256,9000
2019-04-02,256,256,254,256,7000
2019-04-03,256,256,256,256,0
2019-04-04,256,256,254,254,1100
2019-04-05,256,256,230,230,7900
2019-04-08,256,256,256,256,100
2019-04-09,256,256,256,256,0
2019-04-10,256,256,256,256,0
2019-04-11,256,256,256,256,0
2019-04-12,213,247,210,247,894800
2019-04-15,218,218,217,217,31700
2019-04-16,212,218,212,218,29200
2019-04-17,212,212,212,212,0
2019-04-18,215,227,212,212,210000
2019-04-19,215,215,215,215,0
2019-04-22,235,239,218,220,30300
2019-04-23,225,229,212,229,49600
2019-04-24,220,225,215,225,76800
2019-04-25,207,223,207,223,155300
2019-04-26,212,212,207,207,36300
2019-04-29,208,218,207,212,338800
2019-04-30,212,212,208,208,79400
2019-05-01,212,212,212,212,0
2019-05-02,212,215,212,212,34000
2019-05-03,210,212,210,212,40100
2019-05-06,207,207,207,207,4000
2019-05-07,208,208,207,207,13300
2019-05-08,207,207,207,207,100
2019-05-09,207,207,207,207,0
2019-05-10,208,208,207,207,1400
2019-05-13,212,212,212,212,22600
2019-05-14,212,212,212,212,300
2019-05-15,208,208,208,208,10500
2019-05-16,208,212,208,208,23700
2019-05-17,210,213,210,210,500
2019-05-20,212,212,212,212,10000
2019-05-21,213,213,212,212,10000
2019-05-22,213,213,213,213,89600
2019-05-23,213,213,213,213,200
2019-05-24,213,217,213,217,8700
2019-05-27,213,215,213,215,2700
2019-05-28,220,220,220,220,5400
2019-05-29,220,220,220,220,500
2019-05-30,220,220,220,220,0
2019-05-31,220,222,220,220,11200
2019-06-03,220,220,220,220,0
2019-06-04,220,220,220,220,0
2019-06-05,220,220,220,220,0
2019-06-06,220,220,220,220,0
2019-06-07,220,220,220,220,0
2019-06-10,220,220,207,220,5600
2019-06-11,220,222,220,220,6700
2019-06-12,212,222,207,207,11300
2019-06-13,217,222,217,220,32100
2019-06-14,217,217,217,217,0
2019-06-17,218,218,218,218,100
2019-06-18,218,218,218,218,1200
2019-06-19,220,220,220,220,200
2019-06-20,210,210,210,210,100
2019-06-21,220,220,217,220,37400
2019-06-24,220,220,220,220,13100
2019-06-25,220,220,220,220,400
2019-06-26,217,220,217,220,8100
2019-06-27,217,218,207,207,4300
2019-06-28,229,229,217,217,12600
2019-07-01,225,229,225,229,32700
2019-07-02,222,225,222,225,6700
2019-07-03,229,234,229,232,2800
2019-07-04,227,240,223,223,5700
2019-07-05,232,232,220,230,14700
2019-07-08,220,230,220,230,47200
2019-07-09,225,225,223,225,700
2019-07-10,225,229,225,229,19800
2019-07-11,225,227,225,225,1000
2019-07-12,220,225,220,225,6200
2019-07-15,229,229,217,220,51700
2019-07-16,223,227,222,227,1400
2019-07-17,229,230,227,227,163000
2019-07-18,232,232,229,229,104700
2019-07-19,252,252,229,230,27000
2019-07-22,247,252,235,235,35200
2019-07-23,256,305,245,249,923600
2019-07-24,254,288,235,262,200200
2019-07-25,254,271,254,271,69200
2019-07-26,266,266,252,257,42800
2019-07-29,264,271,252,266,367300
2019-07-30,259,264,252,264,618400
2019-07-31,254,261,249,261,92000
2019-08-01,253,261,253,254,50100
2019-08-02,253,274,246,246,55100
2019-08-05,251,261,251,253,114800
2019-08-06,249,249,230,237,277300
2019-08-07,246,249,246,249,51700
2019-08-08,244,246,242,246,106100
2019-08-09,237,246,237,237,39100
2019-08-12,242,244,242,242,38200
2019-08-13,242,242,241,242,11900
2019-08-14,246,261,246,253,7300
2019-08-15,234,235,234,235,216100
2019-08-16,246,246,235,235,18100
2019-08-19,244,244,239,244,12000
2019-08-20,246,246,237,244,15400
2019-08-21,239,242,239,242,25400
2019-08-22,235,241,235,241,32800
2019-08-23,239,241,235,237,12200
2019-08-26,235,239,227,239,35700
2019-08-27,235,235,234,235,22500
2019-08-28,234,235,234,235,28800
2019-08-29,235,241,234,235,4200
2019-08-30,235,241,234,235,37900
2019-09-02,234,235,234,235,15600
2019-09-03,232,234,232,232,74600
2019-09-04,239,239,237,239,7400
2019-09-05,242,242,239,239,15800
2019-09-06,234,244,234,244,21800
2019-09-09,234,234,234,234,27900
2019-09-10,235,239,234,235,11400
2019-09-11,235,235,235,235,7200
2019-09-12,235,235,235,235,100
2019-09-13,241,253,218,237,147100
2019-09-16,242,244,241,241,2900
2019-09-17,242,242,242,242,300
2019-09-18,242,242,227,242,118500
2019-09-19,237,237,228,228,4500
2019-09-20,244,244,221,237,4800
2019-09-23,244,244,244,244,300
2019-09-24,244,244,235,235,400
2019-09-25,244,244,244,244,7300
2019-09-26,244,244,244,244,100
2019-09-27,251,253,251,253,200
2019-09-30,249,251,249,251,6000
2019-10-01,249,263,249,251,2500
2019-10-02,249,249,249,249,100
2019-10-03,246,248,246,248,400
2019-10-04,244,246,234,246,400
2019-10-07,244,244,244,244,400
2019-10-08,242,244,242,244,5300
2019-10-09,241,242,241,242,700
2019-10-10,244,244,241,241,2800
2019-10-11,244,251,244,244,11600
2019-10-14,235,251,234,244,10000
2019-10-15,235,237,232,237,4200
2019-10-16,244,251,227,251,27400
2019-10-17,242,242,234,235,1000
2019-10-18,242,242,242,242,2300
2019-10-21,235,235,235,235,1300
2019-10-22,241,241,235,235,600
2019-10-23,241,241,227,227,2000
2019-10-24,234,242,232,241,51200
2019-10-25,234,235,234,235,30400
2019-10-28,234,234,234,234,200
2019-10-29,228,234,228,234,5300
2019-10-30,235,253,228,235,135400
2019-10-31,232,235,232,234,12500
2019-11-01,232,235,232,235,5400
2019-11-04,232,232,232,232,0
2019-11-05,242,242,232,232,10600
2019-11-06,239,241,239,241,1800
2019-11-07,237,239,237,239,1800
2019-11-08,237,237,237,237,700
2019-11-11,230,230,230,230,15000
2019-11-12,230,230,230,230,0
2019-11-13,235,235,230,230,5000
2019-11-14,232,244,232,244,7700
2019-11-15,235,235,232,232,7700
2019-11-18,232,237,232,237,10100
2019-11-19,228,230,228,230,11300
2019-11-20,228,230,228,230,9800
2019-11-21,228,228,228,228,195600
2019-11-22,228,228,228,228,3400
2019-11-25,228,228,228,228,10000
