timestamp,open,high,low,close,volume
2019-01-01,1994,1994,1994,1994,0
2019-01-02,1985,2013,1976,1985,469106
2019-01-03,1985,2022,1967,1976,605355
2019-01-04,1976,2050,1948,1985,2891893
2019-01-07,1967,2022,1967,1976,1861203
2019-01-08,1948,1976,1948,1967,607664
2019-01-09,2059,2059,1957,1957,4942775
2019-01-10,2225,2253,2059,2059,11248152
2019-01-11,2401,2437,2244,2244,16162901
2019-01-14,2364,2410,2299,2391,4790255
2019-01-15,2622,2650,2345,2354,11818448
2019-01-16,2705,2807,2539,2622,11813095
2019-01-17,2678,2779,2622,2724,3424610
2019-01-18,2705,2742,2650,2678,2831116
2019-01-21,2678,2724,2650,2705,1351474
2019-01-22,2724,2779,2622,2678,4141442
2019-01-23,2899,2955,2742,2770,12491823
2019-01-24,2918,3019,2825,2908,6416014
2019-01-25,2890,2945,2881,2927,1565191
2019-01-28,2834,2945,2714,2890,4534236
2019-01-29,2991,3019,2751,2779,5591903
2019-01-30,3019,3102,2991,3001,4594908
2019-01-31,3038,3075,2973,3019,2334823
2019-02-01,3019,3084,3010,3047,628658
2019-02-04,2973,3056,2973,3028,572185
2019-02-05,2973,2973,2973,2973,0
2019-02-06,3075,3093,2908,2973,3757046
2019-02-07,3047,3093,3019,3075,1184888
2019-02-08,3001,3038,2881,3038,2967785
2019-02-11,2927,3001,2918,3001,827259
2019-02-12,3001,3075,2890,2908,5394351
2019-02-13,3001,3047,2936,3001,2639652
2019-02-14,2991,3001,2918,3001,776140
2019-02-15,2936,2982,2899,2982,1108471
2019-02-18,3038,3047,2918,2936,1720335
2019-02-19,3204,3287,3038,3047,14613455
2019-02-20,3195,3296,3111,3296,4583886
2019-02-21,3084,3268,3084,3185,2683005
2019-02-22,2936,3130,2899,3084,3687767
2019-02-25,2816,2936,2788,2936,5501525
2019-02-26,3148,3148,2733,2816,4364082
2019-02-27,2899,3093,2871,3093,2348469
2019-02-28,2927,2973,2853,2927,2185347
2019-03-01,2871,2945,2871,2927,381037
2019-03-04,2825,2918,2816,2871,1254168
2019-03-05,2742,2825,2742,2825,980724
2019-03-06,2770,2779,2631,2742,2589057
2019-03-07,2770,2770,2770,2770,0
2019-03-08,2733,2807,2714,2770,495033
2019-03-11,2668,2779,2659,2751,441709
2019-03-12,2622,2705,2613,2687,424284
2019-03-13,2650,2733,2585,2641,358468
2019-03-14,2678,2696,2604,2622,354375
2019-03-15,2770,2816,2678,2733,827259
2019-03-18,2705,2788,2678,2770,1311271
2019-03-19,2668,2705,2659,2696,127327
2019-03-20,2668,2714,2622,2659,255704
2019-03-21,2668,2696,2641,2641,117250
2019-03-22,2585,2678,2585,2659,843635
2019-03-25,2502,2567,2465,2567,1188352
2019-03-26,2539,2567,2493,2548,132890
2019-03-27,2521,2585,2493,2493,95521
2019-03-28,2474,2530,2465,2530,77467
2019-03-29,2474,2493,2382,2465,175717
2019-04-01,2539,2631,2465,2594,207943
2019-04-02,2511,2576,2511,2576,35269
2019-04-03,2511,2511,2511,2511,0
2019-04-04,2484,2567,2474,2567,238804
2019-04-05,2502,2539,2484,2539,75682
2019-04-08,2317,2484,2317,2456,573550
2019-04-09,2401,2474,2354,2354,666657
2019-04-10,2382,2447,2373,2401,99930
2019-04-11,2345,2428,2336,2428,63506
2019-04-12,2336,2391,2327,2327,52904
2019-04-15,2354,2373,2317,2354,217390
2019-04-16,2401,2401,2308,2354,313961
2019-04-17,2401,2401,2401,2401,0
2019-04-18,2456,2502,2419,2419,552241
2019-04-19,2456,2456,2456,2456,0
2019-04-22,2391,2456,2391,2456,256439
2019-04-23,2567,2585,2391,2437,612598
2019-04-24,2604,2687,2567,2567,578063
2019-04-25,2557,2594,2539,2585,113996
2019-04-26,2530,2557,2511,2557,49125
2019-04-29,2539,2539,2484,2530,120609
2019-04-30,2594,2705,2539,2567,1194126
2019-05-01,2594,2594,2594,2594,0
2019-05-02,2604,2631,2539,2631,302940
2019-05-03,2539,2585,2493,2585,212771
2019-05-06,2428,2539,2419,2539,128376
