timestamp,open,high,low,close,volume
2019-01-01,1074,1074,1074,1074,0
2019-01-02,1043,1087,1040,1070,5203600
2019-01-03,1036,1070,1030,1043,9381900
2019-01-04,1229,1233,1016,1036,59461000
2019-01-07,1321,1334,1246,1246,53798000
2019-01-08,1307,1334,1260,1328,26923500
2019-01-09,1328,1368,1297,1314,41086600
2019-01-10,1331,1368,1324,1334,15006700
2019-01-11,1334,1348,1321,1348,11654000
2019-01-14,1304,1341,1304,1331,7795400
2019-01-15,1290,1324,1270,1307,24227600
2019-01-16,1311,1368,1294,1301,45855400
2019-01-17,1416,1450,1334,1334,90960500
2019-01-18,1477,1497,1429,1429,44812200
2019-01-21,1443,1524,1422,1497,34110000
2019-01-22,1389,1450,1375,1436,22258400
2019-01-23,1402,1443,1355,1355,21940400
2019-01-24,1375,1429,1375,1422,12374200
2019-01-25,1375,1402,1368,1382,9866400
2019-01-28,1497,1531,1395,1395,82268300
2019-01-29,1436,1524,1436,1504,37545400
2019-01-30,1470,1470,1436,1450,19364200
2019-01-31,1443,1497,1443,1483,22120000
2019-02-01,1436,1456,1429,1443,9661400
2019-02-04,1456,1477,1436,1443,16169800
2019-02-05,1456,1456,1456,1456,0
2019-02-06,1470,1517,1463,1470,28297300
2019-02-07,1436,1483,1436,1470,14953900
2019-02-08,1389,1429,1368,1429,17396900
2019-02-11,1324,1389,1321,1389,20831100
2019-02-12,1314,1351,1260,1331,22483900
2019-02-13,1301,1338,1290,1321,8680500
2019-02-14,1243,1321,1240,1307,16503700
2019-02-15,1216,1236,1202,1233,15417600
2019-02-18,1209,1250,1189,1240,18682800
2019-02-19,1304,1338,1226,1226,46255200
2019-02-20,1324,1345,1304,1321,28137000
2019-02-21,1477,1497,1317,1334,87774900
2019-02-22,1470,1510,1422,1477,50870400
2019-02-25,1409,1483,1395,1483,21772600
2019-02-26,1345,1422,1341,1422,30316700
2019-02-27,1355,1409,1348,1355,30254900
2019-02-28,1324,1382,1321,1375,11736500
2019-03-01,1355,1368,1331,1348,15926800
2019-03-04,1443,1450,1375,1375,40142100
2019-03-05,1416,1483,1402,1450,29632100
2019-03-06,1368,1422,1361,1416,13260000
2019-03-07,1368,1368,1368,1368,0
2019-03-08,1395,1402,1361,1368,13888200
2019-03-11,1422,1450,1361,1375,18485900
2019-03-12,1375,1443,1368,1443,7874100
2019-03-13,1429,1436,1368,1395,16496100
2019-03-14,1436,1456,1416,1450,10865600
2019-03-15,1429,1443,1409,1436,3780200
2019-03-18,1402,1436,1395,1402,5444000
2019-03-19,1395,1429,1375,1409,6751700
2019-03-20,1395,1429,1389,1409,7798900
2019-03-21,1368,1409,1361,1402,9059500
2019-03-22,1345,1375,1341,1368,8733400
2019-03-25,1301,1328,1297,1328,10343800
2019-03-26,1307,1324,1307,1311,3280200
2019-03-27,1287,1317,1284,1314,5930800
2019-03-28,1287,1297,1284,1284,2931700
2019-03-29,1250,1273,1233,1270,10256500
2019-04-01,1216,1236,1185,1226,9859000
2019-04-02,1212,1236,1199,1236,7462500
2019-04-03,1212,1212,1212,1212,0
2019-04-04,1165,1199,1151,1199,14690600
2019-04-05,1179,1182,1151,1179,3994000
2019-04-08,1175,1229,1175,1209,16402300
2019-04-09,1206,1226,1202,1206,16905100
2019-04-10,1182,1209,1179,1206,8735800
2019-04-11,1185,1219,1185,1212,4934300
2019-04-12,1172,1199,1172,1185,5107300
2019-04-15,1162,1189,1155,1185,5835200
2019-04-16,1165,1182,1151,1165,9372100
2019-04-17,1165,1165,1165,1165,0
2019-04-18,1124,1182,1124,1182,12588000
2019-04-19,1124,1124,1124,1124,0
2019-04-22,1111,1138,1107,1128,4629500
2019-04-23,1165,1175,1114,1118,10252600
2019-04-24,1175,1206,1168,1172,19887800
2019-04-25,1165,1189,1145,1175,7414600
2019-04-26,1162,1175,1141,1172,5605000
2019-04-29,1155,1175,1145,1162,4273300
2019-04-30,1155,1185,1155,1158,10588800
2019-05-01,1155,1155,1155,1155,0
2019-05-02,1155,1168,1151,1158,8535200
2019-05-03,1128,1158,1111,1155,11386900
