timestamp,open,high,low,close,volume
2019-01-01,81,81,81,81,0
2019-01-02,82,82,80,82,42100
2019-01-03,81,81,80,80,44100
2019-01-04,81,81,80,81,36900
2019-01-07,81,82,81,81,15000
2019-01-08,84,86,81,81,1102100
2019-01-09,84,86,82,86,146100
2019-01-10,86,87,83,84,132100
2019-01-11,87,88,86,86,70200
2019-01-14,86,87,83,87,170700
2019-01-15,86,86,84,86,222600
2019-01-16,84,86,84,86,74700
2019-01-17,85,86,84,84,62500
2019-01-18,84,85,83,85,687300
2019-01-21,83,88,83,84,473800
2019-01-22,84,85,83,84,590500
2019-01-23,85,87,83,86,1001000
2019-01-24,84,84,83,83,551200
2019-01-25,85,86,84,84,125200
2019-01-28,84,87,82,86,712100
2019-01-29,83,86,82,84,1168400
2019-01-30,83,84,81,82,1294800
2019-01-31,83,84,82,83,771700
2019-02-01,89,92,83,84,2956900
2019-02-04,91,93,90,90,1678300
2019-02-05,91,91,91,91,0
2019-02-06,89,91,86,91,317100
2019-02-07,88,89,87,89,958300
2019-02-08,90,93,89,89,783800
2019-02-11,91,94,89,93,819500
2019-02-12,89,92,87,90,352600
2019-02-13,89,91,88,88,170800
2019-02-14,90,90,88,90,193400
2019-02-15,86,89,85,88,270700
2019-02-18,88,89,86,89,119000
2019-02-19,87,87,86,87,62200
2019-02-20,87,87,86,87,5900
2019-02-21,86,87,86,87,821800
2019-02-22,88,89,86,86,1059900
2019-02-25,88,89,88,89,773400
2019-02-26,87,90,86,88,2639400
2019-02-27,86,89,86,86,167200
2019-02-28,86,88,86,86,205300
2019-03-01,87,88,87,87,12900
2019-03-04,87,88,86,88,179500
2019-03-05,86,87,86,87,194200
2019-03-06,87,87,86,86,310600
2019-03-07,87,87,87,87,0
2019-03-08,86,88,85,86,171400
2019-03-11,87,87,86,86,78600
2019-03-12,86,86,86,86,20500
2019-03-13,85,86,85,86,53000
2019-03-14,86,86,85,86,45600
2019-03-15,85,89,84,86,90300
2019-03-18,89,93,85,86,847100
2019-03-19,88,88,86,86,109600
2019-03-20,88,88,86,86,146600
2019-03-21,87,90,86,86,83900
2019-03-22,88,92,86,86,586500
2019-03-25,88,88,86,87,38500
2019-03-26,88,88,86,86,72100
2019-03-27,86,88,86,88,139600
2019-03-28,86,87,86,87,267500
2019-03-29,86,87,86,86,340400
2019-04-01,86,88,86,87,353700
2019-04-02,87,88,86,88,286900
2019-04-03,87,87,87,87,0
2019-04-04,87,88,86,88,362600
2019-04-05,86,88,86,88,20800
2019-04-08,87,87,86,86,173300
2019-04-09,86,90,86,86,555900
2019-04-10,87,91,87,88,198200
2019-04-11,86,89,86,89,351100
2019-04-12,87,87,86,86,26100
2019-04-15,87,87,86,87,154600
2019-04-16,88,88,86,86,193600
2019-04-17,88,88,88,88,0
2019-04-18,86,88,86,86,414500
2019-04-19,86,86,86,86,0
2019-04-22,87,87,87,87,2900
2019-04-23,86,87,86,86,105800
2019-04-24,87,87,86,87,354100
2019-04-25,86,88,86,88,57200
2019-04-26,87,87,86,86,62400
2019-04-29,88,89,87,87,268300
2019-04-30,86,89,86,88,589200
2019-05-01,86,86,86,86,0
2019-05-02,86,86,85,86,474200
2019-05-03,86,86,82,86,302900
2019-05-06,84,86,83,86,509500
2019-05-07,85,86,83,86,310400
2019-05-08,84,86,84,86,28900
2019-05-09,86,87,82,84,1047700
2019-05-10,87,88,86,88,865800
2019-05-13,87,88,86,88,1241700
2019-05-14,87,88,86,87,224900
2019-05-15,87,88,85,87,544900
2019-05-16,92,93,88,88,3397400
2019-05-17,91,96,91,93,4498900
2019-05-20,93,93,88,91,1452700
2019-05-21,93,94,90,93,391600
2019-05-22,91,94,90,94,222400
2019-05-23,92,92,90,91,1149800
2019-05-24,93,94,92,93,121500
2019-05-27,91,93,90,93,323600
2019-05-28,88,91,87,91,1460500
2019-05-29,90,92,88,92,92800
2019-05-30,90,90,90,90,0
2019-05-31,90,91,88,90,284800
2019-06-03,90,90,90,90,0
2019-06-04,90,90,90,90,0
2019-06-05,90,90,90,90,0
2019-06-06,90,90,90,90,0
2019-06-07,90,90,90,90,0
2019-06-10,91,91,88,90,277500
2019-06-11,91,93,90,91,631700
2019-06-12,93,93,91,91,426100
2019-06-13,102,111,93,94,6294300
2019-06-14,99,103,98,102,813600
2019-06-17,98,100,95,100,250700
2019-06-18,96,98,89,98,594700
2019-06-19,94,98,92,94,0
2019-06-20,97,99,95,95,870400
2019-06-21,93,103,92,103,1006500
2019-06-24,92,94,92,93,781600
2019-06-25,93,96,92,92,401600
2019-06-26,95,95,93,93,178700
2019-06-27,94,97,94,95,818200
2019-06-28,94,97,94,95,736600
2019-07-01,95,97,94,96,1257800
2019-07-02,95,97,94,97,232700
2019-07-03,95,95,94,95,26900
2019-07-04,94,96,94,95,341700
2019-07-05,94,95,93,95,369100
2019-07-08,94,95,93,94,324800
2019-07-09,93,94,92,94,433500
2019-07-10,94,94,93,93,140700
2019-07-11,94,94,92,94,440900
2019-07-12,95,95,92,94,1859400
2019-07-15,92,95,92,95,752600
2019-07-16,100,101,94,95,2312200
2019-07-17,95,101,95,101,689200
2019-07-18,95,97,95,97,451500
2019-07-19,97,97,95,95,280300
2019-07-22,95,98,95,96,226000
2019-07-23,96,96,94,95,2700
2019-07-24,97,98,95,98,1030400
2019-07-25,98,98,96,97,37300
2019-07-26,99,99,95,98,843500
2019-07-29,97,99,96,99,190600
2019-07-30,97,98,96,98,44700
2019-07-31,95,98,95,97,242800
2019-08-01,94,96,94,95,39800
2019-08-02,98,98,95,95,1115600
2019-08-05,98,98,95,98,2771300
2019-08-06,98,99,95,97,955400
2019-08-07,99,108,97,98,2919300
2019-08-08,97,100,96,100,631700
2019-08-09,98,98,97,97,42200
