timestamp,open,high,low,close,volume
2022-12-09,87,103,87,103,505815400
2022-12-12,79,79,79,79,7170800
2022-12-13,72,72,72,72,3484200
2022-12-14,65,74,65,65,158086900
2022-12-15,71,71,59,71,205156100
2022-12-16,78,78,65,73,63285500
2022-12-19,85,85,72,85,44037700
2022-12-20,93,93,87,87,35724900
2022-12-21,102,102,97,102,65526300
2022-12-22,102,112,94,96,126472000
2022-12-23,112,112,98,98,69646100
2022-12-26,123,123,114,123,11380000
2022-12-27,135,135,131,135,19141700
2022-12-28,122,148,122,135,101820200
2022-12-29,110,132,110,132,45966600
2022-12-30,99,115,99,115,73088800
2023-01-02,92,108,90,108,76702300
2023-01-03,101,101,91,100,34236900
2023-01-04,111,111,105,109,61361400
2023-01-05,105,122,101,101,74317600
2023-01-06,112,113,100,100,14909500
2023-01-09,106,115,103,105,19612800
2023-01-10,101,107,96,98,27393800
2023-01-11,102,106,97,101,15108100
2023-01-12,102,105,101,105,4932400
2023-01-13,101,104,100,102,3681800
2023-01-16,105,105,93,103,14548300
2023-01-17,112,115,104,105,53745700
2023-01-18,101,122,101,122,363246700
2023-01-19,91,100,91,91,84309700
2023-01-20,82,99,82,82,89010900
2023-01-24,90,90,74,75,26023200
2023-01-25,90,97,82,90,24345400
2023-01-26,86,92,86,90,6732300
2023-01-27,88,89,85,85,2537500
2023-01-30,83,88,83,87,3175700
2023-01-31,86,91,82,83,10335400
2023-02-01,82,89,82,87,12879700
2023-02-02,74,87,74,82,67224400
2023-02-03,67,80,67,68,318537400
2023-02-06,61,66,61,61,49051500
2023-02-07,55,67,55,63,38532000
2023-02-08,50,55,50,50,74647700
2023-02-09,45,50,45,50,34810500
2023-02-10,41,44,41,44,18814100
2023-02-13,37,41,37,40,29433800
2023-02-14,40,40,35,38,17372300
2023-02-15,44,44,41,43,11660300
2023-02-16,48,48,45,47,56023800
2023-02-17,45,50,44,49,38457400
2023-02-20,41,46,41,45,17322700
2023-02-21,41,44,39,42,11890500
2023-02-22,40,43,39,41,10569300
2023-02-23,39,41,36,36,8305500
2023-02-24,39,40,36,36,2927600
2023-02-27,37,40,36,36,12889300
2023-02-28,36,38,34,34,7120800
2023-03-01,36,38,34,34,4014800
2023-03-02,37,38,33,33,5380000
2023-03-03,39,39,37,37,7558600
2023-03-06,42,42,38,38,14953900
2023-03-07,46,46,43,44,22102300
2023-03-08,42,50,42,47,59576700
2023-03-09,40,42,39,42,10540200
2023-03-10,39,41,36,36,3333000
2023-03-13,40,41,39,39,3555300
2023-03-14,39,41,38,40,5738600
2023-03-15,39,40,37,37,7348700
2023-03-16,39,40,37,37,3258400
2023-03-17,42,42,39,39,5659300
2023-03-20,46,46,44,45,19801000
2023-03-21,46,48,43,47,44478000
2023-03-24,43,47,42,46,42741300
2023-03-27,42,44,41,43,9644100
2023-03-28,42,44,41,42,10116200
2023-03-29,44,44,41,42,5299100
2023-03-30,43,45,43,44,5072800
2023-03-31,39,44,39,43,49199400
2023-04-03,39,40,38,39,4786300
2023-04-04,40,40,36,36,5628000
2023-04-05,39,40,38,39,1072400
2023-04-06,42,42,38,39,22571000
2023-04-10,42,43,39,42,5607000
2023-04-11,41,42,40,41,2909900
2023-04-12,40,41,39,41,7149300
2023-04-13,40,40,38,40,12662100
2023-04-14,40,40,39,39,2631200
2023-04-17,40,41,39,39,5068700
2023-04-18,40,44,39,44,1572300
2023-04-26,44,44,39,43,97001600
2023-04-27,43,48,42,48,76433000
2023-04-28,46,46,40,43,51267500
2023-05-02,49,50,42,48,103035500
2023-05-03,45,51,45,51,37244400
2023-05-04,41,45,41,43,27083900
2023-05-05,37,41,37,41,62195300
2023-05-08,35,37,34,36,19680100
2023-05-09,37,37,32,34,40691800
2023-05-10,35,36,34,36,42170400
2023-05-11,35,36,32,35,42381700
2023-05-12,32,34,32,34,40855700
2023-05-15,33,33,29,33,39397600
2023-05-16,32,33,30,32,29913000
2023-05-17,30,31,30,30,10619500
2023-05-19,32,32,29,31,17089000
2023-05-22,32,32,30,32,9498300
2023-05-23,32,32,31,32,3493000
2023-05-24,31,32,30,31,8434800
2023-05-25,31,31,30,31,5499400
2023-05-26,31,31,29,30,7850600
2023-05-29,31,31,30,30,5635200
2023-05-30,30,31,29,30,4616500
2023-05-31,30,30,29,29,2859200
2023-06-05,30,30,29,30,3480700
2023-06-06,30,30,29,30,2916500
2023-06-07,30,30,28,30,7227000
2023-06-08,30,30,29,30,5904100
2023-06-09,30,30,29,30,2216900
2023-06-12,30,30,29,30,2814200
2023-06-13,29,30,28,29,15690700
2023-06-14,29,30,28,28,2495600
2023-06-15,29,29,28,29,3297900
2023-06-16,29,30,28,29,3882500
2023-06-19,29,29,28,29,2488100
2023-06-20,28,29,27,29,3691100
2023-06-21,28,29,27,28,7459100
2023-06-22,26,28,26,28,11271800
2023-06-23,24,26,24,26,13580900
2023-06-26,22,24,22,24,16073200
2023-06-27,20,22,20,22,8193200
2023-07-03,22,22,20,20,12016800
2023-07-04,23,24,22,23,9260400
2023-07-05,23,24,22,23,5384200
2023-07-06,21,23,21,23,11175700
2023-07-07,20,22,20,21,8872200
2023-07-10,20,22,19,21,36736900
2023-07-11,20,20,18,18,3108800
2023-07-12,19,20,19,20,17434900
2023-07-13,18,20,18,19,37689000
2023-07-14,19,19,18,18,13815400
2023-07-17,19,20,18,20,18781800
2023-07-18,18,20,18,20,53359000
2023-07-20,17,18,17,18,6716000
2023-07-21,17,18,16,17,12423900
2023-07-24,16,18,16,18,28795500
2023-07-25,16,17,15,16,32454300
2023-07-26,15,17,15,17,54025300
2023-07-27,15,16,14,15,14834100
2023-07-28,16,16,14,16,10135400
2023-07-31,16,16,15,16,18581200
2023-08-01,15,16,15,16,7052000
2023-08-02,14,15,14,15,2339100
2023-08-03,14,15,13,13,18227000
2023-08-04,14,15,14,15,9790000
2023-08-07,14,15,13,13,6746500
2023-08-08,15,15,13,15,4096700
2023-08-09,15,15,14,15,12451700
2023-08-10,14,15,14,15,11609000
2023-08-11,13,15,13,14,38378400
2023-08-14,12,14,12,14,48549600
2023-08-15,11,13,11,12,67744300
2023-08-16,10,12,10,12,158405200
2023-08-18,11,11,10,11,86878200
2023-08-21,12,12,11,11,26038500
2023-08-22,13,13,13,13,13027900
2023-08-23,14,14,13,14,70632200
2023-08-24,15,15,14,15,29615400
2023-08-25,16,16,16,16,10083800
2023-08-28,17,17,16,16,9853500
2023-08-29,18,18,18,18,5868400
2023-08-30,19,19,17,19,115776800
2023-08-31,20,20,19,20,28537800
2023-09-01,22,22,21,21,53329000
2023-09-04,20,24,20,24,183536600
2023-09-05,18,20,18,19,27427100
2023-09-06,17,18,17,17,9791700
2023-09-07,18,18,16,16,67558000
2023-09-08,19,19,19,19,13221000
2023-09-11,20,20,19,20,44833100
2023-09-12,21,22,19,22,104419700
2023-09-13,21,22,19,21,49195800
2023-09-14,21,21,19,21,21851800
2023-09-15,20,21,19,21,47657200
2023-09-18,18,20,18,20,60907700
2023-09-19,17,18,17,17,52077600
2023-09-20,16,17,16,17,40761200
2023-09-21,16,17,15,15,132599400
2023-09-22,16,17,15,16,23591600
2023-09-25,17,17,16,16,47828200
2023-09-26,18,18,16,17,36278800
2023-09-27,17,18,17,18,25937100
2023-09-29,17,17,16,17,19081000
2023-10-02,16,17,16,16,47646700
2023-10-03,15,16,15,15,89897900
2023-10-04,16,16,14,15,25872900
2023-10-05,15,16,15,16,52791200
2023-10-06,15,16,14,16,11776900
2023-10-09,14,15,14,15,28814200
2023-10-10,14,15,13,15,24298700
2023-10-11,15,15,14,14,13686100
2023-10-12,14,15,14,15,15041200
2023-10-13,14,15,14,15,6553800
2023-10-16,14,15,13,15,19508100
2023-10-17,14,15,13,14,15117600
2023-10-18,14,15,13,15,5850400
2023-10-19,14,15,13,14,13240500
2023-10-20,15,15,13,15,15299500
2023-10-23,14,15,14,15,8967600
2023-10-24,13,15,13,15,91101800
2023-10-25,14,14,12,13,23216700
2023-10-26,13,14,13,14,42836600
2023-10-27,12,14,12,14,93333700
2023-10-30,11,13,11,13,169569500
2023-10-31,12,12,10,11,60753600
2023-11-01,11,12,11,11,24707800
2023-11-02,11,12,10,11,75555900
2023-11-03,12,12,11,11,7599900
2023-11-06,12,12,11,11,10188800
2023-11-07,12,12,11,12,30997600
2023-11-08,11,12,11,11,20898800
2023-11-09,12,12,11,11,9327200
2023-11-10,11,12,11,12,47852700
2023-11-13,11,12,10,11,12678200
2023-11-14,12,12,10,12,16493800
2023-11-15,12,12,11,11,11207600
2023-11-16,12,12,11,12,7551600
2023-11-17,11,12,11,12,3012300
2023-11-20,11,12,10,12,9720600
2023-11-21,11,12,11,12,3495900
2023-11-22,11,12,11,12,7946500
2023-11-23,12,12,11,12,21267500
2023-11-24,12,12,11,12,2842000
2023-11-27,12,12,11,12,6625500
2023-11-28,11,12,11,12,19132100
2023-11-29,11,12,10,12,10187200
2023-11-30,10,12,10,12,7514900
2023-12-01,10,11,10,11,12864500
2023-12-04,11,11,10,10,38413100
2023-12-05,11,12,11,11,54700100
2023-12-06,11,12,10,12,24732100
2023-12-07,11,12,10,12,17844000
2023-12-08,11,11,10,10,27823500
2023-12-11,10,11,10,10,9969400
2023-12-12,11,11,10,11,12024000
2023-12-13,11,11,10,11,6570000
2023-12-14,10,11,10,11,1692300
2023-12-15,10,11,10,11,7265500
2023-12-18,11,11,10,11,2554600
2023-12-19,10,11,10,11,44322200
2023-12-20,10,11,10,11,5755900
2023-12-21,10,11,9,11,13794100
2023-12-22,11,11,9,11,8345500
2023-12-27,10,11,10,11,3650100
2023-12-28,10,11,10,11,6037400
2023-12-29,10,11,10,11,3899700
2024-01-02,10,11,10,11,3205600
2024-01-03,10,11,9,11,11675400
2024-01-04,11,11,10,10,12885400
2024-01-05,10,11,10,11,1938000
2024-01-08,10,11,9,11,8729900
2024-01-09,10,11,9,11,24721400
2024-01-10,10,11,9,10,14344700
2024-01-11,10,11,9,11,6534200
2024-01-12,11,11,9,11,5578400
2024-01-15,11,11,11,11,0
2024-01-16,10,11,10,11,8690100
2024-01-17,11,11,10,11,2078500
