timestamp,open,high,low,close,volume
2019-01-01,182,182,182,182,0
2019-01-02,178,183,178,182,3734800
2019-01-03,178,182,178,178,6680800
2019-01-04,186,193,179,179,11822400
2019-01-07,191,195,188,189,22875200
2019-01-08,195,198,192,192,34400400
2019-01-09,243,243,198,199,315234400
2019-01-10,210,227,204,227,140989200
2019-01-11,213,217,210,211,25240800
2019-01-14,227,229,212,213,58466000
2019-01-15,230,233,221,231,40871600
2019-01-16,227,239,227,230,48536800
2019-01-17,220,231,217,227,11574800
2019-01-18,229,229,221,223,13776400
2019-01-21,226,233,224,231,9586000
2019-01-22,257,280,223,227,182573200
2019-01-23,320,321,254,258,237891200
2019-01-24,311,345,308,321,194335600
2019-01-25,292,313,292,313,48158000
2019-01-28,297,326,284,293,121112400
2019-01-29,291,304,284,300,28350800
2019-01-30,291,300,284,292,62772400
2019-01-31,296,301,292,294,51359600
2019-02-01,315,318,294,297,192221200
2019-02-04,335,341,311,319,243988000
2019-02-05,335,335,335,335,0
2019-02-06,357,362,335,335,163435200
2019-02-07,377,388,357,357,156490800
2019-02-08,374,385,366,381,59133200
2019-02-11,380,398,369,373,97184000
2019-02-12,352,386,339,379,105966000
2019-02-13,346,367,340,354,59488000
2019-02-14,405,406,346,351,194750400
2019-02-15,400,409,378,405,101940800
2019-02-18,400,409,391,403,54735200
2019-02-19,389,400,379,400,71608800
2019-02-20,389,404,384,390,40741600
2019-02-21,390,402,384,391,30652800
2019-02-22,371,394,364,391,39794000
2019-02-25,367,379,359,373,39367200
2019-02-26,340,373,335,368,43724400
2019-02-27,351,360,334,342,31918400
2019-02-28,357,359,336,353,23660000
2019-03-01,359,369,352,358,33321600
2019-03-04,344,362,342,359,15694800
2019-03-05,344,351,337,344,25877600
2019-03-06,330,344,325,344,23216000
2019-03-07,330,330,330,330,0
2019-03-08,306,332,301,328,30936400
2019-03-11,299,307,294,306,19652400
2019-03-12,288,299,286,295,10856800
2019-03-13,301,309,290,291,31119600
2019-03-14,293,307,288,305,16496000
2019-03-15,296,300,293,294,9299200
2019-03-18,314,315,295,295,30784800
2019-03-19,325,335,319,328,35631200
2019-03-20,315,328,312,322,11427200
2019-03-21,310,322,310,313,12929600
2019-03-22,306,314,304,313,6757600
2019-03-25,284,305,283,305,14050800
2019-03-26,277,296,275,292,17275200
2019-03-27,275,284,271,281,11572000
2019-03-28,279,286,275,279,4745200
2019-03-29,271,281,270,277,3927600
2019-04-01,258,272,256,270,10434400
2019-04-02,252,267,248,258,13060000
2019-04-03,252,252,252,252,0
2019-04-04,260,268,252,252,7402400
2019-04-05,283,284,265,265,21362800
2019-04-08,275,286,273,283,10525600
2019-04-09,278,283,273,282,12154800
2019-04-10,279,281,275,281,4402400
2019-04-11,280,286,275,280,5756400
2019-04-12,297,299,275,277,38916000
2019-04-15,293,301,283,297,19586800
2019-04-16,293,309,292,293,34526800
2019-04-17,293,293,293,293,0
2019-04-18,296,298,286,293,14568000
2019-04-19,296,296,296,296,0
2019-04-22,292,300,288,296,10287600
2019-04-23,283,294,282,291,23773200
2019-04-24,272,287,270,283,16420400
2019-04-25,268,275,265,272,8734800
2019-04-26,271,280,266,268,17902800
2019-04-29,283,288,271,272,25136800
