timestamp,open,high,low,close,volume
2020-04-08,134,134,134,134,896400
2020-04-09,180,180,178,180,81384700
2020-04-13,242,242,168,190,48345600
2020-04-14,226,279,226,252,73825300
2020-04-15,212,218,212,212,5595300
2020-04-16,212,224,198,198,8537900
2020-04-17,264,264,212,216,27187000
2020-04-20,278,285,258,268,45051600
2020-04-21,260,279,260,278,38296800
2020-04-22,242,248,242,248,2027000
2020-04-23,230,230,226,230,1384700
2020-04-24,226,248,218,226,13090400
2020-04-27,258,268,226,226,55167000
2020-04-28,254,266,252,258,15951600
2020-04-29,252,264,250,254,7233100
2020-04-30,256,274,248,248,22314900
2020-05-04,289,291,248,256,47027700
2020-05-05,291,305,278,289,37489000
2020-05-06,274,297,274,291,15238200
2020-05-08,293,299,272,274,85901600
2020-05-11,303,311,291,293,53639000
2020-05-12,295,315,293,303,31247100
2020-05-13,287,303,281,295,48012500
2020-05-14,299,305,287,287,27369600
2020-05-15,291,305,289,299,29508900
2020-05-18,291,291,279,291,24564200
2020-05-19,293,297,283,291,21206400
2020-05-20,297,301,287,293,21319900
2020-05-26,297,305,293,297,26735800
2020-05-27,295,297,285,297,25346700
2020-05-28,297,303,293,295,31301100
2020-05-29,291,297,289,297,22410400
2020-06-02,291,293,287,291,22158600
2020-06-03,299,305,289,291,30017200
2020-06-04,331,331,297,299,24321400
2020-06-05,315,333,315,331,25501900
2020-06-08,319,323,313,315,25253000
2020-06-09,315,321,313,319,20910800
2020-06-10,313,317,311,315,19515100
2020-06-11,315,333,311,313,28448500
2020-06-12,313,315,303,307,20820200
2020-06-15,321,341,311,313,26132000
2020-06-16,327,345,321,321,32519700
2020-06-17,339,347,325,327,17597000
2020-06-18,333,343,329,337,23740600
2020-06-19,349,357,333,333,33823800
2020-06-22,343,359,341,349,18516900
2020-06-23,359,365,343,343,25268000
2020-06-24,361,373,359,359,21911500
2020-06-25,375,379,361,361,21516800
2020-06-26,381,387,369,375,25201800
2020-06-29,373,389,369,381,22896600
2020-06-30,389,392,373,373,41854600
2020-07-01,402,408,389,389,49939000
2020-07-02,394,404,392,402,45656500
2020-07-03,389,398,383,394,30464400
2020-07-06,394,398,387,389,33128700
2020-07-07,389,404,387,394,38027800
2020-07-08,394,400,387,389,36711400
2020-07-09,392,402,390,394,35637300
2020-07-10,394,400,390,392,32946200
2020-07-13,398,406,394,394,47880000
2020-07-14,390,398,389,398,39561400
2020-07-15,398,400,390,390,32147300
2020-07-16,418,426,398,398,59302500
2020-07-17,416,426,416,422,29728100
2020-07-20,389,420,389,416,26220600
2020-07-21,363,389,363,389,8519000
2020-07-22,385,385,339,363,22329500
2020-07-23,383,385,373,385,14822200
2020-07-24,377,385,371,381,13208200
2020-07-27,375,381,375,377,15647400
2020-07-28,375,381,375,375,13756300
2020-07-29,375,383,375,375,15066200
2020-07-30,371,377,369,377,18739600
2020-08-03,345,371,345,371,357900
2020-08-04,321,363,321,363,222600
2020-08-05,299,315,299,315,399700
2020-08-06,301,307,287,299,181600
2020-08-07,287,317,287,301,193900
2020-08-10,278,291,268,289,120600
2020-08-11,260,278,260,278,312400
2020-08-12,242,258,242,254,625000
2020-08-13,226,242,226,242,273200
2020-08-14,212,281,212,226,4176100
2020-08-18,198,212,198,212,3640500
2020-08-19,184,198,184,184,19874600
2020-08-24,171,178,171,178,18896100
2020-08-25,160,171,160,171,7448500
2020-08-26,149,160,149,160,2363600
2020-08-27,139,155,139,155,29979800
2020-08-28,130,133,130,130,31666600
2020-08-31,121,139,121,121,92501400
2020-09-01,113,120,113,113,61874400
2020-09-02,106,109,106,106,18075900
2020-09-03,99,102,99,99,1090200
2020-09-04,92,92,92,92,613700
2020-09-07,86,90,86,86,722900
2020-09-08,86,105,80,80,130027700
2020-09-09,83,95,80,91,75283700
2020-09-10,79,84,78,83,26376600
2020-09-11,81,84,74,74,46331700
2020-09-14,88,92,79,79,59661500
2020-09-15,86,98,85,90,147169300
2020-09-16,80,90,80,86,87254000
2020-09-17,75,80,75,75,46500000
2020-09-18,71,77,70,71,115812800
2020-09-21,67,71,66,66,14071900
2020-09-22,83,86,67,67,229877700
2020-09-23,79,92,79,84,162445100
2020-09-24,76,80,74,80,25046900
2020-09-25,95,96,76,77,235438900
2020-09-28,105,126,90,97,573892100
2020-09-29,98,114,98,108,127078600
2020-09-30,93,102,92,94,77996000
2020-10-01,87,107,87,94,717523400
