timestamp,open,high,low,close,volume
2019-01-01,700,700,700,700,0
2019-01-02,650,700,650,660,5400
2019-01-03,700,700,560,620,94100
2019-01-04,695,695,600,660,153700
2019-01-07,700,700,665,665,32600
2019-01-08,680,690,640,665,121300
2019-01-09,625,650,625,650,20800
2019-01-10,575,600,575,600,71900
2019-01-11,550,600,530,570,53000
2019-01-14,530,550,530,550,9700
2019-01-15,535,640,535,570,25700
2019-01-16,535,535,535,535,20900
2019-01-17,535,535,535,535,0
2019-01-18,580,640,570,570,21300
2019-01-21,575,580,575,580,2200
2019-01-22,575,575,575,575,0
2019-01-23,575,575,575,575,0
2019-01-24,575,575,575,575,0
2019-01-25,520,530,520,530,2800
2019-01-28,520,520,520,520,0
2019-01-29,520,520,520,520,0
2019-01-30,520,520,520,520,0
2019-01-31,520,520,520,520,0
2019-02-01,520,520,520,520,0
2019-02-04,555,580,555,560,28100
2019-02-05,555,555,555,555,0
2019-02-06,555,555,555,555,0
2019-02-07,555,555,555,555,0
2019-02-08,555,555,555,555,0
2019-02-11,520,520,520,520,2600
2019-02-12,520,520,520,520,0
2019-02-13,520,520,520,520,0
2019-02-14,520,520,520,520,0
2019-02-15,484,505,484,500,10100
2019-02-18,484,484,484,484,0
2019-02-19,530,530,492,492,1323600
2019-02-20,530,530,530,530,0
2019-02-21,454,490,454,490,11000
2019-02-22,454,540,454,540,11500
2019-02-25,450,476,450,476,10900
2019-02-26,500,510,450,452,8200
2019-02-27,490,490,450,490,12300
2019-02-28,476,510,432,510,16200
2019-03-01,476,476,476,476,0
2019-03-04,456,600,450,600,26400
2019-03-05,456,456,456,456,0
2019-03-06,464,490,464,490,200
2019-03-07,464,464,464,464,0
2019-03-08,472,490,472,490,1400
2019-03-11,450,450,450,450,200
2019-03-12,474,474,470,474,500
2019-03-13,474,474,474,474,600
2019-03-14,474,474,474,474,0
2019-03-15,456,490,456,488,4100
2019-03-18,520,570,480,480,12700
2019-03-19,470,490,470,490,200
2019-03-20,470,470,470,470,0
2019-03-21,466,466,466,466,5500
2019-03-22,466,466,466,466,0
2019-03-25,480,490,480,490,30600
2019-03-26,476,476,476,476,100
2019-03-27,476,476,476,476,0
2019-03-28,410,410,410,410,100
2019-03-29,410,410,410,410,0
2019-04-01,436,436,436,436,5000
2019-04-02,436,490,436,436,15500
2019-04-03,436,436,436,436,0
2019-04-04,468,480,420,436,18000
2019-04-05,468,468,468,468,0
2019-04-08,468,468,468,468,0
2019-04-09,452,452,452,452,200
2019-04-10,452,452,452,452,0
2019-04-11,452,452,452,452,100
2019-04-12,470,470,470,470,400
2019-04-15,470,470,470,470,500
2019-04-16,470,470,470,470,1000
2019-04-17,470,470,470,470,0
2019-04-18,470,470,470,470,0
2019-04-19,470,470,470,470,0
2019-04-22,460,460,460,460,1200
2019-04-23,460,460,442,442,4200
2019-04-24,452,452,452,452,100
2019-04-25,460,464,444,444,2100
2019-04-26,452,452,412,442,4600
2019-04-29,440,440,420,426,3900
2019-04-30,468,470,420,420,1500
2019-05-01,468,468,468,468,0
2019-05-02,448,448,448,448,600
2019-05-03,430,432,430,432,800
2019-05-06,420,430,420,430,600
2019-05-07,410,410,410,410,3000
2019-05-08,410,410,410,410,7500
2019-05-09,404,404,400,400,1400
2019-05-10,434,486,434,486,10300
2019-05-13,430,430,430,430,100
2019-05-14,382,382,340,340,700
2019-05-15,382,382,382,382,100
2019-05-16,450,468,390,390,53700
2019-05-17,420,450,420,442,9200
2019-05-20,414,414,414,414,600
2019-05-21,402,420,400,414,5500
2019-05-22,390,392,390,392,3000
2019-05-23,418,420,384,390,7200
2019-05-24,418,418,418,418,0
2019-05-27,418,418,418,418,0
2019-05-28,418,418,418,418,0
2019-05-29,392,420,390,420,900
2019-05-30,392,392,392,392,0
2019-05-31,392,392,392,392,1000
2019-06-03,392,392,392,392,0
2019-06-04,392,392,392,392,0
2019-06-05,392,392,392,392,0
2019-06-06,392,392,392,392,0
2019-06-07,392,392,392,392,0
2019-06-10,488,488,392,392,3200
2019-06-11,420,505,420,505,7400
2019-06-12,422,450,420,420,11700
2019-06-13,424,424,424,424,500
2019-06-14,410,410,410,410,100
2019-06-17,410,410,410,410,0
2019-06-18,364,410,364,410,300
2019-06-20,440,440,400,400,1100
2019-06-21,420,430,420,430,500
2019-06-24,420,420,420,420,400
2019-06-25,438,438,438,438,100
2019-06-26,420,420,420,420,800
2019-06-27,440,440,420,420,600
2019-06-28,402,438,402,438,1700
2019-07-01,402,402,402,402,0
2019-07-02,438,438,404,404,3300
2019-07-03,438,438,438,438,0
2019-07-04,434,434,414,414,200
2019-07-05,440,440,440,440,100
2019-07-08,438,438,438,438,900
2019-07-09,438,438,438,438,0
2019-07-10,436,436,392,436,2200
2019-07-11,440,440,420,420,200
2019-07-12,436,436,436,436,400
2019-07-15,436,436,436,436,0
2019-07-16,436,436,436,436,1000
2019-07-17,436,436,436,436,200
2019-07-18,436,436,436,436,0
2019-07-19,390,434,390,434,16000
2019-07-22,402,430,390,390,2300
2019-07-23,402,402,402,402,3600
2019-07-24,430,430,402,402,200
2019-07-25,428,450,370,450,7800
2019-07-26,426,426,426,426,3000
2019-07-29,426,426,426,426,0
2019-07-30,424,424,372,372,11300
2019-07-31,424,424,424,424,0
2019-08-01,428,430,428,430,300
2019-08-02,380,470,380,424,13100
2019-08-05,418,440,392,392,6200
2019-08-06,400,400,390,390,7100
2019-08-07,400,400,400,400,2300
2019-08-08,420,420,420,420,100
2019-08-09,410,410,410,410,1200
2019-08-12,420,420,420,420,100
2019-08-13,420,420,420,420,0
2019-08-14,420,420,420,420,0
2019-08-15,420,420,420,420,0
2019-08-16,420,420,420,420,0
2019-08-19,420,420,420,420,0
2019-08-20,420,420,420,420,0
2019-08-21,420,420,420,420,0
2019-08-22,420,420,420,420,0
2019-08-23,398,420,340,420,13300
2019-08-26,400,400,400,400,100
2019-08-27,400,400,400,400,5100
2019-08-28,400,400,400,400,0
2019-08-29,400,400,400,400,100
2019-08-30,400,400,400,400,0
2019-09-02,402,402,402,402,100
2019-09-03,402,402,402,402,0
2019-09-04,400,400,400,400,200
2019-09-05,430,456,380,392,40300
2019-09-06,410,410,410,410,100
2019-09-09,394,394,394,394,100
2019-09-10,410,410,408,408,1500
2019-09-11,410,410,410,410,0
2019-09-12,410,410,410,410,0
2019-09-13,410,410,410,410,2300
2019-09-16,410,410,410,410,0
2019-09-17,410,410,410,410,0
2019-09-18,398,398,398,398,200
2019-09-19,398,398,398,398,600
2019-09-20,398,398,398,398,0
2019-09-23,398,398,398,398,0
2019-09-24,410,410,410,410,2800
2019-09-25,362,430,362,430,7100
2019-09-26,380,430,362,364,27800
2019-09-27,340,340,340,340,100
2019-09-30,340,340,340,340,0
2019-10-01,340,340,340,340,0
2019-10-02,340,340,340,340,0
2019-10-03,340,340,340,340,0
2019-10-04,340,340,340,340,0
2019-10-07,256,342,256,342,600
2019-10-08,320,320,290,310,6500
2019-10-09,320,320,320,320,0
2019-10-10,320,320,320,320,0
2019-10-11,320,320,320,320,0
2019-10-14,320,320,310,320,20100
2019-10-15,320,320,320,320,0
2019-10-16,330,330,330,330,800
2019-10-17,410,410,410,410,2000
2019-10-18,392,448,392,410,9000
2019-10-21,392,392,392,392,0
2019-10-22,420,422,412,412,23700
2019-10-23,370,390,370,390,8000
2019-10-24,418,418,372,400,9100
2019-10-25,418,438,418,438,600
2019-10-28,418,418,418,418,100
2019-10-29,418,418,418,418,0
2019-10-30,420,420,420,420,100
2019-10-31,418,420,418,420,1200
2019-11-01,416,418,408,408,600
2019-11-04,414,414,414,414,200
2019-11-05,398,414,398,414,400
2019-11-06,420,420,420,420,100
2019-11-07,418,418,418,418,100
2019-11-08,418,418,418,418,0
2019-11-11,414,414,394,394,1200
2019-11-12,414,420,414,420,200
2019-11-13,414,414,414,414,0
2019-11-14,410,410,410,410,100
2019-11-15,410,410,410,410,0
2019-11-18,310,408,308,408,30100
2019-11-19,340,380,280,350,36200
2019-11-20,302,302,290,290,700
2019-11-21,324,324,324,324,100
2019-11-22,324,324,324,324,0
2019-11-25,324,324,324,324,0
2019-11-26,324,324,324,324,0
2019-11-27,320,320,318,318,5100
2019-11-28,320,320,320,320,0
2019-11-29,320,320,320,320,0
2019-12-02,320,320,320,320,1400
2019-12-03,320,320,320,320,100
2019-12-04,320,320,320,320,0
2019-12-05,340,400,340,340,14500
2019-12-06,330,330,330,330,100
2019-12-09,330,330,330,330,100
2019-12-10,330,330,330,330,0
2019-12-11,330,330,330,330,200
2019-12-12,330,330,330,330,300
2019-12-13,330,330,330,330,0
2019-12-16,280,280,280,280,2900
2019-12-17,310,340,310,320,7100
2019-12-18,310,310,280,280,1500
2019-12-19,310,310,310,310,0
2019-12-20,310,310,310,310,0
2019-12-23,310,310,310,310,0
2019-12-26,310,310,310,310,0
2019-12-27,274,274,240,260,8300
2019-12-30,274,274,274,274,0
2020-01-02,274,274,274,274,200
2020-01-03,274,274,274,274,5300
2020-01-06,274,274,274,274,1000
2020-01-07,274,274,274,274,0
2020-01-08,274,274,274,274,0
2020-01-09,274,274,274,274,0
2020-01-10,274,274,274,274,0
2020-01-13,274,274,274,274,0
2020-01-14,296,296,274,274,300
2020-01-15,294,294,294,294,1000
2020-01-16,294,294,294,294,0
2020-01-17,294,294,294,294,0
2020-01-20,240,240,240,240,100
2020-01-21,270,270,240,240,200
2020-01-22,300,300,300,300,2000
2020-01-23,300,300,300,300,0
2020-01-24,300,300,300,300,0
2020-01-27,300,300,300,300,0
2020-01-28,300,300,300,300,0
