timestamp,open,high,low,close,volume
2022-08-08,122,133,100,110,1016123800
2022-08-09,114,125,114,124,26335300
2022-08-10,112,127,107,107,188268700
2022-08-11,114,121,110,112,97710100
2022-08-12,114,116,112,115,23246100
2022-08-15,117,120,114,114,55738600
2022-08-16,122,127,117,118,140855700
2022-08-18,124,133,118,124,193797400
2022-08-19,124,126,122,125,42085300
2022-08-22,132,143,124,126,487254100
2022-08-23,146,147,126,133,385736400
2022-08-24,137,155,137,148,372980100
2022-08-25,146,146,137,138,127010200
2022-08-26,146,151,142,148,115220500
2022-08-29,148,151,142,147,80108700
2022-08-30,155,158,146,149,167565700
2022-08-31,163,168,150,155,224419800
2022-09-01,163,165,161,162,77429100
2022-09-02,161,165,161,162,32457400
2022-09-05,164,164,157,161,64238700
2022-09-06,161,165,161,164,41826300
2022-09-07,163,164,151,161,91853600
2022-09-08,168,176,161,163,222287800
2022-09-09,171,173,164,168,78680100
2022-09-12,171,174,160,171,87617600
2022-09-13,165,173,165,171,45011200
2022-09-14,161,167,159,162,24878100
2022-09-15,160,164,157,161,43658000
2022-09-16,176,194,160,160,634066900
2022-09-19,182,202,175,176,515989700
2022-09-20,174,184,170,183,145932000
2022-09-21,173,184,173,175,80062700
2022-09-22,171,176,169,173,27661800
2022-09-23,170,178,168,173,25204800
2022-09-26,159,172,159,172,33357100
2022-09-27,159,161,152,159,55088300
2022-09-28,163,165,159,160,44549900
2022-09-29,153,166,153,166,28190100
2022-09-30,144,153,142,153,30710500
2022-10-03,149,149,135,144,16212600
2022-10-04,150,157,146,149,53965800
2022-10-05,153,154,150,150,12754600
2022-10-06,158,158,152,155,17983800
2022-10-07,159,167,155,160,75104300
2022-10-10,163,165,156,159,33825000
2022-10-11,171,173,163,164,134849600
2022-10-12,164,172,160,171,74880200
2022-10-13,161,165,156,164,17360700
2022-10-14,158,165,158,165,7913700
2022-10-17,162,164,147,158,43641000
2022-10-18,161,164,156,164,19942000
2022-10-19,167,175,158,162,202052300
2022-10-20,166,168,163,167,29733800
2022-10-21,166,169,164,166,10859400
2022-10-24,167,171,165,166,52416000
2022-10-25,167,169,164,167,17704800
2022-10-26,166,169,164,167,10858200
2022-10-27,158,167,155,166,31461500
2022-10-28,147,158,147,158,27670000
2022-10-31,140,148,137,147,27714700
2022-11-01,138,145,131,140,21887200
2022-11-02,134,140,134,138,8578700
2022-11-03,130,137,128,128,13469000
2022-11-04,131,135,126,130,15711900
2022-11-07,137,138,127,132,34464200
2022-11-08,130,138,130,137,8364100
2022-11-09,131,135,128,130,10359600
2022-11-10,128,134,128,134,4314300
2022-11-11,128,131,127,127,5373600
2022-11-14,130,133,121,128,15759700
2022-11-15,132,137,128,130,33946700
2022-11-16,130,133,127,133,5775500
2022-11-17,128,130,127,130,2277000
2022-11-18,129,131,127,131,8139200
2022-11-21,130,130,126,130,4891400
2022-11-22,128,130,127,130,4603200
2022-11-23,125,128,124,128,6473200
2022-11-24,122,125,118,125,8139400
2022-11-25,124,127,117,117,12457300
2022-11-28,126,129,123,124,11477100
2022-11-29,127,128,123,127,9937700
2022-11-30,128,131,124,127,16242800
2022-12-01,126,130,125,129,6799300
2022-12-02,125,126,123,126,4931500
2022-12-05,121,125,119,125,4339300
2022-12-06,128,131,118,121,41127000
2022-12-07,129,129,125,129,9556500
2022-12-08,128,129,125,128,7284700
2022-12-09,126,130,124,129,13283000
2022-12-12,128,129,122,126,12801700
2022-12-13,128,129,123,128,10848200
2022-12-14,129,132,126,128,31091500
2022-12-15,127,130,125,129,8711100
2022-12-16,124,129,124,127,5330000
2022-12-19,126,126,120,124,11258500
2022-12-20,124,127,124,127,3513800
2022-12-21,127,128,122,124,14557900
2022-12-22,126,130,124,130,4199100
2022-12-23,128,129,125,125,11961000
2022-12-26,122,128,122,128,7675600
2022-12-27,124,126,121,121,8989000
2022-12-28,124,125,122,124,3312000
2022-12-29,122,124,121,124,3263800
2022-12-30,122,122,118,122,4888800
2023-01-02,118,122,117,122,5144700
2023-01-03,115,118,114,118,7279900
2023-01-04,109,116,109,115,14282200
2023-01-05,102,109,102,102,10213600
2023-01-06,104,110,101,102,1369000
2023-01-09,103,111,100,104,1598300
2023-01-10,102,106,96,103,4275100
2023-01-11,97,103,95,95,1886700
2023-01-12,109,125,97,97,13399700
2023-01-13,103,111,102,110,1800400
2023-01-16,103,110,100,104,503900
2023-01-17,100,104,100,103,975600
2023-01-18,101,103,98,100,636200
2023-01-19,102,106,100,101,6030800
2023-01-20,101,103,99,102,2865400
2023-01-24,99,103,98,101,3352400
2023-01-25,99,101,98,99,581800
2023-01-26,101,102,97,100,1596400
2023-01-27,100,103,99,101,1027200
2023-01-30,100,101,98,99,821400
2023-01-31,96,101,95,100,16389900
2023-02-01,98,100,96,97,1037600
2023-02-02,98,99,96,99,1533600
2023-02-03,91,98,91,98,9062800
2023-02-06,91,92,86,91,7335300
2023-02-07,90,95,86,86,2030100
2023-02-08,89,92,86,86,1480500
2023-02-09,88,91,84,84,2406900
2023-02-10,87,89,83,83,545900
2023-02-13,87,87,81,81,805400
2023-02-14,87,88,81,81,1172800
2023-02-15,113,116,87,87,63017300
2023-02-16,106,125,106,115,104323300
2023-02-17,99,109,99,109,10587300
2023-02-20,107,113,99,99,62686600
2023-02-21,104,109,101,108,17403000
2023-02-22,99,108,99,104,7683300
2023-02-23,98,105,97,100,8929500
2023-02-24,100,103,98,98,8155100
2023-02-27,99,102,99,101,2961300
2023-02-28,101,104,98,99,7770400
2023-03-01,105,110,102,102,21586500
2023-03-02,102,106,100,104,7010900
2023-03-03,101,105,99,102,5334300
2023-03-06,104,108,102,105,15935800
2023-03-07,105,106,102,104,4563300
2023-03-08,102,107,98,106,10897400
2023-03-09,101,105,101,102,3301000
2023-03-10,104,105,101,101,3096100
2023-03-13,105,106,101,103,2747700
2023-03-14,100,111,99,105,12699500
2023-03-15,100,101,98,101,3196900
2023-03-16,105,106,99,100,6712200
2023-03-17,109,111,105,106,15861500
2023-03-20,108,112,104,109,12974800
2023-03-21,103,110,101,108,11303300
2023-03-24,108,110,103,104,14905800
2023-03-27,105,108,104,107,4231000
2023-03-28,102,106,100,106,4512100
2023-03-29,102,104,99,102,7225400
2023-03-30,101,103,99,103,2847500
2023-03-31,100,102,99,102,2935600
2023-04-03,100,101,98,98,3202900
2023-04-04,101,103,98,101,4374400
2023-04-05,100,101,99,101,2150200
2023-04-06,98,100,98,100,2221500
2023-04-10,91,98,91,98,2897500
2023-04-11,86,86,86,86,2135200
2023-04-12,85,87,80,81,10358200
2023-04-13,79,94,79,94,6497000
2023-04-14,79,89,74,74,45305700
2023-04-17,78,83,77,79,6604100
2023-04-18,77,80,76,79,1193800
2023-04-26,83,85,76,76,4898300
2023-04-27,85,87,82,84,3912200
2023-04-28,86,88,85,85,2893700
2023-05-02,96,108,86,86,59342000
2023-05-03,96,103,95,96,9581400
2023-05-04,99,101,91,96,15695600
2023-05-05,96,104,96,100,4939500
2023-05-08,94,98,93,97,4232700
2023-05-09,93,96,88,95,5413400
2023-05-10,90,94,89,93,1128400
2023-05-11,87,90,85,90,5793400
2023-05-12,82,87,82,86,4406300
2023-05-15,87,94,81,82,20568500
2023-05-16,82,88,82,86,3779800
2023-05-17,85,87,82,82,1783100
2023-05-19,83,86,83,85,884800
2023-05-22,83,87,82,84,2788800
2023-05-23,83,85,81,83,1227100
2023-05-24,83,85,80,80,2284700
2023-05-25,85,86,80,80,3793500
2023-05-26,82,86,81,81,1564500
2023-05-29,86,98,80,80,75764100
2023-05-30,82,87,82,87,8775900
2023-05-31,77,84,77,82,7791800
2023-06-05,79,81,75,77,1723300
2023-06-06,77,80,75,80,3600700
2023-06-07,73,77,68,68,4147500
2023-06-08,74,76,71,71,3262400
2023-06-09,74,74,73,74,1588800
2023-06-12,76,80,68,68,3701800
2023-06-13,76,78,75,75,2406200
2023-06-14,77,78,75,75,2224200
2023-06-15,77,78,75,76,1543300
2023-06-16,74,77,74,77,1748800
2023-06-19,73,76,73,75,726800
2023-06-20,74,75,73,73,1093300
2023-06-21,74,75,73,75,423700
2023-06-22,74,75,72,74,582200
2023-06-23,71,74,69,69,1196400
2023-06-26,68,72,66,66,2676900
2023-06-27,68,70,65,65,1691300
2023-07-03,68,70,64,64,1955300
2023-07-04,68,70,68,68,2409400
2023-07-05,69,73,69,69,2748700
2023-07-06,71,72,69,69,2493100
2023-07-07,72,72,70,72,1133400
2023-07-10,69,79,66,74,15031800
2023-07-11,69,74,69,71,5484000
2023-07-12,73,82,68,68,43232700
2023-07-13,70,74,69,74,3537300
2023-07-14,71,71,68,70,2236000
2023-07-17,71,72,69,72,1219500
2023-07-18,69,71,69,70,1491800
2023-07-20,70,71,69,69,965600
2023-07-21,69,71,69,70,1066800
2023-07-24,69,70,68,70,1733500
2023-07-25,69,70,67,69,1862500
2023-07-26,68,69,67,69,1777300
2023-07-27,67,68,66,68,1284300
2023-07-28,66,67,64,67,3068800
2023-07-31,65,66,63,66,1737800
2023-08-01,62,65,60,65,1907800
2023-08-02,56,63,53,61,9298600
2023-08-03,51,56,49,49,4244900
2023-08-04,51,52,49,52,5480100
2023-08-07,52,53,50,51,3315500
2023-08-08,51,52,51,52,1942300
2023-08-09,54,54,52,52,4286600
2023-08-10,54,55,52,54,970000
2023-08-11,54,55,52,54,3089500
2023-08-14,55,57,52,53,3690200
2023-08-15,54,55,52,55,2600300
2023-08-16,54,55,53,54,1552900
2023-08-18,54,59,53,54,699200
2023-08-21,55,56,52,52,3145000
2023-08-22,55,56,52,52,1654400
2023-08-23,55,57,54,55,1915900
2023-08-24,64,69,55,55,75618600
2023-08-25,60,66,59,65,9890300
2023-08-28,60,61,57,61,5447400
2023-08-29,58,61,57,60,4245200
2023-08-30,57,58,55,56,3011300
2023-08-31,56,57,55,57,1964100
2023-09-01,56,57,54,57,1912100
