timestamp,open,high,low,close,volume
2023-10-11,170,172,135,172,883830600
2023-10-12,142,174,141,170,225949400
2023-10-13,144,155,140,142,112370500
2023-10-16,107,147,101,134,242089200
2023-10-17,112,129,106,107,418033400
2023-10-18,114,119,106,112,173254100
2023-10-19,107,118,98,113,80414600
2023-10-20,102,110,99,107,145521200
2023-10-23,97,107,71,71,138190300
2023-10-24,98,105,96,98,121650600
2023-10-25,95,103,93,98,119540600
2023-10-26,89,99,87,96,123727000
2023-10-27,81,93,77,89,137063200
2023-10-30,88,93,63,81,235226600
2023-10-31,83,92,81,89,92651300
2023-11-01,81,99,79,85,273609000
2023-11-02,79,93,75,81,283930100
2023-11-03,73,83,72,80,189042100
2023-11-06,69,75,65,74,147146800
2023-11-07,65,70,60,60,34443000
2023-11-08,64,68,63,65,23428800
2023-11-09,62,67,60,64,156331200
2023-11-10,61,65,50,50,62226200
2023-11-13,61,64,60,61,60364200
2023-11-14,61,63,59,61,74980000
2023-11-15,61,63,59,61,54090200
2023-11-16,60,62,59,60,51024600
2023-11-17,59,61,58,60,41454600
2023-11-20,57,60,56,57,42786200
2023-11-21,57,60,54,57,54487400
2023-11-22,56,58,54,57,33511300
2023-11-23,54,57,52,56,32998000
2023-11-24,54,55,53,53,24813300
2023-11-27,54,57,53,54,73075100
2023-11-28,54,57,52,54,28266400
2023-11-29,52,55,51,53,76228400
2023-11-30,51,53,50,52,108635600
2023-12-01,50,51,50,51,16817200
2023-12-04,51,51,50,50,13554000
2023-12-05,51,52,50,51,19776100
2023-12-06,50,51,50,51,12549900
2023-12-07,50,51,50,51,12186000
2023-12-08,51,51,50,50,10109800
2023-12-11,50,51,50,50,11397800
2023-12-12,50,50,50,50,661900
2023-12-13,50,50,50,50,885800
2023-12-14,50,50,50,50,332400
2023-12-15,50,51,50,50,12768500
2023-12-18,50,51,50,50,3960200
2023-12-19,50,50,50,50,163500
2023-12-20,50,50,50,50,281200
2023-12-21,50,50,50,50,2456300
2023-12-22,50,50,50,50,1271000
2023-12-27,50,50,50,50,296300
2023-12-28,50,50,50,50,1218400
2023-12-29,50,50,50,50,401000
2024-01-02,50,50,50,50,609100
2024-01-03,50,50,50,50,1231300
2024-01-04,50,50,50,50,298400
2024-01-05,67,67,50,50,341111500
2024-01-08,65,74,55,74,177653700
2024-01-09,67,74,59,65,142943300
2024-01-10,67,70,65,68,30635400
2024-01-11,66,68,63,68,25703700
2024-01-12,70,71,66,66,46202900
2024-01-15,70,70,70,70,0
2024-01-16,80,85,76,84,75810800
2024-01-17,83,84,77,80,65553200
2024-01-18,67,89,63,84,211923400
2024-01-19,65,74,60,60,96233200
2024-01-22,65,69,62,66,34501900
2024-01-23,74,76,63,63,83536800
2024-01-24,74,76,72,76,37889500
2024-01-25,74,79,74,74,44069000
2024-01-26,76,78,72,75,25208400
2024-01-29,78,80,76,77,35494000
2024-01-30,81,83,78,79,32573000
2024-01-31,86,104,79,82,343567900
2024-02-01,84,94,81,87,65935500
2024-02-02,79,85,77,85,28462700
2024-02-05,80,86,77,79,39815700
2024-02-06,76,81,76,80,22089900
2024-02-07,75,77,73,74,19583700
2024-02-12,73,76,73,76,13389900
2024-02-13,78,83,74,74,42352800
2024-02-15,76,80,74,79,17229800
2024-02-16,74,78,74,76,10385500
2024-02-19,74,76,73,74,14202100
2024-02-20,73,76,73,74,7122700
2024-02-21,74,75,73,74,8355500
2024-02-22,74,75,73,74,11229900
2024-02-23,80,85,74,74,119546400
2024-02-26,89,92,79,81,115062600
2024-02-27,90,92,83,90,75288300
2024-02-28,92,100,86,90,100447100
2024-02-29,89,96,87,92,32845100
2024-03-01,86,91,84,90,17795000
2024-03-04,85,89,84,86,12959900
2024-03-05,85,88,83,85,13016300
2024-03-06,80,86,77,85,42624200
2024-03-07,79,84,76,81,15496900
2024-03-08,77,83,76,79,15583700
2024-03-13,77,79,75,77,12324500
2024-03-14,76,78,75,77,7517700
2024-03-15,79,82,75,76,29479700
2024-03-18,78,80,76,79,11345200
2024-03-19,76,78,74,78,19817600
2024-03-20,77,77,65,75,44908500
2024-03-21,78,82,76,78,18166100
2024-03-22,77,80,76,78,6073400
2024-03-25,77,77,77,77,0
2024-03-26,77,77,77,77,0
2024-03-27,80,86,79,82,23574700
2024-03-28,77,82,77,81,11040000
2024-04-01,76,80,74,77,8511700
2024-04-02,76,78,74,78,3989700
2024-04-03,71,77,70,77,14549200
2024-04-04,66,71,66,66,10192900
2024-04-05,68,70,58,58,4919300
2024-04-16,66,69,66,68,1779900
2024-04-17,65,70,65,66,4483100
2024-04-18,61,67,60,65,9322600
2024-04-19,53,62,50,50,46990400
2024-04-22,53,59,52,52,8717000
2024-04-23,52,54,51,53,7134400
2024-04-24,70,70,52,52,110147500
2024-04-25,86,92,68,75,250677600
2024-04-26,85,95,80,91,86213900
2024-04-29,88,92,83,86,45441800
2024-04-30,95,98,88,89,92565800
2024-05-02,89,96,88,95,35846600
2024-05-03,90,92,84,88,34314000
2024-05-06,89,92,86,90,36168900
2024-05-07,90,91,88,89,6998200
2024-05-08,85,90,78,90,26655100
2024-05-13,82,88,77,86,26338800
2024-05-14,83,90,82,83,20707000
2024-05-15,86,87,82,84,10387800
2024-05-16,84,91,84,86,23106700
2024-05-17,82,85,82,85,6668900
2024-05-20,79,82,79,81,10770400
2024-05-21,73,78,69,78,32395300
2024-05-22,74,78,69,69,3257200
2024-05-27,72,75,72,74,2949400
2024-05-28,73,75,71,72,3186700
2024-05-29,72,74,71,74,1880100
2024-05-30,72,73,68,72,6297200
2024-05-31,70,72,69,72,4888800
2024-06-03,72,73,70,70,3353400
2024-06-04,76,78,72,73,8471900
2024-06-05,77,82,75,76,16871300
2024-06-06,80,80,77,78,4187600
2024-06-07,78,81,77,80,4453600
2024-06-10,75,78,74,78,4282500
2024-06-11,74,77,70,75,9122500
2024-06-12,71,75,69,74,11929800
2024-06-13,70,73,70,71,2160500
2024-06-14,62,72,61,70,20200600
2024-06-19,81,81,60,62,57478300
2024-06-20,75,85,74,85,23881100
2024-06-21,73,77,72,73,9808400
2024-06-24,75,78,71,73,7725300
2024-06-25,75,80,74,75,8501700
2024-06-26,73,76,72,74,5320600
2024-06-27,72,75,72,73,2394600
2024-06-28,70,73,69,72,6151500
2024-07-01,70,72,70,70,1975400
2024-07-02,71,75,69,70,5109800
2024-07-03,71,73,69,73,3916500
2024-07-04,72,74,71,74,2511300
2024-07-05,71,73,71,73,2418500
2024-07-08,70,75,70,75,1943400
2024-07-09,71,72,70,70,1573500
2024-07-10,70,71,70,70,1265000
2024-07-11,70,71,69,70,1288100
2024-07-12,69,70,67,70,1615500
2024-07-15,70,71,68,69,1050100
2024-07-16,73,80,68,70,41410200
2024-07-17,71,76,71,73,6757100
2024-07-18,73,77,70,71,23406500
2024-07-19,72,73,71,73,6927600
2024-07-22,71,73,70,72,3751100
2024-07-23,70,72,69,71,5771800
2024-07-24,70,75,69,70,11279800
2024-07-25,76,77,70,70,40909800
2024-07-26,73,77,73,77,9821500
2024-07-29,71,74,70,74,6572300
2024-07-30,71,72,70,72,2051600
2024-07-31,70,71,69,71,4404200
2024-08-01,70,73,69,71,3618600
2024-08-02,70,71,69,71,1824500
2024-08-05,64,70,64,70,9563700
2024-08-06,65,67,62,65,7206300
2024-08-07,65,66,64,65,3031700
2024-08-08,66,66,64,66,3317500
2024-08-09,66,66,65,66,1756000
