timestamp,open,high,low,close,volume
2021-10-25,232,232,232,232,76419000
2021-10-26,222,266,216,266,458605800
2021-10-27,222,227,208,222,97477400
2021-10-28,208,225,208,220,14509700
2021-10-29,193,211,193,208,16210000
2021-11-01,181,199,181,184,27560900
2021-11-02,170,192,168,168,74375700
2021-11-03,174,176,170,170,36364900
2021-11-04,188,188,173,174,64288500
2021-11-05,215,227,181,188,141866700
2021-11-08,215,225,202,213,35247000
2021-11-09,216,223,200,215,46056300
2021-11-10,204,216,202,216,40642000
2021-11-11,200,204,195,204,4573100
2021-11-12,200,206,193,200,24437800
2021-11-15,192,200,192,199,3553600
2021-11-16,197,211,184,192,32524800
2021-11-17,192,197,190,197,2169600
2021-11-18,199,206,186,192,13781200
2021-11-19,206,206,192,199,10413700
2021-11-22,204,211,200,206,12454800
2021-11-23,211,211,200,204,9770600
2021-11-24,211,220,204,211,8636200
2021-11-25,209,213,200,211,16082100
2021-11-26,209,211,195,209,55181000
2021-11-29,200,209,195,209,285450800
2021-11-30,215,215,192,200,53697300
2021-12-01,209,220,200,216,23577000
2021-12-02,197,211,197,209,467645000
2021-12-03,184,204,184,197,1923192500
2021-12-06,177,188,177,184,66123000
2021-12-07,165,188,165,177,1319011400
2021-12-08,153,169,153,167,1248198200
2021-12-09,143,154,143,153,223749000
2021-12-10,133,140,133,140,12831500
2021-12-13,124,127,124,124,27433000
2021-12-14,116,126,116,123,47131200
2021-12-15,109,121,108,121,39385100
2021-12-16,105,110,103,108,10618900
2021-12-17,104,110,100,105,8739100
2021-12-20,101,107,100,100,8020700
2021-12-21,95,102,95,95,26537800
2021-12-22,91,97,90,94,63868000
2021-12-23,85,104,85,86,121455500
2021-12-24,80,88,80,84,248641700
2021-12-27,74,82,74,80,99564200
2021-12-28,70,75,70,70,47494700
2021-12-29,66,70,66,66,38168800
2021-12-30,64,68,61,62,70310400
2022-01-03,65,67,61,61,31170700
2022-01-04,82,84,65,65,665343500
2022-01-05,76,83,76,82,76514200
2022-01-06,72,74,71,74,41587300
2022-01-07,78,83,72,72,180166500
2022-01-10,73,80,73,79,44551900
2022-01-11,68,74,68,73,28006800
2022-01-12,73,81,68,68,173656200
2022-01-13,72,79,71,74,45479500
2022-01-14,74,75,72,72,12050400
2022-01-17,74,79,72,75,29299500
2022-01-18,77,81,74,75,84907100
2022-01-19,77,79,75,77,26607100
2022-01-20,75,78,75,77,14901700
2022-01-21,72,75,71,75,37195800
2022-01-24,69,72,68,72,16974200
2022-01-25,71,76,68,70,78220000
2022-01-26,69,72,68,71,14690600
2022-01-27,70,73,68,69,18166400
2022-01-28,69,71,68,71,11616700
2022-01-31,68,70,67,70,9479100
2022-02-02,67,69,66,68,15208400
2022-02-03,67,70,66,67,29568400
2022-02-04,67,69,67,67,8431700
2022-02-07,67,69,67,68,11305300
2022-02-08,68,69,67,67,7568600
2022-02-09,69,70,67,68,11229000
2022-02-10,69,70,68,69,8079300
2022-02-11,75,80,69,70,171704500
2022-02-14,72,77,71,77,32850700
2022-02-15,70,74,69,73,17334400
2022-02-16,69,72,69,70,14678300
2022-02-17,73,74,70,70,33926400
