timestamp,open,high,low,close,volume
2021-06-10,168,168,168,168,1053200
2021-06-11,226,226,226,226,21930800
2021-06-14,212,244,212,244,15373300
2021-06-15,202,210,198,198,10691800
2021-06-16,202,220,190,200,12973600
2021-06-17,232,252,196,204,25698400
2021-06-18,218,246,216,234,10586400
2021-06-21,228,242,204,222,12623500
2021-06-22,232,240,222,230,7960400
2021-06-23,230,240,224,232,12898900
2021-06-24,224,240,220,232,21962800
2021-06-25,222,228,220,220,1644800
2021-06-28,224,228,220,222,8298400
2021-06-29,220,228,218,224,10225800
2021-06-30,222,222,212,222,15275900
2021-07-01,218,224,212,222,17652600
2021-07-02,222,226,212,218,23395900
2021-07-05,224,228,218,222,12988500
2021-07-06,218,226,216,224,8182000
2021-07-07,220,222,216,218,4596600
2021-07-08,228,232,220,222,14012800
2021-07-09,284,284,226,226,7291800
2021-07-12,298,322,282,302,36707700
2021-07-13,300,300,290,300,14581300
2021-07-14,374,374,296,300,35279500
2021-07-15,404,432,366,376,36478100
2021-07-16,400,408,392,404,13264100
2021-07-19,426,438,400,402,24243200
2021-07-21,420,428,414,428,11183100
2021-07-22,418,426,418,420,8703800
2021-07-23,418,422,418,420,2954700
2021-07-26,434,434,416,418,20446500
2021-07-27,436,442,430,434,13341100
2021-07-28,432,440,430,434,18339100
2021-07-29,430,434,422,432,12243300
2021-07-30,440,452,428,430,21512500
2021-08-02,460,466,438,460,26964400
2021-08-03,464,468,450,460,21532800
2021-08-04,580,580,462,464,44915900
2021-08-05,575,600,540,600,18057900
2021-08-06,715,715,550,575,47609400
2021-08-09,715,715,715,715,0
2021-08-10,725,770,705,715,29657400
2021-08-12,755,760,715,725,26960300
2021-08-13,730,755,720,745,16732900
2021-08-16,705,730,700,730,10483600
2021-08-18,715,725,700,725,15641300
2021-08-19,710,735,700,715,17876300
2021-08-20,710,720,685,710,18402400
2021-08-23,720,740,705,710,12541300
2021-08-24,670,745,670,720,25712300
2021-08-25,700,730,665,670,22719600
2021-08-26,710,750,695,695,22437900
2021-08-27,700,735,690,710,21911400
2021-08-30,705,710,670,700,15947500
2021-08-31,660,715,660,705,16575500
2021-09-01,615,685,615,685,5095300
2021-09-02,575,615,575,615,1884700
2021-09-03,535,575,535,575,3635400
2021-09-06,498,500,498,500,1083800
2021-09-07,464,472,464,464,10786800
2021-09-08,432,432,432,432,280600
2021-09-09,402,402,402,402,2396300
2021-09-10,374,374,374,374,750300
2021-09-13,348,348,348,348,154900
2021-09-14,324,324,324,324,1679500
2021-09-15,302,302,302,302,2605800
2021-09-16,300,352,282,286,104700000
2021-09-17,288,314,286,300,34389100
2021-09-20,286,292,268,290,25156400
2021-09-21,268,284,266,284,7594900
2021-09-22,254,272,250,268,23787500
2021-09-23,274,282,254,256,39898300
2021-09-24,278,282,258,274,32474600
2021-09-27,260,278,260,276,14799000
