timestamp,open,high,low,close,volume
2024-07-10,137,137,137,137,13204100
2024-07-11,184,184,170,170,381171700
2024-07-12,196,228,188,191,284796600
2024-07-15,170,214,155,200,172524900
2024-07-16,180,192,170,170,108415000
2024-07-17,172,184,169,182,34842200
2024-07-18,172,181,171,174,28935600
2024-07-19,190,192,164,172,181481300
2024-07-22,174,202,173,191,162868200
2024-07-23,164,176,162,174,46045200
2024-07-24,161,170,158,164,40517200
2024-07-25,156,166,151,153,25642300
2024-07-26,147,160,142,153,41134300
2024-07-29,145,148,128,128,26221000
2024-07-30,138,147,138,145,21968000
2024-07-31,138,143,133,140,20255400
2024-08-01,125,139,125,138,29048100
2024-08-02,119,126,109,109,16180800
2024-08-05,134,143,109,109,124197000
2024-08-06,131,140,128,140,20778700
2024-08-07,124,134,123,128,17832500
2024-08-08,125,126,116,116,9075000
2024-08-09,126,127,116,116,8864100
2024-08-12,127,127,117,117,8225700
2024-08-13,130,137,123,123,21955100
2024-08-14,130,132,121,121,8043600
2024-08-15,131,145,129,145,4249600
2024-08-16,133,148,131,131,4042100
2024-08-19,133,136,124,124,7508700
2024-08-20,134,136,132,134,3091100
2024-08-21,133,144,133,144,4525600
2024-08-22,138,143,132,143,11791300
2024-08-23,138,142,135,142,7633400
2024-08-26,141,144,137,140,6712300
2024-08-27,153,167,141,146,99735600
2024-08-28,148,157,147,155,20026100
2024-08-29,144,153,141,153,9497400
2024-08-30,142,149,141,149,3927500
2024-09-02,142,147,139,147,2643500
2024-09-03,140,147,140,147,2922100
2024-09-04,138,145,138,145,1704600
2024-09-05,139,140,132,139,7818300
2024-09-06,137,142,137,141,4528600
2024-09-09,141,141,135,139,3003300
2024-09-10,139,141,139,141,2255700
2024-09-11,140,141,138,141,2329000
2024-09-12,135,142,134,142,5711500
2024-09-13,137,138,134,137,2783900
2024-09-17,137,140,133,139,5280600
2024-09-18,138,139,135,139,2337200
2024-09-19,140,144,137,140,6798200
2024-09-20,140,141,135,139,3943600
2024-09-23,142,143,136,136,2817000
2024-09-24,142,143,138,138,3113400
2024-09-25,143,144,138,138,1972800
2024-09-26,146,150,142,143,5386800
2024-09-27,146,147,142,142,1577900
2024-09-30,142,146,140,142,3123200
2024-10-01,143,143,138,138,1589300
2024-10-02,142,143,139,139,1806200
2024-10-03,143,143,138,138,1525800
2024-10-04,141,144,139,139,2086200
2024-10-07,142,143,137,137,1641300
2024-10-08,140,143,138,138,1532000
2024-10-09,141,141,136,136,1577900
2024-10-10,140,141,137,137,1298600
2024-10-11,139,142,138,138,1560000
2024-10-14,142,142,139,139,1370800
2024-10-15,143,143,138,138,1535500
2024-10-16,143,144,141,141,2210900
2024-10-17,144,144,141,142,3725100
2024-10-18,147,147,142,142,2669300
2024-10-21,147,148,145,145,1529900
2024-10-22,148,150,146,150,2048900
2024-10-23,147,148,146,146,1483900
2024-10-24,147,147,143,145,2295100
2024-10-25,148,148,145,145,2480600
2024-10-28,148,149,146,146,2214000
2024-10-29,147,148,146,146,1890400
2024-10-30,147,148,145,145,1418200
2024-10-31,148,149,145,145,1381800
2024-11-01,150,150,146,146,1487300
2024-11-04,155,157,148,148,7046800
2024-11-05,152,162,151,153,4114800
2024-11-06,149,155,149,152,2963200
2024-11-07,140,150,137,147,4948100
2024-11-08,142,144,138,138,1435800
2024-11-11,135,143,134,140,2184600
2024-11-12,133,140,132,133,1837100
2024-11-13,134,136,131,131,1723600
2024-11-14,134,135,131,134,1706800
2024-11-15,133,135,130,132,1715600
2024-11-18,130,135,129,131,1861500
2024-11-19,130,132,128,128,1620300
2024-11-20,129,132,128,128,1615200
2024-11-21,130,133,127,127,1759700
2024-11-22,130,132,127,128,1693100
2024-11-25,128,131,125,128,1646100
2024-11-26,126,129,126,126,1923000
2024-11-28,128,129,124,124,1706700
2024-11-29,132,132,126,126,2307500
2024-12-02,134,136,130,130,1509000
2024-12-03,134,135,132,132,1831000
2024-12-04,135,138,132,132,2153600
2024-12-05,137,137,133,133,1715900
2024-12-06,139,140,135,135,2162700
2024-12-09,139,141,138,140,1758300
2024-12-10,137,140,136,139,1752200
2024-12-11,138,139,133,137,2160800
2024-12-12,137,139,136,139,1568300
2024-12-13,139,140,137,138,1489300
2024-12-16,139,140,137,139,1458800
2024-12-17,138,139,136,139,1467400
2024-12-18,138,139,136,138,1475100
2024-12-19,135,139,134,138,1524400
2024-12-20,136,136,134,136,803200
2024-12-23,136,137,134,136,1099000
2024-12-24,136,137,134,137,860700
2024-12-27,137,137,133,136,893200
2024-12-30,134,135,133,135,1092100
